"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
NA,"Frederick County, MD",47900,"24","021",2009,0.833811361152619,0.0809510002899391,0.0560519214041974
NA,"Frederick County, MD",47900,"24","021",2013,0.822291142021735,0.0862093734683185,0.0759333750232393
NA,"Frederick County, MD",47900,"24","021",2017,0.812478413685216,0.0898112594217915,0.0878608723918653
NA,"Frederick County, MD",47900,"24","021",2000,0.892542388504535,0.062429267143596,0.023546039728181
NA,"Frederick County, MD",47900,"24","021",1990,0.932799850873456,0.0529998402215594,0.0101525884107371
NA,"Frederick County, MD",47900,"24","021",1980,0.941110878806885,0.0550561014704858,0.00696912676841592
NA,"Frederick County, MD",47900,"24","021",1970,NA,NA,NA
NA,"Montgomery County, MD",47900,"24","031",2009,0.602236168476767,0.163207112448899,0.150616378417455
NA,"Montgomery County, MD",47900,"24","031",2013,0.566897159500907,0.172128828043991,0.174976805858466
NA,"Montgomery County, MD",47900,"24","031",2017,0.542657895800415,0.180853889249209,0.18980213587786
NA,"Montgomery County, MD",47900,"24","031",2000,0.646814932540669,0.149825783972125,0.114856625304434
NA,"Montgomery County, MD",47900,"24","031",1990,0.767976571509339,0.122023388861956,0.0731440226042136
NA,"Montgomery County, MD",47900,"24","031",1980,0.889751024517618,0.0895980160710678,0.039504155923551
NA,"Montgomery County, MD",47900,"24","031",1970,NA,NA,NA
NA,"Prince George's County, MD",47900,"24","033",2009,0.233439842105137,0.638359206022616,0.123578119872669
NA,"Prince George's County, MD",47900,"24","033",2013,0.212860955189638,0.641860555638875,0.153628985633345
NA,"Prince George's County, MD",47900,"24","033",2017,0.187821835010567,0.632445498646097,0.173921545448821
NA,"Prince George's County, MD",47900,"24","033",2000,0.27045532522785,0.625604012401515,0.0708820171799654
NA,"Prince George's County, MD",47900,"24","033",1990,0.43133525672318,0.506839735186516,0.0411549663498193
NA,"Prince George's County, MD",47900,"24","033",1980,0.60395807364928,0.375206556893926,0.0207000455590456
NA,"Prince George's County, MD",47900,"24","033",1970,NA,NA,NA
NA,"Arlington County, VA",47900,"51","013",2009,0.71330636370243,0.081030013807805,0.167069596182263
NA,"Arlington County, VA",47900,"51","013",2013,0.712595585052662,0.0836168499634647,0.152698721499016
NA,"Arlington County, VA",47900,"51","013",2017,0.714935477968406,0.0883442104437687,0.155475877212091
NA,"Arlington County, VA",47900,"51","013",2000,0.690377032826084,0.0942502889898814,0.185861400980718
NA,"Arlington County, VA",47900,"51","013",1990,0.764876912996677,0.104992511817288,0.134687836383208
NA,"Arlington County, VA",47900,"51","013",1980,0.874297996710332,0.0920517172458535,0.0575429721033559
NA,"Arlington County, VA",47900,"51","013",1970,NA,NA,NA
NA,"Clarke County, VA",47900,"51","043",2009,0.903893028762449,0.0599623929242983,0.0352392227871022
NA,"Clarke County, VA",47900,"51","043",2013,0.906208160101473,0.0530617997322246,0.0362201395250511
NA,"Clarke County, VA",47900,"51","043",2017,0.893168655362501,0.0490544972437374,0.0477984788221338
NA,"Clarke County, VA",47900,"51","043",2000,0.919617451786279,0.0674992096111287,0.0155706607650964
NA,"Clarke County, VA",47900,"51","043",1990,0.90637137426659,0.0879266176349062,0.00239649615734237
NA,"Clarke County, VA",47900,"51","043",1980,0.881986954340191,0.114801806322127,0.00270948319116909
NA,"Clarke County, VA",47900,"51","043",1970,NA,NA,NA
NA,"Culpeper County, VA",47900,"51","047",2009,0.768181109899161,0.161921510139572,0.0729693030296285
NA,"Culpeper County, VA",47900,"51","047",2013,0.767948447073738,0.149397844918656,0.0880836678639341
NA,"Culpeper County, VA",47900,"51","047",2017,0.769896575961442,0.143588713726278,0.0969173611808414
NA,"Culpeper County, VA",47900,"51","047",2000,0.784192399743156,0.171618702936198,0.0304127021189656
NA,"Culpeper County, VA",47900,"51","047",1990,0.811053938325357,0.172321974740024,0.00687272858119535
NA,"Culpeper County, VA",47900,"51","047",1980,0.799557913351017,0.20711759504863,0.00866489832007073
NA,"Culpeper County, VA",47900,"51","047",1970,NA,NA,NA
NA,"Fairfax County, VA",47900,"51","059",2009,0.666857894981096,0.0923741373743398,0.139563426745567
NA,"Fairfax County, VA",47900,"51","059",2013,0.634802841960237,0.0922120371892457,0.157602915706617
NA,"Fairfax County, VA",47900,"51","059",2017,0.625151925912694,0.0966590309666166,0.161641290223152
NA,"Fairfax County, VA",47900,"51","059",2000,0.697391799321268,0.0842939771012912,0.110195524821371
NA,"Fairfax County, VA",47900,"51","059",1990,0.814026416348231,0.0774019526401689,0.0627180594783187
NA,"Fairfax County, VA",47900,"51","059",1980,0.917743478399266,0.0593565767187524,0.0334779134228289
NA,"Fairfax County, VA",47900,"51","059",1970,NA,NA,NA
NA,"Fauquier County, VA",47900,"51","061",2009,0.860244233378562,0.0836273179556762,0.0530679933665008
NA,"Fauquier County, VA",47900,"51","061",2013,0.874937514201318,0.0770733924108157,0.0658032265394229
NA,"Fauquier County, VA",47900,"51","061",2017,0.869046574861854,0.0751249890360495,0.0751542262374646
NA,"Fauquier County, VA",47900,"51","061",2000,0.88218865050146,0.084259779829159,0.0205117974573351
NA,"Fauquier County, VA",47900,"51","061",1990,0.87367924334749,0.111015366939538,0.0141154264377013
NA,"Fauquier County, VA",47900,"51","061",1980,0.841344144445373,0.157819944829892,0.00529410125665246
NA,"Fauquier County, VA",47900,"51","061",1970,NA,NA,NA
NA,"Loudoun County, VA",47900,"51","107",2009,0.731602184059251,0.0780422756023282,0.101007334258375
NA,"Loudoun County, VA",47900,"51","107",2013,0.694946351504088,0.0729637922426388,0.126449949001002
NA,"Loudoun County, VA",47900,"51","107",2017,0.670056439857112,0.075643825522349,0.13462801488688
NA,"Loudoun County, VA",47900,"51","107",2000,0.825187648512078,0.0680487502874427,0.0596524743660045
NA,"Loudoun County, VA",47900,"51","107",1990,0.89462318150681,0.0730648213725923,0.0252760394292283
NA,"Loudoun County, VA",47900,"51","107",1980,0.910791091298518,0.0879899698747976,0.0145227854493531
NA,"Loudoun County, VA",47900,"51","107",1970,NA,NA,NA
NA,"Prince William County, VA",47900,"51","153",2009,0.60871131306974,0.193566263057272,0.184666537363886
NA,"Prince William County, VA",47900,"51","153",2013,0.613586836522123,0.203219349698081,0.207152937110601
