"NAME","year","FIPS","hhts_type_name","hhts_share"
NA,2017,51510,"w/o kids: fam. hh",0.255814630878348
NA,2017,51600,"w/o kids: fam. hh",0.364160489469349
NA,2017,51610,"w/o kids: fam. hh",0.324415975885456
NA,2017,51630,"w/o kids: fam. hh",0.258662059698627
NA,2017,51683,"w/o kids: fam. hh",0.358612440191388
NA,2017,51685,"w/o kids: fam. hh",0.280870657178736
NA,2017,54037,"w/o kids: fam. hh",0.369617454825067
NA,2000,11001,"w/o kids: fam. hh",0.261535057725572
NA,1990,11001,"w/o kids: fam. hh",0.29119718592642
NA,1980,11001,"w/o kids: fam. hh",0.282259715311457
NA,1970,11001,"w/o kids: fam. hh",NA
NA,2000,24009,"w/o kids: fam. hh",0.367822872424099
NA,1990,24009,"w/o kids: fam. hh",0.405263468460494
NA,1980,24009,"w/o kids: fam. hh",0.356131196421916
NA,1970,24009,"w/o kids: fam. hh",NA
NA,2000,24017,"w/o kids: fam. hh",0.361895620875825
NA,1990,24017,"w/o kids: fam. hh",0.365033096496022
NA,1980,24017,"w/o kids: fam. hh",0.307361130609762
NA,1970,24017,"w/o kids: fam. hh",NA
NA,2000,24021,"w/o kids: fam. hh",0.355744134635955
NA,1990,24021,"w/o kids: fam. hh",0.372910269532583
NA,1980,24021,"w/o kids: fam. hh",0.358370243876407
NA,1970,24021,"w/o kids: fam. hh",NA
NA,2000,24031,"w/o kids: fam. hh",0.339188773311996
NA,1990,24031,"w/o kids: fam. hh",0.368493794692881
NA,1980,24031,"w/o kids: fam. hh",0.352562958532503
NA,1970,24031,"w/o kids: fam. hh",NA
NA,2000,24033,"w/o kids: fam. hh",0.335122972265829
NA,1990,24033,"w/o kids: fam. hh",0.360259848111483
NA,1980,24033,"w/o kids: fam. hh",0.303367845767569
NA,1970,24033,"w/o kids: fam. hh",NA
NA,2000,51013,"w/o kids: fam. hh",0.265027638365289
NA,1990,51013,"w/o kids: fam. hh",0.295333037018223
NA,1980,51013,"w/o kids: fam. hh",0.31074675143606
NA,1970,51013,"w/o kids: fam. hh",NA
NA,2000,51043,"w/o kids: fam. hh",0.406868686868687
NA,1990,51043,"w/o kids: fam. hh",0.456869772998805
NA,1980,51043,"w/o kids: fam. hh",0.391965566714491
NA,1970,51043,"w/o kids: fam. hh",NA
NA,2000,51047,"w/o kids: fam. hh",0.391819603324829
NA,1990,51047,"w/o kids: fam. hh",0.384907988074432
NA,1980,51047,"w/o kids: fam. hh",0.38545790446028
NA,1970,51047,"w/o kids: fam. hh",NA
NA,2000,51059,"w/o kids: fam. hh",0.349229529803945
NA,1990,51059,"w/o kids: fam. hh",0.365231461410582
NA,1980,51059,"w/o kids: fam. hh",0.328654527061204
NA,1970,51059,"w/o kids: fam. hh",NA
NA,2000,51061,"w/o kids: fam. hh",0.401126250691337
NA,1990,51061,"w/o kids: fam. hh",0.418769716088328
NA,1980,51061,"w/o kids: fam. hh",0.380842519012219
NA,1970,51061,"w/o kids: fam. hh",NA
NA,2000,51107,"w/o kids: fam. hh",0.325161462592413
NA,1990,51107,"w/o kids: fam. hh",0.366913757633152
NA,1980,51107,"w/o kids: fam. hh",0.319071752467325
NA,1970,51107,"w/o kids: fam. hh",NA
NA,2000,51153,"w/o kids: fam. hh",0.326614692273563
NA,1990,51153,"w/o kids: fam. hh",0.323473730659189
NA,1980,51153,"w/o kids: fam. hh",0.261038220193953
NA,1970,51153,"w/o kids: fam. hh",NA
NA,2000,51157,"w/o kids: fam. hh",0.429184549356223
NA,1990,51157,"w/o kids: fam. hh",0.446365422396857
NA,1980,51157,"w/o kids: fam. hh",0.411162790697674
NA,1970,51157,"w/o kids: fam. hh",NA
NA,2000,51177,"w/o kids: fam. hh",0.366710387408426
NA,1990,51177,"w/o kids: fam. hh",0.355516914321846
NA,1980,51177,"w/o kids: fam. hh",0.327755177514793
NA,1970,51177,"w/o kids: fam. hh",NA
NA,2000,51179,"w/o kids: fam. hh",0.337271037961242
NA,1990,51179,"w/o kids: fam. hh",0.36625006429049
NA,1980,51179,"w/o kids: fam. hh",0.32731432306561
NA,1970,51179,"w/o kids: fam. hh",NA
NA,2000,51187,"w/o kids: fam. hh",0.369319587628866
NA,1990,51187,"w/o kids: fam. hh",0.406036217303823
NA,1980,51187,"w/o kids: fam. hh",0.389802421924793
NA,1970,51187,"w/o kids: fam. hh",NA
NA,2000,51510,"w/o kids: fam. hh",0.259117609088562
NA,1990,51510,"w/o kids: fam. hh",0.284042892824278
NA,1980,51510,"w/o kids: fam. hh",0.287237499492262
NA,1970,51510,"w/o kids: fam. hh",NA
NA,2000,51600,"w/o kids: fam. hh",0.399975040559091
NA,1990,51600,"w/o kids: fam. hh",0.40322799403228
NA,1980,51600,"w/o kids: fam. hh",0.34259661311333
NA,1970,51600,"w/o kids: fam. hh",NA
NA,2000,51610,"w/o kids: fam. hh",0.28108228980322
NA,1990,51610,"w/o kids: fam. hh",0.360671462829736
NA,1980,51610,"w/o kids: fam. hh",0.369519343493552
NA,1970,51610,"w/o kids: fam. hh",NA
NA,2000,51630,"w/o kids: fam. hh",0.269107098689092
NA,1990,51630,"w/o kids: fam. hh",0.307939483197215
NA,1980,51630,"w/o kids: fam. hh",0.338854149062025
NA,1970,51630,"w/o kids: fam. hh",NA
NA,2000,51683,"w/o kids: fam. hh",0.286635553669919
NA,1990,51683,"w/o kids: fam. hh",0.322928668691736
NA,1980,51683,"w/o kids: fam. hh",0.290411498326442
NA,2000,51685,"w/o kids: fam. hh",0.330464186904396
NA,1990,51685,"w/o kids: fam. hh",0.346826126954922
NA,1980,51685,"w/o kids: fam. hh",0.281182795698925
NA,2000,54037,"w/o kids: fam. hh",0.38376908337969
NA,1990,54037,"w/o kids: fam. hh",0.374425667782883
NA,1980,54037,"w/o kids: fam. hh",0.383445945945946
NA,1970,54037,"w/o kids: fam. hh",NA
NA,2009,24009,"w/o kids: non-fam. hh",0.232023945651443
NA,2009,24017,"w/o kids: non-fam. hh",0.241449020849074
NA,2009,24021,"w/o kids: non-fam. hh",0.281910574107341
NA,2009,24031,"w/o kids: non-fam. hh",0.311204043022502
NA,2009,24033,"w/o kids: non-fam. hh",0.337084685688585
NA,2009,11001,"w/o kids: non-fam. hh",0.55906318925667
NA,2009,51013,"w/o kids: non-fam. hh",0.565208243358471
NA,2009,51043,"w/o kids: non-fam. hh",0.331693092764717
NA,2009,51047,"w/o kids: non-fam. hh",0.248101265822785
NA,2009,51059,"w/o kids: non-fam. hh",0.302860370574545
NA,2009,51061,"w/o kids: non-fam. hh",0.265139837040299
NA,2009,51107,"w/o kids: non-fam. hh",0.269840049215626
NA,2009,51153,"w/o kids: non-fam. hh",0.228625451489613
NA,2009,51157,"w/o kids: non-fam. hh",0.278933680104031
NA,2009,51177,"w/o kids: non-fam. hh",0.216048169083313
NA,2009,51179,"w/o kids: non-fam. hh",0.181544836647548
NA,2009,51187,"w/o kids: non-fam. hh",0.321161460624725
NA,2009,51510,"w/o kids: non-fam. hh",0.552624880687241
NA,2009,51600,"w/o kids: non-fam. hh",0.345310091307957
NA,2009,51610,"w/o kids: non-fam. hh",0.359806295399516
NA,2009,51630,"w/o kids: non-fam. hh",0.541165899135123
NA,2009,51683,"w/o kids: non-fam. hh",0.256806664948896
NA,2009,51685,"w/o kids: non-fam. hh",0.225832012678288
