"NAME","year","CBSA","hhts_type_name","hhts_share"
"Dallas-Fort Worth-Arlington, TX",1970,19100,"w/o kids: fam. hh",NA
"Dallas-Fort Worth-Arlington, TX",1980,19100,"w/o kids: fam. hh",0.338213416221905
"Dallas-Fort Worth-Arlington, TX",1990,19100,"w/o kids: fam. hh",0.331759333938513
"Dallas-Fort Worth-Arlington, TX",2000,19100,"w/o kids: fam. hh",0.3212387973083
"Dallas-Fort Worth-Arlington, TX",2009,19100,"w/o kids: fam. hh",0.292604623002029
"Dallas-Fort Worth-Arlington, TX",2013,19100,"w/o kids: fam. hh",0.303101050253436
"Dallas-Fort Worth-Arlington, TX",2017,19100,"w/o kids: fam. hh",0.313773589595362
"Houston-The Woodlands-Sugar Land, TX",1970,26420,"w/o kids: fam. hh",NA
"Houston-The Woodlands-Sugar Land, TX",1980,26420,"w/o kids: fam. hh",0.31629446150441
"Houston-The Woodlands-Sugar Land, TX",1990,26420,"w/o kids: fam. hh",0.320570226390292
"Houston-The Woodlands-Sugar Land, TX",2000,26420,"w/o kids: fam. hh",0.32426273612843
"Houston-The Woodlands-Sugar Land, TX",2009,26420,"w/o kids: fam. hh",0.298131848732078
"Houston-The Woodlands-Sugar Land, TX",2013,26420,"w/o kids: fam. hh",0.310172790374558
"Houston-The Woodlands-Sugar Land, TX",2017,26420,"w/o kids: fam. hh",0.317096921456214
"Los Angeles-Long Beach-Anaheim, CA",1970,31080,"w/o kids: fam. hh",NA
"Los Angeles-Long Beach-Anaheim, CA",1980,31080,"w/o kids: fam. hh",0.326057010943413
"Los Angeles-Long Beach-Anaheim, CA",1990,31080,"w/o kids: fam. hh",0.342135053641041
"Los Angeles-Long Beach-Anaheim, CA",2000,31080,"w/o kids: fam. hh",0.318344095532081
"Los Angeles-Long Beach-Anaheim, CA",2009,31080,"w/o kids: fam. hh",0.297858013465897
"Los Angeles-Long Beach-Anaheim, CA",2013,31080,"w/o kids: fam. hh",0.317796111829565
"Los Angeles-Long Beach-Anaheim, CA",2017,31080,"w/o kids: fam. hh",0.338906951432975
"Miami-Fort Lauderdale-West Palm Beach, FL",1970,33100,"w/o kids: fam. hh",NA
"Miami-Fort Lauderdale-West Palm Beach, FL",1980,33100,"w/o kids: fam. hh",0.448888929738938
"Miami-Fort Lauderdale-West Palm Beach, FL",1990,33100,"w/o kids: fam. hh",0.405469406291562
"Miami-Fort Lauderdale-West Palm Beach, FL",2000,33100,"w/o kids: fam. hh",0.360320174564376
"Miami-Fort Lauderdale-West Palm Beach, FL",2009,33100,"w/o kids: fam. hh",0.329594608263496
"Miami-Fort Lauderdale-West Palm Beach, FL",2013,33100,"w/o kids: fam. hh",0.335930777557923
"Miami-Fort Lauderdale-West Palm Beach, FL",2017,33100,"w/o kids: fam. hh",0.348745829539088
"New York-Newark-Jersey City, NY-NJ-PA",1970,35620,"w/o kids: fam. hh",NA
"New York-Newark-Jersey City, NY-NJ-PA",1980,35620,"w/o kids: fam. hh",0.358723133973317
"New York-Newark-Jersey City, NY-NJ-PA",1990,35620,"w/o kids: fam. hh",0.380194855720939
"New York-Newark-Jersey City, NY-NJ-PA",2000,35620,"w/o kids: fam. hh",0.348550998544602
"New York-Newark-Jersey City, NY-NJ-PA",2009,35620,"w/o kids: fam. hh",0.319678772304911
"New York-Newark-Jersey City, NY-NJ-PA",2013,35620,"w/o kids: fam. hh",0.328324361664782
"New York-Newark-Jersey City, NY-NJ-PA",2017,35620,"w/o kids: fam. hh",0.341439004066251
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1970,37980,"w/o kids: fam. hh",NA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1980,37980,"w/o kids: fam. hh",0.370081689251342
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1990,37980,"w/o kids: fam. hh",0.383393842184598
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2000,37980,"w/o kids: fam. hh",0.352100619176199
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2009,37980,"w/o kids: fam. hh",0.320719981484988
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,37980,"w/o kids: fam. hh",0.330457987874956
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017,37980,"w/o kids: fam. hh",0.340762761091667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1970,47900,"w/o kids: fam. hh",NA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1980,47900,"w/o kids: fam. hh",0.316067754244354
"Washington-Arlington-Alexandria, DC-VA-MD-WV",1990,47900,"w/o kids: fam. hh",0.346426400268576
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2000,47900,"w/o kids: fam. hh",0.325894596861728
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2009,47900,"w/o kids: fam. hh",0.30211909571561
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013,47900,"w/o kids: fam. hh",0.3124452195069
"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017,47900,"w/o kids: fam. hh",0.320130928824157
"Atlanta-Sandy Springs-Roswell, GA",1970,12060,"w/o kids: non-fam. hh",NA
"Atlanta-Sandy Springs-Roswell, GA",1980,12060,"w/o kids: non-fam. hh",0.253041583879787
"Atlanta-Sandy Springs-Roswell, GA",1990,12060,"w/o kids: non-fam. hh",0.286419244502126
"Atlanta-Sandy Springs-Roswell, GA",2000,12060,"w/o kids: non-fam. hh",0.300697624641287
"Atlanta-Sandy Springs-Roswell, GA",2009,12060,"w/o kids: non-fam. hh",0.319651943191348
"Atlanta-Sandy Springs-Roswell, GA",2013,12060,"w/o kids: non-fam. hh",0.316512835702899
"Atlanta-Sandy Springs-Roswell, GA",2017,12060,"w/o kids: non-fam. hh",0.321529093736216
"Boston-Cambridge-Newton, MA-NH",1970,14460,"w/o kids: non-fam. hh",NA
"Boston-Cambridge-Newton, MA-NH",1980,14460,"w/o kids: non-fam. hh",0.299403511418034
"Boston-Cambridge-Newton, MA-NH",1990,14460,"w/o kids: non-fam. hh",0.328970813532529
"Boston-Cambridge-Newton, MA-NH",2000,14460,"w/o kids: non-fam. hh",0.355179691433782
"Boston-Cambridge-Newton, MA-NH",2009,14460,"w/o kids: non-fam. hh",0.3639616803088
"Boston-Cambridge-Newton, MA-NH",2013,14460,"w/o kids: non-fam. hh",0.365109878530427
"Boston-Cambridge-Newton, MA-NH",2017,14460,"w/o kids: non-fam. hh",0.359232895967931
"Chicago-Naperville-Elgin, IL-IN-WI",1970,16980,"w/o kids: non-fam. hh",NA
"Chicago-Naperville-Elgin, IL-IN-WI",1980,16980,"w/o kids: non-fam. hh",0.27349040275166
"Chicago-Naperville-Elgin, IL-IN-WI",1990,16980,"w/o kids: non-fam. hh",0.296587686614074
"Chicago-Naperville-Elgin, IL-IN-WI",2000,16980,"w/o kids: non-fam. hh",0.314915382460671
"Chicago-Naperville-Elgin, IL-IN-WI",2009,16980,"w/o kids: non-fam. hh",0.331202713049287
"Chicago-Naperville-Elgin, IL-IN-WI",2013,16980,"w/o kids: non-fam. hh",0.335474604765728
"Chicago-Naperville-Elgin, IL-IN-WI",2017,16980,"w/o kids: non-fam. hh",0.343647111879655
"Dallas-Fort Worth-Arlington, TX",1970,19100,"w/o kids: non-fam. hh",NA
"Dallas-Fort Worth-Arlington, TX",1980,19100,"w/o kids: non-fam. hh",0.269394232397559
"Dallas-Fort Worth-Arlington, TX",1990,19100,"w/o kids: non-fam. hh",0.301893527932051
"Dallas-Fort Worth-Arlington, TX",2000,19100,"w/o kids: non-fam. hh",0.303002200251307
"Dallas-Fort Worth-Arlington, TX",2009,19100,"w/o kids: non-fam. hh",0.305743818775114
"Dallas-Fort Worth-Arlington, TX",2013,19100,"w/o kids: non-fam. hh",0.303374884081298
"Dallas-Fort Worth-Arlington, TX",2017,19100,"w/o kids: non-fam. hh",0.302107178164435
"Houston-The Woodlands-Sugar Land, TX",1970,26420,"w/o kids: non-fam. hh",NA
"Houston-The Woodlands-Sugar Land, TX",1980,26420,"w/o kids: non-fam. hh",0.270533965426803
