"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22611","Jefferson","County",54,"037",742,2553,0.29,0.94,695,2858,209.635,210681929.059386,5715.69314846251,2.71294893395978e-05,"1"
"22624","Clarke","County",51,"043",181,727,0.25,1,181,908,176.177,50060032.280033,21822.2779965512,0.000435922171893111,"1"
"22624","Jefferson","County",54,"037",181,727,0.25,1,181,908,209.635,50060032.280033,5.03465601204602e-06,1.0057236846917e-13,"1"
"25404","Jefferson","County",54,"037",2938,4987,0.59,0.92,2694,6710,209.635,103677620.314523,46203.5048529096,0.00044564588493393,"1"
"25405","Jefferson","County",54,"037",1956,1796,1.09,0.99,1929,3631,209.635,53981677.5515075,12430.0976975262,0.000230265124414962,"1"
"25413","Jefferson","County",54,"037",1056,1473,0.72,0.98,1037,2404,209.635,57846091.4409513,23764.842533797,0.000410828838073803,"1"
"25414","Jefferson","County",54,"037",2336,4178,0.56,0.97,2260,5796,209.635,143332021.140215,143332021.140215,1,"1"
"25414","Clarke","County",51,"043",2336,4178,0.56,0.97,2260,5796,176.177,143332021.140215,3549.15002822876,2.47617385144998e-05,"1"
"25425","Jefferson","County",54,"037",1000,3706,0.27,1,1000,4504,209.635,107294328.370403,107288413.70982,0.999944874433969,"1"
"25425","Clarke","County",51,"043",1000,3706,0.27,1,1000,4504,176.177,107294328.370403,9.73518189870473e-06,9.07334250240776e-14,"1"
"25425","Loudoun","County",51,"107",1000,3706,0.27,1,1000,4504,515.561,107294328.370403,0.3870409748176,3.60728270259963e-09,"1"
"25428","Jefferson","County",54,"037",1816,1879,0.97,0.99,1792,3611,209.635,59620165.5039498,58769.9931958541,0.000985740188727934,"1"
"25430","Jefferson","County",54,"037",717,1748,0.41,0.89,641,2331,209.635,123989023.234305,113416735.340729,0.914732065647477,"0.91"
"25430","Clarke","County",51,"043",717,1748,0.41,0.89,641,2331,176.177,123989023.234305,0,0,"0.91"
"25432","Jefferson","County",54,"037",0,68,0,0,0,61,209.635,2131592.98817945,2131592.98817945,1,"0"
"25438","Jefferson","County",54,"037",812,1561,0.52,0.91,739,2006,209.635,23029450.2275515,23029450.2275515,1,"0.91"
"25442","Jefferson","County",54,"037",107,460,0.23,1,107,567,209.635,36776801.250161,36776801.250161,1,"1"
"25443","Jefferson","County",54,"037",598,1948,0.31,1,598,2201,209.635,71238901.1376259,68366756.4131906,0.959682916516544,"1"
"25446","Jefferson","County",54,"037",95,360,0.26,1,95,455,209.635,39894590.8104714,39894590.8104714,1,"1"
