"ZCTA","STATE","COUNTY","NAME","LSAD","new_constructions","existing_constructions","total_single_family_households_since_2000","total_single_family_households","new_existing_constructions_ratio","share_single_family_new_constructions","area_type","brks","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","AFFGEOID10","GEOID10","ALAND10","AWATER10"
"20520",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,63582.8373936415,63582.8373936415,1,"8600000US20520","20520",83730,0
"20535",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,12813.4853732369,12813.4853732369,1,"8600000US20535","20535",12919,0
"20540",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,86576.0746538416,86576.0746538416,1,"8600000US20540","20540",86892,0
"20551",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,23602.5713121336,23602.5713121336,1,"8600000US20551","20551",23513,0
"20553",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,25061.2149235029,25061.2149235029,1,"8600000US20553","20553",25135,0
"20560",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,53771.6301282649,53771.6301282649,1,"8600000US20560","20560",53607,0
"20565",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,163761.117334132,163761.117334132,1,"8600000US20565","20565",173126,0
"20566",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,97943.9833134077,97943.9833134077,1,"8600000US20566","20566",105615,0
"20593",11,"001","District of Columbia",NA,0,0,0,0,-1,-1,"Urban","-1",61.048,73438.7771688933,73438.7771688933,1,"8600000US20593","20593",77132,0
"20607",24,"033","Prince George's","County",1251,2250,1251,3497,0.56,1,"Suburban","1",482.691,54891070.6801748,53001131.6587669,0.96556928116014,"8600000US20607","20607",54381508,442401
"20608",24,"033","Prince George's","County",24,229,24,253,0.1,1,"Suburban","1",482.691,50903057.1472981,50846665.6609534,0.998892178790333,"8600000US20608","20608",45581671,5330325
"20613",24,"033","Prince George's","County",1967,2553,1967,4481,0.77,1,"Suburban","1",482.691,199585354.825032,184139041.535729,0.922607982420134,"8600000US20613","20613",195760331,3774286
"20623",24,"033","Prince George's","County",159,749,159,908,0.21,1,"Suburban","1",482.691,5034275.22545433,5034275.22545433,1,"8600000US20623","20623",4987632,19273
"20705",24,"033","Prince George's","County",1093,7573,850,5793,0.14,0.78,"Suburban","0.83",482.691,41345615.7018464,40884107.8489031,0.988837804320746,"8600000US20705","20705",41082421,261095
