estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2005-2009,B01001_26_female,310911,44660,72090,113514,488936,433234,102429,7290,22183,510705,33122,139354,180338,3665,60033,59986,18401,73614,12086,5843,12316,17538,5809,25455
2005-2009,B01001_27_under_5_years,17472,2609,4707,7584,33352,29979,6222,349,1591,36645,1945,12702,16081,166,4234,4193,1208,5884,770,306,949,1612,616,1740
2005-2009,B01001_28_5_to_9_years,14153,3068,4994,7665,31415,27556,3963,508,1581,32100,1972,12238,14237,157,4627,5070,1159,3155,655,296,492,1253,611,1586
2005-2009,B01001_29_10_to_14_years,14747,3639,5631,8278,30186,28707,3809,489,1574,34393,2801,10067,14262,255,4642,5307,1201,2435,607,369,483,1324,422,1645
2005-2009,B01001_30_15_to_17_years,9677,2293,3653,5032,19472,17986,2082,273,1019,20490,1447,5484,8137,105,3011,3362,772,1126,450,303,282,838,202,950
2005-2009,B01001_31_18_and_19_years,12597,1056,1839,3225,10580,13570,1671,98,475,11968,894,2505,4145,38,1496,1527,480,732,140,210,1333,380,114,728
2005-2009,B01001_32_20_years,4968,487,795,1665,4293,6129,787,67,198,5011,367,1213,1812,6,718,698,250,504,219,71,625,106,94,241
2005-2009,B01001_33_21_years,4117,571,747,1527,4916,6057,983,109,228,5702,262,1120,2053,160,604,663,331,725,140,27,443,172,24,601
2005-2009,B01001_34_22_to_24_years,16353,1382,2669,3409,18463,15987,6200,239,789,20166,1020,4070,7335,93,2171,2373,533,3111,694,307,411,931,187,614
2005-2009,B01001_35_25_to_29_years,29409,2135,4159,6153,28050,30953,16140,346,1344,31633,1534,8845,12047,168,3682,3218,1081,9179,854,303,1256,1182,460,1542
2005-2009,B01001_36_30_to_34_years,25943,2236,4556,6722,31256,30370,12459,302,1530,33833,1768,12231,13393,129,3936,3661,1175,8752,563,254,757,1221,432,1703
2005-2009,B01001_37_35_to_39_years,23497,3264,6283,8529,36526,32374,8232,512,1730,39248,2099,14092,15662,219,4687,5192,1162,7258,743,152,480,1347,435,2074
2005-2009,B01001_38_40_to_44_years,19760,4494,6851,10449,38395,35863,7179,614,1764,42785,3254,14464,15930,299,5384,5766,1645,4947,1044,592,626,1350,649,2033
2005-2009,B01001_39_45_to_49_years,20347,4216,6241,9825,40890,34885,6183,598,1716,44257,3034,11563,14837,314,4934,5432,1639,4559,972,503,542,1441,431,2113
2005-2009,B01001_40_50_to_54_years,20180,3577,4932,8383,37846,31479,6017,589,1475,40857,2664,8580,12022,302,4129,4212,1219,4459,856,576,546,1092,290,1870
2005-2009,B01001_41_55_to_59_years,19787,2739,4345,6529,32108,28306,5955,507,1344,35481,2114,6495,9238,379,3427,3144,1217,4217,872,421,439,1027,234,1831
2005-2009,B01001_42_60_and_61_years,6910,878,1360,2242,11479,9605,1798,272,426,11980,923,2030,3259,63,1001,977,338,1625,206,144,311,169,88,532
2005-2009,B01001_43_62_to_64_years,8766,1171,1689,3214,13349,10105,2329,289,639,13465,1027,2541,3548,197,1491,1138,513,1978,369,141,151,428,85,635
2005-2009,B01001_44_65_and_66_years,4705,795,878,1535,8155,6533,1064,74,442,7253,562,1263,2073,79,864,560,412,1239,107,77,213,189,19,456
2005-2009,B01001_45_67_to_69_years,6574,680,1111,1965,9598,7837,1730,243,533,8505,698,1477,2352,77,847,782,244,1189,359,52,314,291,106,570
2005-2009,B01001_46_70_to_74_years,9270,977,1651,2935,13463,10898,1934,275,458,11035,947,2268,2869,195,1512,936,639,1679,370,202,359,409,152,653
2005-2009,B01001_47_75_to_79_years,7445,812,1221,2437,12583,7705,1779,288,572,9401,645,1427,2331,147,1106,882,442,1611,321,188,543,178,99,583
2005-2009,B01001_48_80_to_84_years,6987,855,895,1844,10495,5794,1546,153,340,7491,536,1343,1406,37,518,448,288,1627,437,152,280,449,17,357
2005-2009,B01001_49_85_years_and_over,7247,726,883,2367,12066,4556,2367,96,415,7006,609,1336,1309,80,1012,445,453,1623,338,197,481,149,42,398
2005-2009,B02001_1_total,588433,88055,140181,224185,946172,834986,206405,14359,44923,1012751,66330,277465,360910,7171,118512,120436,36087,142131,23369,11233,22314,35559,11633,50791
2005-2009,B02001_2_white_alone,210983,72067,78576,186928,569819,194919,147230,12979,34509,675361,57060,202994,219690,6486,91688,88161,33005,91633,16933,8888,15596,23322,7316,45371
2005-2009,B02001_3_black_or_african_american_alone,324631,12431,52225,18148,154422,533021,16725,861,7274,93552,5547,21654,69860,405,17881,19970,1824,31039,1244,572,4691,4046,1288,3488
2005-2009,B02001_4_american_indian_and_alaska_native_alone,1573,144,1008,772,2620,2494,571,46,73,3722,171,334,1701,41,298,508,108,679,106,15,108,75,50,88
2005-2009,B02001_5_asian_alone,17439,1225,3723,7868,124997,32470,17365,79,619,162393,1174,33943,25012,20,2574,3139,322,7390,3553,1122,458,1459,739,454
2005-2009,B02001_6_native_hawaiian_and_other_pacific_islander_alone,426,0,43,381,240,523,135,0,0,1112,48,205,423,0,169,104,54,210,54,0,34,0,0,22
2005-2009,B02001_7_some_other_race_alone,23935,579,1145,5475,70406,52567,17580,231,1407,48389,852,10759,33173,82,3074,4738,287,7111,741,351,1228,5166,1940,650
2005-2009,B02001_8_two_or_more_races,9446,1609,3461,4613,23668,18992,6799,163,1041,28222,1478,7576,11051,137,2828,3816,487,4069,738,285,199,1491,300,718
2005-2009,B02001_9_two_races_including_some_other_race,1308,48,255,476,4451,2497,2201,0,179,6692,221,1168,2525,13,310,779,23,685,178,183,0,661,107,57
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",8138,1561,3206,4137,19217,16495,4598,163,862,21530,1257,6408,8526,124,2518,3037,464,3384,560,102,199,830,193,661
2005-2009,B11001_1_total,250723,29734,48971,81274,344099,297937,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491
2005-2009,B11001_2_family_households,110035,22726,36927,58207,236519,196499,39202,3667,12422,256133,16648,66309,95134,2208,31761,32293,9202,28063,5521,2630,4050,8631,2912,13695
2005-2009,B11001_3_married-couple_family,56144,18338,26960,47472,187418,121577,30869,3080,10110,210991,14020,57459,73777,1804,24780,26177,7284,20917,4336,2139,2620,6478,2172,10986
2005-2009,B11001_4_other_family,53891,4388,9967,10735,49101,74922,8333,587,2312,45142,2628,8850,21357,404,6981,6116,1918,7146,1185,491,1430,2153,740,2709
2005-2009,"B11001_5_male_householder,_no_wife_present",9377,1135,2348,2859,12824,18223,2857,287,796,13413,910,2520,6216,150,1934,1872,475,2147,494,100,307,698,226,953
2005-2009,"B11001_6_female_householder,_no_husband_present",44514,3253,7619,7876,36277,56699,5476,300,1516,31729,1718,6330,15141,254,5047,4244,1443,4999,691,391,1123,1455,514,1756
2005-2009,B11001_7_nonfamily_households,140688,7008,12044,23067,107580,101438,51101,1820,4168,112106,6057,24719,28623,868,8929,7284,4436,34797,2912,1500,4853,3012,874,5796
2005-2009,B11001_8_householder_living_alone,117435,5622,10117,18107,87724,83048,39015,1420,3345,90592,4917,20703,22173,632,7000,6049,3392,29207,2258,1321,4021,2439,663,4376
2005-2009,B11001_9_householder_not_living_alone,23253,1386,1927,4960,19856,18390,12086,400,823,21514,1140,4016,6450,236,1929,1235,1044,5590,654,179,832,573,211,1420
2005-2009,B15002_1_total,404543,57096,89523,145998,632856,537521,152530,10114,29617,671278,43743,176541,221308,5136,74212,72382,24216,106323,16043,7290,13287,22012,7157,34254
2005-2009,B15002_2_male,187716,27541,42468,70869,296597,250258,75818,4956,14889,327048,21329,86586,109032,2451,35682,35589,11749,50381,7632,3336,5989,11090,3618,16904
2005-2009,B15002_3_no_schooling_completed,2310,110,83,331,3057,3110,989,16,177,2984,118,762,741,0,212,234,58,491,59,0,44,137,99,173
2005-2009,B15002_4_nursery_to_4th_grade,2212,79,245,113,2683,3918,849,10,186,1819,183,379,977,49,94,81,72,586,0,0,76,287,75,32
2005-2009,B15002_5_5th_and_6th_grade,2868,113,381,627,5338,7301,987,106,324,4318,142,759,2811,34,394,336,121,950,44,41,45,574,194,89
2005-2009,B15002_6_7th_and_8th_grade,3822,420,768,1123,2823,4068,755,270,605,3326,341,441,1967,217,856,280,426,734,49,10,90,426,147,416
2005-2009,B15002_7_9th_grade,3948,365,386,785,3623,5423,722,183,571,3210,299,609,1856,107,540,463,197,524,19,0,170,183,127,539
2005-2009,B15002_8_10th_grade,3899,614,721,1596,2554,4337,633,117,440,3066,520,829,1898,91,976,844,475,447,17,21,174,274,73,620
2005-2009,B15002_9_11th_grade,4656,709,949,1083,2364,6270,428,164,525,2594,231,699,1460,66,937,701,437,589,68,17,170,304,105,605
2005-2009,"B15002_10_12th_grade,_no_diploma",3737,230,785,968,3962,5748,1359,94,382,4124,471,840,1420,117,575,648,240,529,118,53,127,233,43,454
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",37798,9580,13807,20507,39359,72836,7246,1524,5004,41598,6473,12020,23520,586,10685,8722,4410,6892,1227,295,1801,2630,1121,5126
2005-2009,"B15002_12_some_college,_less_than_1_year",6088,2195,3046,4468,10785,13302,1639,368,1018,10315,1709,3505,5857,143,2293,2044,868,1981,409,58,346,616,131,805
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",19071,3665,6841,9173,31247,36304,4889,555,1596,32611,3152,9731,16154,180,4532,4657,1122,5076,1049,152,878,1715,385,1857
2005-2009,B15002_14_associate's_degree,5338,1537,3505,4593,13571,14200,2253,253,985,14512,1408,4945,7207,45,2211,2878,601,1852,463,106,273,639,355,1099
2005-2009,B15002_15_bachelor's_degree,40691,4676,6901,15555,78092,42970,24651,724,2069,96040,3527,30496,24773,390,6831,7405,1593,14654,2005,1013,1000,2024,428,3023
2005-2009,B15002_16_master's_degree,27049,2370,3226,6809,49346,20695,17442,364,746,72592,1743,15819,14678,230,3301,4986,805,9551,1414,972,620,784,289,1333
2005-2009,B15002_17_professional_school_degree,16086,433,505,1295,24437,4585,7555,130,170,19367,724,2696,2061,82,738,810,240,3872,392,316,138,142,20,395
2005-2009,B15002_18_doctorate_degree,8143,445,319,1843,23356,5191,3421,78,91,14572,288,2056,1652,114,507,500,84,1653,299,282,37,122,26,338
2005-2009,B15002_19_female,216827,29555,47055,75129,336259,287263,76712,5158,14728,344230,22414,89955,112276,2685,38530,36793,12467,55942,8411,3954,7298,10922,3539,17350
2005-2009,B15002_20_no_schooling_completed,2275,67,157,561,3640,3187,1262,39,101,3760,98,565,818,0,271,162,103,440,20,121,0,85,0,103
2005-2009,B15002_21_nursery_to_4th_grade,1814,43,214,88,3324,2377,652,0,32,2332,62,417,516,13,150,63,75,658,85,10,45,152,54,26
2005-2009,B15002_22_5th_and_6th_grade,3026,136,329,419,4957,5103,1019,69,276,4403,111,734,1935,15,178,203,163,821,126,9,39,509,188,118
2005-2009,B15002_23_7th_and_8th_grade,4155,426,521,1192,3582,3997,667,233,504,4296,677,739,1786,153,521,315,513,841,71,9,213,323,109,293
2005-2009,B15002_24_9th_grade,3896,173,502,537,2955,3995,404,40,202,2840,302,653,1488,11,433,357,343,284,81,13,135,308,125,481
2005-2009,B15002_25_10th_grade,4584,429,781,1311,3111,4540,404,92,490,3052,451,670,1979,100,744,465,430,473,68,53,153,158,139,729
2005-2009,B15002_26_11th_grade,6999,566,1140,1196,2849,5880,513,64,334,2507,375,659,1503,98,1048,550,423,750,75,0,261,151,92,408
2005-2009,"B15002_27_12th_grade,_no_diploma",4463,426,769,1109,5721,5344,986,115,171,4635,415,1039,1919,22,536,572,160,765,184,31,162,234,61,245
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",46036,10102,14907,20573,53910,77340,8149,1566,5363,51294,6807,14275,25733,763,11250,10352,4350,7375,1627,488,2328,2810,965,5959
2005-2009,"B15002_29_some_college,_less_than_1_year",9212,2847,4893,5691,14280,19878,2465,354,1179,14231,1856,4453,7533,182,3508,2600,981,2232,400,135,285,868,192,1140
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",23857,3693,7529,10426,36870,48668,5082,744,2057,39403,3019,10772,17793,253,5713,5808,1674,5927,1185,472,906,1526,319,2006
2005-2009,B15002_31_associate's_degree,7771,2300,3488,6632,20990,19548,3187,369,818,21703,1823,6345,8911,119,3064,3324,725,2337,439,132,377,769,284,1109
2005-2009,B15002_32_bachelor's_degree,43304,5218,7750,15995,92207,52502,26599,997,2230,111363,4297,32154,26458,696,7706,8206,1684,18201,2468,1247,1499,2064,611,2792
2005-2009,B15002_33_master's_degree,34887,2542,3488,7429,59857,27467,18149,375,782,60599,1680,13655,11837,201,2877,3102,646,10290,1098,988,736,761,347,1490
2005-2009,B15002_34_professional_school_degree,13611,479,450,969,16172,4434,5157,58,189,11635,310,2087,1503,11,430,444,145,3414,293,157,70,174,31,214
2005-2009,B15002_35_doctorate_degree,6937,108,137,1001,11834,3003,2017,43,0,6177,131,738,564,48,101,270,52,1134,191,89,89,30,22,237
2005-2009,B19001_1_total,250723,29734,48971,81274,344099,297937,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491
2005-2009,"B19001_2_less_than_$10,000",27704,808,1519,2367,10266,11170,3848,221,797,9165,772,1708,2758,74,1461,688,764,2554,163,99,713,407,72,901
2005-2009,"B19001_3_$10,000_to_$14,999",12177,888,1144,1981,6456,7558,1859,198,750,5312,651,951,1875,180,1156,729,986,1876,195,99,511,387,68,676
2005-2009,"B19001_4_$15,000_to_$19,999",11060,405,1088,1870,7667,7223,1576,185,679,6292,476,841,2098,162,891,700,408,1382,112,43,626,238,82,775
2005-2009,"B19001_5_$20,000_to_$24,999",10214,737,1191,2151,7049,8997,1794,242,779,6480,624,1369,3008,87,1388,622,645,1647,141,66,663,209,61,584
2005-2009,"B19001_6_$25,000_to_$29,999",10382,869,1302,2793,9307,10749,2205,192,636,6945,477,1471,2553,195,1251,967,562,1761,148,143,724,462,83,953
2005-2009,"B19001_7_$30,000_to_$34,999",11370,993,1384,2654,10069,11592,2110,169,661,8270,825,1664,3632,137,986,991,503,1971,143,57,469,478,139,1018
2005-2009,"B19001_8_$35,000_to_$39,999",9840,834,1401,2761,10243,12348,2233,203,906,8902,813,1741,3634,146,1541,1152,719,1881,181,114,477,569,220,969
2005-2009,"B19001_9_$40,000_to_$44,999",11457,697,1377,3493,12232,14057,2339,175,740,10795,813,2353,4425,231,1583,1516,770,2512,407,146,411,300,158,821
2005-2009,"B19001_10_$45,000_to_$49,999",8750,708,1704,3009,11759,12518,2457,318,519,10092,774,2232,4264,162,1558,1284,471,2465,182,149,443,594,266,937
2005-2009,"B19001_11_$50,000_to_$59,999",17726,2157,3336,5764,23086,27165,6424,404,1291,21277,1350,4515,9044,194,3148,2900,1042,5224,533,163,514,904,418,1441
2005-2009,"B19001_12_$60,000_to_$74,999",21462,3039,5221,8234,30814,34805,7930,637,2029,31971,2365,7662,13053,316,4768,4084,1222,6467,759,368,916,1517,585,2447
2005-2009,"B19001_13_$75,000_to_$99,999",26606,4639,8084,13544,46750,46929,13589,861,2644,50189,3595,12708,20401,376,7410,6607,2390,8587,1494,367,907,1617,479,2966
2005-2009,"B19001_14_$100,000_to_$124,999",17917,4085,7203,10900,39406,34619,10679,601,1653,45700,3103,12478,15480,233,4711,5420,1354,7548,1298,464,617,1663,393,1969
2005-2009,"B19001_15_$125,000_to_$149,999",13789,3146,4662,7743,29466,21881,7992,376,967,36192,1784,10737,11368,166,3899,4551,693,4806,759,494,348,826,292,886
2005-2009,"B19001_16_$150,000_to_$199,999",16712,3413,5423,7122,39167,23435,10313,459,1113,49137,2095,14390,15207,272,3191,4499,727,5281,992,609,255,835,336,1260
2005-2009,"B19001_17_$200,000_or_more",23557,2316,2932,4888,50362,12891,12955,246,426,61520,2188,14208,10957,145,1748,2867,382,6898,926,749,309,637,134,888
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),56519,90621,86141,80970,92213,70753,93806,68768,64359,104259,82872,112021,88850,58500,77225,90586,59630,80186,96232,113313,43154,72150,69087,63612
2005-2009,B25001_1_total,283590,32317,52282,85781,361760,319039,100724,6204,18266,391103,25555,100433,132612,3722,44121,42255,15294,69973,8622,4710,9732,12910,4309,21677
2005-2009,B25003_1_total,250723,29734,48971,81274,344099,297937,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491
2005-2009,B25003_2_owner_occupied,113066,25270,40124,62627,240950,193824,43550,4165,12120,266520,18066,74708,92508,2160,32856,31453,10291,29340,6221,2958,3535,8003,2928,14860
2005-2009,B25003_3_renter_occupied,137657,4464,8847,18647,103149,104113,46753,1322,4470,101719,4639,16320,31249,916,7834,8124,3347,33520,2212,1172,5368,3640,858,4631
2005-2009,B25024_1_total,283590,32317,52282,85781,361760,319039,100724,6204,18266,391103,25555,100433,132612,3722,44121,42255,15294,69973,8622,4710,9732,12910,4309,21677
2005-2009,"B25024_2_1,_detached",36961,28514,37238,53984,180771,163083,29701,5367,13979,194240,22124,54862,75746,3511,34965,31678,11805,11011,4920,2230,4240,5713,2617,16365
2005-2009,"B25024_3_1,_attached",75004,1448,8843,16875,65132,50154,10314,253,1420,89262,1496,29294,33243,91,3844,5172,927,15043,1544,897,917,3885,1013,968
2005-2009,B25024_4_2,8460,304,409,1379,1693,2020,980,70,328,1344,142,265,787,8,213,165,183,951,21,48,352,150,8,503
2005-2009,B25024_5_3_or_4,21726,79,945,1540,4912,5461,3568,187,282,4700,257,897,1447,12,167,247,461,2097,94,56,176,278,31,567
2005-2009,B25024_6_5_to_9,18478,209,1559,2739,18340,24430,6510,95,404,17889,131,2754,3844,0,458,586,538,6567,350,107,836,872,72,515
2005-2009,B25024_7_10_to_19,31445,548,780,6084,34918,48788,8004,64,928,40774,652,6832,12461,0,1056,1987,619,9163,1186,138,1678,1195,120,596
2005-2009,B25024_8_20_to_49,23512,226,775,1107,10879,6433,4131,40,139,11563,185,2410,1399,0,330,874,148,3805,100,29,688,137,212,152
2005-2009,B25024_9_50_or_more,67615,474,597,1255,44669,17086,37215,93,54,28643,266,2756,2139,0,593,183,43,21080,356,1205,773,380,230,119
2005-2009,B25024_10_mobile_home,72,515,1128,799,414,1498,301,19,732,2616,302,363,1546,100,2495,1363,570,256,51,0,72,300,6,1892
2005-2009,"B25024_11_boat,_rv,_van,_etc.",317,0,8,19,32,86,0,16,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-2009,B25077_1_median_value_(dollars),440500,391400,352000,355600,487500,326700,565100,349600,319500,520500,394800,508300,393300,393800,311600,364900,255900,489300,493800,655600,324200,344400,326600,259400
2005-2009,B25034_1_total,283590,32317,52282,85781,361760,319039,100724,6204,18266,391103,25555,100433,132612,3722,44121,42255,15294,69973,8622,4710,9732,12910,4309,21677
2005-2009,B25034_2_built_2005_or_later,5211,782,1975,2866,7015,6436,2423,97,1327,8591,697,9324,9612,34,2078,2258,571,1536,186,119,471,135,259,691
2005-2009,B25034_3_built_2000_to_2004,9186,4171,6696,11039,27535,19555,7868,500,3105,29801,1977,28263,25734,171,8242,8729,1678,4653,529,275,697,975,807,2932
2005-2009,B25034_4_built_1990_to_1999,6762,9574,11531,18646,45224,43227,9045,718,3237,63186,4763,30800,25035,443,13999,11949,3015,7722,762,249,864,2490,1036,3717
2005-2009,B25034_5_built_1980_to_1989,11791,6671,11629,14869,76678,44072,12370,989,2973,93147,6576,14033,28138,657,9717,8452,2174,6689,557,267,1123,4287,301,3849
2005-2009,B25034_6_built_1970_to_1979,23456,5107,9467,13541,62625,52400,11008,1196,2510,86857,4354,8148,23049,705,6011,5632,2515,13284,1512,714,1822,2149,305,3753
2005-2009,B25034_7_built_1960_to_1969,37408,2157,4485,6360,56374,71527,13773,573,1419,55681,1747,4153,12991,335,1632,2279,1400,11876,2276,798,1718,1457,431,2144
2005-2009,B25034_8_built_1950_to_1959,45520,1213,2745,5292,48406,46880,17857,518,1214,38215,1634,1348,4920,184,947,1265,1100,9447,2177,839,1071,767,1103,1061
2005-2009,B25034_9_built_1940_to_1949,42433,1029,1432,2232,20146,19527,17436,212,771,9857,712,698,1457,169,674,661,1104,8251,328,942,501,171,43,659
2005-2009,B25034_10_built_1939_or_earlier,101823,1613,2322,10936,17757,15415,8944,1401,1710,5768,3095,3666,1676,1024,821,1030,1737,6515,295,507,1465,479,24,2871
2005-2009,B11003_1_total,110035,22726,36927,58207,236519,196499,39202,3667,12422,256133,16648,66309,95134,2208,31761,32293,9202,28063,5521,2630,4050,8631,2912,13695
2005-2009,B11003_2_married-couple_family,56144,18338,26960,47472,187418,121577,30869,3080,10110,210991,14020,57459,73777,1804,24780,26177,7284,20917,4336,2139,2620,6478,2172,10986
