FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median value (dollars)
ACSSF,2009e5,wv,000,0100,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",135900
ACSSF,2009e5,wv,000,0100,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",115800
ACSSF,2009e5,wv,000,0100,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",135200
ACSSF,2009e5,wv,000,0100,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",84200
ACSSF,2009e5,wv,000,0100,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",67700
ACSSF,2009e5,wv,000,0100,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",92600
ACSSF,2009e5,wv,000,0100,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",87700
ACSSF,2009e5,wv,000,0100,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",93400
ACSSF,2009e5,wv,000,0100,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",92500
ACSSF,2009e5,wv,000,0100,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",85600
ACSSF,2009e5,wv,000,0100,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",113400
ACSSF,2009e5,wv,000,0100,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",195700
ACSSF,2009e5,wv,000,0100,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",246300
ACSSF,2009e5,wv,000,0100,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",274200
ACSSF,2009e5,wv,000,0100,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",199700
ACSSF,2009e5,wv,000,0100,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",382900
ACSSF,2009e5,wv,000,0100,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",80500
ACSSF,2009e5,wv,000,0100,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",116300
ACSSF,2009e5,wv,000,0100,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",97100
ACSSF,2009e5,wv,000,0100,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",94900
ACSSF,2009e5,wv,000,0100,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",83900
ACSSF,2009e5,wv,000,0100,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",83100
ACSSF,2009e5,wv,000,0100,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",93900
ACSSF,2009e5,wv,000,0100,0000153,060,54,043,06000US5404390384,"Carroll district, Lincoln County, West Virginia",63900
ACSSF,2009e5,wv,000,0100,0000154,060,54,043,06000US5404390960,"Duval district, Lincoln County, West Virginia",68000
ACSSF,2009e5,wv,000,0100,0000155,060,54,043,06000US5404391572,"Harts Creek district, Lincoln County, West Virginia",65200
ACSSF,2009e5,wv,000,0100,0000156,060,54,043,06000US5404391704,"Jefferson district, Lincoln County, West Virginia",60400
ACSSF,2009e5,wv,000,0100,0000157,060,54,043,06000US5404391812,"Laurel Hill district, Lincoln County, West Virginia",75300
ACSSF,2009e5,wv,000,0100,0000158,060,54,043,06000US5404392784,"Sheridan district, Lincoln County, West Virginia",57000
ACSSF,2009e5,wv,000,0100,0000159,060,54,043,06000US5404393240,"Union district, Lincoln County, West Virginia",68600
ACSSF,2009e5,wv,000,0100,0000160,060,54,043,06000US5404393516,"Washington district, Lincoln County, West Virginia",73400
ACSSF,2009e5,wv,000,0100,0000161,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",76700
ACSSF,2009e5,wv,000,0100,0000162,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",79100
ACSSF,2009e5,wv,000,0100,0000163,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",68600
ACSSF,2009e5,wv,000,0100,0000164,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",32400
ACSSF,2009e5,wv,000,0100,0000165,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",36600
ACSSF,2009e5,wv,000,0100,0000166,060,54,047,06000US5404792345,"North Elkin district, McDowell County, West Virginia",26900
ACSSF,2009e5,wv,000,0100,0000167,060,54,047,06000US5404792712,"Sandy River district, McDowell County, West Virginia",26700
ACSSF,2009e5,wv,000,0100,0000168,060,54,049,06000US5404992154,"Middletown district, Marion County, West Virginia",84300
ACSSF,2009e5,wv,000,0100,0000169,060,54,049,06000US5404992418,"Palatine district, Marion County, West Virginia",106800
ACSSF,2009e5,wv,000,0100,0000170,060,54,049,06000US5404993594,"West Augusta district, Marion County, West Virginia",70300
ACSSF,2009e5,wv,000,0100,0000171,060,54,051,06000US5405190780,"District 1, Marshall County, West Virginia",77400
