FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied,Renter occupied
ACSSF,2009e5,wv,000,0096,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",591,336,255
ACSSF,2009e5,wv,000,0096,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",559,382,177
ACSSF,2009e5,wv,000,0096,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",679,554,125
ACSSF,2009e5,wv,000,0096,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",730,641,89
ACSSF,2009e5,wv,000,0096,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1404,1050,354
ACSSF,2009e5,wv,000,0096,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1200,801,399
ACSSF,2009e5,wv,000,0096,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1230,1110,120
ACSSF,2009e5,wv,000,0096,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",865,739,126
ACSSF,2009e5,wv,000,0096,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",562,465,97
ACSSF,2009e5,wv,000,0096,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",596,553,43
ACSSF,2009e5,wv,000,0096,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",816,623,193
ACSSF,2009e5,wv,000,0096,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",6346,5101,1245
ACSSF,2009e5,wv,000,0096,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",6992,4890,2102
ACSSF,2009e5,wv,000,0096,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",5549,4368,1181
ACSSF,2009e5,wv,000,0096,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",624,488,136
ACSSF,2009e5,wv,000,0096,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",543,222,321
