FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Owner occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Renter occupied:,Built 2000 or later:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1980 to 1999:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1960 to 1979:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1940 to 1959:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc.",Built 1939 or earlier:,"1, detached  or attached",2 to 4,5 to 19,20 to 49,50 or more,"Mobile home, boat, RV, van, etc."
ACSSF,2011e5,wv,000,0107,0000028,050,54,031,05000US54031,"Hardy County, West Virginia",4829,3681,321,247,0,26,0,0,48,1828,1315,0,0,0,0,513,948,742,0,0,0,0,206,250,250,0,0,0,0,0,334,328,0,6,0,0,0,1148,76,10,39,19,0,0,8,363,45,39,48,0,0,231,366,139,9,81,0,0,137,141,115,5,0,21,0,0,202,148,34,3,0,0,17
ACSSF,2011e5,wv,000,0107,0000029,050,54,033,05000US54033,"Harrison County, West Virginia",27696,20324,1438,1065,0,63,0,0,310,4465,3402,27,0,0,0,1036,4758,4264,8,0,0,0,486,4623,4527,32,0,0,0,64,5040,4975,51,10,0,0,4,7372,438,167,67,163,0,8,33,1829,425,224,422,178,290,290,1666,583,374,251,47,111,300,1937,1492,311,46,24,60,4,1502,1119,304,66,13,0,0
ACSSF,2011e5,wv,000,0107,0000030,050,54,035,05000US54035,"Jackson County, West Virginia",11483,9135,1232,837,0,0,0,0,395,2621,1922,0,0,0,0,699,3084,2597,0,0,0,0,487,1192,1192,0,0,0,0,0,1006,991,15,0,0,0,0,2348,304,0,28,124,0,20,132,676,110,90,91,10,24,351,796,405,66,115,0,77,133,263,206,57,0,0,0,0,309,207,74,14,0,14,0
ACSSF,2011e5,wv,000,0107,0000031,050,54,037,05000US54037,"Jefferson County, West Virginia",19415,14982,3585,3402,0,0,0,0,183,5545,5054,35,3,0,0,453,3545,3073,48,0,0,0,424,978,963,0,0,0,0,15,1329,1323,6,0,0,0,0,4433,533,330,7,93,24,0,79,1574,588,232,391,54,91,218,1375,678,168,274,64,63,128,447,295,79,58,0,0,15,504,292,95,108,9,0,0
ACSSF,2011e5,wv,000,0107,0000032,050,54,039,05000US54039,"Kanawha County, West Virginia",82337,58734,3985,2995,106,0,0,0,884,11837,8409,58,61,18,56,3235,16571,14328,157,21,10,117,1938,19329,18932,114,194,31,0,58,7012,6909,64,29,10,0,0,23603,2036,281,425,813,208,78,231,4764,979,1174,1143,191,367,910,6754,2371,1627,1062,261,792,641,6455,3819,1493,729,118,242,54,3594,2072,698,471,208,145,0
ACSSF,2011e5,wv,000,0107,0000033,050,54,041,05000US54041,"Lewis County, West Virginia",6587,4768,390,315,0,0,0,0,75,1244,1026,0,0,0,0,218,1267,997,0,0,0,0,270,811,801,0,0,0,0,10,1056,1042,0,0,0,0,14,1819,99,24,0,4,0,0,71,507,134,74,57,62,84,96,602,234,49,77,5,74,163,290,274,12,4,0,0,0,321,294,9,10,0,8,0
ACSSF,2011e5,wv,000,0107,0000034,050,54,043,05000US54043,"Lincoln County, West Virginia",8711,6842,824,447,0,0,0,0,377,2675,1395,0,0,0,0,1280,1594,1124,0,0,0,0,470,1208,1188,4,0,0,0,16,541,541,0,0,0,0,0,1869,76,19,0,0,0,0,57,725,147,13,105,49,13,398,494,199,5,34,4,0,252,295,257,38,0,0,0,0,279,263,12,4,0,0,0
ACSSF,2011e5,wv,000,0107,0000035,050,54,045,05000US54045,"Logan County, West Virginia",14660,10675,920,567,0,0,0,0,353,3107,1875,0,5,0,0,1227,2832,2172,0,5,0,0,655,1973,1917,17,0,0,0,39,1843,1800,5,38,0,0,0,3985,283,134,5,30,0,0,114,1291,372,137,341,7,40,394,921,340,70,187,0,7,317,663,535,43,85,0,0,0,827,608,53,166,0,0,0
ACSSF,2011e5,wv,000,0107,0000036,050,54,047,05000US54047,"McDowell County, West Virginia",8292,6310,290,85,0,0,0,0,205,1100,455,0,0,0,0,645,1159,618,0,0,0,0,541,1381,1349,0,0,0,0,32,2380,2351,10,0,0,0,19,1982,47,12,0,9,0,0,26,357,97,62,19,0,46,133,507,179,18,24,0,30,256,383,326,35,0,0,0,22,688,643,33,12,0,0,0
ACSSF,2011e5,wv,000,0107,0000037,050,54,049,05000US54049,"Marion County, West Virginia",22794,17143,1033,868,0,0,11,0,154,2960,2044,0,0,0,0,916,4373,3632,0,0,0,0,741,4146,4116,10,0,0,0,20,4631,4586,24,0,0,0,21,5651,402,112,143,108,16,0,23,1049,296,257,322,0,76,98,1565,761,199,206,97,59,243,1325,764,313,155,55,38,0,1310,867,324,76,10,33,0
