FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
ACSSF,2013e5,wv,000,0004,0003511,155,54,099,15500US5484940099,"Wayne County (part), Wayne town, West Virginia",2359,2323,0,0,0,0,0,36,0,36
ACSSF,2013e5,wv,000,0004,0003512,155,54,009,15500US5485156009,"Brooke County (part), Weirton city, West Virginia",3987,3773,190,9,0,0,0,15,15,0
ACSSF,2013e5,wv,000,0004,0003513,155,54,029,15500US5485156029,"Hancock County (part), Weirton city, West Virginia",15647,14650,593,2,73,0,0,329,5,324
ACSSF,2013e5,wv,000,0004,0003514,155,54,047,15500US5485228047,"McDowell County (part), Welch city, West Virginia",2697,1955,662,2,5,0,15,58,0,58
ACSSF,2013e5,wv,000,0004,0003515,155,54,009,15500US5485324009,"Brooke County (part), Wellsburg city, West Virginia",2778,2725,41,0,0,0,0,12,0,12
ACSSF,2013e5,wv,000,0004,0003516,155,54,043,15500US5485804043,"Lincoln County (part), West Hamlin town, West Virginia",938,894,0,25,5,0,0,14,0,14
ACSSF,2013e5,wv,000,0004,0003517,155,54,069,15500US5485876069,"Ohio County (part), West Liberty town, West Virginia",1470,1288,105,0,26,0,0,51,9,42
ACSSF,2013e5,wv,000,0004,0003518,155,54,045,15500US5485900045,"Logan County (part), West Logan town, West Virginia",523,434,0,0,50,0,0,39,0,39
ACSSF,2013e5,wv,000,0004,0003519,155,54,033,15500US5485924033,"Harrison County (part), West Milford town, West Virginia",817,774,0,0,8,0,12,23,0,23
ACSSF,2013e5,wv,000,0004,0003520,155,54,041,15500US5485972041,"Lewis County (part), Weston city, West Virginia",4116,4062,25,0,11,0,0,18,0,18
