FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,ZCTA,GEO_ID,GEO_NAME,Total
ACSSF,2016e5,us,000,0003,0010765,860,  ,   ,01230,86000US01230,ZCTA5 01230,8195
ACSSF,2016e5,us,000,0003,0010766,860,  ,   ,01235,86000US01235,ZCTA5 01235,2666
ACSSF,2016e5,us,000,0003,0010767,860,  ,   ,01236,86000US01236,ZCTA5 01236,1422
ACSSF,2016e5,us,000,0003,0010768,860,  ,   ,01237,86000US01237,ZCTA5 01237,2755
ACSSF,2016e5,us,000,0003,0010769,860,  ,   ,01238,86000US01238,ZCTA5 01238,5950
ACSSF,2016e5,us,000,0003,0010770,860,  ,   ,01240,86000US01240,ZCTA5 01240,4592
ACSSF,2016e5,us,000,0003,0010771,860,  ,   ,01242,86000US01242,ZCTA5 01242,429
ACSSF,2016e5,us,000,0003,0010772,860,  ,   ,01243,86000US01243,ZCTA5 01243,381
ACSSF,2016e5,us,000,0003,0010773,860,  ,   ,01244,86000US01244,ZCTA5 01244,82
ACSSF,2016e5,us,000,0003,0010774,860,  ,   ,01245,86000US01245,ZCTA5 01245,870
ACSSF,2016e5,us,000,0003,0010775,860,  ,   ,01247,86000US01247,ZCTA5 01247,15725
ACSSF,2016e5,us,000,0003,0010776,860,  ,   ,01253,86000US01253,ZCTA5 01253,734
ACSSF,2016e5,us,000,0003,0010777,860,  ,   ,01254,86000US01254,ZCTA5 01254,985
ACSSF,2016e5,us,000,0003,0010778,860,  ,   ,01255,86000US01255,ZCTA5 01255,869
ACSSF,2016e5,us,000,0003,0010779,860,  ,   ,01256,86000US01256,ZCTA5 01256,764
ACSSF,2016e5,us,000,0003,0010780,860,  ,   ,01257,86000US01257,ZCTA5 01257,2164
ACSSF,2016e5,us,000,0003,0010781,860,  ,   ,01258,86000US01258,ZCTA5 01258,359
ACSSF,2016e5,us,000,0003,0010782,860,  ,   ,01259,86000US01259,ZCTA5 01259,556
ACSSF,2016e5,us,000,0003,0010783,860,  ,   ,01260,86000US01260,ZCTA5 01260,545
ACSSF,2016e5,us,000,0003,0010784,860,  ,   ,01262,86000US01262,ZCTA5 01262,1196
ACSSF,2016e5,us,000,0003,0010785,860,  ,   ,01264,86000US01264,ZCTA5 01264,161
ACSSF,2016e5,us,000,0003,0010786,860,  ,   ,01266,86000US01266,ZCTA5 01266,1380
ACSSF,2016e5,us,000,0003,0010787,860,  ,   ,01267,86000US01267,ZCTA5 01267,7846
ACSSF,2016e5,us,000,0003,0010788,860,  ,   ,01270,86000US01270,ZCTA5 01270,814
ACSSF,2016e5,us,000,0003,0010789,860,  ,   ,01301,86000US01301,ZCTA5 01301,17730
ACSSF,2016e5,us,000,0003,0010790,860,  ,   ,01330,86000US01330,ZCTA5 01330,1468
ACSSF,2016e5,us,000,0003,0010791,860,  ,   ,01331,86000US01331,ZCTA5 01331,13205
ACSSF,2016e5,us,000,0003,0010792,860,  ,   ,01337,86000US01337,ZCTA5 01337,2598
ACSSF,2016e5,us,000,0003,0010793,860,  ,   ,01338,86000US01338,ZCTA5 01338,138
ACSSF,2016e5,us,000,0003,0010794,860,  ,   ,01339,86000US01339,ZCTA5 01339,1461
ACSSF,2016e5,us,000,0003,0010795,860,  ,   ,01340,86000US01340,ZCTA5 01340,1689
ACSSF,2016e5,us,000,0003,0010796,860,  ,   ,01341,86000US01341,ZCTA5 01341,1716
ACSSF,2016e5,us,000,0003,0010797,860,  ,   ,01342,86000US01342,ZCTA5 01342,1768
ACSSF,2016e5,us,000,0003,0010798,860,  ,   ,01343,86000US01343,ZCTA5 01343,46
ACSSF,2016e5,us,000,0003,0010799,860,  ,   ,01344,86000US01344,ZCTA5 01344,1582
ACSSF,2016e5,us,000,0003,0010800,860,  ,   ,01346,86000US01346,ZCTA5 01346,465
ACSSF,2016e5,us,000,0003,0010801,860,  ,   ,01347,86000US01347,ZCTA5 01347,133
ACSSF,2016e5,us,000,0003,0010802,860,  ,   ,01349,86000US01349,ZCTA5 01349,1106
ACSSF,2016e5,us,000,0003,0010803,860,  ,   ,01350,86000US01350,ZCTA5 01350,95
ACSSF,2016e5,us,000,0003,0010804,860,  ,   ,01351,86000US01351,ZCTA5 01351,2312
ACSSF,2016e5,us,000,0003,0010805,860,  ,   ,01354,86000US01354,ZCTA5 01354,1656
ACSSF,2016e5,us,000,0003,0010806,860,  ,   ,01355,86000US01355,ZCTA5 01355,915
ACSSF,2016e5,us,000,0003,0010807,860,  ,   ,01360,86000US01360,ZCTA5 01360,3006
ACSSF,2016e5,us,000,0003,0010808,860,  ,   ,01364,86000US01364,ZCTA5 01364,7832
ACSSF,2016e5,us,000,0003,0010809,860,  ,   ,01366,86000US01366,ZCTA5 01366,1202
ACSSF,2016e5,us,000,0003,0010810,860,  ,   ,01367,86000US01367,ZCTA5 01367,686
ACSSF,2016e5,us,000,0003,0010811,860,  ,   ,01368,86000US01368,ZCTA5 01368,1363
ACSSF,2016e5,us,000,0003,0010812,860,  ,   ,01370,86000US01370,ZCTA5 01370,3879
ACSSF,2016e5,us,000,0003,0010813,860,  ,   ,01373,86000US01373,ZCTA5 01373,4184
ACSSF,2016e5,us,000,0003,0010814,860,  ,   ,01375,86000US01375,ZCTA5 01375,3673
ACSSF,2016e5,us,000,0003,0010815,860,  ,   ,01376,86000US01376,ZCTA5 01376,5101
ACSSF,2016e5,us,000,0003,0010816,860,  ,   ,01378,86000US01378,ZCTA5 01378,734
ACSSF,2016e5,us,000,0003,0010817,860,  ,   ,01379,86000US01379,ZCTA5 01379,775
ACSSF,2016e5,us,000,0003,0010818,860,  ,   ,01420,86000US01420,ZCTA5 01420,40441
ACSSF,2016e5,us,000,0003,0010819,860,  ,   ,01430,86000US01430,ZCTA5 01430,6171
ACSSF,2016e5,us,000,0003,0010820,860,  ,   ,01431,86000US01431,ZCTA5 01431,3196
ACSSF,2016e5,us,000,0003,0010821,860,  ,   ,01432,86000US01432,ZCTA5 01432,7594
ACSSF,2016e5,us,000,0003,0010822,860,  ,   ,01434,86000US01434,ZCTA5 01434,1716
ACSSF,2016e5,us,000,0003,0010823,860,  ,   ,01436,86000US01436,ZCTA5 01436,3823
ACSSF,2016e5,us,000,0003,0010824,860,  ,   ,01438,86000US01438,ZCTA5 01438,635
ACSSF,2016e5,us,000,0003,0010825,860,  ,   ,01440,86000US01440,ZCTA5 01440,20334
ACSSF,2016e5,us,000,0003,0010826,860,  ,   ,01450,86000US01450,ZCTA5 01450,11182
