FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Married-couple family:,With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,Other family:,"Male householder, no wife present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years,"Female householder, no husband present:",With own children under 18 years:,Under 6 years only,Under 6 years and 6 to 17 years,6 to 17 years only,No own children under 18 years
ACSSF,2010e5,wv,000,0034,0000039,050,54,053,05000US54053,"Mason County, West Virginia",7594,5757,1950,291,481,1178,3807,1837,442,255,36,9,210,187,1395,814,297,71,446,581
ACSSF,2010e5,wv,000,0034,0000040,050,54,055,05000US54055,"Mercer County, West Virginia",16011,12278,3779,815,667,2297,8499,3733,1014,478,163,74,241,536,2719,1449,448,127,874,1270
ACSSF,2010e5,wv,000,0034,0000041,050,54,057,05000US54057,"Mineral County, West Virginia",7710,6020,1847,396,375,1076,4173,1690,446,296,104,74,118,150,1244,861,116,83,662,383
ACSSF,2010e5,wv,000,0034,0000042,050,54,059,05000US54059,"Mingo County, West Virginia",7487,5598,1917,467,237,1213,3681,1889,574,196,61,34,101,378,1315,560,127,101,332,755
ACSSF,2010e5,wv,000,0034,0000043,050,54,061,05000US54061,"Monongalia County, West Virginia",18785,15061,5783,1566,1168,3049,9278,3724,1190,518,194,72,252,672,2534,1356,375,153,828,1178
ACSSF,2010e5,wv,000,0034,0000044,050,54,063,05000US54063,"Monroe County, West Virginia",3922,3297,965,299,163,503,2332,625,198,71,0,0,71,127,427,151,61,11,79,276
ACSSF,2010e5,wv,000,0034,0000045,050,54,065,05000US54065,"Morgan County, West Virginia",4082,3219,965,126,230,609,2254,863,270,150,59,10,81,120,593,335,6,34,295,258
ACSSF,2010e5,wv,000,0034,0000046,050,54,067,05000US54067,"Nicholas County, West Virginia",7671,6363,2153,392,325,1436,4210,1308,535,300,76,0,224,235,773,237,37,51,149,536
ACSSF,2010e5,wv,000,0034,0000047,050,54,069,05000US54069,"Ohio County, West Virginia",11486,8888,3045,488,568,1989,5843,2598,450,217,96,0,121,233,2148,1146,299,252,595,1002
ACSSF,2010e5,wv,000,0034,0000048,050,54,071,05000US54071,"Pendleton County, West Virginia",2211,1841,528,70,155,303,1313,370,99,48,21,0,27,51,271,137,40,34,63,134
ACSSF,2010e5,wv,000,0034,0000049,050,54,073,05000US54073,"Pleasants County, West Virginia",1674,1394,488,71,52,365,906,280,81,45,0,7,38,36,199,109,19,7,83,90
