FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Male:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Female:,No schooling completed,Nursery to 4th grade,5th and 6th grade,7th and 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma","High school graduate, GED, or alternative","Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
ACSSF,2010e5,wv,000,0040,0000051,050,54,077,05000US54077,"Preston County, West Virginia",23780,12155,143,81,153,588,315,572,399,144,6136,669,1226,598,749,228,129,25,11625,79,21,57,547,239,330,389,100,5826,709,998,697,1159,362,72,40
ACSSF,2010e5,wv,000,0040,0000052,050,54,079,05000US54079,"Putnam County, West Virginia",38322,18361,80,9,90,488,355,503,260,281,7125,1300,1823,1138,3195,1046,477,191,19961,95,59,193,341,228,411,662,217,7324,1986,2540,1687,2503,1453,129,133
ACSSF,2010e5,wv,000,0040,0000053,050,54,081,05000US54081,"Raleigh County, West Virginia",55909,27267,179,189,228,1620,1122,1419,938,418,11308,1219,3144,1493,2495,851,377,267,28642,310,231,288,1368,1104,1403,1134,132,10866,1965,3430,1769,2868,1572,128,74
ACSSF,2010e5,wv,000,0040,0000054,050,54,083,05000US54083,"Randolph County, West Virginia",20936,10647,67,79,116,664,428,602,270,85,4912,444,737,416,1063,549,109,106,10289,18,25,104,466,315,358,286,84,4817,476,722,757,1114,631,64,52
ACSSF,2010e5,wv,000,0040,0000055,050,54,085,05000US54085,"Ritchie County, West Virginia",7540,3735,11,14,45,216,115,140,173,81,1651,214,499,208,272,58,17,21,3805,30,9,28,163,176,183,135,29,1453,270,648,274,176,194,35,2
ACSSF,2010e5,wv,000,0040,0000056,050,54,087,05000US54087,"Roane County, West Virginia",10762,5237,93,69,51,363,238,176,297,111,2701,293,271,135,298,97,7,37,5525,60,20,74,435,104,82,268,78,2751,315,543,260,308,218,9,0
ACSSF,2010e5,wv,000,0040,0000057,050,54,089,05000US54089,"Summers County, West Virginia",10430,4569,40,32,132,346,252,190,327,136,1935,133,523,121,256,67,65,14,5861,19,0,38,359,171,183,191,119,2594,379,767,273,540,167,42,19
ACSSF,2010e5,wv,000,0040,0000058,050,54,091,05000US54091,"Taylor County, West Virginia",11968,5911,84,0,16,426,124,88,128,63,2992,298,671,243,617,108,53,0,6057,44,0,33,151,175,233,311,105,2720,363,588,374,713,178,69,0
ACSSF,2010e5,wv,000,0040,0000059,050,54,093,05000US54093,"Tucker County, West Virginia",5253,2579,30,4,27,109,42,131,90,55,1294,132,262,76,204,91,3,29,2674,8,5,6,129,133,88,100,14,1213,99,295,193,244,95,52,0
ACSSF,2010e5,wv,000,0040,0000060,050,54,095,05000US54095,"Tyler County, West Virginia",6661,3275,0,20,12,134,35,101,141,71,1858,170,378,86,176,85,8,0,3386,5,3,18,209,128,109,94,64,1720,174,360,215,213,74,0,0
ACSSF,2010e5,wv,000,0040,0000061,050,54,097,05000US54097,"Upshur County, West Virginia",16276,7937,258,144,58,441,375,279,127,79,3720,498,440,228,868,204,139,79,8339,57,64,108,428,162,325,237,175,3866,582,640,508,669,413,59,46
ACSSF,2010e5,wv,000,0040,0000062,050,54,099,05000US54099,"Wayne County, West Virginia",29805,14176,125,80,242,858,513,782,534,267,5828,703,1749,678,1175,418,170,54,15629,71,145,148,979,359,670,593,170,6122,965,2114,1328,1284,613,68,0
