FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Median household income in the past 12 months (in 2010 inflation-adjusted dollars)
ACSSF,2010e5,wv,000,0053,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",40775
ACSSF,2010e5,wv,000,0053,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",36615
ACSSF,2010e5,wv,000,0053,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",41674
ACSSF,2010e5,wv,000,0053,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",35245
ACSSF,2010e5,wv,000,0053,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",23279
ACSSF,2010e5,wv,000,0053,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",28683
ACSSF,2010e5,wv,000,0053,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",46647
ACSSF,2010e5,wv,000,0053,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",43378
ACSSF,2010e5,wv,000,0053,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",31250
ACSSF,2010e5,wv,000,0053,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",29601
ACSSF,2010e5,wv,000,0053,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",27134
ACSSF,2010e5,wv,000,0053,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",24745
ACSSF,2010e5,wv,000,0053,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",23345
ACSSF,2010e5,wv,000,0053,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",25764
ACSSF,2010e5,wv,000,0053,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",28594
ACSSF,2010e5,wv,000,0053,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",40651
ACSSF,2010e5,wv,000,0053,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",33207
ACSSF,2010e5,wv,000,0053,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",27250
ACSSF,2010e5,wv,000,0053,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",37115
ACSSF,2010e5,wv,000,0053,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",25891
