FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,"1, detached","1, attached",2,3 or 4,5 to 9,10 to 19,20 to 49,50 or more,Mobile home,"Boat, RV, van, etc."
ACSSF,2013e5,wv,000,0104,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",898,631,0,0,39,0,0,9,0,219,0
ACSSF,2013e5,wv,000,0104,0000094,060,54,013,06000US5401390836,"District 3, Calhoun County, West Virginia",658,472,7,0,7,21,12,0,0,136,3
ACSSF,2013e5,wv,000,0104,0000095,060,54,013,06000US5401390873,"District 4, Calhoun County, West Virginia",878,609,0,24,0,0,0,0,0,245,0
ACSSF,2013e5,wv,000,0104,0000096,060,54,013,06000US5401390885,"District 5, Calhoun County, West Virginia",779,509,0,0,0,0,0,0,0,270,0
ACSSF,2013e5,wv,000,0104,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1622,1131,0,0,32,0,0,53,0,406,0
ACSSF,2013e5,wv,000,0104,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1516,1005,3,0,23,29,17,2,19,418,0
ACSSF,2013e5,wv,000,0104,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1435,1005,9,0,0,0,0,0,0,421,0
ACSSF,2013e5,wv,000,0104,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",905,720,7,0,0,0,0,0,0,178,0
ACSSF,2013e5,wv,000,0104,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",837,607,2,0,0,0,0,0,0,228,0
ACSSF,2013e5,wv,000,0104,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",1031,780,0,0,9,0,9,0,0,233,0
ACSSF,2013e5,wv,000,0104,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",1159,909,0,18,4,4,43,0,0,181,0
ACSSF,2013e5,wv,000,0104,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",7616,5853,42,17,52,89,0,20,0,1543,0
ACSSF,2013e5,wv,000,0104,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",7409,5646,74,197,154,258,33,92,92,863,0
ACSSF,2013e5,wv,000,0104,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",6519,4967,36,131,138,89,68,39,123,928,0
ACSSF,2013e5,wv,000,0104,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",854,595,0,0,0,0,0,0,0,259,0
ACSSF,2013e5,wv,000,0104,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",798,474,8,43,62,52,24,0,0,135,0
ACSSF,2013e5,wv,000,0104,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",1086,847,0,0,0,0,0,0,0,239,0
ACSSF,2013e5,wv,000,0104,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",713,533,0,4,0,0,16,0,0,160,0
ACSSF,2013e5,wv,000,0104,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",2107,1729,20,0,16,17,53,0,0,272,0
ACSSF,2013e5,wv,000,0104,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",2198,1456,11,47,72,126,8,10,5,463,0
ACSSF,2013e5,wv,000,0104,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",2075,1542,0,3,0,2,0,0,0,519,9
ACSSF,2013e5,wv,000,0104,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",6550,4422,150,151,362,268,67,98,43,989,0
ACSSF,2013e5,wv,000,0104,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",6765,5215,49,86,199,213,44,0,19,940,0
ACSSF,2013e5,wv,000,0104,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",5676,4382,5,51,85,71,19,50,0,1013,0
ACSSF,2013e5,wv,000,0104,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",2139,1760,0,19,85,28,25,0,0,222,0
ACSSF,2013e5,wv,000,0104,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",1691,1298,0,8,11,0,0,0,0,374,0
ACSSF,2013e5,wv,000,0104,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",2458,1900,32,0,54,30,0,0,0,442,0
ACSSF,2013e5,wv,000,0104,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",637,511,0,15,0,0,0,0,0,111,0
ACSSF,2013e5,wv,000,0104,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",2096,1354,7,83,124,122,31,41,19,315,0
ACSSF,2013e5,wv,000,0104,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",2805,2005,8,0,0,0,0,0,0,792,0
ACSSF,2013e5,wv,000,0104,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",1848,1538,0,0,18,0,0,0,0,292,0
ACSSF,2013e5,wv,000,0104,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",4912,3919,129,218,243,188,142,50,0,23,0
ACSSF,2013e5,wv,000,0104,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",4682,3735,67,224,111,90,39,6,141,269,0
ACSSF,2013e5,wv,000,0104,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",4909,3534,47,121,45,94,5,98,0,965,0
ACSSF,2013e5,wv,000,0104,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",2012,1559,0,5,50,0,21,27,0,350,0
ACSSF,2013e5,wv,000,0104,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",1929,1529,17,0,2,0,0,0,0,370,11
ACSSF,2013e5,wv,000,0104,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",1084,550,4,19,45,100,15,0,0,340,11
ACSSF,2013e5,wv,000,0104,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",1625,1098,15,3,43,157,37,5,0,267,0
ACSSF,2013e5,wv,000,0104,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",1425,1110,9,11,0,0,0,0,0,295,0
ACSSF,2013e5,wv,000,0104,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",5630,4162,78,157,271,325,110,8,110,409,0
ACSSF,2013e5,wv,000,0104,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",5097,3832,105,61,97,92,24,53,0,833,0
ACSSF,2013e5,wv,000,0104,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",5085,3739,40,316,166,87,129,0,251,357,0
ACSSF,2013e5,wv,000,0104,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",5781,4794,91,77,106,135,23,0,0,555,0
ACSSF,2013e5,wv,000,0104,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",5166,4070,73,250,156,128,180,71,97,141,0
ACSSF,2013e5,wv,000,0104,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",4684,3749,82,11,18,88,33,30,0,673,0
ACSSF,2013e5,wv,000,0104,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",4762,3321,0,123,129,187,85,0,25,892,0
ACSSF,2013e5,wv,000,0104,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",3976,2614,15,60,212,103,36,28,76,832,0
ACSSF,2013e5,wv,000,0104,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",4514,3250,11,10,134,43,18,0,0,1048,0
ACSSF,2013e5,wv,000,0104,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",4784,3110,521,82,245,300,184,71,121,150,0
ACSSF,2013e5,wv,000,0104,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",5033,4142,316,84,18,68,56,12,0,337,0
ACSSF,2013e5,wv,000,0104,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",4068,3300,605,43,29,25,19,0,0,47,0
ACSSF,2013e5,wv,000,0104,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",4324,3264,36,0,93,0,103,48,0,780,0
ACSSF,2013e5,wv,000,0104,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",3937,3146,214,106,139,101,61,0,21,149,0
ACSSF,2013e5,wv,000,0104,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",21297,13258,398,747,1191,762,488,471,1520,2462,0
ACSSF,2013e5,wv,000,0104,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",24748,17989,649,709,1852,999,768,434,264,1084,0
ACSSF,2013e5,wv,000,0104,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",22888,16694,748,510,988,914,423,278,138,2195,0
ACSSF,2013e5,wv,000,0104,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",23447,16669,398,610,800,769,276,199,300,3426,0
ACSSF,2013e5,wv,000,0104,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",2569,1803,7,20,168,73,31,8,52,397,10
ACSSF,2013e5,wv,000,0104,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",2487,1986,10,10,0,15,0,16,17,433,0
