FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total
ACSSF,2010e5,wv,000,0095,0000097,060,54,015,06000US5401590891,"District A, Clay County, West Virginia",1551
ACSSF,2010e5,wv,000,0095,0000098,060,54,015,06000US5401590893,"District B, Clay County, West Virginia",1670
ACSSF,2010e5,wv,000,0095,0000099,060,54,015,06000US5401590895,"District C, Clay County, West Virginia",1411
ACSSF,2010e5,wv,000,0095,0000100,060,54,017,06000US5401790138,"Beech district, Doddridge County, West Virginia",1040
ACSSF,2010e5,wv,000,0095,0000101,060,54,017,06000US5401792094,"Maple district, Doddridge County, West Virginia",893
ACSSF,2010e5,wv,000,0095,0000102,060,54,017,06000US5401792374,"Oak district, Doddridge County, West Virginia",910
ACSSF,2010e5,wv,000,0095,0000103,060,54,017,06000US5401792466,"Pine district, Doddridge County, West Virginia",1063
ACSSF,2010e5,wv,000,0095,0000104,060,54,019,06000US5401992280,"New Haven district, Fayette County, West Virginia",7291
ACSSF,2010e5,wv,000,0095,0000105,060,54,019,06000US5401992472,"Plateau district, Fayette County, West Virginia",7774
ACSSF,2010e5,wv,000,0095,0000106,060,54,019,06000US5401993396,"Valley district, Fayette County, West Virginia",6677
ACSSF,2010e5,wv,000,0095,0000107,060,54,021,06000US5402190408,"Center district, Gilmer County, West Virginia",892
ACSSF,2010e5,wv,000,0095,0000108,060,54,021,06000US5402190534,"City district, Gilmer County, West Virginia",908
ACSSF,2010e5,wv,000,0095,0000109,060,54,021,06000US5402190758,"De Kalb-Troy district, Gilmer County, West Virginia",1044
ACSSF,2010e5,wv,000,0095,0000110,060,54,021,06000US5402191236,"Glenville district, Gilmer County, West Virginia",650
ACSSF,2010e5,wv,000,0095,0000111,060,54,023,06000US5402391296,"Grant district, Grant County, West Virginia",1762
ACSSF,2010e5,wv,000,0095,0000112,060,54,023,06000US5402392208,"Milroy district, Grant County, West Virginia",2313
ACSSF,2010e5,wv,000,0095,0000113,060,54,023,06000US5402393216,"Union district, Grant County, West Virginia",2297
ACSSF,2010e5,wv,000,0095,0000114,060,54,025,06000US5402590449,"Central district, Greenbrier County, West Virginia",6348
ACSSF,2010e5,wv,000,0095,0000115,060,54,025,06000US5402590972,"Eastern district, Greenbrier County, West Virginia",6741
ACSSF,2010e5,wv,000,0095,0000116,060,54,025,06000US5402593601,"Western district, Greenbrier County, West Virginia",5746
ACSSF,2010e5,wv,000,0095,0000117,060,54,027,06000US5402790204,"Bloomery district, Hampshire County, West Virginia",1899
ACSSF,2010e5,wv,000,0095,0000118,060,54,027,06000US5402790360,"Capon district, Hampshire County, West Virginia",1586
ACSSF,2010e5,wv,000,0095,0000119,060,54,027,06000US5402791248,"Gore district, Hampshire County, West Virginia",2499
ACSSF,2010e5,wv,000,0095,0000120,060,54,027,06000US5402792184,"Mill Creek district, Hampshire County, West Virginia",677
ACSSF,2010e5,wv,000,0095,0000121,060,54,027,06000US5402792676,"Romney district, Hampshire County, West Virginia",2212
ACSSF,2010e5,wv,000,0095,0000122,060,54,027,06000US5402792820,"Sherman district, Hampshire County, West Virginia",2725
ACSSF,2010e5,wv,000,0095,0000123,060,54,027,06000US5402792988,"Springfield district, Hampshire County, West Virginia",1741
ACSSF,2010e5,wv,000,0095,0000124,060,54,029,06000US5402990312,"Butler district, Hancock County, West Virginia",5021
ACSSF,2010e5,wv,000,0095,0000125,060,54,029,06000US5402990540,"Clay district, Hancock County, West Virginia",4784
ACSSF,2010e5,wv,000,0095,0000126,060,54,029,06000US5402991308,"Grant district, Hancock County, West Virginia",4794
ACSSF,2010e5,wv,000,0095,0000127,060,54,031,06000US5403190372,"Capon district, Hardy County, West Virginia",1913
ACSSF,2010e5,wv,000,0095,0000128,060,54,031,06000US5403191968,"Lost River district, Hardy County, West Virginia",2062
ACSSF,2010e5,wv,000,0095,0000129,060,54,031,06000US5403192232,"Moorefield district, Hardy County, West Virginia",1194
ACSSF,2010e5,wv,000,0095,0000130,060,54,031,06000US5403192382,"Old Fields district, Hardy County, West Virginia",1402
ACSSF,2010e5,wv,000,0095,0000131,060,54,031,06000US5403192928,"South Fork district, Hardy County, West Virginia",1410
ACSSF,2010e5,wv,000,0095,0000132,060,54,033,06000US5403390975,"Eastern district, Harrison County, West Virginia",5382
ACSSF,2010e5,wv,000,0095,0000133,060,54,033,06000US5403392352,"Northern district, Harrison County, West Virginia",4903
ACSSF,2010e5,wv,000,0095,0000134,060,54,033,06000US5403392368,"North Urban district, Harrison County, West Virginia",5298
ACSSF,2010e5,wv,000,0095,0000135,060,54,033,06000US5403392923,"Southern district, Harrison County, West Virginia",5863
ACSSF,2010e5,wv,000,0095,0000136,060,54,033,06000US5403392932,"South Urban district, Harrison County, West Virginia",5434
ACSSF,2010e5,wv,000,0095,0000137,060,54,033,06000US5403392952,"Southwest district, Harrison County, West Virginia",4616
ACSSF,2010e5,wv,000,0095,0000138,060,54,035,06000US5403590976,"Eastern district, Jackson County, West Virginia",4446
ACSSF,2010e5,wv,000,0095,0000139,060,54,035,06000US5403592353,"Northern district, Jackson County, West Virginia",4221
ACSSF,2010e5,wv,000,0095,0000140,060,54,035,06000US5403593605,"Western district, Jackson County, West Virginia",4515
ACSSF,2010e5,wv,000,0095,0000141,060,54,037,06000US5403790504,"Charles Town district, Jefferson County, West Virginia",5269
ACSSF,2010e5,wv,000,0095,0000142,060,54,037,06000US5403791548,"Harpers Ferry district, Jefferson County, West Virginia",3942
ACSSF,2010e5,wv,000,0095,0000143,060,54,037,06000US5403791740,"Kabletown district, Jefferson County, West Virginia",4842
ACSSF,2010e5,wv,000,0095,0000144,060,54,037,06000US5403792160,"Middleway district, Jefferson County, West Virginia",3866
ACSSF,2010e5,wv,000,0095,0000145,060,54,037,06000US5403792760,"Shepherdstown district, Jefferson County, West Virginia",3689
ACSSF,2010e5,wv,000,0095,0000146,060,54,039,06000US5403990768,"District 1, Kanawha County, West Virginia",22428
ACSSF,2010e5,wv,000,0095,0000147,060,54,039,06000US5403990804,"District 2, Kanawha County, West Virginia",24433
ACSSF,2010e5,wv,000,0095,0000148,060,54,039,06000US5403990840,"District 3, Kanawha County, West Virginia",22359
ACSSF,2010e5,wv,000,0095,0000149,060,54,039,06000US5403990876,"District 4, Kanawha County, West Virginia",23843
ACSSF,2010e5,wv,000,0095,0000150,060,54,041,06000US5404190676,"Courthouse-Collins Settlement district, Lewis County, West Virginia",2735
ACSSF,2010e5,wv,000,0095,0000151,060,54,041,06000US5404191176,"Freemans Creek district, Lewis County, West Virginia",2661
ACSSF,2010e5,wv,000,0095,0000152,060,54,041,06000US5404191480,"Hackers Creek-Skin Creek district, Lewis County, West Virginia",2589
ACSSF,2010e5,wv,000,0095,0000153,060,54,043,06000US5404390384,"Carroll district, Lincoln County, West Virginia",1643
ACSSF,2010e5,wv,000,0095,0000154,060,54,043,06000US5404390960,"Duval district, Lincoln County, West Virginia",1530
ACSSF,2010e5,wv,000,0095,0000155,060,54,043,06000US5404391572,"Harts Creek district, Lincoln County, West Virginia",1727
ACSSF,2010e5,wv,000,0095,0000156,060,54,043,06000US5404391704,"Jefferson district, Lincoln County, West Virginia",530
ACSSF,2010e5,wv,000,0095,0000157,060,54,043,06000US5404391812,"Laurel Hill district, Lincoln County, West Virginia",968
ACSSF,2010e5,wv,000,0095,0000158,060,54,043,06000US5404392784,"Sheridan district, Lincoln County, West Virginia",2094
ACSSF,2010e5,wv,000,0095,0000159,060,54,043,06000US5404393240,"Union district, Lincoln County, West Virginia",190
ACSSF,2010e5,wv,000,0095,0000160,060,54,043,06000US5404393516,"Washington district, Lincoln County, West Virginia",1251
ACSSF,2010e5,wv,000,0095,0000161,060,54,045,06000US5404590453,"Central district, Logan County, West Virginia",5493
ACSSF,2010e5,wv,000,0095,0000162,060,54,045,06000US5404590979,"Eastern district, Logan County, West Virginia",6044
ACSSF,2010e5,wv,000,0095,0000163,060,54,045,06000US5404593608,"Western district, Logan County, West Virginia",5310
ACSSF,2010e5,wv,000,0095,0000164,060,54,047,06000US5404790168,"Big Creek district, McDowell County, West Virginia",3243
ACSSF,2010e5,wv,000,0095,0000165,060,54,047,06000US5404790240,"Browns Creek district, McDowell County, West Virginia",2598
