FILEID,FILETYPE,STATE,CHARITER,SEQUENCE,LOGRECNO,SUMMARY_LEVEL,STATE_FIPS,COUNTY,GEO_ID,GEO_NAME,Total:,Family households:,Married-couple family,Other family:,"Male householder, no wife present","Female householder, no husband present",Nonfamily households:,Householder living alone,Householder not living alone
ACSSF,2013e5,wv,000,0036,0000068,060,54,001,06000US5400192328,"North district, Barbour County, West Virginia",2485,1638,1360,278,28,250,847,797,50
ACSSF,2013e5,wv,000,0036,0000069,060,54,001,06000US5400192892,"South district, Barbour County, West Virginia",2161,1631,1226,405,140,265,530,470,60
ACSSF,2013e5,wv,000,0036,0000070,060,54,001,06000US5400193588,"West district, Barbour County, West Virginia",1453,1030,870,160,68,92,423,358,65
ACSSF,2013e5,wv,000,0036,0000071,060,54,003,06000US5400390006,"Adam Stephens district, Berkeley County, West Virginia",6017,3517,2260,1257,332,925,2500,2227,273
ACSSF,2013e5,wv,000,0036,0000072,060,54,003,06000US5400392322,"Norborne district, Berkeley County, West Virginia",4119,3182,2529,653,198,455,937,705,232
ACSSF,2013e5,wv,000,0036,0000073,060,54,003,06000US5400392526,"Potomac district, Berkeley County, West Virginia",6618,4873,3764,1109,445,664,1745,1410,335
ACSSF,2013e5,wv,000,0036,0000074,060,54,003,06000US5400392754,"Shenandoah district, Berkeley County, West Virginia",7731,5375,4029,1346,472,874,2356,1990,366
ACSSF,2013e5,wv,000,0036,0000075,060,54,003,06000US5400393171,"Tuscarora district, Berkeley County, West Virginia",7973,5732,4022,1710,512,1198,2241,1872,369
ACSSF,2013e5,wv,000,0036,0000076,060,54,003,06000US5400393388,"Valley district, Berkeley County, West Virginia",7989,5755,4448,1307,352,955,2234,1886,348
ACSSF,2013e5,wv,000,0036,0000077,060,54,005,06000US5400590762,"District 1, Boone County, West Virginia",3318,2332,1802,530,162,368,986,887,99
ACSSF,2013e5,wv,000,0036,0000078,060,54,005,06000US5400590796,"District 2, Boone County, West Virginia",2643,1908,1423,485,153,332,735,692,43
ACSSF,2013e5,wv,000,0036,0000079,060,54,005,06000US5400590832,"District 3, Boone County, West Virginia",3598,2624,2136,488,85,403,974,818,156
ACSSF,2013e5,wv,000,0036,0000080,060,54,007,06000US5400790968,"Eastern district, Braxton County, West Virginia",1172,822,659,163,85,78,350,309,41
ACSSF,2013e5,wv,000,0036,0000081,060,54,007,06000US5400792346,"Northern district, Braxton County, West Virginia",1470,910,711,199,45,154,560,482,78
ACSSF,2013e5,wv,000,0036,0000082,060,54,007,06000US5400792922,"Southern district, Braxton County, West Virginia",1541,1095,870,225,92,133,446,368,78
ACSSF,2013e5,wv,000,0036,0000083,060,54,007,06000US5400793597,"Western district, Braxton County, West Virginia",1597,1018,878,140,62,78,579,541,38
ACSSF,2013e5,wv,000,0036,0000084,060,54,009,06000US5400991104,"Follansbee district, Brooke County, West Virginia",3343,2096,1602,494,105,389,1247,1051,196
ACSSF,2013e5,wv,000,0036,0000085,060,54,009,06000US5400993552,"Weirton district, Brooke County, West Virginia",3382,2150,1502,648,241,407,1232,1113,119
ACSSF,2013e5,wv,000,0036,0000086,060,54,009,06000US5400993564,"Wellsburg district, Brooke County, West Virginia",3243,2275,1706,569,172,397,968,891,77
ACSSF,2013e5,wv,000,0036,0000087,060,54,011,06000US5401190764,"District 1, Cabell County, West Virginia",7549,4555,3058,1497,479,1018,2994,2450,544
ACSSF,2013e5,wv,000,0036,0000088,060,54,011,06000US5401190798,"District 2, Cabell County, West Virginia",7400,2978,1811,1167,255,912,4422,3696,726
ACSSF,2013e5,wv,000,0036,0000089,060,54,011,06000US5401190834,"District 3, Cabell County, West Virginia",7367,4207,2532,1675,356,1319,3160,2420,740
ACSSF,2013e5,wv,000,0036,0000090,060,54,011,06000US5401190870,"District 4, Cabell County, West Virginia",9413,6450,5003,1447,333,1114,2963,2688,275
ACSSF,2013e5,wv,000,0036,0000091,060,54,011,06000US5401190882,"District 5, Cabell County, West Virginia",8415,5984,4684,1300,269,1031,2431,1952,479
ACSSF,2013e5,wv,000,0036,0000092,060,54,013,06000US5401390766,"District 1, Calhoun County, West Virginia",506,340,264,76,19,57,166,160,6
ACSSF,2013e5,wv,000,0036,0000093,060,54,013,06000US5401390800,"District 2, Calhoun County, West Virginia",711,427,284,143,92,51,284,226,58
