"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"12",19100,"2017",7104415,1889868,1175068,1539303,1401587,1098589,4930563,1093212,2018504,619159,769986,799112,306169,958157,782685,753584,"msa_level","Dallas-Fort Worth-Arlington, TX",NA,NA,NA
"13",26420,"2009",5570617,1595658,957131,1252408,1087769,677651,3604543,938097,1857116,461424,564278,627662,249908,785496,567426,550350,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"14",26420,"2013",6063540,1676799,1041032,1330339,1189512,825858,3986513,1045873,2161755,497802,615404,675563,279749,830174,641598,596746,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"15",26420,"2017",6636208,1788611,1116321,1453313,1266256,1011707,4359111,1141697,2432651,550280,674418,740994,305869,892107,720305,659149,"msa_level","Houston-The Woodlands-Sugar Land, TX",NA,NA,NA
"16",31080,"2009",12762126,3308331,2272502,2908891,2420118,1852284,6840293,913537,5614718,1037778,1144945,1330284,639260,1604404,1236786,1311077,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"17",31080,"2013",12945252,3104313,2366957,2790183,2579982,2103817,7190204,883313,5774371,1042663,1181998,1347059,654175,1550246,1342973,1332676,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"18",31080,"2017",13261538,2990347,2401271,2796936,2674613,2398371,7193319,882243,5972751,1058817,1229499,1399239,632619,1487560,1464137,1368477,"msa_level","Los Angeles-Long Beach-Anaheim, CA",NA,NA,NA
"19",33100,"2009",5484777,1260576,823387,1177056,1092721,1131037,3893050,1112763,2133615,577085,652459,597683,179696,647636,661471,697816,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"20",33100,"2013",5673185,1211674,884044,1149061,1201072,1227334,4061742,1199613,2376061,580566,643413,605862,187655,638429,677739,701328,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"21",33100,"2017",6019790,1238058,920635,1200308,1275381,1385408,4266292,1286415,2663235,589960,667568,630416,189764,638271,724592,714845,"msa_level","Miami-Fort Lauderdale-West Palm Beach, FL",NA,NA,NA
"22",35620,"2009",19581379,4643772,3099524,4314643,4067902,3455538,12004256,3390638,4094423,1970171,2023557,2205723,777656,2414805,2230433,2331869,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"23",35620,"2013",19716880,4459961,3288309,4106473,4159242,3702895,11833135,3392991,4523963,1972820,2048769,2248404,808772,2386981,2324131,2367653,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"24",35620,"2017",20192042,4410026,3352622,4109018,4194505,4125871,11768269,3455984,4863602,1999382,2095778,2276285,796582,2304335,2447444,2416248,"msa_level","New York-Newark-Jersey City, NY-NJ-PA",NA,NA,NA
"25",37980,"2009",5910593,1418110,957983,1229692,1250130,1054678,4172409,1199278,393868,634271,678256,667382,206425,737405,701201,747728,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"26",37980,"2013",5992766,1378134,1007797,1156013,1299129,1151693,4106566,1250223,485866,653725,694090,670082,208734,715431,735808,775392,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"27",37980,"2017",6065644,1342727,1013014,1153546,1281431,1274926,4083283,1270826,546680,664647,717496,670589,200739,690746,767899,794826,"msa_level","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,NA,NA
"28",47900,"2009",5384391,1333436,888770,1256568,1139955,765662,3091514,1396799,652373,565576,607774,612003,201721,695295,600333,691446,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"29",47900,"2013",5759330,1362761,978075,1294629,1223316,900549,3228757,1470979,812827,569887,642029,655393,223992,727470,653417,710414,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"30",47900,"2017",6090196,1411310,996913,1353021,1272669,1056283,3322625,1547874,930161,585865,663466,684976,235727,744132,694695,731207,"msa_level","Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,NA,NA
"31",NA,"2009",88055,23610,11575,19287,20954,12629,72067,12431,2212,5622,9453,11292,3367,12520,10315,6899,"county_level",NA,"24009",NA,NA
"32",NA,"2009",140181,38506,20294,33896,29707,17778,78576,52225,5134,10117,15558,17795,5501,20497,16650,11824,"county_level",NA,"24017",NA,NA
"33",NA,"2009",224185,58700,31860,50858,49586,33181,186928,18148,12566,18107,26469,28220,8478,31414,26948,22912,"county_level",NA,"24021",NA,NA
"34",NA,"2009",946172,234412,135730,204619,211568,159843,569819,154422,142509,87724,107965,111182,37228,124160,112854,107085,"county_level",NA,"24031",NA,NA
"35",NA,"2009",834986,211901,148413,188627,175210,110835,194919,533021,103186,83048,87414,92871,34604,110391,87116,100430,"county_level",NA,"24033",NA,NA
"36",NA,"2009",588433,113992,125724,136609,114310,97798,210983,324631,49813,117435,71903,48108,13277,55490,55063,140170,"county_level",NA,"11001",NA,NA
"37",NA,"2009",206405,33433,52496,56886,37129,26461,147230,16725,34484,39015,28478,18464,4346,18125,21138,51040,"county_level",NA,"51013",NA,NA
"38",NA,"2009",14359,3149,1866,2817,3410,3117,12979,861,506,1420,2092,1621,354,1488,2179,1820,"county_level",NA,"51043",NA,NA
"39",NA,"2009",44923,11657,6675,10457,9017,7117,34509,7274,3278,3345,5367,5712,2166,6653,5821,4116,"county_level",NA,"51047",NA,NA
"40",NA,"2009",1012751,253279,153555,229242,231664,145011,675361,93552,141343,90592,114133,125406,38108,133185,123529,111525,"county_level",NA,"51059",NA,NA
"41",NA,"2009",66330,17209,8424,14083,15692,10922,57060,5547,3520,4917,7914,7425,2449,8110,8575,6020,"county_level",NA,"51061",NA,NA
"42",NA,"2009",277465,82799,35808,80630,53004,25224,202994,21654,28026,20703,25238,34011,11076,40797,25668,24563,"county_level",NA,"51107",NA,NA
"43",NA,"2009",360910,107074,57231,89770,71275,35560,219690,69860,66648,22173,35847,45997,19740,57572,37891,28294,"county_level",NA,"51153",NA,NA
"44",NA,"2009",7171,1497,842,1221,1877,1734,6486,405,91,632,1340,974,130,902,1316,858,"county_level",NA,"51157",NA,NA
"45",NA,"2009",118512,34196,17407,27171,24760,14978,91688,17881,7538,7000,13275,14748,5667,18445,13454,8791,"county_level",NA,"51177",NA,NA
"46",NA,"2009",120436,36326,18363,28700,25458,11589,88161,19970,9601,6049,11955,15565,6008,18983,13409,7185,"county_level",NA,"51179",NA,NA
"47",NA,"2009",36087,8700,5391,7795,8146,6055,33005,1824,1089,3392,5102,4082,1062,4637,4621,4380,"county_level",NA,"51187",NA,NA
"48",NA,"2009",142131,25230,28808,40579,25848,21666,91633,31039,19746,29207,20326,11142,2185,12170,15952,34738,"county_level",NA,"51510",NA,NA
"49",NA,"2009",23369,4741,4229,4855,5226,4318,16933,1244,3181,2258,2845,2446,884,2460,3061,2912,"county_level",NA,"51600",NA,NA
"50",NA,"2009",11233,2588,1894,1955,2718,2078,8888,572,1053,1321,1339,1174,296,1407,1237,1486,"county_level",NA,"51610",NA,NA
"51",NA,"2009",22314,4482,6829,3733,3081,4189,15596,4691,1723,4021,2718,1786,378,1984,2101,4818,"county_level",NA,"51630",NA,NA
"52",NA,"2009",35559,10309,5954,8055,7005,4236,23322,4046,9685,2439,3038,4168,1998,5270,3383,2990,"county_level",NA,"51683",NA,NA
"53",NA,"2009",11633,3605,1936,3082,1913,1097,7316,1288,3531,663,1118,1423,582,1712,1219,855,"county_level",NA,"51685",NA,NA
"54",NA,"2009",50791,12041,7466,11641,11397,8246,45371,3488,1910,4376,6887,6391,1837,6923,6833,5735,"county_level",NA,"54037",NA,NA
"55",NA,"2013",89332,22816,11978,16318,22865,15355,72777,12116,2658,6185,10537,10475,3726,12017,11604,7302,"county_level",NA,"24009",NA,NA
"56",NA,"2013",148957,38661,22250,31466,34273,22307,74894,61660,6815,11005,16108,18589,5545,19722,18172,13353,"county_level",NA,"24017",NA,NA
"57",NA,"2013",236668,58742,34279,48267,54840,40540,194610,20403,17971,18951,28261,30270,8855,32243,30907,23187,"county_level",NA,"24021",NA,NA
"58",NA,"2013",989474,235741,142546,209922,218638,182627,560930,170317,173135,91422,111229,118067,39845,128337,120589,111637,"county_level",NA,"24031",NA,NA
"59",NA,"2013",873481,204322,165809,186483,183953,132914,185930,560653,134192,84246,87379,94661,37155,109816,91655,101970,"county_level",NA,"24033",NA,NA
"60",NA,"2013",619371,105291,156363,145246,110874,101597,248141,310530,59479,119573,78272,52026,13778,54704,57881,151064,"county_level",NA,"11001",NA,NA
"61",NA,"2013",214861,34472,53048,60489,38258,28594,153109,17966,32809,38256,30962,20580,4656,19391,24192,50871,"county_level",NA,"51013",NA,NA
"62",NA,"2013",14191,3142,1459,2450,3698,3442,12860,753,514,1090,2270,1702,518,1759,2348,1473,"county_level",NA,"51043",NA,NA
"63",NA,"2013",47330,12114,6534,9620,10365,8697,36347,7071,4169,3349,5499,5376,1815,6100,5894,4045,"county_level",NA,"51047",NA,NA
"64",NA,"2013",1101071,265972,166153,246721,246602,175623,698963,101532,173532,88693,122680,134795,43740,144247,133782,111879,"county_level",NA,"51059",NA,NA
"65",NA,"2013",66015,16300,8090,12197,15917,13511,57759,5088,4344,4750,8184,7577,2619,7993,9260,5877,"county_level",NA,"51061",NA,NA
"66",NA,"2013",326477,98726,39318,85615,67975,34843,226884,23821,41283,18297,30079,43174,15447,52171,31222,23604,"county_level",NA,"51107",NA,NA
"67",NA,"2013",416668,119246,65777,98392,84416,48837,255662,84675,86314,23233,36833,49334,23042,62031,41415,28996,"county_level",NA,"51153",NA,NA
"68",NA,"2013",7448,1416,792,1157,1879,2204,6860,338,240,951,1260,868,182,843,1323,1095,"county_level",NA,"51157",NA,NA
"69",NA,"2013",124319,33688,17963,25695,27453,19520,93110,19556,9737,7074,13582,14846,6207,17649,15452,8608,"county_level",NA,"51177",NA,NA
"70",NA,"2013",131885,37038,21533,27582,30146,15586,93262,22645,12745,6352,13213,16709,5904,18928,15468,7782,"county_level",NA,"51179",NA,NA
"71",NA,"2013",37836,8940,5233,7455,8945,7263,34562,1554,1379,3366,5438,4266,1317,4718,5455,4214,"county_level",NA,"51187",NA,NA
"72",NA,"2013",143684,24911,27072,43283,27588,20830,92041,31291,23542,28088,20967,13164,3150,13887,17060,34422,"county_level",NA,"51510",NA,NA
"73",NA,"2013",23027,4844,3887,4834,4973,4489,16228,1154,3705,1829,2894,2973,796,2618,3214,2660,"county_level",NA,"51600",NA,NA
"74",NA,"2013",12731,3205,1737,2766,2716,2307,9804,678,1190,1615,1424,1638,343,1794,1298,1928,"county_level",NA,"51610",NA,NA
"75",NA,"2013",25931,5219,8195,4781,4039,3697,16893,6095,2812,3715,3164,2400,500,2889,2281,4609,"county_level",NA,"51630",NA,NA
"76",NA,"2013",39317,11020,7056,8938,7771,4532,29103,5568,12530,2383,3396,4263,2030,5065,4000,3007,"county_level",NA,"51683",NA,NA
"77",NA,"2013",15125,4268,2761,3974,2643,1479,10275,2025,5064,957,1067,1679,732,1961,1399,1075,"county_level",NA,"51685",NA,NA
"78",NA,"2013",54131,12667,8242,10978,12489,9755,47753,3490,2668,4507,7331,5961,2090,6587,7546,5756,"county_level",NA,"54037",NA,NA
"79",NA,"2017",90824,21739,12581,15753,22598,18153,73885,10797,3276,5861,11040,10776,3785,11593,12339,7530,"county_level",NA,"24009",NA,NA
"80",NA,"2017",156021,38383,24155,30783,36636,26064,72951,67351,8358,12467,15969,19777,6775,21395,19017,14576,"county_level",NA,"24017",NA,NA
"81",NA,"2017",246105,58317,36199,47694,57014,46881,199955,22103,21623,19564,30909,30500,9049,32177,33223,24622,"county_level",NA,"24021",NA,NA
"82",NA,"2017",1039198,243654,147327,215965,222791,209461,563929,187943,197242,92107,112316,124082,40737,131500,126860,110882,"county_level",NA,"24031",NA,NA
"83",NA,"2017",905161,203800,163332,188786,189806,159437,170009,572465,157427,86830,86602,94345,38917,103070,100106,103518,"county_level",NA,"24033",NA,NA
"84",NA,"2017",672391,118058,158115,170369,112823,113026,273471,321062,71829,121126,84873,56926,15060,59794,62020,156171,"county_level",NA,"11001",NA,NA
"85",NA,"2017",229534,39702,49680,66185,41266,32701,164102,20278,35687,40110,33829,23238,5133,22849,25026,54435,"county_level",NA,"51013",NA,NA
"86",NA,"2017",14331,3004,1730,2261,3670,3666,12800,703,685,1550,2148,1402,468,1583,2210,1775,"county_level",NA,"51043",NA,NA
"87",NA,"2017",49795,12568,6740,9532,10758,10197,38337,7150,4826,3431,5548,5461,2397,6546,6162,4129,"county_level",NA,"51047",NA,NA
"88",NA,"2017",1142004,271008,168205,249801,247893,205097,713926,110385,184595,87948,123480,138165,43787,144257,137784,111339,"county_level",NA,"51059",NA,NA
"89",NA,"2017",68406,16238,8937,12065,15899,15267,59448,5139,5141,5053,8319,7965,2644,8425,9442,6114,"county_level",NA,"51061",NA,NA
"90",NA,"2017",374558,108763,45589,93091,80306,46809,250975,28333,50426,20966,34119,48841,17373,57900,36669,26730,"county_level",NA,"51107",NA,NA
"91",NA,"2017",450763,124872,68783,103423,92946,60739,265523,94217,101042,25703,37824,51992,23787,63419,44804,31083,"county_level",NA,"51153",NA,NA
"92",NA,"2017",7359,1338,870,1062,1622,2467,6721,280,261,875,1285,724,247,727,1427,977,"county_level",NA,"51157",NA,NA
"93",NA,"2017",130159,33157,19313,25174,29227,23288,94968,20643,11706,8155,13888,15318,5918,16875,16570,9834,"county_level",NA,"51177",NA,NA
"94",NA,"2017",141159,37546,23156,28852,31834,19771,97462,23940,16515,6523,14330,17079,7413,20089,17011,8245,"county_level",NA,"51179",NA,NA
"95",NA,"2017",38991,8765,5768,7035,8933,8490,35339,1435,1622,3415,5005,4346,1424,4646,5418,4126,"county_level",NA,"51187",NA,NA
"96",NA,"2017",154710,27938,25075,47905,29976,23816,96411,34123,25900,28751,21693,14565,3654,15676,17565,35422,"county_level",NA,"51510",NA,NA
"97",NA,"2017",23580,5133,3778,4801,5181,4687,16104,1145,3985,1871,2716,3096,816,2635,3095,2769,"county_level",NA,"51600",NA,NA
"98",NA,"2017",13843,3442,1687,2890,3164,2660,10938,667,1474,1600,1638,1564,506,1747,1722,1839,"county_level",NA,"51610",NA,NA
"99",NA,"2017",28135,5850,8266,5441,4465,4113,18127,6326,3007,3781,3463,2582,593,3006,2695,4718,"county_level",NA,"51630",NA,NA
"100",NA,"2017",41379,11075,7105,9365,8079,5755,28105,5518,14477,2430,3820,4308,1982,5064,4497,2979,"county_level",NA,"51683",NA,NA
"101",NA,"2017",16117,4268,2608,4138,3281,1822,10413,2202,6085,977,1152,1588,1061,2162,1342,1274,"county_level",NA,"51685",NA,NA
"102",NA,"2017",55673,12692,7914,10650,12501,11916,48726,3669,2972,4771,7500,6336,2201,6997,7691,6120,"county_level",NA,"54037",NA,NA
