"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","household_with_kids","family_household_without_kids","non_family_household_without_kids","level","NAME","FIPS","county_name","LSAD"
"95",47900,"1980",34638,11536,6423,7698,4866,4115,26984,7765,281,1547,2958,4121,2106,5045,3822,1865,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"96",47900,"1970",20682,8608,3276,2993,3104,2701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"24009","Calvert County, MD","County or equivalent"
"97",47900,"2009",140181,38506,20294,33896,29707,17778,78576,52225,5134,10117,15558,17795,5501,20497,16650,11824,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"98",47900,"2013",148957,38661,22250,31466,34273,22307,74894,61660,6815,11005,16108,18589,5545,19722,18172,13353,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"99",47900,"2017",156021,38383,24155,30783,36636,26064,72951,67351,8358,12467,15969,19777,6775,21395,19017,14576,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"100",47900,"2018",157671,38347,24330,30632,36691,27671,71681,70047,8757,12417,16792,19726,6968,21694,19776,14433,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"101",47900,"2000",120546,34661,16448,32944,22842,13651,82460,31425,2660,7146,12718,16439,5372,17418,15082,9175,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"102",47900,"1990",101154,29712,20426,26630,14950,9436,80252,18425,1605,4702,9107,14331,4794,14845,12022,6067,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"103",47900,"1980",72751,25963,14266,17593,8785,6144,57464,14927,941,2555,4975,9135,4704,11750,6568,3051,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"104",47900,"1970",47678,21213,8779,8205,5844,3637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"24017","Charles County, MD","County or equivalent"
"105",47900,"2009",224185,58700,31860,50858,49586,33181,186928,18148,12566,18107,26469,28220,8478,31414,26948,22912,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"106",47900,"2013",236668,58742,34279,48267,54840,40540,194610,20403,17971,18951,28261,30270,8855,32243,30907,23187,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"107",47900,"2017",246105,58317,36199,47694,57014,46881,199955,22103,21623,19564,30909,30500,9049,32177,33223,24622,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"108",47900,"2018",248472,58354,36543,48113,56370,49092,201553,23337,22855,20279,31217,30365,9544,32444,33129,25832,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"109",47900,"2000",195277,53764,25670,52470,37938,25435,174293,12191,4598,14056,22836,25508,7715,27335,24943,17837,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"110",47900,"1990",150208,39527,28802,40918,21714,19247,140114,7961,1525,9390,16619,20888,5861,20887,19674,12197,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"111",47900,"1980",114792,34258,24110,25652,16170,14602,108032,6320,800,6075,10786,15077,5540,16820,13431,7227,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"112",47900,"1970",84927,29741,15821,15170,13539,10656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"24021","Frederick County, MD","County or equivalent"
"113",47900,"2009",946172,234412,135730,204619,211568,159843,569819,154422,142509,87724,107965,111182,37228,124160,112854,107085,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"114",47900,"2013",989474,235741,142546,209922,218638,182627,560930,170317,173135,91422,111229,118067,39845,128337,120589,111637,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"115",47900,"2017",1039198,243654,147327,215965,222791,209461,563929,187943,197242,92107,112316,124082,40737,131500,126860,110882,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"116",47900,"2018",1040133,243609,145967,214382,221327,214848,559927,189800,200307,91984,114018,123773,40452,131157,128126,110944,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"117",47900,"2000",873341,220580,115893,228838,178628,129402,564890,130849,100309,79246,101647,106080,37967,115808,110216,98916,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"118",47900,"1990",757027,177120,140965,210424,121404,107114,581379,92375,55372,62812,91603,98884,29604,96274,104248,82381,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"119",47900,"1980",579053,154081,114023,132652,102920,75377,515213,51882,22875,43582,63798,73375,26564,79798,73093,54428,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"120",47900,"1970",522809,189776,86519,103205,93455,49854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"county_level",NA,"24031","Montgomery County, MD","County or equivalent"
"121",47900,"2009",834986,211901,148413,188627,175210,110835,194919,533021,103186,83048,87414,92871,34604,110391,87116,100430,"county_level",NA,"24033","Prince George's County, MD","County or equivalent"
