"","CBSA","year","total_population","less_than_18","18_to_29","30_to_44","45_to_59","above_59","white_alone","AA_alone","hispanic_or_latino","household_size_1","household_size_2","household_size_3_to_4","household_size_more_than_4","NAME","level","FIPS","county_name","LSAD","msa_name"
"81",47900,"2000",76629,98517,8315,20225,14790,8656,62421,9672,1033,4155,7876,7533,3528,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"82",47900,"1990",51372,51372,8485,14246,7703,6286,42814,8066,525,2369,5052,7025,2501,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"83",47900,"1980",34638,52053,4494,9099,11727,8866,27005,7765,281,1547,2958,4121,2106,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"84",47900,"1970",32756,20682,3276,2993,3104,2701,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"85",47900,"2009",88055,23610,11575,19287,20954,12629,72067,12431,2212,5622,9453,11292,3367,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"86",47900,"2017",90824,21739,12581,15753,22598,18153,73885,10797,3276,5861,11040,10776,3785,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"87",47900,"2013",89332,22816,11978,16318,22865,15355,72777,12116,2658,6185,10537,10475,3726,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"88",47900,"2009",88055,23610,11575,19287,20954,12629,72067,12431,2212,5622,9453,11292,3367,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"89",47900,"2017",90824,21739,12581,15753,22598,18153,73885,10797,3276,5861,11040,10776,3785,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"90",47900,"2013",89332,22816,11978,16318,22865,15355,72777,12116,2658,6185,10537,10475,3726,NA,"county_level","24009","Calvert County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"91",47900,"2000",125866,158692,16448,32944,22842,12637,82460,31425,2660,7146,12718,11498,5372,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"92",47900,"1990",101154,101154,20426,26630,14950,9436,80252,18425,1605,4702,9107,14331,4794,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"93",47900,"1980",72751,109141,10456,18988,25024,13814,57811,14927,941,2555,4975,9135,4704,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"94",47900,"1970",74143,47678,8779,8205,5844,3637,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"95",47900,"2009",140181,38506,20294,33896,29707,17778,78576,52225,5134,10117,15558,17795,5501,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"96",47900,"2013",148957,38661,22250,31466,34273,22307,74894,61660,6815,11005,16108,18589,5545,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"97",47900,"2009",140181,38506,20294,33896,29707,17778,78576,52225,5134,10117,15558,17795,5501,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"98",47900,"2017",156021,38383,24155,30783,36636,26064,72951,67351,8358,12467,15969,19777,6775,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"99",47900,"2013",148957,38661,22250,31466,34273,22307,74894,61660,6815,11005,16108,18589,5545,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"100",47900,"2017",156021,38383,24155,30783,36636,26064,72951,67351,8358,12467,15969,19777,6775,NA,"county_level","24017","Charles County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"101",47900,"2000",204473,255944,25670,52470,37938,23477,174293,12191,4598,14056,22836,18020,7715,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"102",47900,"1990",150208,150208,28802,40918,21714,19247,140114,7961,1525,9390,16619,20888,5861,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"103",47900,"1980",114792,173413,18373,31235,38825,30760,108339,6320,800,6075,10786,15077,5540,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"104",47900,"1970",140113,84927,15821,15170,13539,10656,NA,NA,NA,NA,NA,NA,NA,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"105",47900,"2013",236668,58742,34279,48267,54840,40540,194610,20403,17971,18951,28261,30270,8855,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"106",47900,"2013",236668,58742,34279,48267,54840,40540,194610,20403,17971,18951,28261,30270,8855,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"107",47900,"2009",224185,58700,31860,50858,49586,33181,186928,18148,12566,18107,26469,28220,8478,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"108",47900,"2009",224185,58700,31860,50858,49586,33181,186928,18148,12566,18107,26469,28220,8478,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"109",47900,"2017",246105,58317,36199,47694,57014,46881,199955,22103,21623,19564,30909,30500,9049,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"110",47900,"2017",246105,58317,36199,47694,57014,46881,199955,22103,21623,19564,30909,30500,9049,NA,"county_level","24021","Frederick County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"111",47900,"2000",1073959,1162898,115893,228838,178628,116940,564890,130849,100309,79246,101647,77057,37967,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"112",47900,"1990",757027,757027,140965,210424,121404,107114,581379,92375,55372,62812,91603,98884,29604,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"113",47900,"1980",579053,879943,82063,154334,229370,171038,529304,51882,22875,43582,63798,73375,26564,NA,"county_level","24031","Montgomery County, MD","County or equivalent","Washington-Arlington-Alexandria, DC-VA-MD-WV"
