"statefips","countyfips","year","total_population","total_housing_units","median_housing_value","median_household_income","percent_families_with_children","county_name","state_name","state_code","total_single_family_households_since_2000","total_single_family_households_before_2000","total_2_to_4_family_households_since_2000","total_2_to_4_family_households_before_2000","total_5_to_19_family_households_since_2000","total_5_to_19_family_households_before_2000","total_20_to_49_family_households_since_2000","total_20_to_49_family_households_before_2000","total_50_or_more_family_households_since_2000","total_50_or_more_family_households_before_2000","total_owner_occupied","total_renter_occupied","median_gross_rent_as_a_percentage_of_household_income","area_type","county_name_state_code","series_id","period","cpi_index","cpi_indexed_2016","housing_units_pct_change_from_2000"
51,"153","2000",280813,98052,212500,93693,NA,"Prince William","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Prince William County, VA","CUUR0100AA0","M13",282.5,0.704,47.18
51,"157","2000",6983,3303,183665,65260,NA,"Rappahannock","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Rappahannock County, VA","CUUR0100AA0","M13",282.5,0.704,19.59
51,"177","2000",90395,33329,182528,81712,NA,"Spotsylvania","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Spotsylvania County, VA","CUUR0100AA0","M13",282.5,0.704,38.81
51,"179","2000",92446,31405,222159,94899,NA,"Stafford","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Stafford County, VA","CUUR0100AA0","M13",282.5,0.704,47.83
51,"187","2000",31584,13299,154545,60259,NA,"Warren","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Warren County, VA","CUUR0100AA0","M13",282.5,0.704,21.41
51,"510","2000",128283,64251,359091,79622,NA,"Alexandria city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban","Alexandria city, VA","CUUR0100AA0","M13",282.5,0.704,16.87
51,"600","2000",21498,8204,272869,96082,NA,"Fairfax city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Fairfax city, VA","CUUR0100AA0","M13",282.5,0.704,7.28
51,"610","2000",10377,4725,393608,106426,NA,"Falls Church city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Suburban","Falls Church city, VA","CUUR0100AA0","M13",282.5,0.704,20.83
51,"630","2000",19279,8888,192898,49126,NA,"Fredericksburg city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Fredericksburg city, VA","CUUR0100AA0","M13",282.5,0.704,28.12
51,"683","2000",35135,12114,219460,85808,NA,"Manassas city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Manassas city, VA","CUUR0100AA0","M13",282.5,0.704,10.49
51,"685","2000",10290,3365,164773,86355,NA,"Manassas Park city","Virginia","VA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Manassas Park city, VA","CUUR0100AA0","M13",282.5,0.704,45.38
54,"037","2000",42190,17623,165767,63031,NA,"Jefferson","West Virginia","WV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Exurban","Jefferson County, WV","CUUR0100AA0","M13",282.5,0.704,28.09
