"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"22209","District of Columbia",NA,11,"001",1753,5416,0.32,0.01,26,627,61.048,1515055.63567436,0,0,"0.37"
"22211","District of Columbia",NA,11,"001",43,40,1.07,0,0,33,61.048,4537564.46916312,0.213360905647278,4.70210191165898e-08,"6.1"
"22211","Arlington","County",51,"013",43,40,1.07,0,0,33,25.974,4537564.46916312,4537569.57760851,1.00000112581219,"6.1"
"22213","Arlington","County",51,"013",346,987,0.35,0.29,99,887,25.974,1507634.37275791,1485114.78473318,0.985062964581034,"0.37"
"22213","Falls Church","city",51,"610",346,987,0.35,0.29,99,887,1.999,1507634.37275791,21620.9323831797,0.0143409654050462,"0.37"
"22213","Fairfax","County",51,"059",346,987,0.35,0.29,99,887,390.969,1507634.37275791,894.768014553934,0.000593491386719406,"0.37"
"22214","Arlington","County",51,"013",0,0,0,0,0,0,25.974,104034.585793912,104034.585793912,1,"0.09"
"22302","Alexandria","city",51,"510",914,7435,0.12,0.04,33,3461,15.027,5839226.69333923,5547182.23575081,0.949985764738068,"0.19"
"22302","Arlington","County",51,"013",914,7435,0.12,0.04,33,3461,25.974,5839226.69333923,30771.6828035861,0.005269821573923,"0.19"
"22302","Fairfax","County",51,"059",914,7435,0.12,0.04,33,3461,390.969,5839226.69333923,261271.994864941,0.0447442801223957,"0.19"
"22305","Alexandria","city",51,"510",855,5650,0.15,0.12,106,2991,15.027,3617283.37846518,3611064.03983924,0.998280660380947,"0.19"
"22305","Arlington","County",51,"013",855,5650,0.15,0.12,106,2991,25.974,3617283.37846518,6216.89935925975,0.00171866528242463,"0.19"
"22314","District of Columbia",NA,11,"001",3976,12594,0.32,0.17,691,7100,61.048,10647991.7229401,0.492189675569534,4.62237094445855e-08,"0.37"
"22314","Fairfax","County",51,"059",3976,12594,0.32,0.17,691,7100,390.969,10647991.7229401,31804.8814632325,0.0029869370948807,"0.37"
"22314","Prince George's","County",24,"033",3976,12594,0.32,0.17,691,7100,482.691,10647991.7229401,7.29063764672022e-08,6.84696028736877e-15,"0.37"
"22314","Alexandria","city",51,"510",3976,12594,0.32,0.17,691,7100,15.027,10647991.7229401,10615982.5080188,0.996993873046278,"0.37"
"22314","Arlington","County",51,"013",3976,12594,0.32,0.17,691,7100,25.974,10647991.7229401,209.688625340583,1.96927862827718e-05,"0.37"
"22041","Arlington","County",51,"013",509,10110,0.05,0.82,415,2814,25.974,7576707.46040642,1123.7989944499,0.000148322869837925,"0.09"
"22041","Fairfax","County",51,"059",509,10110,0.05,0.82,415,2814,390.969,7576707.46040642,7572998.40212965,0.999510465687615,"0.09"
"22041","Alexandria","city",51,"510",509,10110,0.05,0.82,415,2814,15.027,7576707.46040642,2552.15415971586,0.000336842114210249,"0.09"
"22202","Alexandria","city",51,"510",3179,9575,0.33,0.05,149,2233,15.027,10176992.6196391,30994.8501071702,0.00304558048390029,"0.37"
"22202","Arlington","County",51,"013",3179,9575,0.33,0.05,149,2233,25.974,10176992.6196391,9985925.73322425,0.981225604306115,"0.37"
"22202","District of Columbia",NA,11,"001",3179,9575,0.33,0.05,149,2233,61.048,10176992.6196391,160095.869903402,0.015731157119487,"0.37"
"22206","Fairfax","County",51,"059",1672,8605,0.19,0.21,345,4158,390.969,5297746.31175709,411.686761319637,7.77097915024727e-05,"0.19"
"22206","Alexandria","city",51,"510",1672,8605,0.19,0.21,345,4158,15.027,5297746.31175709,248318.817610901,0.0468725384339028,"0.19"
"22206","Arlington","County",51,"013",1672,8605,0.19,0.21,345,4158,25.974,5297746.31175709,5049018.71214306,0.95305030007533,"0.19"
"22301","Alexandria","city",51,"510",449,4772,0.09,0.53,240,3782,15.027,3589584.67320478,3589584.67320478,1,"0.09"
"22302","Alexandria","city",51,"510",914,7435,0.12,0.04,33,3461,15.027,5839226.69333923,5547182.23575081,0.949985764738068,"0.19"
"22302","Arlington","County",51,"013",914,7435,0.12,0.04,33,3461,25.974,5839226.69333923,30771.6828035861,0.005269821573923,"0.19"
"22302","Fairfax","County",51,"059",914,7435,0.12,0.04,33,3461,390.969,5839226.69333923,261271.994864941,0.0447442801223957,"0.19"
"22303","Fairfax","County",51,"059",1080,5729,0.19,0.29,309,2485,390.969,3849326.11799436,3826175.8493713,0.993985890539428,"0.19"
"22303","Alexandria","city",51,"510",1080,5729,0.19,0.29,309,2485,15.027,3849326.11799436,23144.3036207214,0.00601255983807898,"0.19"
"22304","Alexandria","city",51,"510",2101,19122,0.11,0.47,978,5845,15.027,12265153.8233632,12221877.7559047,0.996471624564868,"0.19"
"22304","Fairfax","County",51,"059",2101,19122,0.11,0.47,978,5845,390.969,12265153.8233632,43278.3899621466,0.00352856479302429,"0.19"
