"ZCTA","NAME","LSAD","STATE","COUNTY","new_constructions","existing_constructions","new_existing_constructions_ratio","share_single_family_new_constructions","total_single_family_households_since_2000","total_single_family_households","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","brks"
"20912","Montgomery","County",24,"031",252,8920,0.03,0.44,112,3964,491.254,7053714.0166749,6437356.80953336,0.912619478804432,"460"
"22101","Fairfax","County",51,"059",1537,8911,0.17,0.93,1432,9584,390.969,35439944.8821993,35258185.1799388,0.994871332253347,"1636"
"22202","Arlington","County",51,"013",3149,9777,0.32,0.04,133,2181,25.974,10176992.6196391,9985925.73322425,0.981225604306115,"12036"
"22207","Arlington","County",51,"013",1245,10547,0.12,0.81,1012,10046,25.974,16571002.7153115,16450183.8930104,0.99270902163395,"1636"
"22209","Arlington","County",51,"013",1852,5331,0.35,0.02,36,745,25.974,1515055.63567436,1515047.90665364,0.999994898523505,"12036"
"22211","Arlington","County",51,"013",34,34,1,0,0,27,25.974,4537564.46916312,4537569.57760851,1.00000112581219,"80"
"22314","Alexandria","city",51,"510",4393,12699,0.35,0.19,830,7139,15.027,10647991.7229401,10615982.5080188,0.996993873046278,"12036"
"20011","District of Columbia",NA,11,"001",1213,23075,0.05,0.09,107,13612,61.048,12660480.7999454,12660466.3018587,0.999998854854972,"1636"
"20012","District of Columbia",NA,11,"001",286,5659,0.05,0.05,13,3658,61.048,5803079.64819336,5803097.15997553,1.00000301767048,"460"
"20015","District of Columbia",NA,11,"001",389,6048,0.06,0.12,48,4560,61.048,8925388.95455337,8924431.45925066,0.999892722288341,"460"
"20016","District of Columbia",NA,11,"001",646,13111,0.05,0.33,213,6788,61.048,11927452.3369294,11927441.3502834,0.999999078877388,"1636"
"20705","Prince George's","County",24,"033",1121,7681,0.15,0.76,855,5911,482.691,41345615.7018464,40884107.8489031,0.988837804320746,"1636"
"20707","Prince George's","County",24,"033",2542,9575,0.27,0.6,1526,7517,482.691,29389852.2616729,27359475.4047924,0.930915717479525,"12036"
"20783","Prince George's","County",24,"033",253,12204,0.02,0.22,56,5727,482.691,14547634.7671438,14542399.4103602,0.999640123163156,"460"
"20812","Montgomery","County",24,"031",6,94,0.06,1,6,99,491.254,876482.654953003,876482.689589024,1.00000003951706,"80"
"20814","Montgomery","County",24,"031",1671,11234,0.15,0.26,439,5668,491.254,13206170.6888839,13206170.6888839,1,"12036"
"20815","Montgomery","County",24,"031",985,11952,0.08,0.4,393,7035,491.254,14101992.6560829,14102936.473664,1.00006692795864,"1636"
"20816","Montgomery","County",24,"031",306,5773,0.05,0.89,272,4750,491.254,10625517.4215522,10619779.3284448,0.999459970476757,"460"
"20817","Montgomery","County",24,"031",1433,11833,0.12,0.77,1101,11438,491.254,36217630.3860575,36217630.3860575,1,"1636"
"20818","Montgomery","County",24,"031",112,681,0.16,0.88,99,744,491.254,3645859.43826887,3645859.56255531,1.00000003408975,"460"
"20832","Montgomery","County",24,"031",979,7837,0.12,0.77,758,8061,491.254,26114576.2806139,26114576.2806139,1,"1636"
"20833","Montgomery","County",24,"031",410,1966,0.21,1,410,2341,491.254,52390690.5084374,47461298.3304338,0.905910914130636,"460"
"20837","Montgomery","County",24,"031",242,1756,0.14,1,242,1985,491.254,118529174.142168,118529159.75714,0.999999878637232,"460"
"20838","Montgomery","County",24,"031",0,85,0,0,0,85,491.254,7012613.16269064,7012613.16269064,1,"80"
"20839","Montgomery","County",24,"031",0,23,0,0,0,23,491.254,12748897.0177481,12748897.0177481,1,"80"
"20841","Montgomery","County",24,"031",2118,749,2.83,0.94,1997,2746,491.254,69665244.3398016,69665244.3398016,1,"12036"
"20842","Montgomery","County",24,"031",73,634,0.12,0.81,59,693,491.254,144607550.591817,105801260.974307,0.731644098398098,"80"
"20850","Montgomery","County",24,"031",6654,12521,0.53,0.41,2713,11404,491.254,36728390.1645798,36728390.1645798,1,"12036"
"20851","Montgomery","County",24,"031",465,4425,0.11,0.02,10,3328,491.254,6086656.01204705,6086656.01204705,1,"1636"
"20852","Montgomery","County",24,"031",4291,16152,0.27,0.04,189,7064,491.254,21577225.4165254,21577225.4165254,1,"12036"
"20853","Montgomery","County",24,"031",254,9381,0.03,1,254,8578,491.254,23738254.9755324,23738254.9755324,1,"460"
"20854","Montgomery","County",24,"031",1212,15274,0.08,0.85,1032,16253,491.254,94509865.763139,94509716.683898,0.999998422606574,"1636"
"20855","Montgomery","County",24,"031",322,4623,0.07,0.66,212,4597,491.254,34561750.5600028,34561750.5600028,1,"460"
"20860","Montgomery","County",24,"031",437,513,0.85,1,437,803,491.254,9907308.87969363,9907308.87969363,1,"460"
"20861","Montgomery","County",24,"031",159,392,0.41,1,159,551,491.254,9899572.0799509,9882424.5575065,0.998267852155032,"460"
"20862","Montgomery","County",24,"031",14,97,0.14,1,14,111,491.254,3066795.38869667,3060117.18760082,0.99782241713273,"80"
"20866","Montgomery","County",24,"031",371,4365,0.08,1,371,4165,491.254,18970552.5146591,18899859.6398902,0.996273546871431,"460"
"20868","Montgomery","County",24,"031",21,196,0.11,1,21,217,491.254,5203895.03634545,5203895.03634545,1,"80"
"20871","Montgomery","County",24,"031",5039,1201,4.2,0.87,4369,5504,491.254,53356061.8743873,50702602.3669164,0.950268827678517,"12036"
