"GEO_ID","STATE","COUNTY","NAME","LSAD","CENSUSAREA","ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","zcta_area","intersected_area","percent_intersected_area"
"0500000US51059","51","059","Fairfax","County",390.969,"22039","8600000US22039","22039",61194728,2250722,63472717.401319,63408245.676798,0.998984260842128
"0500000US51013","51","013","Arlington","County",25.974,"22213","8600000US22213","22213",1504264,0,1507634.3727932,1485114.78479064,0.985062964596091
"0500000US51153","51","153","Prince William","County",336.402,"20136","8600000US20136","20136",37943843,669717,38577440.6439931,38567532.2454011,0.99974315562602
"0500000US51061","51","061","Fauquier","County",647.449,"20198","8600000US20198","20198",188690284,795592,189486664.619843,189189402.527229,0.998431224206675
"0500000US51107","51","107","Loudoun","County",515.561,"20141","8600000US20141","20141",70525722,753046,71254887.2576659,71254887.2576658,0.999999999999999
"0500000US24031","24","031","Montgomery","County",491.254,"20902","8600000US20902","20902",19640642,77099,19760898.0658197,19760898.0658197,1
"0500000US24033","24","033","Prince George's","County",482.691,"20707","8600000US20707","20707",28885910,477550,29389852.2615923,27359475.4047801,0.930915717481656
"0500000US24033","24","033","Prince George's","County",482.691,"20710","8600000US20710","20710",2860421,6160,2866204.86686471,2866204.86686471,1
"0500000US24031","24","031","Montgomery","County",491.254,"20839","8600000US20839","20839",12689689,41061,12748897.0177948,12748897.0177948,1
"0500000US51043","51","043","Clarke","County",176.177,"20135","8600000US20135","20135",115393095,1646416,117057876.965819,63317510.1761794,0.540907727163616
"0500000US54037","54","037","Jefferson","County",209.635,"25443","8600000US25443","25443",71251189,0,71238901.1375926,68366756.4131222,0.959682916516033
"0500000US51153","51","153","Prince William","County",336.402,"22191","8600000US22191","22191",40949467,11848434,42734724.7107511,42538400.0222776,0.995405968101999
"0500000US51059","51","059","Fairfax","County",390.969,"22031","8600000US22031","22031",17676040,134967,17814974.8609,14558218.2713695,0.817189941891053
"0500000US51179","51","179","Stafford","County",268.956,"22554","8600000US22554","22554",171913503,15433125,184402152.878844,184011842.81549,0.997883375778096
"0500000US51061","51","061","Fauquier","County",647.449,"22742","8600000US22742","22742",57387740,305179,57675127.8599892,57648292.0075512,0.99953470666761
"0500000US51107","51","107","Loudoun","County",515.561,"20158","8600000US20158","20158",37682342,221823,37915130.8495194,37915130.8495194,1
"0500000US51043","51","043","Clarke","County",176.177,"22663","8600000US22663","22663",57181593,225711,57381348.173485,45181066.9840662,0.787382458276636
"0500000US51043","51","043","Clarke","County",176.177,"22620","8600000US22620","22620",118496712,2656206,121212503.765688,121152820.215573,0.999507612265559
"0500000US24033","24","033","Prince George's","County",482.691,"20706","8600000US20706","20706",26783699,131889,27012480.3387544,27012480.3387544,1
"0500000US24021","24","021","Frederick","County",660.221,"21716","8600000US21716","21716",8355847,1745954,10122655.6604657,10122655.7787368,1.00000001168381
"0500000US24021","24","021","Frederick","County",660.221,"21714","8600000US21714","21714",74856,0,78897.4085945487,78897.4085945487,1
"0500000US24031","24","031","Montgomery","County",491.254,"20817","8600000US20817","20817",35973981,195398,36217630.3861042,36217630.3861042,1
"0500000US24033","24","033","Prince George's","County",482.691,"20747","8600000US20747","20747",19800092,5038,19839597.22413,19839597.22413,1
"0500000US24021","24","021","Frederick","County",660.221,"21717","8600000US21717","21717",944626,10584,967527.55276227,967527.55276227,1
"0500000US24017","24","017","Charles","County",457.749,"20675","8600000US20675","20675",15647643,0,15660367.4530172,15660367.4530172,1
"0500000US51059","51","059","Fairfax","County",390.969,"22124","8600000US22124","22124",26253243,215644,26452785.988764,26452785.988764,1
"0500000US51059","51","059","Fairfax","County",390.969,"20120","8600000US20120","20120",44493598,781323,45250137.9581884,42799755.2908497,0.945848061952809
"0500000US51179","51","179","Stafford","County",268.956,"22556","8600000US22556","22556",81828924,877766,82742081.8430662,82688242.8946896,0.999349316004899
"0500000US51013","51","013","Arlington","County",25.974,"22201","8600000US22201","22201",6055810,0,6052536.18615705,6052536.18615705,1
"0500000US24031","24","031","Montgomery","County",491.254,"20876","8600000US20876","20876",30253550,122385,30336821.1589357,30336821.1589357,1
"0500000US11001","11","001","District of Columbia",NA,61.048,"20202","8600000US20202","20202",18721,0,18598.0933298944,18598.0933298944,1
"0500000US51047","51","047","Culpeper","County",379.234,"22714","8600000US22714","22714",57820728,543600,58342898.2151051,58311918.0444016,0.99946899842738
"0500000US51157","51","157","Rappahannock","County",266.227,"22749","8600000US22749","22749",49851483,178385,49985357.7538872,49985357.7538872,1
"0500000US51047","51","047","Culpeper","County",379.234,"22713","8600000US22713","22713",69029978,254302,69331363.2384802,41088497.0245842,0.592639392986568
"0500000US51107","51","107","Loudoun","County",515.561,"20152","8600000US20152","20152",64505251,868182,65363017.1168936,65148750.926968,0.996721904841963
