"STATE","COUNTY","ZCTA","CENSUSAREA","zcta_area","intersected_area","percent_intersected_area","NAME","LSAD"
"24","017","20658",457.749,7780603.00986481,7780603.00986481,1,"Charles","County"
"24","017","20662",457.749,154331075.977407,153680682.153536,0.995785723518399,"Charles","County"
"24","017","20664",457.749,111086049.810629,110654267.142273,0.996113079283206,"Charles","County"
"24","017","20677",457.749,44780216.9608692,44780216.9608817,1.00000000000028,"Charles","County"
"24","017","20695",457.749,32925359.2217402,32925359.2217402,1,"Charles","County"
"24","017","20602",457.749,36157034.0888521,36157034.0888521,1,"Charles","County"
"24","017","20603",457.749,44414836.5369154,44383832.1025531,0.999301935191485,"Charles","County"
"24","017","20612",457.749,1955041.30456537,1930926.25570869,0.987665197251658,"Charles","County"
"24","017","20617",457.749,16982806.3976395,16982806.3976395,1,"Charles","County"
"24","017","20622",457.749,98447824.6889968,82611536.8484531,0.839140296999232,"Charles","County"
"24","017","20632",457.749,19473833.6890022,19473833.6890022,1,"Charles","County"
"24","017","22060",457.749,38289250.9895487,8.58306884765625e-06,2.24163926580832e-13,"Charles","County"
"24","017","22079",457.749,81594676.1301242,0,0,"Charles","County"
"24","017","20693",457.749,60770668.1134751,60668155.6440783,0.998313125845426,"Charles","County"
"24","017","20645",457.749,6414480.78047568,5878690.24628311,0.916471721947723,"Charles","County"
"24","017","20678",457.749,129035832.94957,2721.54730924964,2.109140730167e-05,"Charles","County"
"24","017","20607",457.749,54891070.6801748,1889939.38617803,0.034430725485204,"Charles","County"
"24","021","21705",660.221,59372.1794168055,59372.1794168055,1,"Frederick","County"
"24","021","21719",660.221,8762485.9333663,237258.646172889,0.0270766364679048,"Frederick","County"
"24","021","21740",660.221,181632733.681579,0,0,"Frederick","County"
"24","021","17325",660.221,334425997.203995,0,0,"Frederick","County"
"24","021","21780",660.221,58324465.4095902,56687289.2792521,0.971929856213153,"Frederick","County"
"24","021","21718",660.221,1179178.63576972,1179178.63576972,1,"Frederick","County"
"24","021","21783",660.221,116388534.550738,29916056.0205466,0.257036108720015,"Frederick","County"
"24","021","21716",660.221,10122655.6604268,10122655.7786808,1.00000001168211,"Frederick","County"
"24","021","21714",660.221,78897.4086015522,78897.4086015522,1,"Frederick","County"
"24","021","21717",660.221,967527.552774429,967527.552774429,1,"Frederick","County"
"24","021","21727",660.221,83598387.642118,83583671.2425995,0.999823963117788,"Frederick","County"
"24","021","21777",660.221,7826135.61538082,7826137.82352865,1.00000028215047,"Frederick","County"
"24","021","21762",660.221,942473.198928714,942473.198928714,1,"Frederick","County"
"24","021","21774",660.221,37970558.4634686,37970558.4634686,1,"Frederick","County"
"24","021","21758",660.221,90602760.6458733,42081814.343984,0.464465034442642,"Frederick","County"
"24","021","21710",660.221,67306834.3923116,67306834.3923116,1,"Frederick","County"
"24","021","20842",660.221,144607550.591817,38806279.1932697,0.268355829515486,"Frederick","County"
"24","021","20871",660.221,53356061.8743873,2653459.50743698,0.0497311723208481,"Frederick","County"
"24","021","20872",660.221,54048798.5348558,1425.3185430374,2.63709570180033e-05,"Frederick","County"
"24","021","21769",660.221,106383602.601286,105759353.802104,0.994132095699728,"Frederick","County"
"24","021","21770",660.221,28622554.3571894,28500213.588236,0.995725721491286,"Frederick","County"
"24","021","21771",660.221,220778674.345171,110549278.223294,0.500724440669748,"Frederick","County"
"24","021","21773",660.221,100515051.893401,100465526.968403,0.999507288470079,"Frederick","County"
"24","021","21776",660.221,91537326.693207,22237587.3890766,0.242934638714185,"Frederick","County"
"24","021","17320",660.221,144179270.840384,0,0,"Frederick","County"
"24","021","21778",660.221,46367772.006706,46357298.2836747,0.99977411631877,"Frederick","County"
"24","021","21779",660.221,23241261.0440277,14322.6618732214,0.000616260100778907,"Frederick","County"
"24","021","21791",660.221,127853949.087533,76926844.1052681,0.60167749728717,"Frederick","County"
"24","021","21793",660.221,52875487.7466606,52875487.7466606,1,"Frederick","County"
"24","021","21701",660.221,102532833.242765,102532833.242765,1,"Frederick","County"
"24","021","21704",660.221,68280080.4569738,68280080.4569738,1,"Frederick","County"
"24","021","21713",660.221,109512728.850769,64914.0363544085,0.000592753345073391,"Frederick","County"
"24","021","21742",660.221,130735908.005528,0,0,"Frederick","County"
"24","021","17214",660.221,10287563.1810315,0,0,"Frederick","County"
