estimate_year,index,FL_011,FL_086,FL_099,MSA
2013-2017,B01001_47_75_to_79_years,28365,42684,33909,33100.0
2013-2017,B01001_48_80_to_84_years,22247,35977,27519,33100.0
2013-2017,B01001_49_85_years_and_over,28405,39678,34154,33100.0
2013-2017,B02001_1_total,1890416,2702602,1426772,33100.0
2013-2017,B02001_2_white_alone,1165004,2043272,1058016,33100.0
2013-2017,B02001_3_black_or_african_american_alone,536589,485602,264224,33100.0
2013-2017,B02001_4_american_indian_and_alaska_native_alone,5050,4040,2268,33100.0
2013-2017,B02001_5_asian_alone,67822,42770,37232,33100.0
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,1102,724,510,33100.0
2013-2017,B02001_7_some_other_race_alone,57417,84892,33692,33100.0
2013-2017,B02001_8_two_or_more_races,57432,41302,30830,33100.0
2013-2017,B02001_9_two_races_including_some_other_race,11864,12656,6175,33100.0
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",45568,28646,24655,33100.0
2013-2017,B11001_1_total,675828,858289,543591,33100.0
2013-2017,B11001_2_family_households,433887,585476,339462,33100.0
2013-2017,B11001_3_married-couple_family,293275,370596,249690,33100.0
2013-2017,B11001_4_other_family,140612,214880,89772,33100.0
2013-2017,"B11001_5_male_householder,_no_wife_present",35166,58298,25394,33100.0
2013-2017,"B11001_6_female_householder,_no_husband_present",105446,156582,64378,33100.0
2013-2017,B11001_7_nonfamily_households,241941,272813,204129,33100.0
2013-2017,B11001_8_householder_living_alone,195337,226042,168581,33100.0
2013-2017,B11001_9_householder_not_living_alone,46604,46771,35548,33100.0
2013-2017,B15002_1_total,1327173,1906299,1037150,33100.0
2013-2017,B15002_2_male,633172,906451,492123,33100.0
2013-2017,B15002_3_no_schooling_completed,10546,20233,8669,33100.0
2013-2017,B15002_4_nursery_to_4th_grade,3885,13025,6611,33100.0
2013-2017,B15002_5_5th_and_6th_grade,8783,30436,9572,33100.0
2013-2017,B15002_6_7th_and_8th_grade,8763,21378,7249,33100.0
2013-2017,B15002_7_9th_grade,6727,22049,6670,33100.0
2013-2017,B15002_8_10th_grade,9753,15719,7212,33100.0
2013-2017,B15002_9_11th_grade,11055,15901,8778,33100.0
2013-2017,"B15002_10_12th_grade,_no_diploma",14186,31091,9642,33100.0
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),171611,264216,120056,33100.0
2013-2017,"B15002_12_some_college,_less_than_1_year",34861,38058,25977,33100.0
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",94504,106285,65804,33100.0
2013-2017,B15002_14_associate's_degree,57561,77499,36743,33100.0
2013-2017,B15002_15_bachelor's_degree,127479,156269,109991,33100.0
2013-2017,B15002_16_master's_degree,46087,54492,39043,33100.0
2013-2017,B15002_17_professional_school_degree,19218,28924,20895,33100.0
2013-2017,B15002_18_doctorate_degree,8153,10876,9211,33100.0
2013-2017,B15002_19_female,694001,999848,545027,33100.0
2013-2017,B15002_20_no_schooling_completed,11719,26890,9514,33100.0
2013-2017,B15002_21_nursery_to_4th_grade,3889,18280,4639,33100.0
2013-2017,B15002_22_5th_and_6th_grade,9224,40514,8243,33100.0
2013-2017,B15002_23_7th_and_8th_grade,9199,24178,6799,33100.0
2013-2017,B15002_24_9th_grade,8366,22178,5419,33100.0
2013-2017,B15002_25_10th_grade,9602,14634,6905,33100.0
2013-2017,B15002_26_11th_grade,11384,14764,7558,33100.0
2013-2017,"B15002_27_12th_grade,_no_diploma",14228,31063,10416,33100.0
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),189805,273223,138670,33100.0
2013-2017,"B15002_29_some_college,_less_than_1_year",41077,41865,33017,33100.0
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",94358,115158,77980,33100.0
2013-2017,B15002_31_associate's_degree,74235,97466,54261,33100.0
2013-2017,B15002_32_bachelor's_degree,139182,182733,115918,33100.0
2013-2017,B15002_33_master's_degree,57518,64902,49319,33100.0
2013-2017,B15002_34_professional_school_degree,13691,21965,10356,33100.0
2013-2017,B15002_35_doctorate_degree,6524,10035,6013,33100.0
2013-2017,B19001_1_total,675828,858289,543591,33100.0
2013-2017,"B19001_2_less_than_$10,000",45747,85270,32784,33100.0
2013-2017,"B19001_3_$10,000_to_$14,999",31525,54740,23453,33100.0
2013-2017,"B19001_4_$15,000_to_$19,999",34566,51870,27341,33100.0
2013-2017,"B19001_5_$20,000_to_$24,999",35711,53234,28673,33100.0
2013-2017,"B19001_6_$25,000_to_$29,999",33962,47810,27608,33100.0
2013-2017,"B19001_7_$30,000_to_$34,999",34554,43412,27023,33100.0
2013-2017,"B19001_8_$35,000_to_$39,999",31793,41367,24754,33100.0
2013-2017,"B19001_9_$40,000_to_$44,999",32881,40931,26306,33100.0
2013-2017,"B19001_10_$45,000_to_$49,999",28728,36480,21318,33100.0
2013-2017,"B19001_11_$50,000_to_$59,999",52997,63248,42688,33100.0
2013-2017,"B19001_12_$60,000_to_$74,999",67889,77426,51674,33100.0
2013-2017,"B19001_13_$75,000_to_$99,999",80405,87953,62630,33100.0
2013-2017,"B19001_14_$100,000_to_$124,999",56970,58400,45050,33100.0
2013-2017,"B19001_15_$125,000_to_$149,999",32218,33702,27235,33100.0
2013-2017,"B19001_16_$150,000_to_$199,999",36024,36256,31831,33100.0
2013-2017,"B19001_17_$200,000_or_more",39858,46190,43223,33100.0
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),54895,46338,57256,33100.0
2013-2017,B25001_1_total,818382,1008908,678673,33100.0
2013-2017,B25003_1_total,675828,858289,543591,33100.0
2013-2017,B25003_2_owner_occupied,420780,448011,372677,33100.0
2013-2017,B25003_3_renter_occupied,255048,410278,170914,33100.0
2013-2017,B25024_1_total,818382,1008908,678673,33100.0
2013-2017,"B25024_2_1,_detached",339603,402273,311781,33100.0
2013-2017,"B25024_3_1,_attached",68307,101184,69317,33100.0
2013-2017,B25024_4_2,20569,19091,19504,33100.0
2013-2017,B25024_5_3_or_4,36645,35151,47607,33100.0
2013-2017,B25024_6_5_to_9,45407,53378,41848,33100.0
2013-2017,B25024_7_10_to_19,61349,69799,44875,33100.0
2013-2017,B25024_8_20_to_49,97670,88666,65444,33100.0
2013-2017,B25024_9_50_or_more,125519,225995,58537,33100.0
2013-2017,B25024_10_mobile_home,22746,13071,19486,33100.0
2013-2017,"B25024_11_boat,_rv,_van,_etc.",567,300,274,33100.0
2013-2017,B25077_1_median_value_(dollars),223400,242800,242500,33100.0
2013-2017,B25034_1_total,818382,1008908,678673,33100.0
2013-2017,B25034_2_built_2014_or_later,4388,8424,4911,33100.0
2013-2017,B25034_3_built_2010_to_2013,9517,16261,9959,33100.0
2013-2017,B25034_4_built_2000_to_2009,89739,139108,112288,33100.0
2013-2017,B25034_5_built_1990_to_1999,133167,127714,119106,33100.0
2013-2017,B25034_6_built_1980_to_1989,150365,150110,190105,33100.0
2013-2017,B25034_7_built_1970_to_1979,217035,192767,133980,33100.0
2013-2017,B25034_8_built_1960_to_1969,124787,135911,54093,33100.0
2013-2017,B25034_9_built_1950_to_1959,73513,143100,34267,33100.0
2013-2017,B25034_10_built_1940_to_1949,9412,56481,8602,33100.0
2013-2017,B25034_11_built_1939_or_earlier,6459,39032,11362,33100.0
2013-2017,B25127_1_total,675828,858289,543591,33100.0
2013-2017,B25127_2_owner_occupied,420780,448011,372677,33100.0
2013-2017,B25127_3_built_2010_or_later,4122,6661,7405,33100.0
2013-2017,"B25127_4_1,_detached__or_attached",3428,5444,6903,33100.0
2013-2017,B25127_5_2_to_4,31,111,82,33100.0
2013-2017,B25127_6_5_to_19,106,335,182,33100.0
2013-2017,B25127_7_20_to_49,74,111,32,33100.0
2013-2017,B25127_8_50_or_more,155,519,90,33100.0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",328,141,116,33100.0
2013-2017,B25127_10_built_2000_to_2009,45727,53132,64048,33100.0
2013-2017,"B25127_11_1,_detached__or_attached",36719,36956,56510,33100.0
2013-2017,B25127_12_2_to_4,972,1050,1152,33100.0
2013-2017,B25127_13_5_to_19,1743,2356,1348,33100.0
2013-2017,B25127_14_20_to_49,1084,1730,960,33100.0
2013-2017,B25127_15_50_or_more,3252,10323,2369,33100.0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",1957,717,1709,33100.0
2013-2017,B25127_17_built_1980_to_1999,156606,133841,175760,33100.0
2013-2017,"B25127_18_1,_detached__or_attached",116959,97810,133459,33100.0
2013-2017,B25127_19_2_to_4,3655,3577,11830,33100.0
2013-2017,B25127_20_5_to_19,9901,8606,11843,33100.0
2013-2017,B25127_21_20_to_49,11250,5350,8275,33100.0
2013-2017,B25127_22_50_or_more,11099,15249,6486,33100.0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",3742,3249,3867,33100.0
2013-2017,B25127_24_built_1960_to_1979,166946,136779,96332,33100.0
2013-2017,"B25127_25_1,_detached__or_attached",103126,93835,58915,33100.0
2013-2017,B25127_26_2_to_4,3540,2568,6352,33100.0
2013-2017,B25127_27_5_to_19,9560,5151,7964,33100.0
2013-2017,B25127_28_20_to_49,19392,8630,10773,33100.0
2013-2017,B25127_29_50_or_more,25740,23985,7868,33100.0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",5588,2610,4460,33100.0
2013-2017,B25127_31_built_1940_to_1959,44673,103508,24053,33100.0
2013-2017,"B25127_32_1,_detached__or_attached",40100,97338,21483,33100.0
2013-2017,B25127_33_2_to_4,965,1215,583,33100.0
2013-2017,B25127_34_5_to_19,778,1449,502,33100.0
2013-2017,B25127_35_20_to_49,1102,1391,529,33100.0
2013-2017,B25127_36_50_or_more,1450,1607,627,33100.0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",278,508,329,33100.0
2013-2017,B25127_38_built_1939_or_earlier,2706,14090,5079,33100.0
2013-2017,"B25127_39_1,_detached__or_attached",2057,12628,4417,33100.0
2013-2017,B25127_40_2_to_4,115,399,149,33100.0
2013-2017,B25127_41_5_to_19,156,426,136,33100.0
2013-2017,B25127_42_20_to_49,159,262,156,33100.0
2013-2017,B25127_43_50_or_more,183,236,76,33100.0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",36,139,145,33100.0
2013-2017,B25127_45_renter_occupied,255048,410278,170914,33100.0
2013-2017,B25127_46_built_2010_or_later,7873,13849,5718,33100.0
2013-2017,"B25127_47_1,_detached__or_attached",1157,1674,1297,33100.0
2013-2017,B25127_48_2_to_4,751,938,727,33100.0
2013-2017,B25127_49_5_to_19,2144,3234,1178,33100.0
2013-2017,B25127_50_20_to_49,1301,1917,1242,33100.0
2013-2017,B25127_51_50_or_more,2414,6051,1155,33100.0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",106,35,119,33100.0
2013-2017,B25127_53_built_2000_to_2009,28265,52789,27951,33100.0
2013-2017,"B25127_54_1,_detached__or_attached",8267,13174,9799,33100.0
2013-2017,B25127_55_2_to_4,2484,3867,2754,33100.0
2013-2017,B25127_56_5_to_19,7484,8793,7056,33100.0
2013-2017,B25127_57_20_to_49,3729,5257,3316,33100.0
2013-2017,B25127_58_50_or_more,5539,21252,4183,33100.0
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",762,446,843,33100.0
2013-2017,B25127_60_built_1980_to_1999,89374,107439,74896,33100.0
2013-2017,"B25127_61_1,_detached__or_attached",22661,30597,19684,33100.0
2013-2017,B25127_62_2_to_4,11166,8944,14310,33100.0
2013-2017,B25127_63_5_to_19,29259,24541,21845,33100.0
2013-2017,B25127_64_20_to_49,12649,16372,9419,33100.0
2013-2017,B25127_65_50_or_more,11867,25375,7805,33100.0
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",1772,1610,1833,33100.0
2013-2017,B25127_67_built_1960_to_1979,99363,141757,46306,33100.0
2013-2017,"B25127_68_1,_detached__or_attached",24671,35456,13170,33100.0
2013-2017,B25127_69_2_to_4,19253,13702,10608,33100.0
2013-2017,B25127_70_5_to_19,21451,29052,9478,33100.0
2013-2017,B25127_71_20_to_49,16309,23746,6117,33100.0
2013-2017,B25127_72_50_or_more,15785,37768,4917,33100.0
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",1894,2033,2016,33100.0
2013-2017,B25127_74_built_1940_to_1959,27031,76184,12459,33100.0
2013-2017,"B25127_75_1,_detached__or_attached",12358,34508,7326,33100.0
2013-2017,B25127_76_2_to_4,6024,9189,2702,33100.0
2013-2017,B25127_77_5_to_19,4704,16618,1324,33100.0
2013-2017,B25127_78_20_to_49,2137,8540,525,33100.0
2013-2017,B25127_79_50_or_more,1607,6660,479,33100.0
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",201,669,103,33100.0
2013-2017,B25127_81_built_1939_or_earlier,3142,18260,3584,33100.0
2013-2017,"B25127_82_1,_detached__or_attached",918,6447,1681,33100.0
2013-2017,B25127_83_2_to_4,768,2940,1025,33100.0
2013-2017,B25127_84_5_to_19,729,5380,547,33100.0
2013-2017,B25127_85_20_to_49,261,1945,133,33100.0
2013-2017,B25127_86_50_or_more,388,1433,168,33100.0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",78,115,30,33100.0
2013-2017,B03002_1_total,1890416,2702602,1426772,33100.0
2013-2017,B03002_2_not_hispanic_or_latino,1354429,879564,1122562,33100.0
2013-2017,B03002_3_white_alone,721241,371233,799018,33100.0
2013-2017,B03002_4_black_or_african_american_alone,518277,441604,257856,33100.0
2013-2017,B03002_5_american_indian_and_alaska_native_alone,3156,2344,1122,33100.0
2013-2017,B03002_6_asian_alone,66304,40868,36798,33100.0
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,844,541,437,33100.0
2013-2017,B03002_8_some_other_race_alone,9752,6840,5693,33100.0
2013-2017,B03002_9_two_or_more_races,34855,16134,21638,33100.0
2013-2017,B03002_10_two_races_including_some_other_race,4066,2374,2118,33100.0
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",30789,13760,19520,33100.0
2013-2017,B03002_12_hispanic_or_latino,535987,1823038,304210,33100.0
2013-2017,B03002_13_white_alone,443763,1672039,258998,33100.0
2013-2017,B03002_14_black_or_african_american_alone,18312,43998,6368,33100.0
2013-2017,B03002_15_american_indian_and_alaska_native_alone,1894,1696,1146,33100.0
2013-2017,B03002_16_asian_alone,1518,1902,434,33100.0
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,258,183,73,33100.0
2013-2017,B03002_18_some_other_race_alone,47665,78052,27999,33100.0
2013-2017,B03002_19_two_or_more_races,22577,25168,9192,33100.0
2013-2017,B03002_20_two_races_including_some_other_race,7798,10282,4057,33100.0
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",14779,14886,5135,33100.0
2013-2017,B11005_1_total,675828,858289,543591,33100.0
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,211429,284491,142351,33100.0
2013-2017,B11005_3_family_households,210020,282903,141310,33100.0
2013-2017,B11005_4_married-couple_family,126510,167235,88682,33100.0
2013-2017,B11005_5_other_family,83510,115668,52628,33100.0
2013-2017,"B11005_6_male_householder,_no_wife_present",18468,26723,13793,33100.0
2013-2017,"B11005_7_female_householder,_no_husband_present",65042,88945,38835,33100.0
2013-2017,B11005_8_nonfamily_households,1409,1588,1041,33100.0
2013-2017,B11005_9_male_householder,937,1127,815,33100.0
2013-2017,B11005_10_female_householder,472,461,226,33100.0
2013-2017,B11005_11_households_with_no_people_under_18_years,464399,573798,401240,33100.0
2013-2017,B11005_12_family_households,223867,302573,198152,33100.0
2013-2017,B11005_13_married-couple_family,166765,203361,161008,33100.0
2013-2017,B11005_14_other_family,57102,99212,37144,33100.0
2013-2017,"B11005_15_male_householder,_no_wife_present",16698,31575,11601,33100.0
2013-2017,"B11005_16_female_householder,_no_husband_present",40404,67637,25543,33100.0
2013-2017,B11005_17_nonfamily_households,240532,271225,203088,33100.0
2013-2017,B11005_18_male_householder,115223,130304,85238,33100.0
2013-2017,B11005_19_female_householder,125309,140921,117850,33100.0
2013-2017,B11016_1_total,675828,858289,543591,33100.0
2013-2017,B11016_2_family_households,433887,585476,339462,33100.0
2013-2017,B11016_3_2-person_household,178248,209509,168479,33100.0
2013-2017,B11016_4_3-person_household,105420,158363,73505,33100.0
2013-2017,B11016_5_4-person_household,92223,126611,58583,33100.0
2013-2017,B11016_6_5-person_household,36887,56532,24743,33100.0
2013-2017,B11016_7_6-person_household,14149,21641,8591,33100.0
2013-2017,B11016_8_7-or-more_person_household,6960,12820,5561,33100.0
2013-2017,B11016_9_nonfamily_households,241941,272813,204129,33100.0
2013-2017,B11016_10_1-person_household,195337,226042,168581,33100.0
2013-2017,B11016_11_2-person_household,40587,40305,30440,33100.0
2013-2017,B11016_12_3-person_household,4322,4221,3389,33100.0
2013-2017,B11016_13_4-person_household,1107,1547,1125,33100.0
2013-2017,B11016_14_5-person_household,331,427,376,33100.0
2013-2017,B11016_15_6-person_household,152,130,147,33100.0
2013-2017,B11016_16_7-or-more_person_household,105,141,71,33100.0
