estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2005-2009,B02001_7_some_other_race_alone,688275,3942,29730,561,62922,3787,53359,12270,37745,160,37825,51,2700,7336
2005-2009,B02001_8_two_or_more_races,82722,1895,14795,764,9041,2449,13210,4628,12265,245,10697,260,2600,3224
2005-2009,B02001_9_two_races_including_some_other_race,28975,507,3369,125,3157,777,3013,1552,2917,12,4584,0,588,759
2005-2009,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",53747,1388,11426,639,5884,1672,10197,3076,9348,233,6113,260,2012,2465
2005-2009,B11001_1_total,1941417,36181,337055,16679,161543,30248,234840,106951,212629,12078,184343,5563,61304,60213
2005-2009,B11001_2_family_households,1209994,22631,238478,12078,120044,23863,174237,80905,163803,9089,124411,3972,42751,40715
2005-2009,B11001_3_married-couple_family,819325,18048,196926,9662,94527,20430,142334,68200,133595,7230,85175,3335,34341,30411
2005-2009,B11001_4_other_family,390669,4583,41552,2416,25517,3433,31903,12705,30208,1859,39236,637,8410,10304
2005-2009,"B11001_5_male_householder,_no_wife_present",95567,1228,11912,763,8576,983,9834,4083,8490,592,9175,203,2151,2696
2005-2009,"B11001_6_female_householder,_no_husband_present",295102,3355,29640,1653,16941,2450,22069,8622,21718,1267,30061,434,6259,7608
2005-2009,B11001_7_nonfamily_households,731423,13550,98577,4601,41499,6385,60603,26046,48826,2989,59932,1591,18553,19498
2005-2009,B11001_8_householder_living_alone,614951,9360,83048,3897,34560,5198,51398,21167,40666,2587,51834,1299,15531,16125
2005-2009,B11001_9_householder_not_living_alone,116472,4190,15529,704,6939,1187,9205,4879,8160,402,8098,292,3022,3373
2005-2009,B15002_1_total,3455137,55073,606341,30143,303216,58134,436576,201073,413708,20491,318936,9692,105939,104861
2005-2009,B15002_2_male,1638439,27301,295246,14887,151618,28963,214330,99830,204797,10005,148954,4790,51532,51228
2005-2009,B15002_3_no_schooling_completed,20412,247,1810,46,1457,217,1835,578,1504,54,1547,6,284,207
2005-2009,B15002_4_nursery_to_4th_grade,20524,75,1579,9,1958,40,1712,399,801,20,757,7,71,328
2005-2009,B15002_5_5th_and_6th_grade,52812,254,4073,127,7294,531,6737,1438,3167,133,2485,48,335,562
2005-2009,B15002_6_7th_and_8th_grade,47231,315,3936,193,3415,288,3948,1422,3447,209,3020,131,701,926
2005-2009,B15002_7_9th_grade,31345,164,2400,150,3160,398,3430,1125,2443,196,2446,78,489,833
2005-2009,B15002_8_10th_grade,36189,513,2946,172,3465,534,2717,1222,3362,302,4010,101,945,1108
2005-2009,B15002_9_11th_grade,42457,405,2987,339,2732,360,2898,1196,4348,213,4258,174,883,1860
2005-2009,"B15002_10_12th_grade,_no_diploma",40409,608,5341,240,3367,375,3393,1925,4856,223,3855,119,728,1183
2005-2009,"B15002_11_high_school_graduate,_ged,_or_alternative",413628,8670,56076,5701,37016,7882,44852,27360,59769,4531,56928,2382,19286,17095
2005-2009,"B15002_12_some_college,_less_than_1_year",83457,1895,16961,1385,9133,2143,11027,7551,14544,695,10715,390,3670,3504
2005-2009,"B15002_13_some_college,_1_or_more_years,_no_degree",215176,4564,40922,2412,19885,4744,29488,16481,32024,1434,22691,576,8147,7770
2005-2009,B15002_14_associate's_degree,91707,2167,17787,1666,10357,2113,11666,6863,14073,464,8551,346,3291,4718
2005-2009,B15002_15_bachelor's_degree,326029,4601,82787,1682,32049,6362,50945,21729,39092,1026,18709,274,8072,7789
2005-2009,B15002_16_master's_degree,137982,1621,37987,534,11794,2191,26413,7911,15855,384,5958,99,2658,2394
2005-2009,B15002_17_professional_school_degree,55346,410,11145,175,2941,529,8883,1751,3610,54,1932,59,1147,598
2005-2009,B15002_18_doctorate_degree,23735,792,6509,56,1595,256,4386,879,1902,67,1092,0,825,353
2005-2009,B15002_19_female,1816698,27772,311095,15256,151598,29171,222246,101243,208911,10486,169982,4902,54407,53633
2005-2009,B15002_20_no_schooling_completed,22473,256,1924,33,1610,98,2078,467,1626,50,1730,30,255,314
2005-2009,B15002_21_nursery_to_4th_grade,20816,163,1618,0,1904,152,2121,452,968,22,1164,23,71,170
2005-2009,B15002_22_5th_and_6th_grade,49692,231,3095,107,5592,390,4807,1365,3262,73,2336,65,252,441
2005-2009,B15002_23_7th_and_8th_grade,55930,395,4258,348,3598,350,4085,1239,3955,217,3234,110,713,814
2005-2009,B15002_24_9th_grade,30551,265,2088,162,2932,243,2981,915,1879,175,3057,45,656,806
2005-2009,B15002_25_10th_grade,39288,675,3712,379,3056,466,3224,1143,3035,324,4719,155,1090,997
2005-2009,B15002_26_11th_grade,46684,503,3274,317,3387,484,3143,1451,3359,254,4891,195,1154,1600
2005-2009,"B15002_27_12th_grade,_no_diploma",39254,438,4626,256,2381,343,3418,1529,3234,210,3777,144,622,1259
2005-2009,"B15002_28_high_school_graduate,_ged,_or_alternative",447632,8184,69362,5177,39984,8157,48640,30064,61634,4698,62229,2192,20116,18216
2005-2009,"B15002_29_some_college,_less_than_1_year",107899,2623,20370,1438,10441,2374,14100,8651,15772,716,12523,275,4315,3875
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",246131,3972,41608,2680,19941,4763,31385,15498,31772,1337,25558,748,7526,7923
2005-2009,B15002_31_associate's_degree,122556,2344,24295,1516,11493,2908,14211,7948,18763,744,13950,430,4837,5266
2005-2009,B15002_32_bachelor's_degree,358363,4614,83841,2023,30905,5605,55926,20945,39586,1159,20114,303,8438,8157
2005-2009,B15002_33_master's_degree,171617,2432,37286,780,12185,2389,26082,7975,16740,393,8964,159,3427,3113
2005-2009,B15002_34_professional_school_degree,39560,318,6488,34,1360,276,4114,1256,2359,75,1266,28,700,523
2005-2009,B15002_35_doctorate_degree,18252,359,3250,6,829,173,1931,345,967,39,470,0,235,159
2005-2009,B19001_1_total,1941417,36181,337055,16679,161543,30248,234840,106951,212629,12078,184343,5563,61304,60213
2005-2009,"B19001_2_less_than_$10,000",159893,3247,10215,520,6025,567,8306,3330,7033,506,16712,289,3172,3356
2005-2009,"B19001_3_$10,000_to_$14,999",100710,1606,8154,450,5391,359,6482,2382,5526,591,11127,235,2478,2937
2005-2009,"B19001_4_$15,000_to_$19,999",100602,1943,9604,480,5225,700,7014,3294,5957,676,11305,252,2960,2873
2005-2009,"B19001_5_$20,000_to_$24,999",97464,1515,11377,747,6568,765,7551,3165,6837,401,9837,220,3076,3165
2005-2009,"B19001_6_$25,000_to_$29,999",94039,1734,11407,868,6308,725,7918,3493,7240,640,10449,403,2939,3084
2005-2009,"B19001_7_$30,000_to_$34,999",93314,2022,11221,668,6986,883,8061,4049,8225,615,9508,371,2954,3652
2005-2009,"B19001_8_$35,000_to_$39,999",88009,1691,12406,606,6768,1018,9198,3240,8512,665,9019,303,2504,2888
2005-2009,"B19001_9_$40,000_to_$44,999",89048,1762,13609,894,7132,1227,8472,4242,8499,693,9118,338,3020,2858
2005-2009,"B19001_10_$45,000_to_$49,999",81514,1514,12581,767,6903,1212,8273,4311,7418,657,8205,268,2348,2784
2005-2009,"B19001_11_$50,000_to_$59,999",157315,3160,27035,1624,12927,2707,17819,8284,17402,1260,16131,606,4721,4640
2005-2009,"B19001_12_$60,000_to_$74,999",197086,4148,37838,2243,18636,3871,23096,11669,24993,1674,19597,832,7956,6928
2005-2009,"B19001_13_$75,000_to_$99,999",240164,4788,51149,3040,24725,5973,34781,19654,36787,1999,24642,873,9439,9157
2005-2009,"B19001_14_$100,000_to_$124,999",154762,3419,37995,1798,17299,4219,25058,14067,26273,980,13354,296,6065,5556
2005-2009,"B19001_15_$125,000_to_$149,999",94162,1559,25731,1000,10657,2680,16095,8413,16154,314,7003,65,3254,2931
2005-2009,"B19001_16_$150,000_to_$199,999",92581,1206,27790,637,10742,2287,20714,7475,15453,243,5093,122,2537,2090
2005-2009,"B19001_17_$200,000_or_more",100754,867,28943,337,9251,1055,26002,5883,10320,164,3243,90,1881,1314
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),53903,53291,76355,64455,68327,79504,78423,77314,74118,53369,47962,53028,60797,55055
2005-2009,B25001_1_total,2170750,38255,357449,18179,170445,32322,251726,113470,226543,12934,208921,6076,65302,67129
2005-2009,B25003_1_total,1941417,36181,337055,16679,161543,30248,234840,106951,212629,12078,184343,5563,61304,60213
2005-2009,B25003_2_owner_occupied,1179389,22729,258741,12934,125677,26118,185670,90721,180845,9210,130525,4510,47500,41321
2005-2009,B25003_3_renter_occupied,762028,13452,78314,3745,35866,4130,49170,16230,31784,2868,53818,1053,13804,18892
2005-2009,B25024_1_total,2170750,38255,357449,18179,170445,32322,251726,113470,226543,12934,208921,6076,65302,67129
2005-2009,"B25024_2_1,_detached",863695,22573,213713,12771,117641,24515,170596,88988,169410,10305,146412,5358,47946,44070
2005-2009,"B25024_3_1,_attached",117971,3602,43533,1613,15983,4749,28046,10459,24531,340,11637,118,2744,2197
2005-2009,B25024_4_2,229190,1658,3112,452,7512,306,6935,1759,5359,430,9009,104,1847,5347
2005-2009,B25024_5_3_or_4,247712,1626,10363,745,7230,516,7525,3062,5526,366,11019,94,2644,2559
2005-2009,B25024_6_5_to_9,207645,2793,22942,754,8029,455,8496,3770,5137,324,11581,30,3193,3160
2005-2009,B25024_7_10_to_19,114273,2357,24248,366,4734,1059,10452,2763,5854,199,8126,48,1944,3066
2005-2009,B25024_8_20_to_49,122038,1352,17986,193,2971,379,7830,1003,3129,159,4047,29,1019,3257
2005-2009,B25024_9_50_or_more,252095,1272,20871,268,5100,326,7362,870,3745,33,3182,0,277,1189
2005-2009,B25024_10_mobile_home,15413,1019,590,1017,1245,7,4431,775,3791,778,3898,295,3669,2284
2005-2009,"B25024_11_boat,_rv,_van,_etc.",718,3,91,0,0,10,53,21,61,0,10,0,19,0
2005-2009,B25077_1_median_value_(dollars),267200,190300,315700,187900,242300,250800,288600,251200,235800,137800,129100,109300,158400,180700
2005-2009,B25034_1_total,2170750,38255,357449,18179,170445,32322,251726,113470,226543,12934,208921,6076,65302,67129
2005-2009,B25034_2_built_2005_or_later,36921,2055,5886,1070,8693,5171,7369,5445,12073,468,5112,49,1928,1822
2005-2009,B25034_3_built_2000_to_2004,90644,4967,21484,3223,22850,8326,26122,15895,40296,1442,12649,292,5961,6685
2005-2009,B25034_4_built_1990_to_1999,123645,5765,55235,2573,29243,6232,49454,28079,53206,2726,18661,855,12375,10742
2005-2009,B25034_5_built_1980_to_1989,149629,2966,63968,1707,16719,1997,37310,14989,20665,1202,14542,348,7463,4955
2005-2009,B25034_6_built_1970_to_1979,268512,5467,88658,2653,23987,3878,41238,16841,33840,2355,28611,1110,14774,9315
2005-2009,B25034_7_built_1960_to_1969,286537,4298,49122,1714,17572,2079,26706,8253,20890,969,29586,585,8614,6746
2005-2009,B25034_8_built_1950_to_1959,344503,3728,39786,1339,18096,1322,28437,9527,18532,827,39597,794,5863,9137
2005-2009,B25034_9_built_1940_to_1949,191603,1388,11242,805,6972,529,10297,3493,7742,723,22510,325,2187,4957
2005-2009,B25034_10_built_1939_or_earlier,678756,7621,22068,3095,26313,2788,24793,10948,19299,2222,37653,1718,6137,12770
2005-2009,B03002_1_total,5257001,104279,925530,46513,494371,94070,702558,312946,664361,32197,491203,13974,160073,162740
2005-2009,B03002_2_not_hispanic_or_latino,4075234,94724,815558,42935,357527,79416,571567,279737,571262,30904,419879,13405,149298,147320
2005-2009,B03002_3_white_alone,2376862,84353,673948,41336,310127,71499,474616,265197,466131,30340,282422,13128,141168,132583
2005-2009,B03002_4_black_or_african_american_alone,1329785,5958,38518,673,26104,3964,44992,2874,69785,232,123536,70,3963,9279
2005-2009,B03002_5_american_indian_and_alaska_native_alone,5755,160,992,68,465,24,645,268,305,75,1024,0,299,519
2005-2009,B03002_6_asian_alone,295102,2860,89605,198,14653,2198,39687,8145,24907,72,5853,60,1712,2102
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,897,64,357,21,55,0,137,11,62,0,223,0,33,71
2005-2009,B03002_8_some_other_race_alone,14670,60,1605,0,960,189,2221,317,1349,0,899,0,242,572
2005-2009,B03002_9_two_or_more_races,52163,1269,10533,639,5163,1542,9269,2925,8723,185,5922,147,1881,2194
2005-2009,B03002_10_two_races_including_some_other_race,5001,64,959,36,439,134,395,159,409,0,802,0,33,243
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",47162,1205,9574,603,4724,1408,8874,2766,8314,185,5120,147,1848,1951
2005-2009,B03002_12_hispanic_or_latino,1181767,9555,109972,3578,136844,14654,130991,33209,93099,1293,71324,569,10775,15420
2005-2009,B03002_13_white_alone,457820,4898,74967,2867,69569,9748,74285,19198,51528,993,27579,405,7246,7149
2005-2009,B03002_14_black_or_african_american_alone,12702,95,1450,24,973,213,896,94,841,0,1414,0,215,248
2005-2009,B03002_15_american_indian_and_alaska_native_alone,3771,18,702,1,389,56,272,84,513,80,423,0,43,115
2005-2009,B03002_16_asian_alone,2841,0,428,0,48,132,452,177,279,0,195,0,94,114
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,469,36,38,0,25,0,7,0,0,0,12,0,0,0
2005-2009,B03002_18_some_other_race_alone,673605,3882,28125,561,61962,3598,51138,11953,36396,160,36926,51,2458,6764
2005-2009,B03002_19_two_or_more_races,30559,626,4262,125,3878,907,3941,1703,3542,60,4775,113,719,1030
2005-2009,B03002_20_two_races_including_some_other_race,23974,443,2410,89,2718,643,2618,1393,2508,12,3782,0,555,516
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",6585,183,1852,36,1160,264,1323,310,1034,48,993,113,164,514
2005-2009,B11005_1_total,1941417,36181,337055,16679,161543,30248,234840,106951,212629,12078,184343,5563,61304,60213
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,646311,12074,125078,6393,68285,14009,98596,44031,94679,4543,65126,1832,20336,22622
2005-2009,B11005_3_family_households,642430,11959,124603,6304,67950,13940,98054,43716,93950,4508,64445,1829,20131,22458
2005-2009,B11005_4_married-couple_family,403218,8905,100195,4543,50901,11503,76820,35587,73743,3155,37974,1473,14751,15301
2005-2009,B11005_5_other_family,239212,3054,24408,1761,17049,2437,21234,8129,20207,1353,26471,356,5380,7157
2005-2009,"B11005_6_male_householder,_no_wife_present",47265,630,6008,491,5107,714,5811,2506,5067,454,5175,75,1147,1599
2005-2009,"B11005_7_female_householder,_no_husband_present",191947,2424,18400,1270,11942,1723,15423,5623,15140,899,21296,281,4233,5558
2005-2009,B11005_8_nonfamily_households,3881,115,475,89,335,69,542,315,729,35,681,3,205,164
2005-2009,B11005_9_male_householder,2571,69,366,71,262,63,386,299,589,35,524,3,190,146
2005-2009,B11005_10_female_householder,1310,46,109,18,73,6,156,16,140,0,157,0,15,18
2005-2009,B11005_11_households_with_no_people_under_18_years,1295106,24107,211977,10286,93258,16239,136244,62920,117950,7535,119217,3731,40968,37591
2005-2009,B11005_12_family_households,567564,10672,113875,5774,52094,9923,76183,37189,69853,4581,59966,2143,22620,18257
2005-2009,B11005_13_married-couple_family,416107,9143,96731,5119,43626,8927,65514,32613,59852,4075,47201,1862,19590,15110
2005-2009,B11005_14_other_family,151457,1529,17144,655,8468,996,10669,4576,10001,506,12765,281,3030,3147
2005-2009,"B11005_15_male_householder,_no_wife_present",48302,598,5904,272,3469,269,4023,1577,3423,138,4000,128,1004,1097
2005-2009,"B11005_16_female_householder,_no_husband_present",103155,931,11240,383,4999,727,6646,2999,6578,368,8765,153,2026,2050
2005-2009,B11005_17_nonfamily_households,727542,13435,98102,4512,41164,6316,60061,25731,48097,2954,59251,1588,18348,19334
2005-2009,B11005_18_male_householder,330184,6470,44266,2198,19938,2926,27986,13091,23228,1402,28021,974,8956,9499
2005-2009,B11005_19_female_householder,397358,6965,53836,2314,21226,3390,32075,12640,24869,1552,31230,614,9392,9835
2005-2009,B11016_1_total,1941417,36181,337055,16679,161543,30248,234840,106951,212629,12078,184343,5563,61304,60213
2005-2009,B11016_2_family_households,1209994,22631,238478,12078,120044,23863,174237,80905,163803,9089,124411,3972,42751,40715
2005-2009,B11016_3_2-person_household,457264,9515,88655,5309,42411,7973,61792,30018,54819,4032,50462,1750,19168,16002
2005-2009,B11016_4_3-person_household,279324,4829,54772,2407,24924,5320,38547,17710,36566,1927,29649,956,9106,9354
2005-2009,B11016_5_4-person_household,248998,4832,56260,2701,28388,6130,43760,19372,40047,1893,24974,732,8393,9373
2005-2009,B11016_6_5-person_household,132914,2254,27447,1231,15838,2977,20599,9537,21474,823,12258,387,4332,4281
2005-2009,B11016_7_6-person_household,54226,828,8278,236,5472,1035,5829,2785,7764,323,4208,75,1272,1101
2005-2009,B11016_8_7-or-more_person_household,37268,373,3066,194,3011,428,3710,1483,3133,91,2860,72,480,604
2005-2009,B11016_9_nonfamily_households,731423,13550,98577,4601,41499,6385,60603,26046,48826,2989,59932,1591,18553,19498
2005-2009,B11016_10_1-person_household,614951,9360,83048,3897,34560,5198,51398,21167,40666,2587,51834,1299,15531,16125
2005-2009,B11016_11_2-person_household,98034,2732,13700,619,5914,1021,8242,4182,6777,293,6999,262,2517,2742
2005-2009,B11016_12_3-person_household,13026,809,1308,66,767,119,541,402,920,37,804,30,295,466
2005-2009,B11016_13_4-person_household,3664,480,358,19,121,17,252,157,286,72,244,0,79,109
2005-2009,B11016_14_5-person_household,1194,141,118,0,32,0,92,126,78,0,39,0,123,43
2005-2009,B11016_15_6-person_household,316,28,45,0,105,14,58,12,67,0,12,0,8,13
2005-2009,B11016_16_7-or-more_person_household,238,0,0,0,0,16,20,0,32,0,0,0,0,0
