estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B25127_2_owner_occupied,186007,371697,181881,139821,110361,92025,31845
2013-2017,B25127_3_built_2010_or_later,3002,7670,3299,3903,1467,2764,951
2013-2017,"B25127_4_1,_detached__or_attached",2777,6447,2906,3605,489,2418,853
2013-2017,B25127_5_2_to_4,67,426,54,205,359,27,0
2013-2017,B25127_6_5_to_19,13,203,125,34,345,71,0
2013-2017,B25127_7_20_to_49,57,323,65,18,69,132,0
2013-2017,B25127_8_50_or_more,27,219,106,0,205,0,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",61,52,43,41,0,116,98
2013-2017,B25127_10_built_2000_to_2009,12200,24851,11246,14154,7158,13239,5219
2013-2017,"B25127_11_1,_detached__or_attached",9513,19074,8993,12863,2364,11403,4290
2013-2017,B25127_12_2_to_4,655,1548,394,249,1265,291,102
2013-2017,B25127_13_5_to_19,438,1103,536,252,856,143,0
2013-2017,B25127_14_20_to_49,734,1572,425,78,666,533,26
2013-2017,B25127_15_50_or_more,760,1503,808,228,2007,47,0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",100,51,90,484,0,822,801
2013-2017,B25127_17_built_1980_to_1999,38725,65727,33863,33182,9816,34385,9368
2013-2017,"B25127_18_1,_detached__or_attached",33120,54493,28294,28999,4413,30497,7006
2013-2017,B25127_19_2_to_4,1608,2529,859,343,1679,801,295
2013-2017,B25127_20_5_to_19,1857,3290,1744,1104,1104,842,106
2013-2017,B25127_21_20_to_49,748,2302,726,168,871,305,23
2013-2017,B25127_22_50_or_more,975,2709,2031,275,1675,68,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",417,404,209,2293,74,1872,1938
2013-2017,B25127_24_built_1960_to_1979,36780,78651,39070,38737,12056,23166,6653
2013-2017,"B25127_25_1,_detached__or_attached",32124,68152,33623,36137,5773,20373,5557
2013-2017,B25127_26_2_to_4,1213,2577,592,390,2548,484,59
2013-2017,B25127_27_5_to_19,1474,2757,1882,719,755,420,75
2013-2017,B25127_28_20_to_49,729,2592,1220,85,993,189,0
2013-2017,B25127_29_50_or_more,529,1875,1476,33,1912,0,0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",711,698,277,1373,75,1700,962
2013-2017,B25127_31_built_1940_to_1959,34974,76172,44547,22171,14585,8114,4550
2013-2017,"B25127_32_1,_detached__or_attached",32798,70857,43005,21457,9241,7771,4369
2013-2017,B25127_33_2_to_4,1617,3627,758,546,3637,172,165
2013-2017,B25127_34_5_to_19,218,919,278,62,725,54,0
2013-2017,B25127_35_20_to_49,189,389,257,10,496,24,0
2013-2017,B25127_36_50_or_more,80,301,241,11,486,16,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",72,79,8,85,0,77,16
2013-2017,B25127_38_built_1939_or_earlier,60326,118626,49856,27674,65279,10357,5104
2013-2017,"B25127_39_1,_detached__or_attached",44170,81892,40280,23806,24745,9135,4318
2013-2017,B25127_40_2_to_4,14272,32039,7304,3640,29915,932,709
2013-2017,B25127_41_5_to_19,1320,2575,1364,108,6669,153,41
2013-2017,B25127_42_20_to_49,305,1054,571,9,2267,85,0
2013-2017,B25127_43_50_or_more,203,1017,317,98,1637,52,29
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",56,49,20,13,46,0,7
2013-2017,B25127_45_renter_occupied,105652,222087,80443,44374,193315,27930,16698
2013-2017,B25127_46_built_2010_or_later,1555,6877,2321,1278,6402,577,466
2013-2017,"B25127_47_1,_detached__or_attached",172,696,108,211,337,145,160
2013-2017,B25127_48_2_to_4,164,524,208,213,935,39,94
2013-2017,B25127_49_5_to_19,282,993,420,178,560,157,96
2013-2017,B25127_50_20_to_49,501,1496,638,246,985,94,116
2013-2017,B25127_51_50_or_more,436,3161,947,430,3585,131,0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,7,0,0,0,11,0
2013-2017,B25127_53_built_2000_to_2009,6624,15468,8467,3341,12325,2445,1721
