estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B25034_6_built_1970_to_1979,256912,6048,85544,2928,23343,4765,42300,16250,33364,2544,27939,1161,14255,8771
2009-2013,B25034_7_built_1960_to_1969,280628,4773,47406,1715,18094,2588,26440,9155,19104,938,28386,588,7599,7109
2009-2013,B25034_8_built_1950_to_1959,344405,3794,39438,1515,17599,1890,28361,9694,18335,1058,38955,597,5882,9519
2009-2013,B25034_9_built_1940_to_1949,165583,1249,10620,789,6399,596,9643,3891,7604,892,21649,404,2505,4198
2009-2013,B25034_10_built_1939_or_earlier,680879,7003,20561,2904,28784,2128,23967,9801,17507,1771,36888,1519,5413,13407
2009-2013,B25127_1_total,1933335,37844,336028,18082,170358,38075,241072,108852,222652,11924,182080,5374,61502,62560
2009-2013,B25127_2_owner_occupied,1127937,22784,250115,13775,128377,31847,183009,89602,184498,9497,126738,4114,47630,42209
2009-2013,B25127_3_built_2000_or_later,92423,5459,22587,3821,33102,16465,28883,21112,54714,1815,17398,482,8704,7248
2009-2013,"B25127_4_1,_detached__or_attached",50756,5280,20547,3669,31278,16246,26524,20603,53024,1773,16288,481,8391,6409
2009-2013,B25127_5_2_to_4,7460,37,100,3,580,34,352,184,407,8,305,0,87,145
2009-2013,B25127_6_5_to_19,9289,30,608,0,601,170,450,203,705,0,483,0,0,445
2009-2013,B25127_7_20_to_49,5979,0,638,0,293,0,410,17,9,0,67,0,0,58
2009-2013,B25127_8_50_or_more,17195,0,650,0,199,0,408,7,108,0,51,0,0,0
2009-2013,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",1744,112,44,149,151,15,739,98,461,34,204,1,226,191
2009-2013,B25127_10_built_1980_to_1999,155641,5111,83953,3260,37039,6425,67600,33928,64825,2592,21577,788,13483,9298
2009-2013,"B25127_11_1,_detached__or_attached",108404,4554,75425,2868,35148,6152,62769,32548,61816,2298,19617,724,11418,8126
2009-2013,B25127_12_2_to_4,11596,46,2896,14,836,271,1150,485,691,23,310,0,284,167
2009-2013,B25127_13_5_to_19,13500,22,3036,14,453,0,1179,560,929,0,726,0,211,289
2009-2013,B25127_14_20_to_49,6890,0,1056,0,168,0,781,38,130,0,119,0,11,12
2009-2013,B25127_15_50_or_more,10618,14,1264,0,73,0,246,7,25,0,36,0,0,12
2009-2013,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",4633,475,276,364,361,2,1475,290,1234,271,769,64,1559,692
2009-2013,B25127_17_built_1960_to_1979,293299,5069,89923,3140,25659,5790,45156,18826,37374,2714,33217,1271,15726,10111
2009-2013,"B25127_18_1,_detached__or_attached",213206,4593,77851,2956,24389,5694,41890,17915,35652,2524,31757,1248,14727,9263
2009-2013,B25127_19_2_to_4,13415,40,1671,10,384,9,833,281,426,61,379,0,143,82
2009-2013,B25127_20_5_to_19,20740,30,3811,31,313,61,883,465,501,0,361,0,12,67
2009-2013,B25127_21_20_to_49,13866,0,3245,0,200,14,516,43,124,0,84,0,0,0
2009-2013,B25127_22_50_or_more,28630,10,3274,0,189,0,161,64,54,13,83,0,0,0
2009-2013,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",3442,396,71,143,184,12,873,58,617,116,553,23,844,699
2009-2013,B25127_24_built_1940_to_1959,306677,3035,38455,1665,16370,1706,27045,9668,17905,1134,36699,675,6017,8789
2009-2013,"B25127_25_1,_detached__or_attached",272683,3035,37686,1662,15892,1704,26578,9602,17529,1116,36195,671,5938,8597
2009-2013,B25127_26_2_to_4,16730,0,138,0,347,2,319,47,190,18,468,4,47,129
2009-2013,B25127_27_5_to_19,7096,0,249,0,64,0,72,0,86,0,14,0,14,0
