B01001_21_67_to_69_years,657,1011,169,1066,2047,731,1610,4941,1177,373,4952,904,1100,1303,6680,449,4442,1697,348,179,1750,688,132,201,310,304,222,770,345,188,1035,490,176,513,768,691,655,342,902,2007-2011
B01001_22_70_to_74_years,722,970,410,1361,2135,854,1805,5990,1437,379,5852,1353,1704,1972,7659,846,6034,2044,395,137,1730,726,160,371,457,416,256,1308,437,221,1033,535,313,535,832,945,740,553,1028,2007-2011
B01001_23_75_to_79_years,553,887,252,914,1548,756,1358,4516,810,253,4143,697,1047,1093,5398,496,4119,1638,228,118,1257,541,133,184,290,254,215,797,262,130,724,319,196,474,783,558,574,326,833,2007-2011
B01001_24_80_to_84_years,237,475,85,474,689,459,549,2570,660,113,2760,440,692,833,3916,228,1901,962,245,61,754,290,145,98,154,239,109,362,139,125,348,180,107,297,334,382,387,165,358,2007-2011
B01001_25_85_years_and_over,108,165,47,346,512,397,483,1818,340,82,2571,242,362,320,3111,150,1685,665,126,49,367,195,18,32,75,34,146,224,114,38,207,181,58,130,264,274,322,104,242,2007-2011
B01001_26_female,33993,50414,10931,56418,106940,60924,135837,351048,63571,11188,359360,67596,54782,85993,464755,27659,401800,89085,14729,5823,103319,29809,6951,9305,14185,11694,9250,51768,16371,7332,71001,14841,9012,20857,44168,32940,34478,14280,42429,2007-2011
B01001_27_under_5_years,2688,3752,671,3836,7844,3512,10795,24385,4524,691,24554,4776,2427,6602,30648,1993,31018,7132,987,326,6768,2123,454,551,926,726,489,3705,988,333,5479,811,544,1588,2868,2359,2336,800,2780,2007-2011
B01001_28_5_to_9_years,2497,3705,652,3832,8608,2667,10342,23797,4807,646,22351,4980,3491,8883,29904,1947,32057,7209,875,394,8147,1952,474,558,813,817,583,4181,1275,416,5408,1079,571,1389,3171,2036,2487,719,2844,2007-2011
B01001_29_10_to_14_years,2348,3759,756,3731,7498,2364,9947,23507,4720,806,21127,5138,4668,6086,29003,2007,31290,6108,1232,409,8408,2241,468,505,1034,621,645,3722,1219,601,6480,765,858,1526,3050,2191,2359,1028,3375,2007-2011
B01001_30_15_to_17_years,1361,2053,394,2439,4516,1633,6180,14579,2748,404,13184,3270,3161,3693,17710,1300,18727,3679,582,243,5286,1165,360,290,638,521,449,2330,836,341,3168,519,443,737,2203,1365,1465,679,1911,2007-2011
B01001_31_18_and_19_years,801,1073,344,2373,2434,6901,3789,8502,1309,284,9058,1723,1381,1478,13284,721,9196,2309,391,137,2751,697,154,558,341,312,151,1501,355,197,1821,295,229,405,1158,818,951,387,850,2007-2011
B01001_32_20_years,530,706,107,1137,853,3488,1830,3506,592,148,5627,917,534,623,7043,395,4361,1332,207,102,985,320,110,92,162,235,274,639,170,78,837,96,148,272,617,395,546,165,527,2007-2011
B01001_33_21_years,259,485,196,1048,1115,2712,2086,3957,590,241,4611,609,447,531,6421,497,4490,1056,178,43,1071,269,60,133,243,126,47,673,134,12,820,123,14,269,510,430,408,161,334,2007-2011
B01001_34_22_to_24_years,1037,1946,320,2807,3472,6554,6029,14426,2087,335,15585,2082,1268,1811,20672,818,13734,3342,496,182,3043,926,213,445,375,281,149,1576,584,189,2004,513,255,969,1350,1151,1339,563,1534,2007-2011
B01001_35_25_to_29_years,2886,3172,640,3946,6463,5403,10748,25526,4072,646,31665,4533,1790,4179,41019,1720,27291,6070,790,325,6289,1952,442,672,859,693,551,3313,618,406,4782,744,463,1227,2469,2221,2207,653,2629,2007-2011
B01001_36_30_to_34_years,2524,3382,625,3615,7730,3896,10614,26729,4218,587,29313,4959,2231,6071,37031,1812,31038,5964,808,317,7442,2035,332,436,884,629,593,3738,882,500,5595,835,608,1165,2714,1966,2111,819,2637,2007-2011
B01001_37_35_to_39_years,2568,3476,875,4186,8808,3250,11257,28955,5180,762,29581,6255,3366,7367,37344,1895,35461,6081,1090,349,8683,1923,440,662,930,635,597,4155,1239,382,6296,991,583,1213,3347,2378,2368,734,3130,2007-2011
B01001_38_40_to_44_years,2786,4064,622,3429,8975,2527,10483,27931,5146,729,25851,5474,4858,9335,33379,2049,33550,6630,948,448,9548,2451,515,522,931,731,590,4209,1396,551,6604,1072,816,1573,3520,2110,2158,1080,3274,2007-2011
B01001_39_45_to_49_years,2493,3852,840,3736,8636,2547,10042,28478,4921,913,26310,5302,5369,7088,33620,2019,33071,6095,1025,494,8596,2252,503,649,1054,901,655,3771,1439,692,5274,1081,665,1525,3685,2344,2426,1069,3228,2007-2011
B01001_40_50_to_54_years,2082,3556,785,3509,7488,2742,8959,25109,4400,772,24733,4472,4881,5479,31041,1829,27727,5550,990,475,6816,1981,534,616,1121,862,696,3170,1323,535,4421,1084,608,1433,3151,2306,2478,1094,2837,2007-2011
B01001_41_55_to_59_years,1573,3166,853,3294,6219,2577,7262,21663,3836,977,21579,3900,4240,4777,26603,1581,21498,4916,1085,351,5806,1677,523,732,1005,952,690,2966,1145,434,3963,1018,408,1249,2779,1810,1948,983,2741,2007-2011
B01001_42_60_and_61_years,915,976,157,1175,2316,918,2531,7642,1412,210,7685,1116,1452,1573,9962,516,7407,1994,225,196,1826,976,167,108,337,221,127,1187,448,205,1190,631,269,426,1183,1032,984,513,901,2007-2011
B01001_43_62_to_64_years,930,1376,393,1625,3331,1222,3020,8889,1966,524,9902,1878,1940,2091,12105,938,9392,2601,540,180,2667,931,236,409,439,421,420,1469,414,364,1211,651,367,754,1355,1168,1041,344,1322,2007-2011
B01001_44_65_and_66_years,462,830,242,744,1656,744,1693,4780,1204,297,4943,1003,1019,1307,6478,563,4478,1512,316,121,1588,622,206,169,262,200,338,883,262,67,897,487,164,492,714,664,541,277,655,2007-2011
B01001_45_67_to_69_years,832,1173,285,983,2118,1063,2083,6157,1038,332,6160,1273,1234,1621,8335,526,5695,1753,359,229,1730,786,84,264,405,339,232,1223,345,237,1102,510,223,422,1032,875,845,418,1108,2007-2011
B01001_46_70_to_74_years,804,1323,368,2015,2502,1265,2180,7661,1881,391,8323,1456,1647,2089,9882,973,7342,2818,531,139,2177,932,208,348,502,565,295,1042,442,391,1449,529,297,700,1050,1052,1010,602,1239,2007-2011
B01001_47_75_to_79_years,666,1108,322,1268,1943,1213,1753,5830,1292,257,5923,1024,1246,1660,7820,731,5737,1825,328,180,1747,604,186,215,267,380,215,915,308,236,893,418,180,624,946,939,1024,439,1016,2007-2011
B01001_48_80_to_84_years,647,820,141,772,1355,818,1044,4736,830,137,5660,736,1117,832,6833,354,3745,1547,350,126,1096,422,150,141,308,213,229,737,268,65,712,246,162,379,759,768,642,399,803,2007-2011
B01001_49_85_years_and_over,304,661,343,918,1060,908,1170,4303,798,99,5635,720,1015,817,8618,475,3495,1562,396,57,849,572,132,230,349,313,235,663,281,100,595,343,137,520,537,562,804,354,754,2007-2011
B02001_1_total,68061,98905,23568,110292,211316,116131,260756,684468,124695,22121,690003,130473,106094,170815,907811,54747,794872,178286,28681,11758,199115,59798,13800,18035,27915,22213,17876,98864,32246,14686,139067,29406,17646,41233,84303,63713,66422,27235,83003,2007-2011
B02001_2_white_alone,54791,81451,16467,85498,184134,76182,54168,431175,97097,20948,238153,73624,76970,148369,418611,46360,429264,147944,26392,10161,113302,52595,10128,11879,24793,12730,13086,55027,28678,11489,110431,28246,15342,33817,39798,40376,40940,18960,66277,2007-2011
B02001_3_black_or_african_american_alone,8361,9731,6695,20057,12074,30299,170540,169112,21992,52,376704,49877,20838,4732,400328,2284,179983,13227,1361,1328,70687,4297,3019,5642,2331,9206,4352,38704,1571,2597,23449,378,1960,5297,37703,20945,22502,7516,13170,2007-2011
B02001_4_american_indian_and_alaska_native_alone,103,468,0,261,969,57,640,1755,78,126,1890,457,245,390,1527,249,2346,621,11,0,381,105,276,59,42,19,26,317,10,22,370,143,74,96,340,172,95,92,258,2007-2011
B02001_5_asian_alone,2291,716,156,862,3539,4711,13399,30332,1746,127,34549,2096,4226,9884,49603,516,83989,3168,186,72,5968,1025,104,107,208,21,127,1068,951,91,1135,141,23,315,1653,480,1009,158,1009,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,92,0,0,32,33,164,390,44,21,414,0,75,63,413,0,453,40,0,0,165,48,28,0,0,0,0,4,6,0,0,1,0,30,58,0,0,0,8,2007-2011
B02001_7_some_other_race_alone,1383,4813,166,1756,6802,2201,16392,39269,1589,486,27917,2073,1376,5072,23912,4525,78929,10360,193,19,4033,832,142,213,290,54,85,1225,468,131,1153,286,27,1224,3234,826,1138,237,1287,2007-2011
B02001_8_two_or_more_races,1132,1634,84,1858,3766,2648,5453,12435,2149,361,10376,2346,2364,2305,13417,813,19908,2926,538,178,4579,896,103,135,251,183,200,2519,562,356,2529,211,220,454,1517,914,738,272,994,2007-2011
B02001_9_two_races_including_some_other_race,131,202,0,213,469,266,653,2495,312,25,1204,316,416,295,1590,276,3733,730,39,0,723,257,0,6,0,0,69,153,97,161,453,13,0,146,164,195,129,8,280,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",1001,1432,84,1645,3297,2382,4800,9940,1837,336,9172,2030,1948,2010,11827,537,16175,2196,499,178,3856,639,103,129,251,183,131,2366,465,195,2076,198,220,308,1353,719,609,264,714,2007-2011
B11001_1_total,23404,34477,7931,39473,75784,41349,85875,258710,45227,8049,265137,45451,37930,55465,362603,19085,262169,60939,10626,4364,68128,21266,5052,6307,9379,8183,6478,33634,11155,4793,47691,11116,6012,14675,29002,22920,24233,10416,29488,2007-2011
B11001_2_family_households,17742,26141,5735,27908,58003,20622,56820,175610,34165,6182,157432,33874,30106,44505,203455,13550,198702,45966,7654,3046,52057,16402,3745,4379,7239,5669,4891,25713,8910,3540,38635,8084,4933,10552,21627,16100,17087,7354,22962,2007-2011
B11001_3_married-couple_family,13237,20023,4281,20565,47094,13493,32152,132446,27224,5112,97000,23657,24994,38635,134409,10712,149939,35204,5527,2288,38928,12801,2799,3224,5438,3809,3629,17425,7381,2817,29295,7031,3831,7668,14848,10436,11554,4995,18374,2007-2011
B11001_4_other_family,4505,6118,1454,7343,10909,7129,24668,43164,6941,1070,60432,10217,5112,5870,69046,2838,48763,10762,2127,758,13129,3601,946,1155,1801,1860,1262,8288,1529,723,9340,1053,1102,2884,6779,5664,5533,2359,4588,2007-2011
"B11001_5_male_householder,_no_wife_present",1475,1709,327,1891,3114,1441,4622,10802,1823,410,12734,2417,1205,1582,13459,659,13777,3588,720,194,3271,938,276,266,593,286,302,1870,315,190,2571,303,227,729,1467,1247,995,391,1051,2007-2011
"B11001_6_female_householder,_no_husband_present",3030,4409,1127,5452,7795,5688,20046,32362,5118,660,47698,7800,3907,4288,55587,2179,34986,7174,1407,564,9858,2663,670,889,1208,1574,960,6418,1214,533,6769,750,875,2155,5312,4417,4538,1968,3537,2007-2011
B11001_7_nonfamily_households,5662,8336,2196,11565,17781,20727,29055,83100,11062,1867,107705,11577,7824,10960,159148,5535,63467,14973,2972,1318,16071,4864,1307,1928,2140,2514,1587,7921,2245,1253,9056,3032,1079,4123,7375,6820,7146,3062,6526,2007-2011
B11001_8_householder_living_alone,4709,6639,1896,9246,14779,13740,24759,66860,9217,1470,88242,9805,6929,8966,130915,4664,51495,12165,2681,1060,13363,3978,1141,1621,1914,2139,1313,6780,1880,1087,7281,2632,951,3743,6278,5823,6275,2615,5746,2007-2011
B11001_9_householder_not_living_alone,953,1697,300,2319,3002,6987,4296,16240,1845,397,19463,1772,895,1994,28233,871,11972,2808,291,258,2708,886,166,307,226,375,274,1141,365,166,1775,400,128,380,1097,997,871,447,780,2007-2011
B15002_1_total,43256,63725,15856,67919,137118,59582,156817,445902,81137,15152,453892,82472,70366,109413,593689,35024,495904,111969,18888,7800,124879,39173,9132,11660,18784,15000,12340,61587,20615,9953,85904,20698,11508,26405,53969,41646,42167,18227,54104,2007-2011
B15002_2_male,20784,30790,8365,32704,66518,28489,71978,211513,38943,7519,210629,38371,32961,53127,283619,17043,238977,55051,9107,3813,58019,19057,4474,5487,9131,6945,5877,28146,9805,4788,40920,10058,5558,12703,24728,19451,19580,8449,25830,2007-2011
B15002_3_no_schooling_completed,298,274,65,416,356,378,1104,1287,421,91,3061,309,121,435,2483,367,2834,864,104,55,546,441,53,85,132,129,114,322,11,34,282,90,89,101,204,321,283,118,354,2007-2011
B15002_4_nursery_to_4th_grade,395,179,31,226,304,165,898,2284,205,52,2309,234,85,123,1327,133,3595,721,64,22,93,163,34,76,111,60,67,175,48,29,185,67,9,265,132,169,111,58,292,2007-2011
B15002_5_5th_and_6th_grade,458,431,85,684,990,392,2063,3540,555,65,4887,584,307,800,3657,908,7212,2981,160,17,379,345,44,91,118,144,148,347,99,46,205,246,4,471,767,343,235,115,177,2007-2011
B15002_6_7th_and_8th_grade,603,1367,311,1260,1188,456,1274,3311,627,279,2615,1060,223,937,3831,754,4954,1825,498,206,797,839,172,137,388,385,289,621,77,62,780,445,97,500,613,708,499,393,629,2007-2011
B15002_7_9th_grade,888,1605,528,1156,1134,836,2157,2961,650,126,3077,602,463,1125,3040,761,4352,2025,706,243,825,414,175,190,526,244,167,685,76,344,736,433,143,432,550,858,718,362,832,2007-2011
B15002_8_10th_grade,722,1537,485,1333,1943,887,2519,2981,922,251,3807,1204,373,764,5153,1194,3045,1674,423,480,1625,806,162,438,684,506,255,1292,316,295,1068,521,247,612,603,1318,757,644,1102,2007-2011
B15002_9_11th_grade,747,877,548,1246,1571,602,2771,3124,1227,222,3819,1043,348,673,6128,510,2963,2223,471,218,1448,693,161,293,457,373,119,938,216,194,1348,278,198,744,748,888,1143,353,1192,2007-2011
"B15002_10_12th_grade,_no_diploma",347,668,147,600,721,622,1540,2292,720,80,3641,549,301,496,3157,270,4777,959,364,20,1001,303,70,122,134,193,72,674,139,26,748,101,55,275,544,322,342,159,836,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",7421,11570,3585,12239,15529,6317,25215,41327,12323,2969,47622,12869,6223,10177,53621,6070,53241,16645,3629,1453,19195,7241,1763,2097,3589,3103,1981,10181,1734,1640,16004,3418,2304,5238,7368,7109,7078,3101,8221,2007-2011
"B15002_12_some_college,_less_than_1_year",1285,1880,667,1919,4195,1006,4016,10161,2234,621,8911,2393,1543,2869,9130,936,12309,2951,439,214,3644,1328,297,392,432,372,318,1890,517,127,2375,479,473,805,1522,1264,1068,680,1466,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",3251,3946,974,4237,11227,3540,13196,30302,5504,726,31695,6727,6061,6977,37313,2216,34332,7284,1027,414,9720,2232,538,710,1028,712,572,4319,1458,969,6185,1161,871,1566,4169,2511,2477,1245,4447,2007-2011
B15002_14_associate's_degree,1477,1261,442,1494,4378,1103,4415,11760,2820,345,12586,2538,2356,3175,12406,606,19122,2685,211,229,4791,1020,340,372,355,150,303,1766,427,303,2645,407,236,442,1996,876,980,345,1667,2007-2011
B15002_15_bachelor's_degree,2135,3380,193,3948,17039,6018,7627,63660,7126,1201,50728,5559,9082,17098,87752,1659,58925,8056,786,180,9870,2184,389,279,798,369,1067,3336,2548,362,5952,1714,529,765,3712,1853,2600,509,3319,2007-2011
B15002_16_master's_degree,599,1100,165,1105,4175,3058,2390,23345,2519,340,18415,1794,3988,5924,35796,368,18856,2636,138,39,2927,720,199,106,213,135,259,977,999,199,1740,510,213,294,1135,498,853,179,746,2007-2011
B15002_17_professional_school_degree,129,505,101,416,1123,1251,571,5818,575,130,7900,507,964,966,12964,217,5177,1146,63,23,810,226,35,40,46,49,82,408,526,68,624,119,35,97,471,293,347,108,319,2007-2011
B15002_18_doctorate_degree,29,210,38,425,645,1858,222,3360,515,21,5556,399,523,588,5861,74,3283,376,24,0,348,102,42,59,120,21,64,215,614,90,43,69,55,96,194,120,89,80,231,2007-2011
B15002_19_female,22472,32935,7491,35215,70600,31093,84839,234389,42194,7633,243263,44101,37405,56286,310070,17981,256927,56918,9781,3987,66860,20116,4658,6173,9653,8055,6463,33441,10810,5165,44984,10640,5950,13702,29241,22195,22587,9778,28274,2007-2011
B15002_20_no_schooling_completed,158,443,95,407,427,390,1210,1623,263,39,2967,372,184,349,2562,382,3402,865,260,53,409,337,46,78,133,102,54,277,46,212,317,74,27,262,104,564,220,176,284,2007-2011
B15002_21_nursery_to_4th_grade,131,235,45,341,130,461,877,1289,124,11,1510,178,126,45,1026,104,2416,846,71,18,188,111,16,0,32,112,28,90,41,13,258,10,19,315,219,246,160,69,105,2007-2011
B15002_22_5th_and_6th_grade,309,366,130,420,645,479,1851,2877,388,42,2771,516,103,840,3133,674,4784,2333,193,31,202,396,23,46,108,95,45,239,5,76,435,86,39,364,586,290,382,105,294,2007-2011
B15002_23_7th_and_8th_grade,854,987,152,1215,1089,550,1604,2775,904,122,3184,746,270,884,3976,573,4414,1611,378,157,888,962,148,126,436,376,248,881,145,105,636,457,215,573,381,791,818,364,916,2007-2011
B15002_24_9th_grade,612,1136,195,1009,1337,869,1693,2867,720,199,3195,795,206,558,3033,687,3396,1554,475,166,982,498,150,218,419,328,203,648,108,166,650,352,176,503,374,913,545,314,992,2007-2011
B15002_25_10th_grade,927,1484,377,1342,1288,762,2106,3082,1020,332,3821,1185,323,847,5419,871,3539,1800,747,388,1344,722,197,178,522,686,262,1304,259,280,1138,504,218,956,833,1195,981,544,1047,2007-2011
B15002_26_11th_grade,1035,988,478,1467,1317,700,2417,3389,1026,157,5047,1176,568,599,6676,597,3850,1427,425,234,1219,486,138,304,555,575,270,1090,296,459,1046,284,263,657,760,966,1018,486,959,2007-2011
"B15002_27_12th_grade,_no_diploma",401,474,87,687,696,453,2003,2778,589,126,3414,746,595,864,4467,213,4362,948,95,68,945,560,63,61,147,176,65,487,187,33,604,107,120,165,632,535,318,203,438,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",7797,12496,3390,11915,18065,6962,26111,48810,14066,2750,52403,13095,8464,12860,62055,7049,61577,17822,3434,1483,20927,7362,1707,2518,3825,3141,2190,10417,2005,1606,15692,3658,2063,4866,8656,8297,7510,3676,10034,2007-2011
"B15002_29_some_college,_less_than_1_year",1561,2563,517,2572,4385,1538,5301,12095,3244,423,12301,2714,2138,3783,13332,1211,14801,3277,503,250,4949,1074,295,559,524,571,447,2563,798,373,3187,744,426,769,2013,1337,1309,533,2035,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",2892,4481,746,5047,12337,4287,16143,36447,6129,1306,39508,7278,6189,7704,44129,2195,40628,7915,1310,438,11303,2425,610,987,1227,825,713,5973,1572,718,7240,1480,958,1939,4831,2777,3483,1544,3745,2007-2011
B15002_31_associate's_degree,1721,1816,496,2167,5791,1603,6489,16454,3200,506,17151,3575,3485,4677,17306,964,23906,3990,637,400,5958,1537,407,309,562,267,389,2471,720,367,2972,763,458,628,2576,1218,1460,641,2465,2007-2011
