B02001_4_american_indian_and_alaska_native_alone,835,950,1189,1927,908,832,2344,1580,81,635,248,335,263,68,196,100,3339,1081,337,2008-2012
B02001_5_asian_alone,2409,10516,23986,142527,59147,6429,60415,32096,680,13390,2249,5134,3054,737,3905,1262,23660,2299,1420,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,8,41,115,619,51,89,329,207,0,120,26,37,0,0,0,178,172,0,44,2008-2012
B02001_7_some_other_race_alone,2265,13600,71917,38998,8459,10926,51418,21264,121,5522,345,1110,719,124,1800,609,60792,966,2864,2008-2012
B02001_8_two_or_more_races,4010,12587,15848,36727,10391,9128,42179,18863,841,6962,2187,3855,2446,952,2568,2357,19295,1614,3111,2008-2012
B02001_9_two_races_including_some_other_race,459,3063,4161,6664,1509,2163,6538,3877,121,925,83,324,143,88,579,193,5360,267,385,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",3551,9524,11687,30063,8882,6965,35641,14986,720,6037,2104,3531,2303,864,1989,2164,13935,1347,2726,2008-2012
B11001_1_total,95520,209532,285144,579209,257138,179863,287442,299350,25127,153747,57224,115552,46821,19317,68722,34729,238523,49348,43909,2008-2012
B11001_2_family_households,59744,139359,189387,369928,169105,127215,140113,201432,17190,104156,38335,81230,30114,12913,43037,21532,145896,32722,29811,2008-2012
B11001_3_married-couple_family,47963,99637,137994,294857,135918,97472,80259,151603,13455,81429,30694,67256,23420,10586,32658,17012,96733,26392,21973,2008-2012
B11001_4_other_family,11781,39722,51393,75071,33187,29743,59854,49829,3735,22727,7641,13974,6694,2327,10379,4520,49163,6330,7838,2008-2012
"B11001_5_male_householder,_no_wife_present",2864,9510,13041,18366,8059,7358,12966,13387,1020,6663,2048,4406,1969,484,3013,1096,11718,1861,2393,2008-2012
"B11001_6_female_householder,_no_husband_present",8917,30212,38352,56705,25128,22385,46888,36442,2715,16064,5593,9568,4725,1843,7366,3424,37445,4469,5445,2008-2012
B11001_7_nonfamily_households,35776,70173,95757,209281,88033,52648,147329,97918,7937,49591,18889,34322,16707,6404,25685,13197,92627,16626,14098,2008-2012
B11001_8_householder_living_alone,30656,57801,79957,161608,71926,43101,107116,79335,6563,37969,14614,26167,11849,5140,21553,10928,74994,13122,11180,2008-2012
B11001_9_householder_not_living_alone,5120,12372,15800,47673,16107,9547,40213,18583,1374,11622,4275,8155,4858,1264,4132,2269,17633,3504,2918,2008-2012
B15002_1_total,164127,374421,507496,1043896,465774,336325,470810,535755,43478,272916,101607,206861,78797,33794,119348,58649,413535,84357,79249,2008-2012
B15002_2_male,75790,176970,236790,497464,218095,159267,223806,258312,20940,132882,49133,100475,38048,15687,55762,28003,194766,40120,38468,2008-2012
B15002_3_no_schooling_completed,410,3776,2846,5819,1932,1041,4527,2541,136,895,235,378,234,412,481,234,4525,358,462,2008-2012
B15002_4_nursery_to_4th_grade,109,3821,2336,2589,613,873,3904,1168,50,390,111,70,85,298,105,29,3147,18,190,2008-2012
B15002_5_5th_and_6th_grade,242,2494,2559,3851,1137,827,5691,1641,88,981,65,134,80,105,159,65,3868,88,350,2008-2012
B15002_6_7th_and_8th_grade,579,5770,4882,5753,2156,2024,5923,4905,549,2233,616,1140,870,239,808,395,7164,334,1282,2008-2012
B15002_7_9th_grade,476,4244,3319,4624,1657,1493,3880,3598,270,1858,694,1031,567,146,966,281,4378,606,596,2008-2012
B15002_8_10th_grade,761,5632,3705,5957,2483,2911,4277,5938,732,2368,1165,1443,681,373,1426,368,6716,694,996,2008-2012
B15002_9_11th_grade,967,4880,3618,5077,1720,3010,4496,5589,539,2071,1052,1383,752,172,1016,442,5750,502,1257,2008-2012
"B15002_10_12th_grade,_no_diploma",948,3673,3886,6792,3048,2139,5392,4057,268,2313,716,1051,449,235,807,271,4273,769,860,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",20076,56617,62750,109627,48656,50219,54799,77662,6418,35953,14716,28895,11611,3493,17068,6391,56156,9644,15340,2008-2012
"B15002_12_some_college,_less_than_1_year",4577,9186,11796,18917,9533,9931,7841,14396,1371,7531,2488,6299,2253,584,3079,1357,9667,1919,1977,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",10466,18911,28667,49174,23608,20024,24220,28749,2787,16535,6975,13103,5448,1722,7879,3246,23608,5020,4925,2008-2012
B15002_14_associate's_degree,5752,13130,16433,25068,13760,12164,9076,19733,1813,11442,4735,8316,3291,1122,5208,1894,13183,2981,2367,2008-2012
B15002_15_bachelor's_degree,17603,30266,53206,129204,59107,34226,51186,53886,3726,30614,9684,24045,7185,4004,10715,7348,32552,10165,4691,2008-2012
B15002_16_master's_degree,8010,10115,25009,76401,28732,13300,22716,24050,1485,13196,3783,9707,3246,1510,4073,4054,12092,4393,2082,2008-2012
B15002_17_professional_school_degree,2812,2855,7368,20608,11696,3493,9504,5946,403,2550,1276,2000,533,819,1350,981,4668,1409,604,2008-2012
B15002_18_doctorate_degree,2002,1600,4410,28003,8257,1592,6374,4453,305,1952,822,1480,763,453,622,647,3019,1220,489,2008-2012
B15002_19_female,88337,197451,270706,546432,247679,177058,247004,277443,22538,140034,52474,106386,40749,18107,63586,30646,218769,44237,40781,2008-2012
B15002_20_no_schooling_completed,338,4466,3850,7598,1958,1384,6454,3039,113,1160,215,502,263,317,502,200,4904,283,403,2008-2012
B15002_21_nursery_to_4th_grade,111,4401,2287,3249,850,778,3766,1567,42,569,10,92,87,275,150,28,4141,103,230,2008-2012
B15002_22_5th_and_6th_grade,250,2389,2954,4338,1507,773,5518,2285,48,766,77,152,127,101,348,204,3864,119,274,2008-2012
B15002_23_7th_and_8th_grade,405,7115,5694,6253,2258,2063,6559,5171,383,2838,549,771,845,295,749,310,7274,298,1075,2008-2012
B15002_24_9th_grade,798,4186,3426,4650,1610,1663,3896,4053,195,1619,492,799,473,151,1110,519,5723,527,549,2008-2012
B15002_25_10th_grade,592,5387,3994,5549,2190,2321,4408,5126,485,1873,850,1104,552,205,1316,312,5926,525,1093,2008-2012
B15002_26_11th_grade,606,4194,4250,5748,2192,2053,4756,4161,367,2134,624,1351,704,286,1176,452,6521,630,1030,2008-2012
"B15002_27_12th_grade,_no_diploma",891,3528,3495,6239,2677,2134,5098,3675,194,1584,478,980,417,277,741,316,3571,384,538,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",20268,55173,71539,118840,54407,51551,59239,74416,6835,38225,14464,29073,11634,4270,20169,6864,60693,10259,14167,2008-2012
"B15002_29_some_college,_less_than_1_year",5961,13017,14964,22683,11317,10574,8637,17534,1596,8826,3533,7353,2571,929,3511,1913,12685,2389,3004,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",13166,24910,34008,52682,25878,23857,28000,34935,3219,17826,7127,13000,5380,2164,8672,4098,30324,5592,5451,2008-2012
B15002_31_associate's_degree,9870,19015,25267,38903,23620,19605,13769,28875,2635,14599,5646,12552,5138,1375,6731,2802,18247,4294,3447,2008-2012
B15002_32_bachelor's_degree,20980,32065,56779,139102,66477,37569,53359,57230,4509,31432,11568,24576,7802,3992,11253,7788,32678,11385,5575,2008-2012
B15002_33_master's_degree,11081,14952,29979,95931,37096,16855,30510,28444,1482,13775,5303,11554,3736,2705,5718,3658,17069,5981,3107,2008-2012
B15002_34_professional_school_degree,1786,1613,5449,18105,8158,2647,8490,3869,302,1691,1025,1469,496,478,930,896,2981,833,409,2008-2012
B15002_35_doctorate_degree,1234,1040,2771,16562,5484,1231,4545,3063,133,1117,513,1058,524,287,510,286,2168,635,429,2008-2012
B19001_1_total,95520,209532,285144,579209,257138,179863,287442,299350,25127,153747,57224,115552,46821,19317,68722,34729,238523,49348,43909,2008-2012
"B19001_2_less_than_$10,000",4901,14063,17398,27350,11723,7298,34981,16533,1297,6193,2279,3546,2670,1118,3906,1896,23013,1933,2394,2008-2012
"B19001_3_$10,000_to_$14,999",4547,14630,15443,22455,9424,7425,20479,14820,1091,5269,2279,3290,2352,1026,3306,1526,16151,1622,2264,2008-2012
"B19001_4_$15,000_to_$19,999",4334,11037,12552,19568,8317,6400,14866,13745,1244,6233,2171,3093,1674,755,2947,1356,14068,1995,2229,2008-2012
"B19001_5_$20,000_to_$24,999",4228,10336,11729,20164,8202,6439,12529,13009,1277,6060,2811,4183,2149,788,2936,1310,13044,1758,1934,2008-2012
"B19001_6_$25,000_to_$29,999",4435,9179,11682,18758,7478,6010,10713,11161,1121,6694,2780,3664,2361,723,3139,1268,11679,1981,1880,2008-2012
"B19001_7_$30,000_to_$34,999",4406,9211,11622,18390,8513,7092,11448,12705,1364,5508,2571,4634,2292,883,2945,1446,11233,1631,1941,2008-2012
"B19001_8_$35,000_to_$39,999",4019,8825,10524,17892,7662,6311,10676,11475,970,5597,2441,3878,1855,738,2614,1223,11004,2132,1976,2008-2012
"B19001_9_$40,000_to_$44,999",4927,8779,10115,19617,8151,6226,11817,11954,1197,6738,2467,4817,2341,593,3264,1409,11419,1861,2377,2008-2012
"B19001_10_$45,000_to_$49,999",4056,8235,9989,16422,8084,6463,10471,11143,1229,5432,2126,3923,2355,677,2521,1217,9066,1855,1510,2008-2012
"B19001_11_$50,000_to_$59,999",7625,16313,18857,36835,16360,12741,19864,20619,2419,11937,4392,7890,3934,1203,5850,2604,17871,3878,3895,2008-2012
"B19001_12_$60,000_to_$74,999",10121,19992,26282,50858,22486,17863,25265,30569,3040,15496,6142,12160,4804,1794,7705,3251,22529,4755,4526,2008-2012
"B19001_13_$75,000_to_$99,999",13200,26908,37491,76803,31915,26374,32245,41663,3267,22808,9234,17629,6633,2179,9992,5032,29190,6964,7049,2008-2012
"B19001_14_$100,000_to_$124,999",9089,19730,27303,64584,29096,20582,22786,30660,2196,17067,6233,14397,4141,2113,6683,3807,18839,5828,3879,2008-2012
"B19001_15_$125,000_to_$149,999",5084,12465,19747,46498,21242,13949,14826,20509,1324,11521,3628,9402,2809,1456,4239,2478,11126,3609,2657,2008-2012
"B19001_16_$150,000_to_$199,999",5691,11761,21724,57372,26302,15225,16172,22067,1260,11731,3245,10784,2574,1600,3852,2425,10040,4170,2266,2008-2012
"B19001_17_$200,000_or_more",4857,8068,22686,65643,32183,13465,18304,16718,831,9463,2425,8262,1877,1671,2823,2481,8251,3376,1132,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),60424,55995,66918,81420,84087,74722,52700,65968,57163,70472,65487,77939,58538,71086,61884,69826,49213,72391,58489,2008-2012
B25001_1_total,160020,230269,306322,611338,270235,199885,314385,326345,37312,165960,63397,126644,51678,20785,73633,41724,264255,62206,48996,2008-2012
B25003_1_total,95520,209532,285144,579209,257138,179863,287442,299350,25127,153747,57224,115552,46821,19317,68722,34729,238523,49348,43909,2008-2012
B25003_2_owner_occupied,76307,133310,183078,366125,179413,139016,102742,198725,19080,104710,41226,89320,31293,13856,49007,21599,129640,37115,31028,2008-2012
B25003_3_renter_occupied,19213,76222,102066,213084,77725,40847,184700,100625,6047,49037,15998,26232,15528,5461,19715,13130,108883,12233,12881,2008-2012
B25024_1_total,160020,230269,306322,611338,270235,199885,314385,326345,37312,165960,63397,126644,51678,20785,73633,41724,264255,62206,48996,2008-2012
"B25024_2_1,_detached",131946,122293,154742,298215,156637,141022,42993,185946,27125,94600,41598,81559,29363,14082,49551,26427,116187,48069,32416,2008-2012
"B25024_3_1,_attached",4881,9452,18593,37571,12525,7670,18090,18343,772,10126,2590,9368,1844,497,2266,2113,8805,1681,1733,2008-2012
B25024_4_2,5075,23044,36021,81586,20639,11668,46464,27597,1570,13671,3410,6464,3006,2122,3962,4199,37762,3886,3427,2008-2012
B25024_5_3_or_4,6015,35064,34470,54760,16218,12170,77041,39978,1787,12635,3254,5177,3763,1957,4021,3406,47657,2689,4090,2008-2012
B25024_6_5_to_9,4795,17313,16842,31742,15139,7043,35044,17960,1719,8372,3096,5139,3518,826,3007,1688,17249,1776,3097,2008-2012
B25024_7_10_to_19,2377,7704,12774,28685,12725,6048,24894,12981,630,6801,2409,3897,1437,494,4062,1016,10491,1070,1159,2008-2012
B25024_8_20_to_49,1949,4510,14734,31297,13214,3709,26482,8238,476,11682,2247,5587,2177,363,2114,841,7967,772,529,2008-2012
B25024_9_50_or_more,1847,7896,16182,44949,21954,5579,42888,12754,369,4564,1157,1781,1450,444,3197,1198,16905,1185,608,2008-2012
B25024_10_mobile_home,1104,2993,1921,2469,1149,4976,400,2499,2857,3485,3636,7636,5120,0,1453,820,1193,1078,1937,2008-2012
"B25024_11_boat,_rv,_van,_etc.",31,0,43,64,35,0,89,49,7,24,0,36,0,0,0,16,39,0,0,2008-2012
B25077_1_median_value_(dollars),373600,287800,354700,401300,393000,339100,362600,267600,224600,258000,237500,288500,224000,345300,231800,369300,236700,331300,219300,2008-2012
B25034_1_total,160020,230269,306322,611338,270235,199885,314385,326345,37312,165960,63397,126644,51678,20785,73633,41724,264255,62206,48996,2008-2012
B25034_2_built_2010_or_later,140,305,349,1190,409,444,492,493,29,259,151,461,99,23,20,107,182,144,93,2008-2012
B25034_3_built_2000_to_2009,11727,15237,20347,42067,19359,18128,20210,27284,4811,16113,7871,15683,7234,997,4597,3196,12343,6420,4484,2008-2012
B25034_4_built_1990_to_1999,15611,20973,20835,40195,19728,17855,12156,31048,4259,16135,6592,16589,5130,1288,5416,3688,13512,8032,4501,2008-2012
B25034_5_built_1980_to_1989,34197,24833,31699,59075,28527,23817,18517,40128,7411,33577,12147,27753,9563,2131,8469,4496,24647,10269,7590,2008-2012
B25034_6_built_1970_to_1979,33106,28388,29739,63449,32990,32656,23352,36264,4807,26745,8842,21450,6823,2157,11220,5306,27636,9535,6325,2008-2012
B25034_7_built_1960_to_1969,20374,22156,31204,69056,32056,24559,24093,26958,3498,15958,4728,11980,5082,2426,9326,4626,26865,7463,5514,2008-2012
B25034_8_built_1950_to_1959,17667,21936,34622,76403,39440,23397,22938,35482,3211,12647,4336,9331,4413,3194,12368,4243,30505,6169,4523,2008-2012
B25034_9_built_1940_to_1949,7158,14385,16897,35950,19076,9866,18597,20454,1851,7274,2241,4918,2114,1551,5764,2693,20099,2734,2185,2008-2012
B25034_10_built_1939_or_earlier,20040,82056,120630,223953,78650,49163,174030,108234,7435,37252,16489,18479,11220,7018,16453,13369,108466,11440,13781,2008-2012
B25127_1_total,95520,209532,285144,579209,257138,179863,287442,299350,25127,153747,57224,115552,46821,19317,68722,34729,238523,49348,43909,2008-2012
B25127_2_owner_occupied,76307,133310,183078,366125,179413,139016,102742,198725,19080,104710,41226,89320,31293,13856,49007,21599,129640,37115,31028,2008-2012
B25127_3_built_2000_or_later,6898,12018,11879,22422,10920,13786,6290,22399,2876,11960,6189,12555,5073,742,2845,1683,7629,4298,3954,2008-2012
"B25127_4_1,_detached__or_attached",6430,11144,9415,17472,8715,12297,2044,21156,2641,10785,5788,10401,4292,664,2430,1510,6467,4052,3607,2008-2012
B25127_5_2_to_4,237,277,533,1550,230,357,1193,639,7,285,68,283,45,0,169,10,423,46,44,2008-2012
B25127_6_5_to_19,9,179,375,886,558,230,662,241,0,203,34,217,8,59,74,0,512,76,27,2008-2012
B25127_7_20_to_49,40,32,551,1129,363,170,604,148,26,201,18,537,24,6,40,9,69,40,0,2008-2012
B25127_8_50_or_more,107,53,784,1297,977,249,1778,98,0,199,0,64,0,13,0,0,95,40,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",75,333,221,88,77,483,9,117,202,287,281,1053,704,0,132,154,63,44,276,2008-2012
B25127_10_built_1980_to_1999,28340,33060,37016,66712,33649,33554,9452,53969,6525,36015,13366,33941,10445,2826,10252,5187,22144,12855,8853,2008-2012
"B25127_11_1,_detached__or_attached",26734,29611,31106,55284,27574,29403,4223,49615,5466,30908,11716,29821,7869,2717,8509,4721,19044,12103,8184,2008-2012
B25127_12_2_to_4,838,915,1879,2644,1141,512,1712,1468,102,1176,201,814,135,59,313,177,1041,363,54,2008-2012
B25127_13_5_to_19,465,1198,1748,3601,2122,1081,1113,1500,87,1152,176,736,198,36,460,65,1379,104,160,2008-2012
B25127_14_20_to_49,167,201,988,2017,669,308,802,362,20,1303,70,259,31,0,241,22,196,0,0,2008-2012
B25127_15_50_or_more,41,165,984,2633,1863,275,1587,168,0,164,75,49,0,14,27,17,245,26,9,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",95,970,311,533,280,1975,15,856,850,1312,1128,2262,2212,0,702,185,239,259,446,2008-2012
B25127_17_built_1960_to_1979,24999,32517,37751,78268,39176,40609,10536,38007,3869,28930,9174,23313,7028,3327,13804,5222,28977,10440,7572,2008-2012
"B25127_18_1,_detached__or_attached",23896,29710,32637,66562,33052,37280,5195,34834,3215,26151,7649,20025,5723,3185,12794,4733,26642,9763,6845,2008-2012
B25127_19_2_to_4,441,806,1610,2215,1060,459,1986,888,43,590,140,520,61,46,269,94,981,296,126,2008-2012
B25127_20_5_to_19,311,596,1449,3374,1744,1064,688,903,71,428,37,458,79,96,276,175,611,69,21,2008-2012
B25127_21_20_to_49,207,220,715,2463,1384,125,873,486,0,512,0,212,8,0,117,4,242,24,0,2008-2012
B25127_22_50_or_more,89,201,631,2545,1452,84,1761,207,0,123,0,0,29,0,57,17,94,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",55,984,709,1109,484,1597,33,689,540,1126,1348,2098,1128,0,291,199,407,288,580,2008-2012
B25127_24_built_1940_to_1959,8835,21375,34473,77528,44387,22832,13611,36618,2377,13146,4048,8965,3988,3604,13874,3632,31538,4560,4558,2008-2012
"B25127_25_1,_detached__or_attached",8528,19894,31649,72418,42119,22251,9250,34777,2314,12410,3954,8645,3860,3473,13675,3488,29240,4482,4420,2008-2012
