B01001_12_30_to_34_years,999,198438,3431,28882,1761,17641,3453,4573,20366,3377,9148,173,21758,1088,15162,4077,468,5026,5226,2008-2012
B01001_13_35_to_39_years,912,178424,2912,30133,1631,19050,3216,5106,23607,3447,10899,150,25457,839,15324,4240,370,5421,5333,2008-2012
B01001_14_40_to_44_years,1131,174138,3161,32262,2017,19119,3824,4936,25197,3573,12293,183,27719,1199,15091,3709,515,5474,6192,2008-2012
B01001_15_45_to_49_years,1234,173571,3159,35572,2027,19386,3900,3973,28263,4377,13574,231,27455,1221,17079,4339,582,5771,6736,2008-2012
B01001_16_50_to_54_years,1362,171907,3163,35731,1732,17743,3952,3293,27249,4620,12504,251,24072,1240,18223,4479,614,6387,6257,2008-2012
B01001_17_55_to_59_years,1283,148586,2467,30817,1473,14457,3640,2859,22069,3982,9705,273,18861,1060,15713,4208,574,5894,5407,2008-2012
B01001_18_60_and_61_years,430,52253,990,11205,553,5423,1168,1094,7289,1424,3289,83,6632,411,6274,1601,159,2221,1671,2008-2012
B01001_19_62_to_64_years,679,67678,1392,13125,775,6615,1813,1118,10102,1855,4506,130,8569,520,7000,1637,229,2584,2015,2008-2012
B01001_20_65_and_66_years,356,37657,634,7950,499,3933,971,645,5164,963,2467,80,4922,268,4004,1104,169,1575,1093,2008-2012
B01001_21_67_to_69_years,442,47679,806,9095,450,4078,1292,735,6408,1519,3117,67,5526,376,4587,1500,234,1613,1509,2008-2012
B01001_22_70_to_74_years,662,59955,1103,10231,615,5470,1470,988,7782,1896,3401,144,7031,671,7074,1479,274,2432,1959,2008-2012
B01001_23_75_to_79_years,618,46615,859,7338,529,3920,1087,623,5849,1681,2374,94,4658,401,5311,1255,186,1771,1391,2008-2012
B01001_24_80_to_84_years,340,34630,555,5928,263,2753,880,447,4009,1057,1705,58,3401,250,3673,868,117,943,1206,2008-2012
B01001_25_85_years_and_over,274,28560,441,5129,90,1840,864,212,3101,921,1019,51,2290,151,3049,697,71,718,849,2008-2012
B01001_26_female,17767,2680510,52639,468110,24958,258129,57601,57379,351244,56957,154463,2946,340773,16694,256107,53732,7022,83440,84069,2008-2012
B01001_27_under_5_years,988,168704,3143,27786,1723,19694,3682,4746,22872,3201,9546,130,23879,1055,16227,3264,384,4716,5378,2008-2012
B01001_28_5_to_9_years,1185,163728,2969,30937,1851,21024,4352,5130,26437,3634,11447,164,27200,1330,17637,3259,453,5510,5354,2008-2012
B01001_29_10_to_14_years,1046,165465,3310,31819,1826,19671,3407,4750,26823,3682,12142,198,27550,1009,17264,3762,467,5534,6446,2008-2012
B01001_30_15_to_17_years,655,105459,1954,20323,1145,11947,2429,2443,16815,2413,7624,99,16620,723,10980,2100,275,3461,3576,2008-2012
B01001_31_18_and_19_years,380,69366,3200,11270,542,6394,1923,1255,9335,1361,3814,47,8671,439,6538,1189,250,2252,2644,2008-2012
B01001_32_20_years,165,34316,1895,5092,349,3365,1018,595,4274,736,1305,10,3876,402,3061,548,54,1363,1389,2008-2012
B01001_33_21_years,166,36164,1795,5198,172,2741,752,561,3199,805,1546,50,3789,126,2950,635,71,924,1066,2008-2012
B01001_34_22_to_24_years,499,116166,4197,15943,839,8328,2136,1453,11191,1472,4599,109,10077,532,8942,1748,165,2937,2987,2008-2012
B01001_35_25_to_29_years,927,221590,3670,29485,1669,15921,3572,4152,19024,3170,7905,161,19103,797,16144,3025,345,5063,5231,2008-2012
B01001_36_30_to_34_years,966,199423,3204,28875,1769,17712,3505,5023,20924,3119,9191,162,22809,1046,16193,3100,348,5083,5340,2008-2012
B01001_37_35_to_39_years,1020,183639,3156,29663,1528,18354,3546,5334,23950,3053,10660,138,26574,1028,16374,3079,367,5556,5776,2008-2012
B01001_38_40_to_44_years,1094,175305,2799,35088,2072,19728,3666,4830,27102,3736,13258,188,28049,1107,15998,3600,519,5580,5945,2008-2012
B01001_39_45_to_49_years,1228,181991,3302,38276,1855,19224,4037,3959,29384,4268,13704,224,27153,1220,18292,3952,534,6285,6787,2008-2012
B01001_40_50_to_54_years,1396,185549,3158,38047,1760,17679,4058,3396,27993,4458,12416,247,24139,1224,19575,4058,540,6628,6242,2008-2012
B01001_41_55_to_59_years,1354,165135,2709,31968,1479,14796,3731,2821,22854,3790,9981,240,19175,1187,17171,3805,461,5846,5232,2008-2012
B01001_42_60_and_61_years,501,60975,934,11928,579,5668,1248,983,8076,1467,3582,70,7032,346,6309,1499,194,1968,1687,2008-2012
B01001_43_62_to_64_years,537,76869,1333,14462,668,7268,1890,1450,9550,1840,4207,143,9132,513,7868,2069,306,3113,2228,2008-2012
B01001_44_65_and_66_years,381,45214,669,8342,450,3946,1074,735,5617,1070,2441,80,5387,341,4763,1234,209,1547,1227,2008-2012
B01001_45_67_to_69_years,496,56161,992,10107,485,5010,1387,1057,6958,1479,3799,73,5985,511,6259,1495,188,1904,1602,2008-2012
B01001_46_70_to_74_years,799,82346,1270,12639,687,6302,1804,812,8958,2420,3666,154,8272,572,8227,1797,292,2657,2373,2008-2012
B01001_47_75_to_79_years,739,66231,1119,10441,481,5155,1600,792,6914,1857,2817,96,6104,455,7217,1826,217,2112,1915,2008-2012
B01001_48_80_to_84_years,610,57170,839,8834,392,3800,1379,574,6125,1885,2228,69,4720,341,6167,1426,168,1645,1956,2008-2012
B01001_49_85_years_and_over,635,63544,1022,11587,637,4402,1405,528,6869,2041,2585,94,5477,390,5951,1262,215,1756,1688,2008-2012
B02001_1_total,34798,5197677,104820,918608,49870,514891,113170,114226,701282,113688,308163,5968,677669,33369,495230,111335,14199,164386,166373,2008-2012
B02001_2_white_alone,33564,2934297,88160,738739,47587,378359,89768,96523,545712,106771,279509,5759,522369,32555,308780,95377,13779,152206,143577,2008-2012
B02001_3_black_or_african_american_alone,221,1284262,6526,41842,539,28009,16821,6223,47655,2012,3449,40,74036,248,126091,11856,37,4832,11440,2008-2012
B02001_4_american_indian_and_alaska_native_alone,116,12224,191,1429,36,1460,168,310,1476,179,550,0,1227,83,1615,249,22,422,633,2008-2012
B02001_5_asian_alone,259,328072,2505,93861,199,17335,1211,3527,43978,658,7927,10,30643,62,6288,575,16,2281,2489,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,4,1241,28,293,0,110,22,0,291,0,0,0,138,0,97,4,16,45,89,2008-2012
B02001_7_some_other_race_alone,344,539082,5094,23981,742,78938,2701,4495,45119,2025,11678,106,33859,44,40264,1008,86,2190,4529,2008-2012
B02001_8_two_or_more_races,290,98499,2316,18463,767,10680,2479,3148,17051,2043,5050,53,15397,377,12095,2266,243,2410,3616,2008-2012
B02001_9_two_races_including_some_other_race,57,27455,596,4087,60,2947,504,856,3477,374,1264,0,3083,23,4541,258,6,421,694,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",233,71044,1720,14376,707,7733,1975,2292,13574,1669,3786,53,12314,354,7554,2008,237,1989,2922,2008-2012
B11001_1_total,14289,1933670,37959,335532,17987,170069,41068,37817,240744,44709,108950,2453,222092,12117,182028,42569,5338,61312,62301,2008-2012
B11001_2_family_households,9502,1189321,23183,238685,12853,128159,27840,29924,179208,30296,82182,1692,171998,9378,122478,28281,3827,43048,42167,2008-2012
B11001_3_married-couple_family,7562,799030,18238,194240,10139,100327,19633,25062,144031,23580,68190,1511,138400,7765,83157,20845,3057,33880,30571,2008-2012
B11001_4_other_family,1940,390291,4945,44445,2714,27832,8207,4862,35177,6716,13992,181,33598,1613,39321,7436,770,9168,11596,2008-2012
"B11001_5_male_householder,_no_wife_present",530,95395,1418,12654,775,8839,2020,1453,10215,2096,4254,73,10169,588,9380,1841,302,2308,3161,2008-2012
"B11001_6_female_householder,_no_husband_present",1410,294896,3527,31791,1939,18993,6187,3409,24962,4620,9738,108,23429,1025,29941,5595,468,6860,8435,2008-2012
B11001_7_nonfamily_households,4787,744349,14776,96847,5134,41910,13228,7893,61536,14413,26768,761,50094,2739,59550,14288,1511,18264,20134,2008-2012
B11001_8_householder_living_alone,3995,619659,10622,82100,4341,34681,10954,6513,52136,12506,21767,604,41647,2440,52054,12257,1320,15365,16289,2008-2012
B11001_9_householder_not_living_alone,792,124690,4154,14747,793,7229,2274,1380,9400,1907,5001,157,8447,299,7496,2031,191,2899,3845,2008-2012
B15002_1_total,24318,3456817,59477,613687,32440,323008,72907,70709,446837,77909,200749,4257,426692,21732,325164,76567,9841,109671,107124,2008-2012
B15002_2_male,11635,1635675,29301,293945,15929,158043,35005,34263,216539,38256,98309,2118,207581,10654,152656,39340,4938,52928,51895,2008-2012
B15002_3_no_schooling_completed,134,24422,180,1914,47,1696,524,293,2220,233,640,1,1692,127,1967,288,25,342,404,2008-2012
B15002_4_nursery_to_4th_grade,42,17815,118,1446,11,2049,192,111,1560,58,206,0,1004,77,738,122,10,39,185,2008-2012
B15002_5_5th_and_6th_grade,34,49451,265,3569,109,7919,476,498,5282,340,1035,21,2657,80,2008,363,15,268,360,2008-2012
B15002_6_7th_and_8th_grade,310,40845,379,3363,255,3751,681,322,3293,689,1079,36,2920,116,2434,729,137,614,662,2008-2012
B15002_7_9th_grade,141,28078,248,2281,174,3710,896,258,3334,435,941,52,2263,221,2234,983,41,390,816,2008-2012
B15002_8_10th_grade,329,32978,419,2703,214,3152,871,432,3374,1048,1112,40,3076,266,3397,1475,128,1037,1092,2008-2012
B15002_9_11th_grade,299,38924,500,2895,470,2676,1245,281,3121,1149,985,85,3398,270,4511,1487,148,1022,1612,2008-2012
"B15002_10_12th_grade,_no_diploma",197,39126,580,5052,227,3604,879,552,3965,843,1831,23,4526,284,3677,573,136,668,1240,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",4857,403318,8599,53444,6141,36124,12529,8666,44969,14740,25801,892,56594,4627,58127,15582,2581,18977,17775,2008-2012
"B15002_12_some_college,_less_than_1_year",866,77959,2381,16904,1544,9887,2715,2797,11249,3604,8313,159,15697,797,9332,3241,320,3479,3767,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",1624,233976,4979,41643,2813,21948,5867,6023,29690,5745,16163,329,33601,1637,25688,5742,527,8474,7490,2008-2012
B15002_14_associate's_degree,749,91266,2416,17221,1171,10077,2718,2643,11312,3324,7482,201,14098,722,8987,2399,370,4229,4016,2008-2012
B15002_15_bachelor's_degree,1337,333917,5518,84818,1903,33224,3398,7493,53487,4149,22426,173,42550,935,20096,4365,334,8656,8608,2008-2012
B15002_16_master's_degree,451,141480,1619,38295,533,13226,1323,2941,26518,1330,7948,69,17493,371,6201,1258,89,2830,2881,2008-2012
B15002_17_professional_school_degree,229,56714,437,11868,266,3169,448,709,9037,378,1703,26,3865,68,2274,545,48,1051,621,2008-2012
B15002_18_doctorate_degree,36,25406,663,6529,51,1831,243,244,4128,191,644,11,2147,56,985,188,29,852,366,2008-2012
B15002_19_female,12683,1821142,30176,319742,16511,164965,37902,36446,230298,39653,102440,2139,219111,11078,172508,37227,4903,56743,55229,2008-2012
B15002_20_no_schooling_completed,47,26364,185,2729,56,1585,351,184,2451,224,611,8,1692,117,2230,348,41,307,572,2008-2012
B15002_21_nursery_to_4th_grade,44,20379,113,1815,0,1616,95,217,1705,72,305,6,934,23,1086,123,37,126,209,2008-2012
B15002_22_5th_and_6th_grade,56,48143,331,3755,106,6085,349,425,5035,247,1089,3,2794,60,2018,224,2,193,384,2008-2012
B15002_23_7th_and_8th_grade,315,45781,261,3857,273,3966,760,275,3525,732,1096,31,3290,130,2829,555,110,570,757,2008-2012
B15002_24_9th_grade,149,26379,271,2907,201,3997,551,167,3091,616,995,17,1495,172,2362,579,78,561,689,2008-2012
B15002_25_10th_grade,300,34514,536,3685,271,2891,997,334,2818,1015,1087,92,3064,346,3886,784,116,1334,976,2008-2012
B15002_26_11th_grade,211,41667,531,3093,280,3288,997,466,3119,852,1186,97,3094,178,4780,1254,188,1038,1474,2008-2012
"B15002_27_12th_grade,_no_diploma",90,35283,356,4370,193,2716,641,443,2748,637,1428,35,3248,183,3234,516,85,559,919,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",4878,433427,8408,65880,5796,41314,12871,8819,49832,15232,28498,633,59719,5028,59890,14863,2319,19792,17700,2008-2012
"B15002_29_some_college,_less_than_1_year",1258,97869,2680,20181,1619,11110,3163,2863,14603,3803,8976,206,16955,758,11440,2658,364,3926,4089,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",2051,262774,4492,42668,2953,22851,6362,6315,31842,6191,15907,388,33017,1364,28832,4932,784,8443,8315,2008-2012
B15002_31_associate's_degree,1248,121880,3014,24353,1328,12036,3835,3129,15836,3846,8801,285,18877,1003,15368,3902,416,5592,6156,2008-2012
B15002_32_bachelor's_degree,1303,381241,5303,89043,2439,33358,4279,8351,58638,4358,21994,187,46037,1239,22477,4152,275,9666,8683,2008-2012
B15002_33_master's_degree,590,185476,2884,41023,977,15159,2333,4014,27845,1520,8904,136,20459,420,9798,1925,81,3579,3622,2008-2012
B15002_34_professional_school_degree,103,40357,433,7036,6,1872,183,333,5013,173,1132,9,2857,34,1537,242,7,678,544,2008-2012
B15002_35_doctorate_degree,40,19608,378,3347,13,1121,135,111,2197,135,431,6,1579,23,741,170,0,379,140,2008-2012
B19001_1_total,14289,1933670,37959,335532,17987,170069,41068,37817,240744,44709,108950,2453,222092,12117,182028,42569,5338,61312,62301,2008-2012
"B19001_2_less_than_$10,000",662,160478,3467,10795,791,6722,3044,807,9551,2451,3817,67,6937,493,15619,2895,338,3341,3541,2008-2012
"B19001_3_$10,000_to_$14,999",868,95450,2014,8162,695,5155,2102,516,6556,2678,2550,149,5584,442,10759,2578,273,2481,2966,2008-2012
"B19001_4_$15,000_to_$19,999",1044,101107,1927,10067,851,6209,2439,730,7931,2610,3698,142,7603,540,11043,2656,232,2698,3274,2008-2012
"B19001_5_$20,000_to_$24,999",946,99229,2052,11287,526,6977,2365,851,8447,2520,3960,142,7899,561,10415,2671,291,2650,3313,2008-2012
"B19001_6_$25,000_to_$29,999",739,95131,1565,12232,889,7592,2059,967,8242,2086,3502,129,7893,528,9468,2601,298,2432,3313,2008-2012
"B19001_7_$30,000_to_$34,999",860,91735,1846,12841,764,7624,2043,1011,8699,2507,4277,125,7657,606,9607,2480,424,2858,3231,2008-2012
"B19001_8_$35,000_to_$39,999",704,86363,1832,12267,756,6614,2037,1000,9012,2314,3549,78,8485,575,8749,2151,248,2861,3074,2008-2012
"B19001_9_$40,000_to_$44,999",827,87102,1527,12843,808,6976,2463,1403,8328,2153,4006,186,8111,638,8588,2151,325,2696,2688,2008-2012
"B19001_10_$45,000_to_$49,999",846,76141,1547,11226,560,6745,1984,1602,8452,1951,3761,118,7553,740,7882,2106,249,2822,2713,2008-2012
"B19001_11_$50,000_to_$59,999",1320,148293,3373,24396,1841,13815,3167,2929,17152,4028,8361,210,16347,1107,15226,3451,401,4612,5517,2008-2012
"B19001_12_$60,000_to_$74,999",1378,191109,4175,33674,1896,17637,4273,4624,22449,5300,11426,292,24902,1607,19368,5082,722,6482,6696,2008-2012
"B19001_13_$75,000_to_$99,999",1938,235745,5100,49716,2894,23778,5721,6668,32569,6328,18618,346,35206,2248,23249,5420,807,9588,8638,2008-2012
"B19001_14_$100,000_to_$124,999",1065,157855,3414,37034,2065,17753,3576,5465,25042,3539,13667,299,27465,1130,13930,2944,345,7339,5589,2008-2012
"B19001_15_$125,000_to_$149,999",507,95367,1947,26459,1153,12623,1759,3614,18403,1947,8702,70,18594,459,8508,1483,139,3455,3130,2008-2012
"B19001_16_$150,000_to_$199,999",288,101113,1415,29439,1009,12394,1295,3486,21961,1467,8928,50,18816,266,5702,1085,159,3161,2697,2008-2012
"B19001_17_$200,000_or_more",297,111452,758,33094,489,11455,741,2144,27950,830,6128,50,13040,177,3915,815,87,1836,1921,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),48102,54648,53575,78538,63840,68674,49994,83835,79085,52356,77325,54467,76352,57801,49315,47754,49816,62457,55117,2008-2012
B25001_1_total,15712,2178739,40932,356370,19919,181587,45175,40002,260020,49924,116015,3083,237175,13165,208913,48481,6023,66208,69222,2008-2012
B25003_1_total,14289,1933670,37959,335532,17987,170069,41068,37817,240744,44709,108950,2453,222092,12117,182028,42569,5338,61312,62301,2008-2012
B25003_2_owner_occupied,10773,1140135,23395,251585,13691,129009,28406,32214,184999,34195,90267,1933,185671,9501,127855,31385,4179,47616,42422,2008-2012
B25003_3_renter_occupied,3516,793535,14564,83947,4296,41060,12662,5603,55745,10514,18683,520,36421,2616,54173,11184,1159,13696,19879,2008-2012
B25024_1_total,15712,2178739,40932,356370,19919,181587,45175,40002,260020,49924,116015,3083,237175,13165,208913,48481,6023,66208,69222,2008-2012
"B25024_2_1,_detached",13264,869539,24131,212825,13558,125036,32477,30300,175104,40020,90256,2540,176194,10664,147300,37294,5484,49007,46102,2008-2012
"B25024_3_1,_attached",219,118595,4026,44266,2387,18561,1637,6320,30151,989,11666,82,28351,304,12136,917,51,2261,2451,2008-2012
B25024_4_2,464,218404,1595,2790,325,8028,1838,268,6591,1669,1809,69,5010,551,8183,1924,76,1947,5440,2008-2012
B25024_5_3_or_4,503,252173,1599,10850,853,6757,2220,734,7314,1744,3226,144,5083,226,10147,1986,41,2762,2723,2008-2012
B25024_6_5_to_9,340,207272,3134,22929,796,7502,2087,556,8979,1143,3706,50,5044,331,12467,1660,72,2913,3442,2008-2012
B25024_7_10_to_19,146,110050,2377,21429,434,5232,756,1117,11225,782,2773,0,6687,97,8355,1333,60,2409,2765,2008-2012
B25024_8_20_to_49,72,122955,1627,18158,142,3865,454,380,8052,263,938,0,2533,80,3509,702,36,896,3127,2008-2012
B25024_9_50_or_more,285,263554,1391,22524,364,5347,804,250,7857,874,939,0,4639,34,3457,533,0,322,1172,2008-2012
B25024_10_mobile_home,419,15404,1049,547,1060,1251,2902,68,4714,2435,665,198,3587,878,3344,2098,203,3676,2000,2008-2012
"B25024_11_boat,_rv,_van,_etc.",0,793,3,52,0,8,0,9,33,5,37,0,47,0,15,34,0,15,0,2008-2012
B25077_1_median_value_(dollars),103700,244900,179300,298500,186500,233800,149200,229400,267700,126900,233400,128600,228900,145400,137400,120600,110900,166600,174300,2008-2012
B25034_1_total,15712,2178739,40932,356370,19919,181587,45175,40002,260020,49924,116015,3083,237175,13165,208913,48481,6023,66208,69222,2008-2012
B25034_2_built_2010_or_later,29,2215,94,332,77,244,73,150,296,83,261,0,384,88,320,56,0,204,91,2008-2012
B25034_3_built_2000_to_2009,742,164926,7931,31764,5457,39647,6173,19787,39246,4508,25159,217,63746,2386,22234,4456,532,9664,9756,2008-2012
B25034_4_built_1990_to_1999,1077,126004,6379,54779,2949,30149,6018,6353,50848,5618,26736,516,55252,2751,19013,5735,750,12064,10454,2008-2012
B25034_5_built_1980_to_1989,890,144575,3300,63883,1864,17546,3388,2192,38435,3447,14743,153,21523,816,14175,3725,346,8073,5181,2008-2012
B25034_6_built_1970_to_1979,1810,255051,5796,86909,2733,23153,7893,4226,41967,5451,16622,579,33356,2498,27171,6643,1176,14609,8910,2008-2012
B25034_7_built_1960_to_1969,1508,283786,4864,47855,1635,17259,4978,2649,26667,4773,8891,314,18859,922,28460,6209,595,7966,7041,2008-2012
B25034_8_built_1950_to_1959,1877,343363,3902,39100,1547,17980,6654,1727,28438,6163,9368,231,18682,1049,37941,6422,675,5785,9408,2008-2012
B25034_9_built_1940_to_1949,1147,173176,1384,10906,821,6722,3243,554,9926,3948,3901,120,7717,831,21652,4209,425,2282,4512,2008-2012
B25034_10_built_1939_or_earlier,6632,685643,7282,20842,2836,28887,6755,2364,24197,15933,10334,953,17656,1824,37947,11026,1524,5561,13869,2008-2012
B25127_1_total,14289,1933670,37959,335532,17987,170069,41068,37817,240744,44709,108950,2453,222092,12117,182028,42569,5338,61312,62301,2008-2012
B25127_2_owner_occupied,10773,1140135,23395,251585,13691,129009,28406,32214,184999,34195,90267,1933,185671,9501,127855,31385,4179,47616,42422,2008-2012
B25127_3_built_2000_or_later,488,90229,5440,21981,4003,32400,4233,16459,28440,3079,21015,150,55043,1823,17119,3052,499,8115,6636,2008-2012
"B25127_4_1,_detached__or_attached",459,49885,5308,19960,3848,30689,3801,16207,26126,2856,20403,145,53176,1795,15916,2742,499,7805,5846,2008-2012
B25127_5_2_to_4,0,6901,19,130,3,585,102,33,308,7,222,0,467,0,392,0,0,67,119,2008-2012
B25127_6_5_to_19,0,9418,23,566,0,515,18,203,519,0,246,0,761,0,496,17,0,0,454,2008-2012
B25127_7_20_to_49,0,5874,0,666,0,280,15,0,442,0,6,0,9,0,51,0,0,0,67,2008-2012
B25127_8_50_or_more,0,16489,0,619,0,185,11,0,338,0,4,0,140,0,16,29,0,0,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",29,1662,90,40,152,146,286,16,707,216,134,5,490,28,248,264,0,243,150,2008-2012
B25127_10_built_1980_to_1999,1328,156700,5165,84235,3243,37379,5692,6981,68209,6386,34124,426,64680,2513,22226,6488,743,13645,9357,2008-2012
"B25127_11_1,_detached__or_attached",1164,108273,4594,75986,2831,35336,4503,6802,63217,5499,32758,388,61713,2239,20004,5731,670,11598,8285,2008-2012
B25127_12_2_to_4,24,11641,27,2668,13,920,28,177,1182,47,421,2,560,24,380,25,0,303,127,2008-2012
B25127_13_5_to_19,0,13936,25,2953,11,508,17,0,1173,0,595,0,929,0,794,24,0,196,368,2008-2012
B25127_14_20_to_49,0,6911,0,1061,0,181,0,0,767,0,22,0,143,0,123,18,0,12,12,2008-2012
B25127_15_50_or_more,0,11126,13,1290,0,54,0,0,334,0,6,0,31,0,14,11,0,0,12,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",140,4813,506,277,388,380,1144,2,1536,840,322,36,1304,250,911,679,73,1536,553,2008-2012
B25127_17_built_1960_to_1979,2334,298220,5065,91652,2936,25627,8184,5526,45992,6874,19085,564,37664,2689,33592,8729,1289,16141,10096,2008-2012
"B25127_18_1,_detached__or_attached",2252,215201,4716,79119,2751,24132,7479,5454,42621,6332,18269,496,36048,2482,32240,8137,1239,15010,9302,2008-2012
B25127_19_2_to_4,3,14104,34,1684,14,369,42,0,839,67,287,0,363,44,337,55,0,156,100,2008-2012
B25127_20_5_to_19,0,21691,28,3999,38,376,17,45,943,0,437,0,503,0,325,12,0,10,58,2008-2012
B25127_21_20_to_49,0,14515,0,3591,0,266,16,12,519,7,41,0,123,0,51,0,0,0,0,2008-2012
B25127_22_50_or_more,0,29093,11,3184,14,168,0,0,192,2,27,0,61,11,56,0,0,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",79,3616,276,75,119,316,630,15,878,466,24,68,566,152,583,525,50,965,636,2008-2012
B25127_24_built_1940_to_1959,2149,311166,3285,38362,1650,17089,6208,1647,27563,7370,9541,229,18175,1198,36692,6872,712,5863,9393,2008-2012
"B25127_25_1,_detached__or_attached",2141,275273,3276,37624,1630,16531,6138,1646,27032,7295,9495,229,17822,1198,36256,6802,704,5800,9183,2008-2012
B25127_26_2_to_4,1,17943,0,162,0,397,53,1,345,36,46,0,177,0,376,44,0,41,158,2008-2012
B25127_27_5_to_19,0,7327,0,199,0,87,14,0,49,14,0,0,78,0,24,4,0,0,0,2008-2012
B25127_28_20_to_49,0,3561,0,187,0,15,0,0,99,0,0,0,0,0,0,0,0,0,0,2008-2012
B25127_29_50_or_more,0,6863,0,190,0,36,3,0,20,7,0,0,11,0,0,0,0,0,0,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",7,199,9,0,20,23,0,0,18,18,0,0,87,0,36,22,8,22,52,2008-2012
B25127_31_built_1939_or_earlier,4474,283820,4440,15355,1859,16514,4089,1601,14795,10486,6502,564,10109,1278,18226,6244,936,3852,6940,2008-2012
"B25127_32_1,_detached__or_attached",4438,174943,4311,15056,1817,15505,3901,1569,13810,10275,6354,561,9365,1265,17195,5980,933,3637,6124,2008-2012
B25127_33_2_to_4,34,68089,120,206,30,981,173,32,847,196,83,3,643,13,964,264,3,152,794,2008-2012
