index,12011,12086,12099,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,2012-2016
B19001_1_total,672988,853624,538549,2012-2016
"B19001_2_less_than_$10,000",46024,88718,33160,2012-2016
"B19001_3_$10,000_to_$14,999",33528,56134,24834,2012-2016
"B19001_4_$15,000_to_$19,999",36478,55206,28854,2012-2016
"B19001_5_$20,000_to_$24,999",36004,54918,29581,2012-2016
"B19001_6_$25,000_to_$29,999",35494,48425,28253,2012-2016
"B19001_7_$30,000_to_$34,999",34521,44505,27407,2012-2016
"B19001_8_$35,000_to_$39,999",33308,43494,25696,2012-2016
"B19001_9_$40,000_to_$44,999",32934,40712,26305,2012-2016
"B19001_10_$45,000_to_$49,999",29695,36298,20824,2012-2016
"B19001_11_$50,000_to_$59,999",53499,62261,42331,2012-2016
"B19001_12_$60,000_to_$74,999",68009,75775,51867,2012-2016
"B19001_13_$75,000_to_$99,999",77936,85374,61648,2012-2016
"B19001_14_$100,000_to_$124,999",55461,56363,43471,2012-2016
"B19001_15_$125,000_to_$149,999",31029,30678,26326,2012-2016
"B19001_16_$150,000_to_$199,999",33726,32452,29031,2012-2016
"B19001_17_$200,000_or_more",35342,42311,38961,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),52954,44224,55277,2012-2016
B25001_1_total,816886,1004835,674975,2012-2016
B25003_1_total,672988,853624,538549,2012-2016
B25003_2_owner_occupied,422354,449174,369536,2012-2016
B25003_3_renter_occupied,250634,404450,169013,2012-2016
B25024_1_total,816886,1004835,674975,2012-2016
"B25024_2_1,_detached",337760,403846,309617,2012-2016
"B25024_3_1,_attached",67946,100246,68282,2012-2016
B25024_4_2,20849,20482,19369,2012-2016
B25024_5_3_or_4,35879,35035,48359,2012-2016
B25024_6_5_to_9,47146,52678,42389,2012-2016
B25024_7_10_to_19,60016,68938,43357,2012-2016
B25024_8_20_to_49,97618,87344,64385,2012-2016
B25024_9_50_or_more,126877,222934,59309,2012-2016
B25024_10_mobile_home,22301,12990,19643,2012-2016
"B25024_11_boat,_rv,_van,_etc.",494,342,265,2012-2016
B25077_1_median_value_(dollars),202300,221100,222700,2012-2016
B25034_1_total,816886,1004835,674975,2012-2016
B25034_2_built_2014_or_later,1877,2970,2353,2012-2016
B25034_3_built_2010_to_2013,8111,12322,7753,2012-2016
B25034_4_built_2000_to_2009,91980,141815,113226,2012-2016
B25034_5_built_1990_to_1999,132505,124006,119689,2012-2016
