estimate_year,index,MA_009,MA_017,MA_021,MA_023,MA_025,NH_015,NH_017,MSA
2009-2013,B01001_34_22_to_24_years,13337,29311,11768,7673,24737,4509,2896,14460.0
2009-2013,B01001_35_25_to_29_years,21990,58545,21509,12279,45611,7289,3733,14460.0
2009-2013,B01001_36_30_to_34_years,22031,54243,20646,12954,33019,7657,3568,14460.0
2009-2013,B01001_37_35_to_39_years,23379,49771,21609,14896,24722,9229,3707,14460.0
2009-2013,B01001_38_40_to_44_years,27566,57021,25664,19674,22863,11905,4250,14460.0
2009-2013,B01001_39_45_to_49_years,31352,60172,28172,21162,22198,13833,4700,14460.0
2009-2013,B01001_40_50_to_54_years,31299,58651,28010,20677,21636,13834,4787,14460.0
2009-2013,B01001_41_55_to_59_years,27109,51129,24914,18799,19954,11467,4567,14460.0
2009-2013,B01001_42_60_and_61_years,10395,18724,9179,7133,7597,4411,1386,14460.0
2009-2013,B01001_43_62_to_64_years,14183,26064,11217,9522,9873,5626,1575,14460.0
2009-2013,B01001_44_65_and_66_years,7673,14278,7049,5796,5693,3248,1257,14460.0
2009-2013,B01001_45_67_to_69_years,9320,17967,8662,7331,6836,4149,1391,14460.0
2009-2013,B01001_46_70_to_74_years,13426,25149,11781,8635,10332,4522,1842,14460.0
2009-2013,B01001_47_75_to_79_years,10867,20316,10219,6391,8180,3761,1466,14460.0
2009-2013,B01001_48_80_to_84_years,9554,18507,9572,6022,7084,3172,1395,14460.0
2009-2013,B01001_49_85_years_and_over,12824,21503,11506,7100,7976,3096,1360,14460.0
2009-2013,B02001_1_total,750808,1522533,677296,497386,735701,296718,123836,14460.0
2009-2013,B02001_2_white_alone,608620,1220044,554522,427283,411168,283694,116104,14460.0
2009-2013,B02001_3_black_or_african_american_alone,28318,71067,40921,42589,162969,2415,1068,14460.0
2009-2013,B02001_4_american_indian_and_alaska_native_alone,1070,2053,574,836,2590,490,191,14460.0
2009-2013,B02001_5_asian_alone,24482,147793,61406,6266,61304,5322,3201,14460.0
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,185,600,32,76,286,39,0,14460.0
2009-2013,B02001_7_some_other_race_alone,71897,38391,8085,10389,54521,1118,637,14460.0
2009-2013,B02001_8_two_or_more_races,16236,42585,11756,9947,42863,3640,2635,14460.0
2009-2013,B02001_9_two_races_including_some_other_race,3803,7167,1662,1950,6275,165,149,14460.0
2009-2013,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",12433,35418,10094,7997,36588,3475,2486,14460.0
2009-2013,B11001_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,B11001_2_family_households,189950,371061,169375,127961,141599,81025,30512,14460.0
2009-2013,B11001_3_married-couple_family,137232,295050,135794,98184,80198,67031,23639,14460.0
2009-2013,B11001_4_other_family,52718,76011,33581,29777,61401,13994,6873,14460.0
2009-2013,"B11001_5_male_householder,_no_wife_present",13054,18951,8174,7520,12915,4273,2092,14460.0
2009-2013,"B11001_6_female_householder,_no_husband_present",39664,57060,25407,22257,48486,9721,4781,14460.0
2009-2013,B11001_7_nonfamily_households,96058,210059,88076,51656,146641,35237,16456,14460.0
2009-2013,B11001_8_householder_living_alone,80080,161966,71762,42608,106769,27050,11666,14460.0
2009-2013,B11001_9_householder_not_living_alone,15978,48093,16314,9048,39872,8187,4790,14460.0
2009-2013,B15002_1_total,512201,1056080,469777,338889,484292,208659,79374,14460.0
2009-2013,B15002_2_male,239233,504040,220068,160518,230718,101460,38390,14460.0
2009-2013,B15002_3_no_schooling_completed,3122,5590,2135,1250,4500,412,237,14460.0
2009-2013,B15002_4_nursery_to_4th_grade,2538,2613,604,700,3939,69,65,14460.0
2009-2013,B15002_5_5th_and_6th_grade,2638,4006,1447,947,5197,159,74,14460.0
2009-2013,B15002_6_7th_and_8th_grade,4530,6209,2030,2062,5778,1077,690,14460.0
2009-2013,B15002_7_9th_grade,3114,4525,1698,1388,3797,822,544,14460.0
2009-2013,B15002_8_10th_grade,3600,5284,2149,2756,4302,1213,681,14460.0
2009-2013,B15002_9_11th_grade,3854,4853,1713,2797,4441,1105,749,14460.0
2009-2013,"B15002_10_12th_grade,_no_diploma",3499,7099,2779,2254,5148,987,509,14460.0
2009-2013,B15002_11_high_school_graduate_(includes_equivalency),64198,110250,48355,50410,57778,29603,11326,14460.0
2009-2013,"B15002_12_some_college,_less_than_1_year",11325,19478,9451,9662,8136,6166,2398,14460.0
2009-2013,"B15002_13_some_college,_1_or_more_years,_no_degree",30128,48747,24195,20117,24285,13844,5764,14460.0
2009-2013,B15002_14_associate's_degree,16264,25392,14043,12516,9375,8052,3287,14460.0
2009-2013,B15002_15_bachelor's_degree,53509,132148,59719,35616,53967,24546,7591,14460.0
2009-2013,B15002_16_master's_degree,25505,78254,29198,13179,23702,9784,3126,14460.0
2009-2013,B15002_17_professional_school_degree,7105,20380,12135,3306,9791,2118,491,14460.0
2009-2013,B15002_18_doctorate_degree,4304,29212,8417,1558,6582,1503,858,14460.0
2009-2013,B15002_19_female,272968,552040,249709,178371,253574,107199,40984,14460.0
2009-2013,B15002_20_no_schooling_completed,3670,7136,2167,1564,6632,446,248,14460.0
2009-2013,B15002_21_nursery_to_4th_grade,2431,3307,935,804,4138,81,47,14460.0
2009-2013,B15002_22_5th_and_6th_grade,2846,4445,1364,747,5594,160,131,14460.0
2009-2013,B15002_23_7th_and_8th_grade,5778,6193,2293,1940,6074,863,736,14460.0
2009-2013,B15002_24_9th_grade,3205,4530,1449,1479,3853,677,451,14460.0
2009-2013,B15002_25_10th_grade,3779,5497,2061,1841,4531,1146,535,14460.0
2009-2013,B15002_26_11th_grade,3994,5456,1810,2178,4864,1288,586,14460.0
2009-2013,"B15002_27_12th_grade,_no_diploma",3540,6483,2881,2209,4994,909,370,14460.0
2009-2013,B15002_28_high_school_graduate_(includes_equivalency),71470,117942,53399,50642,59761,29128,11602,14460.0
2009-2013,"B15002_29_some_college,_less_than_1_year",13978,23526,11126,10668,8973,7210,2691,14460.0
2009-2013,"B15002_30_some_college,_1_or_more_years,_no_degree",34557,52480,26129,24360,28399,13148,5306,14460.0
2009-2013,B15002_31_associate's_degree,26522,39123,22396,19906,14373,12439,5111,14460.0
2009-2013,B15002_32_bachelor's_degree,58184,141989,68305,38105,56281,25098,8255,14460.0
2009-2013,B15002_33_master's_degree,30930,98217,39030,17973,31436,12087,3814,14460.0
2009-2013,B15002_34_professional_school_degree,5339,18237,8500,2573,8587,1426,520,14460.0
2009-2013,B15002_35_doctorate_degree,2745,17479,5864,1382,5084,1093,581,14460.0
2009-2013,B19001_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,"B19001_2_less_than_$10,000",16708,26806,11685,7530,34149,3532,2483,14460.0
2009-2013,"B19001_3_$10,000_to_$14,999",15484,22327,9330,7159,20335,3320,2297,14460.0
2009-2013,"B19001_4_$15,000_to_$19,999",12937,20093,8402,6191,15088,3528,1744,14460.0
2009-2013,"B19001_5_$20,000_to_$24,999",12304,20300,7788,6595,12785,4217,2377,14460.0
2009-2013,"B19001_6_$25,000_to_$29,999",11020,18943,7699,5884,10679,3725,2458,14460.0
2009-2013,"B19001_7_$30,000_to_$34,999",12468,19259,8810,7086,11129,4563,1838,14460.0
2009-2013,"B19001_8_$35,000_to_$39,999",10970,17163,7671,6790,9917,3965,2002,14460.0
2009-2013,"B19001_9_$40,000_to_$44,999",9676,19497,7880,5936,11521,4508,2311,14460.0
2009-2013,"B19001_10_$45,000_to_$49,999",9578,16817,8054,6270,10858,4430,2448,14460.0
2009-2013,"B19001_11_$50,000_to_$59,999",18743,36821,16076,12592,19827,7925,3934,14460.0
2009-2013,"B19001_12_$60,000_to_$74,999",26306,50068,22122,17673,25423,12354,5140,14460.0
2009-2013,"B19001_13_$75,000_to_$99,999",37428,74478,31904,25961,32226,17634,6569,14460.0
2009-2013,"B19001_14_$100,000_to_$124,999",27291,63010,28631,20163,23409,13747,4228,14460.0
2009-2013,"B19001_15_$125,000_to_$149,999",19935,46731,20870,14146,15405,9552,2633,14460.0
2009-2013,"B19001_16_$150,000_to_$199,999",22594,59642,26702,15294,16713,10648,2753,14460.0
2009-2013,"B19001_17_$200,000_or_more",22566,69165,33827,14347,18776,8614,1753,14460.0
2009-2013,B19013_1_median_household_income_in_the_past_12_months_(in_2013_inflation-adjusted_dollars),67311,82090,84916,75092,53540,77348,58825,14460.0
2009-2013,B25001_1_total,306605,612535,270908,200432,314929,126926,51775,14460.0
2009-2013,B25003_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,B25003_2_owner_occupied,181223,364548,178345,138462,102413,89262,30797,14460.0
2009-2013,B25003_3_renter_occupied,104785,216572,79106,41155,185827,27000,16171,14460.0
2009-2013,B25024_1_total,306605,612535,270908,200432,314929,126926,51775,14460.0
2009-2013,"B25024_2_1,_detached",153710,298958,156665,141849,42580,81952,28971,14460.0
2009-2013,"B25024_3_1,_attached",18637,38326,12429,8177,18415,9547,1960,14460.0
2009-2013,B25024_4_2,35971,79334,20187,11064,46343,6016,3112,14460.0
2009-2013,B25024_5_3_or_4,34752,54432,17216,11773,78110,4632,4204,14460.0
2009-2013,B25024_6_5_to_9,17421,31413,14564,7432,33985,4782,3659,14460.0
2009-2013,B25024_7_10_to_19,12387,28948,12333,5726,24707,4051,1499,14460.0
2009-2013,B25024_8_20_to_49,14957,32186,13720,3714,26612,6016,2140,14460.0
2009-2013,B25024_9_50_or_more,16682,46476,22712,5829,43662,2053,1178,14460.0
2009-2013,B25024_10_mobile_home,2044,2423,1046,4868,409,7847,5052,14460.0
2009-2013,"B25024_11_boat,_rv,_van,_etc.",44,39,36,0,106,30,0,14460.0
2009-2013,B25077_1_median_value_(dollars),349400,398200,391100,332100,358700,282100,220600,14460.0
2009-2013,B25034_1_total,306605,612535,270908,200432,314929,126926,51775,14460.0
2009-2013,B25034_2_built_2010_or_later,793,2501,1039,1075,856,761,200,14460.0
2009-2013,B25034_3_built_2000_to_2009,20690,44003,20250,18571,21832,16246,7128,14460.0
2009-2013,B25034_4_built_1990_to_1999,20730,40737,20596,18217,12119,16369,5099,14460.0
2009-2013,B25034_5_built_1980_to_1989,32439,58729,28763,23591,18828,27569,9883,14460.0
2009-2013,B25034_6_built_1970_to_1979,29084,63695,32202,32316,23180,21764,6823,14460.0
2009-2013,B25034_7_built_1960_to_1969,30831,70071,32399,24349,25099,11767,4700,14460.0
2009-2013,B25034_8_built_1950_to_1959,34141,76950,39598,23230,23451,9618,4283,14460.0
2009-2013,B25034_9_built_1940_to_1949,17084,35405,19091,10639,17984,4459,2044,14460.0
2009-2013,B25034_10_built_1939_or_earlier,120813,220444,76970,48444,171580,18373,11615,14460.0
2009-2013,B25127_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,B25127_2_owner_occupied,181223,364548,178345,138462,102413,89262,30797,14460.0
2009-2013,B25127_3_built_2000_or_later,12412,23827,11606,14477,6741,13187,4997,14460.0
2009-2013,"B25127_4_1,_detached__or_attached",9899,18661,9332,12960,2175,11068,4258,14460.0
2009-2013,B25127_5_2_to_4,472,1507,379,409,1344,343,56,14460.0
2009-2013,B25127_6_5_to_19,348,858,587,233,737,139,9,14460.0
2009-2013,B25127_7_20_to_49,664,1332,346,140,651,581,25,14460.0
2009-2013,B25127_8_50_or_more,791,1371,870,217,1826,89,0,14460.0
2009-2013,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",238,98,92,518,8,967,649,14460.0
2009-2013,B25127_10_built_1980_to_1999,37262,65923,33776,33613,9168,33578,10203,14460.0
2009-2013,"B25127_11_1,_detached__or_attached",31031,54581,27625,29669,4019,29483,7599,14460.0
2009-2013,B25127_12_2_to_4,1880,2662,1216,375,1665,898,181,14460.0
2009-2013,B25127_13_5_to_19,2145,3393,1863,1067,1049,668,187,14460.0
2009-2013,B25127_14_20_to_49,935,2044,671,190,814,210,19,14460.0
2009-2013,B25127_15_50_or_more,990,2662,2147,276,1569,37,0,14460.0
2009-2013,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",281,581,254,2036,52,2282,2217,14460.0
2009-2013,B25127_17_built_1960_to_1979,37072,78240,38769,39902,10748,22956,6624,14460.0
2009-2013,"B25127_18_1,_detached__or_attached",32127,66878,33059,37051,5418,19876,5359,14460.0
2009-2013,B25127_19_2_to_4,1463,2096,1039,420,1982,461,108,14460.0
2009-2013,B25127_20_5_to_19,1391,3276,1677,901,737,413,54,14460.0
2009-2013,B25127_21_20_to_49,716,2585,1253,84,755,228,0,14460.0
2009-2013,B25127_22_50_or_more,566,2486,1308,44,1778,0,14,14460.0
2009-2013,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",809,919,433,1402,78,1978,1089,14460.0
2009-2013,B25127_24_built_1940_to_1959,34569,77460,43962,22686,13575,8754,4111,14460.0
2009-2013,"B25127_25_1,_detached__or_attached",31750,72412,42148,22073,9119,8419,3971,14460.0
2009-2013,B25127_26_2_to_4,2059,3348,925,547,2856,193,60,14460.0
2009-2013,B25127_27_5_to_19,367,838,314,26,713,11,0,14460.0
2009-2013,B25127_28_20_to_49,171,395,230,16,376,0,0,14460.0
2009-2013,B25127_29_50_or_more,68,423,287,0,459,0,0,14460.0
2009-2013,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",154,44,58,24,52,131,80,14460.0
2009-2013,B25127_31_built_1939_or_earlier,59908,119098,50232,27784,62181,10787,4862,14460.0
2009-2013,"B25127_32_1,_detached__or_attached",43525,82831,40456,24089,23523,9370,4319,14460.0
2009-2013,B25127_33_2_to_4,14308,31724,7372,3258,28203,985,468,14460.0
2009-2013,B25127_34_5_to_19,1228,2518,1425,262,6588,231,56,14460.0
2009-2013,B25127_35_20_to_49,598,1051,613,76,2115,88,0,14460.0
2009-2013,B25127_36_50_or_more,231,914,333,77,1725,97,0,14460.0
2009-2013,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",18,60,33,22,27,16,19,14460.0
2009-2013,B25127_38_renter_occupied,104785,216572,79106,41155,185827,27000,16171,14460.0
2009-2013,B25127_39_built_2000_or_later,7361,18889,8252,3443,13660,2533,1772,14460.0
2009-2013,"B25127_40_1,_detached__or_attached",997,1674,580,654,1327,619,414,14460.0
2009-2013,B25127_41_2_to_4,928,2686,905,696,2936,442,331,14460.0
2009-2013,B25127_42_5_to_19,1618,3495,1869,757,1834,499,497,14460.0
2009-2013,B25127_43_20_to_49,1629,3471,1613,534,1425,577,291,14460.0
2009-2013,B25127_44_50_or_more,2167,7548,3258,770,6113,267,212,14460.0
2009-2013,"B25127_45_mobile_home,_boat,_rv,_van,_etc.",22,15,27,32,25,129,27,14460.0
2009-2013,B25127_46_built_1980_to_1999,13542,29036,13403,5530,20031,8006,3642,14460.0
2009-2013,"B25127_47_1,_detached__or_attached",2276,4289,1491,1281,2397,1942,446,14460.0
2009-2013,B25127_48_2_to_4,3205,5726,2364,1216,5293,1399,745,14460.0
2009-2013,B25127_49_5_to_19,3023,7308,3532,1437,3616,2253,1156,14460.0
2009-2013,B25127_50_20_to_49,1987,4021,1947,635,2562,1561,847,14460.0
2009-2013,B25127_51_50_or_more,3001,7538,4016,893,6137,420,213,14460.0
2009-2013,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",50,154,53,68,26,431,235,14460.0
2009-2013,B25127_53_built_1960_to_1979,19852,49941,22736,12256,34291,7787,3681,14460.0
2009-2013,"B25127_54_1,_detached__or_attached",2801,5512,2094,3112,2614,1776,551,14460.0
2009-2013,B25127_55_2_to_4,5170,11231,4368,2597,9161,1343,909,14460.0
2009-2013,B25127_56_5_to_19,5243,13512,6728,3437,7867,1917,945,14460.0
2009-2013,B25127_57_20_to_49,2779,7494,3422,1020,3986,1760,582,14460.0
2009-2013,B25127_58_50_or_more,3660,11993,6074,1957,10538,481,353,14460.0
2009-2013,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",199,199,50,133,125,510,341,14460.0
2009-2013,B25127_60_built_1940_to_1959,14122,31015,12876,6168,25427,3335,1801,14460.0
2009-2013,"B25127_61_1,_detached__or_attached",3396,6350,3699,2792,1712,1276,501,14460.0
2009-2013,B25127_62_2_to_4,5662,13527,4412,1833,10709,1235,721,14460.0
2009-2013,B25127_63_5_to_19,3243,6356,2698,857,7628,466,494,14460.0
2009-2013,B25127_64_20_to_49,789,2170,1047,352,3006,178,22,14460.0
2009-2013,B25127_65_50_or_more,1013,2612,1020,334,2303,123,63,14460.0
2009-2013,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",19,0,0,0,69,57,0,14460.0
2009-2013,B25127_67_built_1939_or_earlier,49908,87691,21839,13758,92418,5339,5275,14460.0
2009-2013,"B25127_68_1,_detached__or_attached",6224,13622,3434,2518,5649,1503,933,14460.0
2009-2013,B25127_69_2_to_4,28178,49674,11263,7919,48358,1996,2718,14460.0
2009-2013,B25127_70_5_to_19,8725,13903,4223,2533,22440,1194,1154,14460.0
2009-2013,B25127_71_20_to_49,3484,5095,1480,415,8654,314,206,14460.0
2009-2013,B25127_72_50_or_more,3232,5397,1439,373,7276,332,264,14460.0
2009-2013,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",65,0,0,0,41,0,0,14460.0
2009-2013,B03002_1_total,750808,1522533,677296,497386,735701,296718,123836,14460.0
2009-2013,B03002_2_not_hispanic_or_latino,622498,1418452,653675,480944,585551,290060,121465,14460.0
2009-2013,B03002_3_white_alone,565188,1161079,539542,418092,350757,278612,114465,14460.0
2009-2013,B03002_4_black_or_african_american_alone,21276,66499,39035,40798,147741,2129,1004,14460.0
2009-2013,B03002_5_american_indian_and_alaska_native_alone,646,1344,439,608,1196,419,108,14460.0
2009-2013,B03002_6_asian_alone,24207,147125,61133,6125,60959,5273,3149,14460.0
2009-2013,B03002_7_native_hawaiian_and_other_pacific_islander_alone,138,548,26,66,120,39,0,14460.0
2009-2013,B03002_8_some_other_race_alone,2542,8820,2558,6299,8859,171,180,14460.0
2009-2013,B03002_9_two_or_more_races,8501,33037,10942,8956,15919,3417,2559,14460.0
2009-2013,B03002_10_two_races_including_some_other_race,619,3976,1211,1397,2295,69,102,14460.0
2009-2013,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",7882,29061,9731,7559,13624,3348,2457,14460.0
2009-2013,B03002_12_hispanic_or_latino,128310,104081,23621,16442,150150,6658,2371,14460.0
2009-2013,B03002_13_white_alone,43432,58965,14980,9191,60411,5082,1639,14460.0
2009-2013,B03002_14_black_or_african_american_alone,7042,4568,1886,1791,15228,286,64,14460.0
2009-2013,B03002_15_american_indian_and_alaska_native_alone,424,709,135,228,1394,71,83,14460.0
2009-2013,B03002_16_asian_alone,275,668,273,141,345,49,52,14460.0
2009-2013,B03002_17_native_hawaiian_and_other_pacific_islander_alone,47,52,6,10,166,0,0,14460.0
2009-2013,B03002_18_some_other_race_alone,69355,29571,5527,4090,45662,947,457,14460.0
2009-2013,B03002_19_two_or_more_races,7735,9548,814,991,26944,223,76,14460.0
2009-2013,B03002_20_two_races_including_some_other_race,3184,3191,451,553,3980,96,47,14460.0
2009-2013,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",4551,6357,363,438,22964,127,29,14460.0
2009-2013,B11005_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,B11005_2_households_with_one_or_more_people_under_18_years,94518,182056,83124,62803,71612,37433,14458,14460.0
2009-2013,B11005_3_family_households,93907,181340,82759,62319,71265,36999,14243,14460.0
2009-2013,B11005_4_married-couple_family,61495,140199,65089,44878,33562,28651,9708,14460.0
2009-2013,B11005_5_other_family,32412,41141,17670,17441,37703,8348,4535,14460.0
2009-2013,"B11005_6_male_householder,_no_wife_present",6709,8417,3705,4070,6078,2302,1494,14460.0
2009-2013,"B11005_7_female_householder,_no_husband_present",25703,32724,13965,13371,31625,6046,3041,14460.0
2009-2013,B11005_8_nonfamily_households,611,716,365,484,347,434,215,14460.0
2009-2013,B11005_9_male_householder,526,479,157,335,196,370,174,14460.0
2009-2013,B11005_10_female_householder,85,237,208,149,151,64,41,14460.0
2009-2013,B11005_11_households_with_no_people_under_18_years,191490,399064,174327,116814,216628,78829,32510,14460.0
2009-2013,B11005_12_family_households,96043,189721,86616,65642,70334,44026,16269,14460.0
2009-2013,B11005_13_married-couple_family,75737,154851,70705,53306,46636,38380,13931,14460.0
2009-2013,B11005_14_other_family,20306,34870,15911,12336,23698,5646,2338,14460.0
2009-2013,"B11005_15_male_householder,_no_wife_present",6345,10534,4469,3450,6837,1971,598,14460.0
2009-2013,"B11005_16_female_householder,_no_husband_present",13961,24336,11442,8886,16861,3675,1740,14460.0
2009-2013,B11005_17_nonfamily_households,95447,209343,87711,51172,146294,34803,16241,14460.0
2009-2013,B11005_18_male_householder,40190,92988,34819,21230,66497,16087,6976,14460.0
2009-2013,B11005_19_female_householder,55257,116355,52892,29942,79797,18716,9265,14460.0
2009-2013,B11016_1_total,286008,581120,257451,179617,288240,116262,46968,14460.0
2009-2013,B11016_2_family_households,189950,371061,169375,127961,141599,81025,30512,14460.0
2009-2013,B11016_3_2-person_household,75710,149692,66767,50521,59261,35222,13856,14460.0
2009-2013,B11016_4_3-person_household,45663,89393,39474,29234,36739,18920,7132,14460.0
2009-2013,B11016_5_4-person_household,43204,84802,39284,28753,26552,17561,6618,14460.0
2009-2013,B11016_6_5-person_household,17344,33478,17143,13145,11514,6846,2041,14460.0
2009-2013,B11016_7_6-person_household,5427,8738,5038,4419,4582,1889,547,14460.0
2009-2013,B11016_8_7-or-more_person_household,2602,4958,1669,1889,2951,587,318,14460.0
2009-2013,B11016_9_nonfamily_households,96058,210059,88076,51656,146641,35237,16456,14460.0
2009-2013,B11016_10_1-person_household,80080,161966,71762,42608,106769,27050,11666,14460.0
2009-2013,B11016_11_2-person_household,13609,37717,13525,7784,29534,7087,3969,14460.0
2009-2013,B11016_12_3-person_household,1619,7040,2061,876,6413,827,553,14460.0
2009-2013,B11016_13_4-person_household,656,2527,558,321,3013,226,214,14460.0
2009-2013,B11016_14_5-person_household,69,573,140,29,563,47,13,14460.0
2009-2013,B11016_15_6-person_household,25,166,30,38,274,0,41,14460.0
2009-2013,B11016_16_7-or-more_person_household,0,70,0,0,75,0,0,14460.0
