estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2005-2009,"B15002_30_some_college,_1_or_more_years,_no_degree",39618,107660,35709,7101,3357,4351,8213,5259,5931,4196,321,89255,2670
2005-2009,B15002_31_associate's_degree,18814,43178,13742,3221,1233,1663,2874,2258,2608,1459,183,36878,1109
2005-2009,B15002_32_bachelor's_degree,73091,135507,49819,6259,2761,2798,5732,3330,5152,5357,393,105547,2101
2005-2009,B15002_33_master's_degree,25228,48119,16797,1952,759,1362,1457,1012,1467,1435,110,32131,588
2005-2009,B15002_34_professional_school_degree,3752,10917,2208,352,141,79,227,278,262,332,7,5418,155
2005-2009,B15002_35_doctorate_degree,1814,4728,1507,64,64,188,181,28,123,145,14,3047,64
2005-2009,B19001_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,"B19001_2_less_than_$10,000",8304,61081,7367,2212,994,2770,2474,1660,2392,617,242,35974,815
2005-2009,"B19001_3_$10,000_to_$14,999",5380,42560,5992,1949,849,2138,2304,1411,1583,431,215,27494,896
2005-2009,"B19001_4_$15,000_to_$19,999",6577,49047,6380,2474,669,2027,2342,1050,1602,333,155,28297,828
2005-2009,"B19001_5_$20,000_to_$24,999",7994,52386,7710,2268,1121,1673,2538,1455,1476,585,66,30483,689
2005-2009,"B19001_6_$25,000_to_$29,999",8841,53650,7871,2022,1094,2067,2520,1404,1489,489,132,32625,808
2005-2009,"B19001_7_$30,000_to_$34,999",8291,50377,8959,2113,741,1516,2710,1602,1435,743,118,31727,1000
2005-2009,"B19001_8_$35,000_to_$39,999",8976,45948,8442,2064,1062,1600,2654,1349,1518,809,154,30394,836
2005-2009,"B19001_9_$40,000_to_$44,999",10595,44155,8697,2110,954,1431,2776,1451,1408,701,111,31642,855
2005-2009,"B19001_10_$45,000_to_$49,999",9555,41204,8239,1872,793,1308,2233,1400,1477,1063,147,27567,1132
2005-2009,"B19001_11_$50,000_to_$59,999",18164,70160,16711,4574,1655,2433,4332,2296,2701,1918,224,53017,1878
2005-2009,"B19001_12_$60,000_to_$74,999",25451,79388,21674,5109,1765,2753,5959,3339,4094,3117,252,62980,2253
2005-2009,"B19001_13_$75,000_to_$99,999",38155,87707,31113,7401,2209,3410,6830,4584,5498,4100,231,78931,2743
2005-2009,"B19001_14_$100,000_to_$124,999",32120,54191,22143,4381,1244,1957,3574,2336,3314,2967,282,52628,1498
2005-2009,"B19001_15_$125,000_to_$149,999",20473,30829,14274,2652,738,934,2138,1369,1772,1929,78,28626,949
2005-2009,"B19001_16_$150,000_to_$199,999",23501,30100,14731,1829,907,677,1786,968,1790,1740,106,28594,517
2005-2009,"B19001_17_$200,000_or_more",23423,39951,12048,1377,698,579,1219,741,1506,1571,89,24729,452
2005-2009,B19013_1_median_household_income_in_the_past_12_months_(in_2009_inflation-adjusted_dollars),80545,47059,70002,58809,52870,42894,53444,55857,61415,80193,48566,54647,55703
2005-2009,B25001_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,B25003_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B25003_2_owner_occupied,181809,456160,134893,35459,13860,20831,37245,21825,27980,19610,1995,383418,14888
2005-2009,B25003_3_renter_occupied,73991,376574,67458,10948,3633,8442,11144,6590,7075,3503,607,222290,3261
2005-2009,B25024_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,"B25024_2_1,_detached",194025,514028,146755,38663,13743,22010,35267,22739,26541,21614,2333,447111,13374
2005-2009,"B25024_3_1,_attached",6745,36988,3581,485,352,291,485,325,574,418,7,20402,315
2005-2009,B25024_4_2,1218,13369,1603,1479,247,628,1269,414,851,163,16,13837,284
2005-2009,B25024_5_3_or_4,6596,38914,5542,1066,323,659,1294,900,639,184,52,25558,309
2005-2009,B25024_6_5_to_9,17093,91591,13028,1122,224,1635,802,732,719,612,66,44296,189
2005-2009,B25024_7_10_to_19,23252,100082,19319,1017,160,1040,411,390,422,465,32,52977,38
2005-2009,B25024_8_20_to_49,7686,58077,13373,249,96,574,263,172,175,110,6,25568,115
2005-2009,B25024_9_50_or_more,9959,65226,5616,393,162,644,378,143,302,35,27,25883,82
2005-2009,B25024_10_mobile_home,6717,15532,10385,5388,5264,7183,12725,5393,7991,1007,561,12895,6223
2005-2009,"B25024_11_boat,_rv,_van,_etc.",21,661,97,55,89,3,123,24,131,0,0,488,95
2005-2009,B25077_1_median_value_(dollars),197400,128800,170900,134100,141000,88800,109700,125100,138900,183200,137200,131500,116200
2005-2009,B25034_1_total,273312,934468,219299,49917,20660,34667,53017,31232,38345,24608,3100,669015,21024
2005-2009,B25034_2_built_2005_or_later,23806,25161,15232,3343,1166,1541,3017,2823,2549,3246,103,37221,891
2005-2009,B25034_3_built_2000_to_2004,58596,79886,49192,8819,3243,3916,9201,6926,7475,6928,211,92106,3202
2005-2009,B25034_4_built_1990_to_1999,89278,105655,57076,10333,4466,5745,11274,6165,8006,5432,758,100496,5357
2005-2009,B25034_5_built_1980_to_1989,58340,181865,53774,10024,5151,6550,9883,5857,8032,4836,679,144484,3566
2005-2009,B25034_6_built_1970_to_1979,27376,190819,26778,6068,4402,5547,8824,4181,5165,2506,349,109453,3281
2005-2009,B25034_7_built_1960_to_1969,8085,144137,8808,3371,827,4712,4277,2083,2161,591,261,67499,1722
2005-2009,B25034_8_built_1950_to_1959,3146,122121,4488,3227,612,2961,2789,1071,2283,449,365,65786,1149
2005-2009,B25034_9_built_1940_to_1949,1674,44444,1677,1476,345,1390,1198,637,966,311,70,25803,626
2005-2009,B25034_10_built_1939_or_earlier,3011,40380,2274,3256,448,2305,2554,1489,1708,309,304,26167,1230
2005-2009,B03002_1_total,729514,2383126,611842,142348,49360,82204,150077,95993,108324,72814,7730,1704943,57615
2005-2009,B03002_2_not_hispanic_or_latino,628547,1484359,510345,110249,44518,72735,126236,80292,97846,61354,6469,1273363,49224
2005-2009,B03002_3_white_alone,488496,859443,417471,93794,42604,63175,116986,67749,92521,54407,6359,932550,47035
2005-2009,B03002_4_black_or_african_american_alone,53316,475832,44451,13187,310,7283,5277,9951,2346,4176,24,231983,763
2005-2009,B03002_5_american_indian_and_alaska_native_alone,3132,5973,1860,620,383,425,967,476,525,182,0,6211,433
2005-2009,B03002_6_asian_alone,70932,106758,33672,880,229,606,1070,735,555,1719,0,71444,226
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,545,1699,413,91,0,204,245,61,0,169,0,3027,98
2005-2009,B03002_8_some_other_race_alone,1905,6104,1006,195,367,132,34,99,106,50,28,4820,7
2005-2009,B03002_9_two_or_more_races,10221,28550,11472,1482,625,910,1657,1221,1793,651,58,23328,662
2005-2009,B03002_10_two_races_including_some_other_race,555,2302,459,31,150,35,125,61,162,0,0,1457,10
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",9666,26248,11013,1451,475,875,1532,1160,1631,651,58,21871,652
2005-2009,B03002_12_hispanic_or_latino,100967,898767,101497,32099,4842,9469,23841,15701,10478,11460,1261,431580,8391
2005-2009,B03002_13_white_alone,75900,543542,67416,18263,1842,6229,18611,10932,6526,6255,328,243981,5154
2005-2009,B03002_14_black_or_african_american_alone,751,5431,814,139,3,98,6,167,0,63,0,3321,0
2005-2009,B03002_15_american_indian_and_alaska_native_alone,290,5996,450,994,34,23,207,9,61,295,31,2080,32
2005-2009,B03002_16_asian_alone,343,1039,89,29,34,0,10,0,0,33,0,900,45
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,211,0,0,0,0,0,20,0,0,0,139,0
2005-2009,B03002_18_some_other_race_alone,19010,324083,21831,11723,2885,2878,4438,3905,3437,4565,902,169439,2636
2005-2009,B03002_19_two_or_more_races,4673,18465,10897,951,44,241,569,668,454,249,0,11720,524
2005-2009,B03002_20_two_races_including_some_other_race,3728,13552,3268,723,44,150,530,548,369,159,0,8272,263
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",945,4913,7629,228,0,91,39,120,85,90,0,3448,261
2005-2009,B11005_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,109500,323413,84702,21107,5032,10140,19622,11968,13438,10981,726,244065,7045
2005-2009,B11005_3_family_households,108987,321356,83971,20816,5032,10012,19361,11955,13324,10850,715,241740,6999
2005-2009,B11005_4_married-couple_family,86728,203893,63367,15199,3742,6776,13854,8195,9974,8594,494,165089,5529
2005-2009,B11005_5_other_family,22259,117463,20604,5617,1290,3236,5507,3760,3350,2256,221,76651,1470
2005-2009,"B11005_6_male_householder,_no_wife_present",5877,27347,5608,1331,440,742,1597,923,1023,538,41,17976,408
2005-2009,"B11005_7_female_householder,_no_husband_present",16382,90116,14996,4286,850,2494,3910,2837,2327,1718,180,58675,1062
2005-2009,B11005_8_nonfamily_households,513,2057,731,291,0,128,261,13,114,131,11,2325,46
2005-2009,B11005_9_male_householder,376,1475,652,208,0,107,229,13,87,105,11,1702,40
2005-2009,B11005_10_female_householder,137,582,79,83,0,21,32,0,27,26,0,623,6
2005-2009,B11005_11_households_with_no_people_under_18_years,146300,509321,117649,25300,12461,19133,28767,16447,21617,12132,1876,361643,11104
2005-2009,B11005_12_family_households,76900,224065,58278,15906,7681,10258,17720,10640,13601,8250,1028,176416,7037
2005-2009,B11005_13_married-couple_family,67264,168025,49945,13915,6857,8853,15348,9250,11825,7453,983,144099,6043
2005-2009,B11005_14_other_family,9636,56040,8333,1991,824,1405,2372,1390,1776,797,45,32317,994
2005-2009,"B11005_15_male_householder,_no_wife_present",3941,21082,3035,765,235,515,1091,428,562,325,0,11515,367
2005-2009,"B11005_16_female_householder,_no_husband_present",5695,34958,5298,1226,589,890,1281,962,1214,472,45,20802,627
2005-2009,B11005_17_nonfamily_households,69400,285256,59371,9394,4780,8875,11047,5807,8016,3882,848,185227,4067
2005-2009,B11005_18_male_householder,33188,142474,28932,4255,2159,4323,5074,2766,3830,1716,385,91337,2084
2005-2009,B11005_19_female_householder,36212,142782,30439,5139,2621,4552,5973,3041,4186,2166,463,93890,1983
2005-2009,B11016_1_total,255800,832734,202351,46407,17493,29273,48389,28415,35055,23113,2602,605708,18149
2005-2009,B11016_2_family_households,185887,545421,142249,36722,12713,20270,37081,22595,26925,19100,1743,418156,14036
2005-2009,B11016_3_2-person_household,69100,196711,51938,13391,6789,9176,14935,9059,11662,7065,995,159093,6039
2005-2009,B11016_4_3-person_household,42929,126154,34190,8776,2344,4145,8097,5468,6178,4605,376,96787,2991
2005-2009,B11016_5_4-person_household,46259,117281,34504,8249,2148,3907,7489,4396,5482,4244,292,90982,2742
2005-2009,B11016_6_5-person_household,18555,62567,14425,3794,1128,2055,4274,2218,2476,2162,27,44785,1621
2005-2009,B11016_7_6-person_household,6245,25810,4719,1528,177,708,1428,806,729,619,30,16603,424
2005-2009,B11016_8_7-or-more_person_household,2799,16898,2473,984,127,279,858,648,398,405,23,9906,219
2005-2009,B11016_9_nonfamily_households,69913,287313,60102,9685,4780,9003,11308,5820,8130,4013,859,187552,4113
2005-2009,B11016_10_1-person_household,58245,239660,47154,8145,4078,7409,9256,5039,6920,3124,769,156075,3539
2005-2009,B11016_11_2-person_household,10086,40358,10303,1174,638,1350,1582,754,1072,745,79,26309,528
2005-2009,B11016_12_3-person_household,1207,5000,1830,232,42,124,245,13,88,88,11,3442,6
2005-2009,B11016_13_4-person_household,348,1670,671,120,12,86,111,14,43,36,0,1275,40
2005-2009,B11016_14_5-person_household,11,378,123,14,0,17,74,0,7,20,0,354,0
2005-2009,B11016_15_6-person_household,9,167,13,0,0,0,40,0,0,0,0,73,0
2005-2009,B11016_16_7-or-more_person_household,7,80,8,0,10,17,0,0,0,0,0,24,0
