index,25009,25017,25021,25023,25025,33015,33017,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2009-2013
B25024_6_5_to_9,17421,31413,14564,7432,33985,4782,3659,2009-2013
B25024_7_10_to_19,12387,28948,12333,5726,24707,4051,1499,2009-2013
B25024_8_20_to_49,14957,32186,13720,3714,26612,6016,2140,2009-2013
B25024_9_50_or_more,16682,46476,22712,5829,43662,2053,1178,2009-2013
B25024_10_mobile_home,2044,2423,1046,4868,409,7847,5052,2009-2013
"B25024_11_boat,_rv,_van,_etc.",44,39,36,0,106,30,0,2009-2013
B25077_1_median_value_(dollars),349400,398200,391100,332100,358700,282100,220600,2009-2013
B25034_1_total,306605,612535,270908,200432,314929,126926,51775,2009-2013
B25034_2_built_2010_or_later,793,2501,1039,1075,856,761,200,2009-2013
B25034_3_built_2000_to_2009,20690,44003,20250,18571,21832,16246,7128,2009-2013
B25034_4_built_1990_to_1999,20730,40737,20596,18217,12119,16369,5099,2009-2013
B25034_5_built_1980_to_1989,32439,58729,28763,23591,18828,27569,9883,2009-2013
B25034_6_built_1970_to_1979,29084,63695,32202,32316,23180,21764,6823,2009-2013
B25034_7_built_1960_to_1969,30831,70071,32399,24349,25099,11767,4700,2009-2013
B25034_8_built_1950_to_1959,34141,76950,39598,23230,23451,9618,4283,2009-2013
B25034_9_built_1940_to_1949,17084,35405,19091,10639,17984,4459,2044,2009-2013
B25034_10_built_1939_or_earlier,120813,220444,76970,48444,171580,18373,11615,2009-2013
B25127_1_total,286008,581120,257451,179617,288240,116262,46968,2009-2013
B25127_2_owner_occupied,181223,364548,178345,138462,102413,89262,30797,2009-2013
B25127_3_built_2000_or_later,12412,23827,11606,14477,6741,13187,4997,2009-2013
"B25127_4_1,_detached__or_attached",9899,18661,9332,12960,2175,11068,4258,2009-2013
B25127_5_2_to_4,472,1507,379,409,1344,343,56,2009-2013
B25127_6_5_to_19,348,858,587,233,737,139,9,2009-2013
B25127_7_20_to_49,664,1332,346,140,651,581,25,2009-2013
B25127_8_50_or_more,791,1371,870,217,1826,89,0,2009-2013
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",238,98,92,518,8,967,649,2009-2013
B25127_10_built_1980_to_1999,37262,65923,33776,33613,9168,33578,10203,2009-2013
"B25127_11_1,_detached__or_attached",31031,54581,27625,29669,4019,29483,7599,2009-2013
B25127_12_2_to_4,1880,2662,1216,375,1665,898,181,2009-2013
B25127_13_5_to_19,2145,3393,1863,1067,1049,668,187,2009-2013
B25127_14_20_to_49,935,2044,671,190,814,210,19,2009-2013
B25127_15_50_or_more,990,2662,2147,276,1569,37,0,2009-2013
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",281,581,254,2036,52,2282,2217,2009-2013
B25127_17_built_1960_to_1979,37072,78240,38769,39902,10748,22956,6624,2009-2013
"B25127_18_1,_detached__or_attached",32127,66878,33059,37051,5418,19876,5359,2009-2013
B25127_19_2_to_4,1463,2096,1039,420,1982,461,108,2009-2013
B25127_20_5_to_19,1391,3276,1677,901,737,413,54,2009-2013
B25127_21_20_to_49,716,2585,1253,84,755,228,0,2009-2013
B25127_22_50_or_more,566,2486,1308,44,1778,0,14,2009-2013
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",809,919,433,1402,78,1978,1089,2009-2013
B25127_24_built_1940_to_1959,34569,77460,43962,22686,13575,8754,4111,2009-2013
"B25127_25_1,_detached__or_attached",31750,72412,42148,22073,9119,8419,3971,2009-2013
B25127_26_2_to_4,2059,3348,925,547,2856,193,60,2009-2013
B25127_27_5_to_19,367,838,314,26,713,11,0,2009-2013
B25127_28_20_to_49,171,395,230,16,376,0,0,2009-2013
B25127_29_50_or_more,68,423,287,0,459,0,0,2009-2013
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",154,44,58,24,52,131,80,2009-2013
B25127_31_built_1939_or_earlier,59908,119098,50232,27784,62181,10787,4862,2009-2013
"B25127_32_1,_detached__or_attached",43525,82831,40456,24089,23523,9370,4319,2009-2013
B25127_33_2_to_4,14308,31724,7372,3258,28203,985,468,2009-2013
B25127_34_5_to_19,1228,2518,1425,262,6588,231,56,2009-2013
B25127_35_20_to_49,598,1051,613,76,2115,88,0,2009-2013
B25127_36_50_or_more,231,914,333,77,1725,97,0,2009-2013
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",18,60,33,22,27,16,19,2009-2013
B25127_38_renter_occupied,104785,216572,79106,41155,185827,27000,16171,2009-2013
B25127_39_built_2000_or_later,7361,18889,8252,3443,13660,2533,1772,2009-2013
"B25127_40_1,_detached__or_attached",997,1674,580,654,1327,619,414,2009-2013
B25127_41_2_to_4,928,2686,905,696,2936,442,331,2009-2013
B25127_42_5_to_19,1618,3495,1869,757,1834,499,497,2009-2013
