index,12011,12061,12085,12086,12093,12099,12111,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
B01001_40_50_to_54_years,72415,5208,5648,101004,1311,50828,10495,2012-2016
B01001_41_55_to_59_years,64443,5173,5948,86767,1205,49130,10308,2012-2016
B01001_42_60_and_61_years,23754,2447,2429,33277,521,18494,3962,2012-2016
B01001_43_62_to_64_years,34290,3920,3723,45940,657,25957,6347,2012-2016
B01001_44_65_and_66_years,20231,2590,2820,28372,407,20004,4691,2012-2016
B01001_45_67_to_69_years,27412,4041,3280,37066,663,26186,6069,2012-2016
B01001_46_70_to_74_years,35479,5426,5841,54914,917,38319,8109,2012-2016
B01001_47_75_to_79_years,28522,4247,4574,42066,662,32308,6719,2012-2016
B01001_48_80_to_84_years,21754,3434,3801,35697,590,27912,4721,2012-2016
B01001_49_85_years_and_over,28900,4113,4052,38839,310,33998,5102,2012-2016
B02001_1_total,1863780,145342,153592,2664418,39420,1398757,293136,2012-2016
B02001_2_white_alone,1153566,124489,133754,2015422,34256,1042509,216152,2012-2016
B02001_3_black_or_african_american_alone,525216,13282,8583,489030,3470,255606,57196,2012-2016
B02001_4_american_indian_and_alaska_native_alone,4636,363,637,3485,348,2087,814,2012-2016
B02001_5_asian_alone,65574,1776,1797,42007,408,35653,5334,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,1029,0,61,734,31,539,64,2012-2016
B02001_7_some_other_race_alone,57775,2732,6504,74835,523,32010,7046,2012-2016
B02001_8_two_or_more_races,55984,2700,2256,38905,384,30353,6530,2012-2016
B02001_9_two_races_including_some_other_race,11913,242,646,11705,34,5679,1126,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",44071,2458,1610,27200,350,24674,5404,2012-2016
B11001_1_total,672988,57829,62980,853624,12850,538549,108796,2012-2016
B11001_2_family_households,430122,36210,38621,581051,8666,336708,72957,2012-2016
B11001_3_married-couple_family,291438,29366,31381,369169,6010,246415,54567,2012-2016
B11001_4_other_family,138684,6844,7240,211882,2656,90293,18390,2012-2016
"B11001_5_male_householder,_no_wife_present",33744,2010,2103,56260,866,25524,4488,2012-2016
"B11001_6_female_householder,_no_husband_present",104940,4834,5137,155622,1790,64769,13902,2012-2016
B11001_7_nonfamily_households,242866,21619,24359,272573,4184,201841,35839,2012-2016
B11001_8_householder_living_alone,195897,18702,21034,225303,3471,166496,29445,2012-2016
B11001_9_householder_not_living_alone,46969,2917,3325,47270,713,35345,6394,2012-2016
B15002_1_total,1304351,110018,117748,1869613,26976,1013381,209615,2012-2016
B15002_2_male,621025,51482,57385,888124,14448,479621,100202,2012-2016
B15002_3_no_schooling_completed,9529,860,718,18131,296,8388,1989,2012-2016
B15002_4_nursery_to_4th_grade,4168,239,893,13205,267,6022,839,2012-2016
B15002_5_5th_and_6th_grade,9395,813,1128,31876,714,9374,1256,2012-2016
B15002_6_7th_and_8th_grade,8797,556,598,22075,895,7484,1834,2012-2016
B15002_7_9th_grade,7139,1075,966,22450,764,6312,1689,2012-2016
