estimate_year,index,CA_037,CA_059,MSA
2009-2013,B25034_6_built_1970_to_1979,488155,261503,31080.0
2009-2013,B25034_7_built_1960_to_1969,515735,209821,31080.0
2009-2013,B25034_8_built_1950_to_1959,716049,140743,31080.0
2009-2013,B25034_9_built_1940_to_1949,380777,24666,31080.0
2009-2013,B25034_10_built_1939_or_earlier,519768,26950,31080.0
2009-2013,B25127_1_total,3230383,995512,31080.0
2009-2013,B25127_2_owner_occupied,1515098,584250,31080.0
2009-2013,B25127_3_built_2000_or_later,89892,53470,31080.0
2009-2013,"B25127_4_1,_detached__or_attached",71856,47170,31080.0
2009-2013,B25127_5_2_to_4,1388,677,31080.0
2009-2013,B25127_6_5_to_19,3907,889,31080.0
2009-2013,B25127_7_20_to_49,2997,204,31080.0
2009-2013,B25127_8_50_or_more,5044,992,31080.0
2009-2013,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",4700,3538,31080.0
2009-2013,B25127_10_built_1980_to_1999,255058,158806,31080.0
2009-2013,"B25127_11_1,_detached__or_attached",197692,136472,31080.0
2009-2013,B25127_12_2_to_4,7237,4394,31080.0
2009-2013,B25127_13_5_to_19,18803,8427,31080.0
2009-2013,B25127_14_20_to_49,10529,1152,31080.0
2009-2013,B25127_15_50_or_more,10807,1745,31080.0
2009-2013,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",9990,6616,31080.0
2009-2013,B25127_17_built_1960_to_1979,375719,260618,31080.0
2009-2013,"B25127_18_1,_detached__or_attached",304449,227863,31080.0
2009-2013,B25127_19_2_to_4,7248,7010,31080.0
2009-2013,B25127_20_5_to_19,15792,9744,31080.0
2009-2013,B25127_21_20_to_49,13301,1709,31080.0
2009-2013,B25127_22_50_or_more,16291,3000,31080.0
2009-2013,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",18638,11292,31080.0
2009-2013,B25127_24_built_1940_to_1959,578320,98643,31080.0
2009-2013,"B25127_25_1,_detached__or_attached",563002,95655,31080.0
2009-2013,B25127_26_2_to_4,6619,933,31080.0
2009-2013,B25127_27_5_to_19,2868,1098,31080.0
2009-2013,B25127_28_20_to_49,1785,189,31080.0
2009-2013,B25127_29_50_or_more,1576,177,31080.0
2009-2013,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",2470,591,31080.0
2009-2013,B25127_31_built_1939_or_earlier,216109,12713,31080.0
2009-2013,"B25127_32_1,_detached__or_attached",205319,12042,31080.0
2009-2013,B25127_33_2_to_4,7442,360,31080.0
2009-2013,B25127_34_5_to_19,804,88,31080.0
2009-2013,B25127_35_20_to_49,434,44,31080.0
2009-2013,B25127_36_50_or_more,1689,72,31080.0
2009-2013,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",421,107,31080.0
2009-2013,B25127_38_renter_occupied,1715285,411262,31080.0
2009-2013,B25127_39_built_2000_or_later,104194,41769,31080.0
2009-2013,"B25127_40_1,_detached__or_attached",21080,7823,31080.0
2009-2013,B25127_41_2_to_4,7774,2741,31080.0
2009-2013,B25127_42_5_to_19,16147,9048,31080.0
2009-2013,B25127_43_20_to_49,16412,5211,31080.0
2009-2013,B25127_44_50_or_more,41170,16423,31080.0
2009-2013,"B25127_45_mobile_home,_boat,_rv,_van,_etc.",1611,523,31080.0
2009-2013,B25127_46_built_1980_to_1999,323033,111945,31080.0
2009-2013,"B25127_47_1,_detached__or_attached",62800,26110,31080.0
2009-2013,B25127_48_2_to_4,35883,16974,31080.0
2009-2013,B25127_49_5_to_19,92287,31095,31080.0
2009-2013,B25127_50_20_to_49,58731,10951,31080.0
2009-2013,B25127_51_50_or_more,69575,25142,31080.0
2009-2013,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",3757,1673,31080.0
2009-2013,B25127_53_built_1960_to_1979,564400,186126,31080.0
2009-2013,"B25127_54_1,_detached__or_attached",107665,47031,31080.0
2009-2013,B25127_55_2_to_4,70191,40140,31080.0
2009-2013,B25127_56_5_to_19,177898,47462,31080.0
2009-2013,B25127_57_20_to_49,107708,16998,31080.0
2009-2013,B25127_58_50_or_more,94483,31120,31080.0
2009-2013,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",6455,3375,31080.0
2009-2013,B25127_60_built_1940_to_1959,457955,58908,31080.0
2009-2013,"B25127_61_1,_detached__or_attached",197271,28891,31080.0
2009-2013,B25127_62_2_to_4,65357,12319,31080.0
2009-2013,B25127_63_5_to_19,114739,9704,31080.0
2009-2013,B25127_64_20_to_49,48964,3581,31080.0
2009-2013,B25127_65_50_or_more,29450,3826,31080.0
2009-2013,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",2174,587,31080.0
2009-2013,B25127_67_built_1939_or_earlier,265703,12514,31080.0
2009-2013,"B25127_68_1,_detached__or_attached",112451,7479,31080.0
2009-2013,B25127_69_2_to_4,45375,2098,31080.0
2009-2013,B25127_70_5_to_19,57477,1520,31080.0
2009-2013,B25127_71_20_to_49,27727,711,31080.0
2009-2013,B25127_72_50_or_more,22333,571,31080.0
2009-2013,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",340,135,31080.0
2009-2013,B03002_1_total,9893481,3051771,31080.0
2009-2013,B03002_2_not_hispanic_or_latino,5151989,2018892,31080.0
2009-2013,B03002_3_white_alone,2721187,1327507,31080.0
2009-2013,B03002_4_black_or_african_american_alone,803913,45900,31080.0
2009-2013,B03002_5_american_indian_and_alaska_native_alone,17674,6163,31080.0
2009-2013,B03002_6_asian_alone,1356049,555650,31080.0
2009-2013,B03002_7_native_hawaiian_and_other_pacific_islander_alone,23829,9138,31080.0
2009-2013,B03002_8_some_other_race_alone,23933,5967,31080.0
2009-2013,B03002_9_two_or_more_races,205404,68567,31080.0
2009-2013,B03002_10_two_races_including_some_other_race,14635,3337,31080.0
2009-2013,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",190769,65230,31080.0
2009-2013,B03002_12_hispanic_or_latino,4741492,1032879,31080.0
2009-2013,B03002_13_white_alone,2556274,585236,31080.0
2009-2013,B03002_14_black_or_african_american_alone,29564,3936,31080.0
2009-2013,B03002_15_american_indian_and_alaska_native_alone,34175,5497,31080.0
2009-2013,B03002_16_asian_alone,16677,3934,31080.0
2009-2013,B03002_17_native_hawaiian_and_other_pacific_islander_alone,2303,961,31080.0
2009-2013,B03002_18_some_other_race_alone,1939425,399190,31080.0
2009-2013,B03002_19_two_or_more_races,163074,34125,31080.0
2009-2013,B03002_20_two_races_including_some_other_race,93670,20255,31080.0
2009-2013,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",69404,13870,31080.0
2009-2013,B11005_1_total,3230383,995512,31080.0
2009-2013,B11005_2_households_with_one_or_more_people_under_18_years,1180767,369479,31080.0
2009-2013,B11005_3_family_households,1173107,367304,31080.0
2009-2013,B11005_4_married-couple_family,748032,269201,31080.0
2009-2013,B11005_5_other_family,425075,98103,31080.0
2009-2013,"B11005_6_male_householder,_no_wife_present",115436,27959,31080.0
2009-2013,"B11005_7_female_householder,_no_husband_present",309639,70144,31080.0
2009-2013,B11005_8_nonfamily_households,7660,2175,31080.0
2009-2013,B11005_9_male_householder,5149,1530,31080.0
2009-2013,B11005_10_female_householder,2511,645,31080.0
2009-2013,B11005_11_households_with_no_people_under_18_years,2049616,626033,31080.0
2009-2013,B11005_12_family_households,997524,345449,31080.0
2009-2013,B11005_13_married-couple_family,697527,270907,31080.0
2009-2013,B11005_14_other_family,299997,74542,31080.0
2009-2013,"B11005_15_male_householder,_no_wife_present",104352,26179,31080.0
2009-2013,"B11005_16_female_householder,_no_husband_present",195645,48363,31080.0
2009-2013,B11005_17_nonfamily_households,1052092,280584,31080.0
2009-2013,B11005_18_male_householder,503990,126951,31080.0
2009-2013,B11005_19_female_householder,548102,153633,31080.0
2009-2013,B11016_1_total,3230383,995512,31080.0
2009-2013,B11016_2_family_households,2170631,712753,31080.0
2009-2013,B11016_3_2-person_household,695475,250639,31080.0
2009-2013,B11016_4_3-person_household,494086,156578,31080.0
2009-2013,B11016_5_4-person_household,481381,158428,31080.0
2009-2013,B11016_6_5-person_household,270392,79044,31080.0
2009-2013,B11016_7_6-person_household,123736,35191,31080.0
2009-2013,B11016_8_7-or-more_person_household,105561,32873,31080.0
2009-2013,B11016_9_nonfamily_households,1059752,282759,31080.0
2009-2013,B11016_10_1-person_household,827351,215312,31080.0
2009-2013,B11016_11_2-person_household,184439,51445,31080.0
2009-2013,B11016_12_3-person_household,31411,9913,31080.0
2009-2013,B11016_13_4-person_household,11018,4244,31080.0
2009-2013,B11016_14_5-person_household,3556,1095,31080.0
2009-2013,B11016_15_6-person_household,1062,498,31080.0
2009-2013,B11016_16_7-or-more_person_household,915,252,31080.0
