B01001_3_under_5_years,8459,13078,17020,2283,5454,8746,2018,5691,16958,12952,17253,15818,17105,24004,51965,2554,4793,7660,32799,30185,2008-2012
B01001_4_5_to_9_years,9159,13755,17231,2505,5050,9803,2319,5933,17674,13638,19330,18269,17854,25616,46745,3341,5513,8475,32195,27163,2008-2012
B01001_5_10_to_14_years,8968,16021,18148,2717,5321,10697,2120,5605,17502,14263,22627,17587,18503,26432,46377,3542,5567,8655,32861,29005,2008-2012
B01001_6_15_to_17_years,6042,9878,11455,1941,3344,6537,1426,3604,11519,9289,14074,11519,12989,17017,30343,2396,3804,5483,20857,18747,2008-2012
B01001_7_18_and_19_years,3925,5865,7070,1327,2221,3945,889,2610,8854,6861,7856,7394,9926,9685,26749,1335,2025,3241,10911,15645,2008-2012
B01001_8_20_years,2052,3220,3317,516,1117,2583,612,1500,4413,3145,3424,3296,5046,3910,15316,462,880,1280,5002,8335,2008-2012
B01001_9_21_years,1693,2939,3106,554,1139,1841,327,1455,4725,2919,3643,3377,4187,3956,14781,457,1012,1426,5212,8499,2008-2012
B01001_10_22_to_24_years,5149,8865,10291,1747,3446,5525,1034,3422,11131,7708,10081,8403,10463,13708,39252,1568,2741,4207,17078,19628,2008-2012
B01001_11_25_to_29_years,8051,13603,17124,2578,6358,8140,1814,5063,18458,11706,16896,13861,16980,24677,65526,2205,4227,6698,32670,32388,2008-2012
B01001_12_30_to_34_years,7480,12788,15977,2235,6632,8016,1802,4488,17083,11305,16408,13726,15676,24095,53461,2115,4065,6872,31991,29606,2008-2012
B01001_13_35_to_39_years,7778,14213,16246,2158,6116,9216,1846,4599,17584,11586,18381,15540,15521,25263,45792,2550,4853,7857,32913,28910,2008-2012
B01001_14_40_to_44_years,9733,16470,17438,2871,6234,10302,2221,5130,18169,14941,22694,18327,18111,28444,45108,3336,5909,9261,34351,29954,2008-2012
B01001_15_45_to_49_years,10703,18684,18610,3575,6118,11574,2494,5686,19909,15601,26376,20053,20132,30826,46262,4238,6440,10116,36311,30403,2008-2012
B01001_16_50_to_54_years,10690,17998,18759,3785,5380,11088,2562,5347,19384,15341,26819,19675,20809,31029,46190,3846,5482,9166,35745,28456,2008-2012
B01001_17_55_to_59_years,8595,14310,16071,3563,4802,8935,2209,4214,15891,13541,22704,17016,18081,26895,38858,3235,4089,7554,30393,23976,2008-2012
B01001_18_60_and_61_years,3552,5482,5254,1844,1683,3479,994,1616,5867,4805,7871,6115,6152,9467,15232,889,1809,2718,11511,9000,2008-2012
B01001_19_62_to_64_years,4422,7085,7419,1909,2021,4225,1063,2740,7888,6223,10762,7169,7873,12085,19147,1350,1709,3243,14398,10629,2008-2012
B01001_20_65_and_66_years,2785,3634,4232,1178,1161,2545,650,1380,3848,3642,6082,4677,4195,7143,10672,882,1145,1904,7394,5845,2008-2012
B01001_21_67_to_69_years,3130,5014,4811,1572,1630,2893,825,2004,5701,4705,7524,5013,5558,9090,13004,922,1196,2622,9642,7433,2008-2012
B01001_22_70_to_74_years,3924,6358,6498,2417,2065,3549,1019,2677,6844,5698,8926,6712,7111,10898,16738,1003,1754,2404,11790,9335,2008-2012
B01001_23_75_to_79_years,3165,4926,4953,1865,1401,2657,812,1897,5032,4904,7080,5141,5570,9503,13308,654,992,2051,9139,6174,2008-2012
B01001_24_80_to_84_years,2219,3809,3605,1240,1175,2185,502,1095,3852,4048,5302,3770,5397,7759,9671,471,621,1352,6382,3509,2008-2012
B01001_25_85_years_and_over,1569,2817,3295,887,933,1409,500,770,3099,2841,4785,3004,4629,6421,8800,418,435,1001,6692,2351,2008-2012
B01001_26_female,141159,228305,265730,49720,76063,148297,33949,84259,278280,209432,318587,254086,291006,411963,806514,45005,76046,119022,506587,450267,2008-2012
B01001_27_under_5_years,8101,12573,16089,2285,5306,8477,1821,5461,16457,12274,16540,15011,16640,22821,50308,2357,4584,7270,31274,28856,2008-2012
B01001_28_5_to_9_years,7935,13854,16802,2165,5287,9621,1795,5262,17703,12771,18721,16915,17406,25153,44870,3212,4858,7931,31360,26527,2008-2012
B01001_29_10_to_14_years,9181,15065,16954,2601,4741,9720,2376,5624,16169,13852,20935,17487,17689,25141,44786,3412,5683,8367,31701,27997,2008-2012
B01001_30_15_to_17_years,5821,9493,10975,1747,3172,6303,1529,3195,10930,8591,13329,10624,11680,16130,30432,2311,3820,5118,19832,17662,2008-2012
B01001_31_18_and_19_years,3755,5003,6347,1078,1958,3783,809,2742,9158,6845,6919,7536,9478,9379,28100,1066,1909,2999,9628,14363,2008-2012
B01001_32_20_years,2454,2617,3664,644,856,2228,401,1632,4946,3437,3250,3457,4947,3934,16423,500,976,1385,4269,6805,2008-2012
B01001_33_21_years,1733,1713,3031,422,1077,1861,426,1310,4757,2617,3123,2541,4563,4457,15352,427,799,1718,4333,7792,2008-2012
B01001_34_22_to_24_years,4657,7432,9581,1383,3030,5117,998,3265,10709,7569,9527,8583,10146,13277,41988,1343,2625,3653,17878,18915,2008-2012
B01001_35_25_to_29_years,8082,12638,17690,2263,4901,8372,1857,5453,18503,11737,16701,13421,17633,24045,72182,2226,4399,6919,33564,32794,2008-2012
B01001_36_30_to_34_years,7961,12998,16850,2065,4662,8805,1866,5118,17716,11568,16759,13850,16835,24239,57641,2342,4619,7150,34528,31839,2008-2012
B01001_37_35_to_39_years,8294,14951,16801,2599,4648,10332,1955,5143,18195,12230,19409,15760,17008,26089,48953,2867,5952,7971,36400,32177,2008-2012
B01001_38_40_to_44_years,10482,16863,19191,2750,5246,10938,2518,5699,19286,15190,23403,19490,19207,29146,49023,3762,6788,9820,37814,33329,2008-2012
B01001_39_45_to_49_years,11157,19400,20109,3710,5340,12097,2658,6134,21187,15916,27420,20841,21887,32734,51264,4319,7047,10405,40718,35219,2008-2012
B01001_40_50_to_54_years,11331,18564,20240,4055,5285,11660,2698,5814,20796,15250,27300,20395,22524,32596,52847,3976,5672,9328,39646,33629,2008-2012
B01001_41_55_to_59_years,9213,15361,17566,4061,4557,9751,2536,5333,18520,13703,23558,17648,19161,28144,47381,2874,4552,7278,34627,30275,2008-2012
B01001_42_60_and_61_years,3684,6028,6592,1581,1927,3799,880,1812,6339,4993,7973,5731,7722,10664,17781,1088,1745,3116,13709,10730,2008-2012
B01001_43_62_to_64_years,4805,7561,8216,2357,2499,4569,1098,2790,8412,6714,11280,8181,8716,13255,23159,1534,2110,3585,15189,13062,2008-2012
B01001_44_65_and_66_years,2732,4430,4818,1320,1174,2485,567,1807,5069,4150,6505,4683,5094,7780,14015,971,1096,1713,8829,7901,2008-2012
B01001_45_67_to_69_years,3730,5569,6074,2052,1875,3302,897,2224,6147,4959,8619,5633,6520,10036,17202,771,1528,2577,11018,9364,2008-2012
B01001_46_70_to_74_years,5137,7885,7986,2598,2788,4751,1218,2853,8432,6845,10202,7891,9269,14334,23913,1111,1909,3298,14616,11164,2008-2012
B01001_47_75_to_79_years,3964,6562,6484,2441,2104,3906,1134,2248,7144,6263,9291,6576,9225,13107,21139,1000,1182,2377,12045,8728,2008-2012
B01001_48_80_to_84_years,3486,5535,6434,1917,1590,3273,1059,1595,5623,5715,8255,5681,8293,11775,18261,741,1101,2384,10133,5479,2008-2012
B01001_49_85_years_and_over,3464,6210,7236,1626,2040,3147,853,1745,6082,6243,9568,6151,9363,13727,19494,795,1092,2660,13476,5660,2008-2012
B02001_1_total,274402,449117,513660,96987,156864,288187,66007,162785,539665,411094,625485,499548,558874,799886,1525811,88774,147107,234268,974824,865443,2008-2012
B02001_2_white_alone,180960,333460,332006,88060,100432,239402,52871,112428,363926,348705,562737,436742,407100,657641,631799,72392,75096,193183,560968,188843,2008-2012
B02001_3_black_or_african_american_alone,44727,72612,97391,4685,31654,28656,9535,39023,128385,19523,22785,30005,110537,69139,662657,12187,59877,20261,167316,555713,2008-2012
B02001_4_american_indian_and_alaska_native_alone,867,528,2205,523,1530,460,155,899,1280,850,540,329,409,884,4473,179,1320,948,3282,2526,2008-2012
B02001_5_asian_alone,20948,19759,26329,944,2060,7763,649,3380,23762,5436,24607,19198,26802,51172,96995,1114,4832,9129,136409,35833,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,142,122,133,7,6,61,3,141,223,124,138,110,85,207,1594,0,35,136,221,441,2008-2012
B02001_7_some_other_race_alone,18154,9004,39953,1476,15365,5265,1594,1882,10510,27587,5546,4761,4066,5806,90949,704,1295,4426,70481,59409,2008-2012
B02001_8_two_or_more_races,8604,13632,15643,1292,5817,6580,1200,5032,11579,8869,9132,8403,9875,15037,37344,2198,4652,6185,36147,22678,2008-2012
B02001_9_two_races_including_some_other_race,3156,2059,4382,237,2049,1033,192,413,1458,2435,1377,1026,1127,1651,7926,61,380,787,7496,3937,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",5448,11573,11261,1055,3768,5547,1008,4619,10121,6434,7755,7377,8748,13386,29418,2137,4272,5398,28651,18741,2008-2012
B11001_1_total,101018,165620,188861,43514,50733,104091,24950,57816,200618,153977,229933,183793,206021,308083,580509,30916,50845,85559,357579,302683,2008-2012
B11001_2_family_households,67511,115689,127420,28604,35338,75573,17046,40439,134499,106998,165687,130429,137815,208803,312290,23470,37970,61941,244586,199652,2008-2012
B11001_3_married-couple_family,46911,89534,88545,22195,22902,58113,12237,29295,96197,80423,136085,109579,99165,169758,160378,18599,27395,49734,190711,117854,2008-2012
B11001_4_other_family,20600,26155,38875,6409,12436,17460,4809,11144,38302,26575,29602,20850,38650,39045,151912,4871,10575,12207,53875,81798,2008-2012
"B11001_5_male_householder,_no_wife_present",5001,7036,9187,2059,3298,4710,1345,2706,9629,7904,8231,6210,9677,10670,32189,1457,2495,3547,13816,20187,2008-2012
"B11001_6_female_householder,_no_husband_present",15599,19119,29688,4350,9138,12750,3464,8438,28673,18671,21371,14640,28973,28375,119723,3414,8080,8660,40059,61611,2008-2012
B11001_7_nonfamily_households,33507,49931,61441,14910,15395,28518,7904,17377,66119,46979,64246,53364,68206,99280,268219,7446,12875,23618,112993,103031,2008-2012
B11001_8_householder_living_alone,28381,42248,51407,12817,13007,23393,6770,14279,53104,37974,54062,43006,58275,83568,227141,6255,10794,18956,92197,83726,2008-2012
B11001_9_householder_not_living_alone,5126,7683,10034,2093,2388,5125,1134,3098,13015,9005,10184,10358,9931,15712,41078,1191,2081,4662,20796,19305,2008-2012
B15002_1_total,185318,307746,342579,71072,104345,191400,45107,104474,356060,272363,434853,331731,370252,555266,982024,58491,95518,155400,667634,559319,2008-2012
B15002_2_male,87796,147191,160292,33677,53709,90213,21313,48706,168609,130887,208610,159799,171795,263595,447769,28114,44726,74819,311322,257969,2008-2012
B15002_3_no_schooling_completed,1513,881,2208,531,1031,678,252,571,1645,1589,1154,1026,1648,1324,8310,128,154,537,3764,3971,2008-2012
B15002_4_nursery_to_4th_grade,767,416,1240,127,700,183,141,245,1001,1205,181,673,569,396,3739,62,242,143,3283,5023,2008-2012
B15002_5_5th_and_6th_grade,1400,948,1638,244,1319,360,92,552,1474,1551,777,1699,971,1524,6486,149,235,806,5616,8662,2008-2012
B15002_6_7th_and_8th_grade,2025,1625,2567,427,1870,1295,443,1165,2590,3888,1907,1872,1626,2486,10241,439,497,856,3197,4729,2008-2012
B15002_7_9th_grade,1585,1613,3014,478,1886,1056,388,1060,2744,3254,1808,1380,1362,1889,10266,345,547,767,3408,6427,2008-2012
B15002_8_10th_grade,2173,2609,4144,892,2138,1776,676,1555,3790,3946,3171,2082,2872,3729,17050,596,607,1192,2403,4121,2008-2012
B15002_9_11th_grade,2260,2361,4144,909,2982,1966,703,1833,3910,4224,2994,1913,3092,3867,20495,511,1179,1122,2696,5737,2008-2012
"B15002_10_12th_grade,_no_diploma",2777,2503,2866,612,1163,1553,475,832,2397,2230,2792,1752,2707,3034,13979,394,666,1005,4343,4982,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",29570,42767,50662,11803,22188,30919,8563,16406,49280,51225,64731,36641,52875,65569,156851,9243,14248,19715,40726,73595,2008-2012
"B15002_12_some_college,_less_than_1_year",5189,9957,9746,1889,3551,6749,1382,3666,9899,6923,12873,6802,9249,12540,21601,2111,3588,4662,10658,13973,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",11804,20184,20746,4303,5776,12639,2836,7474,22410,13366,27088,16207,21329,30646,54128,4529,8092,10325,34360,41424,2008-2012
B15002_14_associate's_degree,5193,9793,9923,1770,2455,5888,1312,3500,10249,8669,12414,8006,11170,14228,20086,1517,3007,4755,12907,13829,2008-2012
B15002_15_bachelor's_degree,14438,32441,29417,6285,4826,16807,2760,6265,33007,19279,46765,46266,35958,70030,61475,4547,7386,17595,80468,42236,2008-2012
B15002_16_master's_degree,4345,12788,10793,2150,1187,5584,863,2608,14676,6224,20086,22049,15299,29767,24530,2625,3382,7857,52544,20156,2008-2012
B15002_17_professional_school_degree,1963,4368,5044,718,401,1606,276,497,4510,2140,5837,6393,6597,14142,11814,465,397,1500,25849,4173,2008-2012
B15002_18_doctorate_degree,794,1937,2140,539,236,1154,151,477,5027,1174,4032,5038,4471,8424,6718,453,499,1982,25100,4931,2008-2012
B15002_19_female,97522,160555,182287,37395,50636,101187,23794,55768,187451,141476,226243,171932,198457,291671,534255,30377,50792,80581,356312,301350,2008-2012
B15002_20_no_schooling_completed,1613,1091,2219,165,1659,452,198,658,1438,1511,1168,954,1586,1608,10958,148,241,564,4650,4246,2008-2012
B15002_21_nursery_to_4th_grade,1030,492,1326,61,706,208,123,198,807,943,369,575,631,545,4002,5,192,181,3570,3662,2008-2012
B15002_22_5th_and_6th_grade,1501,846,2155,241,1468,517,232,367,1215,1509,766,1086,832,1592,6442,115,263,889,5068,6002,2008-2012
B15002_23_7th_and_8th_grade,2334,2093,3262,407,1608,1190,533,1347,2439,3871,2458,1782,2310,2843,12243,222,542,857,3570,4810,2008-2012
B15002_24_9th_grade,1787,1240,2543,416,1194,1102,495,1065,2508,2924,1592,1505,1459,1914,10301,148,293,626,3347,4383,2008-2012
B15002_25_10th_grade,2330,2989,4773,745,1575,1887,570,1342,3739,4379,3475,2116,3215,3744,18980,313,757,1222,3166,4100,2008-2012
B15002_26_11th_grade,2642,2320,4985,820,1614,2051,713,1987,4019,4129,3455,2102,3791,4117,24959,601,1149,1160,2766,5479,2008-2012
"B15002_27_12th_grade,_no_diploma",2415,2366,2897,530,1009,1434,404,996,2612,2147,2694,1767,2798,3137,14307,337,494,827,4967,4472,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",32426,49941,58382,14095,19159,34964,8638,18860,53678,54174,74977,42199,65645,75896,182948,9837,15208,20811,53609,78986,2008-2012
"B15002_29_some_college,_less_than_1_year",6149,10146,11001,2461,3045,7233,1508,4231,12152,8350,12901,7646,11967,15050,27260,2634,4655,5809,14913,18546,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",12727,19983,24181,4778,5953,12028,3357,8373,26338,14976,27018,17970,21531,31602,67223,4104,9045,11173,39148,53448,2008-2012
B15002_31_associate's_degree,7466,13475,13713,2773,3654,9584,2506,4820,14413,10520,19467,11843,15792,21323,31370,2767,4200,7163,21592,19509,2008-2012
B15002_32_bachelor's_degree,15568,35430,33612,6471,5661,20267,3184,7092,38067,20727,46815,51432,39745,74103,69838,5708,8622,17778,97144,54322,2008-2012
B15002_33_master's_degree,5900,14024,13069,2911,1874,6883,1081,3767,18391,9352,23508,22347,19924,40245,37117,2719,4324,9199,66505,31252,2008-2012
B15002_34_professional_school_degree,1128,2726,3085,334,284,841,162,396,3444,1302,3380,3765,4005,8292,10151,537,449,1165,17861,4636,2008-2012
B15002_35_doctorate_degree,506,1393,1084,187,173,546,90,269,2191,662,2200,2843,3226,5660,6156,182,358,1157,14436,3497,2008-2012
B19001_1_total,101018,165620,188861,43514,50733,104091,24950,57816,200618,153977,229933,183793,206021,308083,580509,30916,50845,85559,357579,302683,2008-2012
"B19001_2_less_than_$10,000",7320,5335,12548,2308,3847,4288,1683,3243,10794,8829,6891,6266,10893,11196,86188,739,1955,2767,11651,11579,2008-2012
"B19001_3_$10,000_to_$14,999",4675,4244,9091,1925,3038,3497,995,3127,7211,7647,6963,4368,8142,9254,48225,642,973,2220,7403,7327,2008-2012
"B19001_4_$15,000_to_$19,999",5020,5114,8291,2206,2886,3941,1553,2916,7950,7920,7481,5238,8677,10263,39751,677,1019,1968,7596,7385,2008-2012
"B19001_5_$20,000_to_$24,999",4805,5511,8114,2004,2741,3323,1165,2497,8487,7803,7751,5414,9189,10205,38092,959,1163,2349,8540,8835,2008-2012
"B19001_6_$25,000_to_$29,999",5156,6075,8613,2554,2763,3748,1101,2515,8779,7977,7883,5711,10055,10908,33409,517,1107,2614,8697,9568,2008-2012
"B19001_7_$30,000_to_$34,999",5535,6044,7976,1824,2405,3982,1015,2880,9054,8544,8679,6742,8815,11908,32307,882,1126,3078,9103,12045,2008-2012
"B19001_8_$35,000_to_$39,999",4836,5185,7639,2154,2175,3413,1023,3115,7748,7075,8234,5614,8608,10817,27736,842,1203,2874,10623,10837,2008-2012
"B19001_9_$40,000_to_$44,999",4657,6440,7773,1931,2419,3639,1131,2799,9449,7890,9471,6835,9571,10969,28190,1009,1540,2731,10685,14309,2008-2012
"B19001_10_$45,000_to_$49,999",4802,6732,7068,2075,2290,3376,877,2664,7392,6715,8132,5494,8032,9891,22832,809,1399,2674,10613,12010,2008-2012
"B19001_11_$50,000_to_$59,999",8057,12256,14209,3974,4150,8009,2044,4894,16391,12972,17737,11761,14856,21237,43878,1935,3710,5974,22745,26640,2008-2012
"B19001_12_$60,000_to_$74,999",9818,16820,18758,4017,5288,10886,2692,7144,20324,18219,22786,16713,20400,29838,50203,3025,4772,8597,31188,33707,2008-2012
"B19001_13_$75,000_to_$99,999",13777,24779,25682,5865,6750,15920,3420,9112,27258,20940,32956,25060,26783,43096,54205,4578,7593,12668,44451,45920,2008-2012
"B19001_14_$100,000_to_$124,999",8756,19347,19153,3777,4424,12647,2630,5367,21305,13107,26316,21734,19222,35143,29749,4068,7660,11694,40209,34296,2008-2012
"B19001_15_$125,000_to_$149,999",5226,13567,12170,2545,2341,8596,1554,2624,13053,7461,18446,13939,13678,23337,16903,3311,5183,8036,31079,23619,2008-2012
"B19001_16_$150,000_to_$199,999",4862,15362,12083,2445,2011,8961,1255,1761,13809,6143,20275,19673,14815,27583,15573,4273,6296,8742,42665,26688,2008-2012
"B19001_17_$200,000_or_more",3716,12809,9693,1910,1205,5865,812,1158,11614,4735,19932,23231,14285,32438,13268,2650,4146,6573,60331,17918,2008-2012
B19013_1_median_household_income_in_the_past_12_months_(in_2012_inflation-adjusted_dollars),54559,78229,62320,56370,51530,74915,59336,55786,64670,55021,76859,86184,64242,78984,37016,92395,93063,83706,96985,73568,2008-2012
B25001_1_total,126824,175844,205174,98519,55880,109884,27437,65394,217357,164583,245591,192257,222632,325269,669244,33793,55049,90215,375973,327803,2008-2012
B25003_1_total,101018,165620,188861,43514,50733,104091,24950,57816,200618,153977,229933,183793,206021,308083,580509,30916,50845,85559,357579,302683,2008-2012
B25003_2_owner_occupied,70312,129059,130044,32376,34439,83949,17941,42124,140751,111016,179829,140502,145833,225549,314076,25293,40580,64670,243751,191829,2008-2012
B25003_3_renter_occupied,30706,36561,58817,11138,16294,20142,7009,15692,59867,42961,50104,43291,60188,82534,266433,5623,10265,20889,113828,110854,2008-2012
B25024_1_total,126824,175844,205174,98519,55880,109884,27437,65394,217357,164583,245591,192257,222632,325269,669244,33793,55049,90215,375973,327803,2008-2012
"B25024_2_1,_detached",72855,113588,114416,50498,37346,80552,20018,42193,118621,90289,155953,118798,101723,177809,56430,29172,40007,56448,182216,168642,2008-2012
"B25024_3_1,_attached",10161,26320,35517,15515,3780,8043,1332,5604,43992,38424,37149,33786,65418,64307,388839,1923,8688,17896,68403,52399,2008-2012
B25024_4_2,7820,3340,8988,11849,3151,2909,1127,825,4588,6175,8450,3471,11708,11857,59619,514,369,1469,1773,1785,2008-2012
B25024_5_3_or_4,5391,5827,7421,5327,2270,3289,784,1202,6701,7641,6721,6295,9858,12911,41640,196,980,1460,4616,5771,2008-2012
B25024_6_5_to_9,7478,8264,8015,3826,1849,3971,914,1932,9495,5642,9557,6878,6459,9582,27324,128,1223,2705,19043,23233,2008-2012
B25024_7_10_to_19,5557,8820,9849,2387,1363,3624,833,2997,16873,4240,9976,7355,8211,13090,15012,571,1018,6314,36545,49583,2008-2012
B25024_8_20_to_49,3568,3636,5479,2360,693,2502,340,1102,3789,2320,4821,5549,8134,9521,18179,255,911,1269,11653,6011,2008-2012
B25024_9_50_or_more,10558,3269,13952,3446,1966,2322,959,630,8316,4271,7922,4768,10380,23035,60882,505,960,1702,51069,18789,2008-2012
B25024_10_mobile_home,3436,2770,1467,3281,3457,2672,1130,8902,4959,5581,5022,5299,702,3043,1217,529,856,933,543,1449,2008-2012
"B25024_11_boat,_rv,_van,_etc.",0,10,70,30,5,0,0,7,23,0,20,58,39,114,102,0,37,19,112,141,2008-2012
B25077_1_median_value_(dollars),248100,259800,218700,326400,174400,232400,197200,205100,251200,173400,315600,329700,236600,296000,142300,368100,320400,316800,455800,289400,2008-2012
B25034_1_total,126824,175844,205174,98519,55880,109884,27437,65394,217357,164583,245591,192257,222632,325269,669244,33793,55049,90215,375973,327803,2008-2012
B25034_2_built_2010_or_later,411,341,314,117,78,403,88,407,582,223,373,519,172,565,806,64,562,389,965,924,2008-2012
B25034_3_built_2000_to_2009,17120,18789,12786,15124,5550,16951,2368,18185,23208,17100,22686,29596,11197,29097,21788,6183,11584,16714,42624,34765,2008-2012
B25034_4_built_1990_to_1999,12823,22969,14533,9438,4601,14508,1944,12326,30447,19187,31536,30084,11553,36309,17007,9370,11345,19470,46084,43616,2008-2012
B25034_5_built_1980_to_1989,20482,25767,23188,16818,5289,15739,2546,8761,28810,17141,35864,32297,13928,36704,25296,7251,10977,15242,79821,43679,2008-2012
B25034_6_built_1970_to_1979,19487,32181,34062,13191,8305,18360,4158,8648,26737,20868,47203,27965,19481,42564,45816,5235,9172,13109,63774,52913,2008-2012
B25034_7_built_1960_to_1969,16163,27175,30029,11738,8884,12510,3328,6444,32053,14541,34254,19563,25647,40799,70407,1917,5493,6721,56463,69960,2008-2012
B25034_8_built_1950_to_1959,15886,22427,32911,11398,8446,12728,3893,4420,33177,17961,41349,18107,58422,55182,114134,1170,2298,4805,48436,45428,2008-2012
B25034_9_built_1940_to_1949,7056,6287,19633,5249,4333,6189,2545,1877,15419,9853,8617,5835,32715,22898,105661,1087,1534,2455,20077,20432,2008-2012
B25034_10_built_1939_or_earlier,17396,19908,37718,15446,10394,12496,6567,4326,26924,47709,23709,28291,49517,61151,268329,1516,2084,11310,17729,16086,2008-2012
B25127_1_total,101018,165620,188861,43514,50733,104091,24950,57816,200618,153977,229933,183793,206021,308083,580509,30916,50845,85559,357579,302683,2008-2012
B25127_2_owner_occupied,70312,129059,130044,32376,34439,83949,17941,42124,140751,111016,179829,140502,145833,225549,314076,25293,40580,64670,243751,191829,2008-2012
B25127_3_built_2000_or_later,12171,14376,7754,4473,3907,14134,1727,13076,16533,13319,18144,23618,7326,21245,7340,4600,9251,12683,24790,23667,2008-2012
"B25127_4_1,_detached__or_attached",11251,13665,7233,3838,3474,13331,1653,11842,15712,12132,16384,22297,6456,19630,5877,4486,9028,11960,19050,22317,2008-2012
B25127_5_2_to_4,111,146,194,264,0,52,10,7,7,71,141,209,16,93,176,26,60,35,214,46,2008-2012
B25127_6_5_to_19,110,168,15,117,28,214,0,0,62,55,432,139,243,145,335,33,112,463,1489,511,2008-2012
B25127_7_20_to_49,58,67,178,16,0,39,0,0,17,47,202,50,193,266,264,14,0,18,966,459,2008-2012
B25127_8_50_or_more,21,0,76,0,0,17,0,0,190,39,344,78,402,616,656,35,0,179,3054,181,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",620,330,58,238,405,481,64,1227,545,975,641,845,16,495,32,6,51,28,17,153,2008-2012
B25127_10_built_1980_to_1999,18730,38381,25378,9164,6021,25355,3311,13541,42094,28843,54578,49720,16994,56258,13456,13178,17026,26098,85252,58606,2008-2012
"B25127_11_1,_detached__or_attached",15184,34111,23239,8070,5197,23058,2974,10110,37987,26482,50294,46104,15674,52611,10314,12975,16747,24399,74804,55221,2008-2012
B25127_12_2_to_4,807,638,302,338,69,302,27,6,228,109,835,440,332,375,695,20,17,99,733,378,2008-2012
B25127_13_5_to_19,1355,2367,1164,133,12,1096,0,32,976,236,1347,689,281,1225,626,66,58,1157,5455,1930,2008-2012
B25127_14_20_to_49,259,189,93,31,0,72,0,46,202,5,301,120,189,288,425,13,0,128,875,266,2008-2012
B25127_15_50_or_more,384,127,142,50,0,62,0,0,139,99,91,271,299,425,1087,10,10,81,3229,117,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",741,949,438,542,743,765,310,3347,2562,1912,1710,2096,219,1334,309,94,194,234,156,694,2008-2012
B25127_17_built_1960_to_1979,19205,40895,37678,8754,10222,21742,4827,9028,34943,23029,50365,33623,25693,52005,50441,5306,10329,14207,72964,61292,2008-2012
