B01001_8_20_years,4431,5829,4867,713,3485,6712,3799,2113,3515,4331,1660,933,3608,693,306,1606,1550,3254,207,5412,795,6415,14041,2764,19654,8794,10206,3649,552,16524,3255,2269,10104,1581,5521,2008-2012
B01001_9_21_years,5026,6433,4408,857,3116,6654,3423,2868,2349,3785,1781,742,3445,689,523,2238,1415,2340,372,5440,799,6714,12009,1987,19294,8366,9639,3219,676,15328,3473,1853,9765,1480,5487,2008-2012
B01001_10_22_to_24_years,14902,14342,15625,2196,7450,16291,10306,7464,9730,10019,4269,2385,9581,1672,952,6609,3041,4875,748,14792,3056,16243,31065,6278,57566,23909,40349,7203,1628,49634,9413,5939,27472,3294,16296,2008-2012
B01001_11_25_to_29_years,25299,26089,34763,2709,12104,27221,16644,13015,15942,16821,8482,3449,16997,2691,1691,10516,4179,8162,1181,26366,4335,27637,50174,8467,107795,36743,86662,10248,2588,92537,15317,9242,42228,5394,26571,2008-2012
B01001_12_30_to_34_years,26677,26229,33090,2631,11781,28544,15911,13457,14973,16343,9321,3728,17333,2686,1753,10587,3860,7914,1216,26743,4349,25506,44881,8139,97650,35197,77305,10712,2361,88686,14452,8559,42474,5052,27140,2008-2012
B01001_13_35_to_39_years,29318,28391,26844,3216,12073,29285,18263,15267,15708,16402,11053,4606,18405,3459,1972,10587,4954,9218,1742,28397,5318,26294,41110,9037,84421,39175,62900,10610,3281,82874,15479,8808,48301,5778,29773,2008-2012
B01001_14_40_to_44_years,33525,27989,23138,5244,13677,30094,23403,19819,17130,17414,12560,5764,20038,4014,2301,12213,5849,10191,1882,35376,7154,28982,45222,10879,78793,46251,57062,15044,3910,80344,16369,9956,56527,6777,34660,2008-2012
B01001_15_45_to_49_years,36192,28572,21442,6184,13784,30520,26870,21637,19187,18050,14293,6993,20752,4714,2539,12947,7200,11301,2422,36878,8239,31983,44392,12744,75985,52184,52714,14765,4698,79996,17307,11002,62616,7648,36372,2008-2012
B01001_16_50_to_54_years,34759,26271,19343,6304,13285,29227,26559,20086,18852,17262,13550,6710,19696,4564,2842,13123,7008,11461,2464,35134,8478,31878,39995,12400,73228,51804,47959,13883,4469,75924,17057,10708,58046,7668,34908,2008-2012
B01001_17_55_to_59_years,30514,22542,16084,5399,11078,24793,21248,16951,16123,14624,10971,5826,16314,3420,2544,11644,5961,10373,2127,27914,7799,27242,32734,10271,64067,44922,44177,11621,3815,66066,14441,9017,47306,6244,29331,2008-2012
B01001_18_60_and_61_years,11019,7371,5682,1608,3943,8756,7857,5987,7129,5160,3494,2014,5586,1603,731,3830,2225,3707,779,10399,2787,9499,11310,3816,24669,16561,16551,3986,1309,22135,5698,3777,16379,2979,10851,2008-2012
B01001_19_62_to_64_years,13276,9487,7442,2193,5382,10496,10737,7498,9734,6573,4491,2702,6874,1784,1355,5109,2787,4617,1153,13630,3431,13464,15393,4302,30825,21501,20166,5036,1537,30562,7499,4627,22528,3293,14172,2008-2012
B01001_20_65_and_66_years,8193,5509,4152,1170,3302,6206,5454,4528,6040,4378,2673,1595,4095,733,766,2516,1561,2936,613,7854,2305,7366,8559,2619,15314,11654,12795,2855,800,17092,4034,2417,12490,1891,7522,2008-2012
B01001_21_67_to_69_years,10128,7055,4996,1577,3602,7416,6548,5252,8357,4230,3100,1527,4847,1367,1003,3837,2006,3616,978,9550,2364,9210,10563,3110,20628,14280,15332,3591,1255,21441,5211,3447,16885,2220,9857,2008-2012
B01001_22_70_to_74_years,12899,8606,6700,1949,3942,10042,8978,6966,11685,5927,4042,2130,6361,1575,1142,5412,2635,4079,1266,11448,2986,11546,14297,4501,29807,19130,21794,4285,1471,28092,5871,4335,20755,2905,13439,2008-2012
B01001_23_75_to_79_years,11245,6236,4697,1254,3848,7788,6522,5542,10302,4437,3125,1127,4765,1090,841,4081,1500,3635,779,9253,2541,9439,10098,3356,21157,16181,16122,3043,991,20971,4653,3328,16354,2051,10553,2008-2012
B01001_24_80_to_84_years,8103,4827,3928,1061,2763,5895,5115,3980,7763,3649,2148,1058,3845,940,745,3415,1478,3194,530,7808,1643,7281,6520,2418,15153,12987,11430,2263,548,16154,3099,2395,11337,1627,8573,2008-2012
B01001_25_85_years_and_over,7175,4152,2420,561,1854,4857,3968,3242,6258,2485,1949,679,3662,714,556,2468,787,2373,385,6615,1525,6767,5760,1808,12298,11659,9645,1816,493,13254,2237,1961,9045,1334,7456,2008-2012
B01001_26_female,469567,407915,321205,64144,187371,412702,323135,251834,299828,257219,165788,74842,276200,55726,32918,180292,85622,151989,28725,471957,96179,446269,735636,149272,1326577,690924,845491,186420,50009,1152686,241397,159061,758250,91771,492788,2008-2012
B01001_27_under_5_years,24475,26245,20766,2875,10403,24784,16883,13255,18844,16681,9276,3732,17349,2976,1673,10434,4177,7780,1248,27452,4188,23543,51299,7408,87886,35888,38752,12794,2440,65879,13714,11520,41785,4418,27872,2008-2012
B01001_28_5_to_9_years,27273,26582,16714,4226,11341,25922,20585,16228,18322,16527,11053,4832,17560,3418,1652,11094,5029,8820,1687,31501,4858,24687,47613,8705,77785,41205,30333,13957,3248,59431,14997,11297,46864,5413,31285,2008-2012
B01001_29_10_to_14_years,29435,26311,16056,4583,11314,23680,21536,17182,17590,16753,11489,5229,17777,3716,2067,11232,6047,9005,1957,31570,6520,27918,49529,9579,77277,44521,29209,13555,3421,61055,14368,12292,51817,4564,31356,2008-2012
B01001_30_15_to_17_years,18142,16355,10458,2861,7360,15814,14089,10404,10721,10629,7134,3434,11055,2290,1132,7261,4142,5945,1381,19863,3995,17534,32408,6323,49660,29120,18901,8667,2266,39513,9666,7282,32684,3547,20138,2008-2012
B01001_31_18_and_19_years,9983,10302,7158,1228,6473,11751,7494,5508,5942,7643,3225,1720,6552,1472,631,4877,3044,4699,687,11269,1913,13254,22552,5476,32440,16687,21274,5140,1119,26045,6055,4058,18679,3022,12227,2008-2012
B01001_32_20_years,4610,6002,4033,460,3914,6620,3486,2927,3205,4083,1607,636,2738,493,431,2522,1306,2235,300,5142,814,6621,13401,2656,19358,8313,10797,2343,623,15039,3187,1976,9080,1257,5924,2008-2012
B01001_33_21_years,5019,5292,4179,498,2830,6297,3215,2326,2586,3500,1160,690,3390,596,316,2648,1352,2194,177,4529,857,5838,11731,2640,17142,8069,12892,2109,181,15718,2906,1701,9727,1547,5049,2008-2012
B01001_34_22_to_24_years,13528,14914,14629,1481,6567,15127,9550,6240,9295,10340,4132,2248,9691,1731,831,5733,2820,4808,730,14615,2529,17062,31487,5270,62431,22016,52391,6494,1439,48436,9367,5557,24665,3311,14999,2008-2012
B01001_35_25_to_29_years,25411,27190,33535,2472,11276,27924,15742,12440,15377,16663,8390,3277,16868,2607,1642,10796,3851,7953,1169,25515,4200,28468,55993,7508,117583,34811,102760,10086,2106,93322,14961,8698,39461,4747,26228,2008-2012
B01001_36_30_to_34_years,27898,28144,31178,2754,11597,28831,16350,13532,14552,16935,9960,3787,18187,2837,1647,10905,4293,8302,1330,27516,4606,26670,52853,7619,106260,36158,80733,10538,2441,88844,15186,8349,42274,4829,28180,2008-2012
B01001_37_35_to_39_years,31143,30079,24867,4060,13109,29873,19655,16800,15658,16780,12053,4871,19226,3456,2102,11616,5886,9494,1665,31400,5913,28488,49160,8866,91829,40805,61876,11372,3161,79957,15686,8897,49570,5654,30865,2008-2012
B01001_38_40_to_44_years,36135,29653,22442,5476,13009,28877,25218,20539,18359,18419,13332,6126,20728,4534,2282,11902,5974,10420,2260,36541,7060,30322,51512,10961,88826,51370,56108,15227,4368,84166,18109,10919,58869,6103,38135,2008-2012
B01001_39_45_to_49_years,38454,30587,21678,6534,14340,31175,28654,22417,19932,19034,15210,7084,21751,4894,2597,13573,7457,11575,2468,39806,8588,33844,52483,12534,87664,56672,51596,15120,4973,83698,18508,11600,64098,7343,39303,2008-2012
B01001_40_50_to_54_years,37501,29184,20397,6387,13916,30358,27673,20648,19976,18297,14015,6890,20735,4737,2704,13467,7282,11953,2585,36867,8707,33753,47726,12023,86436,55636,51051,13845,4407,82433,18429,11179,58986,7554,37684,2008-2012
B01001_41_55_to_59_years,31998,25051,18261,5240,11964,25815,23030,17060,18346,15321,10731,5613,17030,3938,2415,12172,5882,10939,2199,30124,7912,29532,41636,10605,77313,47610,49176,10648,4090,72936,16140,9987,49760,6701,33347,2008-2012
B01001_42_60_and_61_years,12316,9187,6556,1662,4643,9418,8211,6221,8266,6165,3946,2183,6788,1312,791,4323,2104,3553,595,10585,2890,11164,14000,3441,31697,18823,19988,4578,1200,27746,6881,4139,17597,2606,12178,2008-2012
B01001_43_62_to_64_years,15965,12016,8636,2312,5846,12006,10778,8836,11642,7694,5436,2677,8320,1989,1410,5424,2988,5238,1275,15141,3535,14603,19020,4751,38647,23020,28901,6322,1656,36481,8062,5071,25314,3753,15446,2008-2012
B01001_44_65_and_66_years,9452,7191,5279,1171,3319,7387,6507,5187,7540,4531,2827,1434,4846,1195,830,3228,1606,3024,671,8849,2220,8496,11338,2957,22615,13430,16301,2980,831,21617,4478,3201,14748,1896,9750,2008-2012
B01001_45_67_to_69_years,11977,8420,6305,1741,3731,8148,7328,6478,10698,5709,3664,2018,5982,1332,895,4079,2123,4007,903,11413,2586,10270,15206,3576,27559,16479,22434,3718,1539,25755,5506,3912,19451,2624,12077,2008-2012
B01001_46_70_to_74_years,16135,11547,9050,1913,6078,12613,10414,7681,14763,7581,4954,1948,8064,1651,1493,6536,2929,5195,1381,14097,3583,14723,20986,5006,39114,24702,27681,5534,1378,38643,8201,5274,25341,3073,16817,2008-2012
B01001_47_75_to_79_years,13942,9593,7023,1591,4887,10673,9688,6965,13999,6222,4046,1732,7102,1640,1125,5764,1942,5048,871,12726,3049,12256,16412,4304,31294,22765,22172,3993,947,30768,6126,4748,21119,2716,14755,2008-2012
B01001_48_80_to_84_years,13271,8280,6048,1272,4419,9588,7616,6139,12050,5285,3460,1386,6428,1491,1189,5045,1648,4908,674,11964,2571,10843,13095,3557,27588,20434,18786,3351,1085,26118,5027,3380,17714,2409,13686,2008-2012
B01001_49_85_years_and_over,15504,9790,5957,1347,5035,10021,9433,6821,12165,6427,4688,1295,8033,1421,1063,5661,1740,4894,512,13472,3085,16380,14196,3507,28173,22390,21379,4049,1090,29086,5837,4024,18647,2684,15487,2008-2012
B02001_1_total,906781,783840,636194,127996,366442,811064,629263,493472,575961,500168,323650,148962,536383,108488,65101,350165,169346,297519,57437,918892,189277,860995,1386364,297291,2512740,1338712,1596735,372951,99702,2235008,468374,312011,1492360,182516,950227,2008-2012
B02001_2_white_alone,666754,339640,355293,116882,232853,509495,525127,407897,526812,329232,229327,139363,317464,97693,62472,284775,133808,259544,51583,699870,178558,649827,312055,235943,1119881,973573,909145,288487,89418,950264,354836,226906,1227708,160024,642623,2008-2012
B02001_3_black_or_african_american_alone,50694,317719,82956,3366,73852,76560,46100,15367,17700,62737,28280,2950,115746,4020,872,22225,22000,14598,2929,99871,2229,107283,481739,29134,859622,148771,247743,37428,2064,421540,48635,38105,110478,10438,136936,2008-2012
B02001_4_american_indian_and_alaska_native_alone,1507,2084,2522,90,1030,1440,1751,923,869,1420,492,306,862,138,177,807,233,532,55,1439,507,2188,7196,684,8247,2310,5012,1175,270,9475,813,670,3486,424,1741,2008-2012
B02001_5_asian_alone,132801,36585,85911,4101,32978,176635,31963,44934,9873,25657,46139,2649,24696,2641,335,10465,3313,7459,415,42880,3099,30743,49489,11167,266557,103765,178673,9453,2006,522638,36292,20118,52009,3131,51797,2008-2012
B02001_6_native_hawaiian_and_other_pacific_islander_alone,107,534,311,228,49,254,30,79,70,68,45,11,332,0,0,51,80,42,93,323,8,416,308,51,1372,81,804,20,0,1356,26,74,297,24,144,2008-2012
B02001_7_some_other_race_alone,36516,60371,90564,1820,18709,29248,10857,15373,11172,66561,12887,1612,68251,2277,346,23177,4521,8252,1002,56527,1776,49374,488156,13229,209788,81435,192325,25785,3826,260286,18866,21403,71037,2872,90239,2008-2012
B02001_8_two_or_more_races,18402,26907,18637,1509,6971,17432,13435,8899,9465,14493,6480,2071,9032,1719,899,8665,5391,7092,1360,17982,3100,21164,47421,7083,47273,28777,63033,10603,2118,69449,8906,4735,27345,5603,26747,2008-2012
B02001_9_two_races_including_some_other_race,4398,5256,7148,244,1486,5422,1693,2604,2235,3160,1322,631,3116,454,106,1813,527,1127,122,4673,337,5308,27884,1061,14215,10400,15112,2760,669,27845,2354,1742,8617,698,7415,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",14004,21651,11489,1265,5485,12010,11742,6295,7230,11333,5158,1440,5916,1265,793,6852,4864,5965,1238,13309,2763,15856,19537,6022,33058,18377,47921,7843,1449,41604,6552,2993,18728,4905,19332,2008-2012
B11001_1_total,334527,277453,243156,47422,130292,280141,233661,179712,222970,162065,115132,55179,184743,41638,26256,133302,59299,112242,21980,332968,76149,329956,473281,107734,911995,442869,738131,125180,35088,776311,163675,98401,496349,70274,344875,2008-2012
B11001_2_family_households,238896,182400,149863,34445,87973,202594,162228,129878,150559,115286,83429,40822,130257,29719,18071,90673,43897,77145,15941,230396,51659,214719,310803,73348,582628,340577,302793,90249,26712,525813,121782,74811,374995,44911,237715,2008-2012
B11001_3_married-couple_family,189090,107805,91970,29531,64573,156937,129941,108791,120673,77439,69325,34136,90761,23279,14277,67180,32950,60091,12313,178528,41776,152966,126677,57471,345278,271101,192290,69725,22199,348463,90804,60366,292459,33720,177332,2008-2012
B11001_4_other_family,49806,74595,57893,4914,23400,45657,32287,21087,29886,37847,14104,6686,39496,6440,3794,23493,10947,17054,3628,51868,9883,61753,184126,15877,237350,69476,110503,20524,4513,177350,30978,14445,82536,11191,60383,2008-2012
"B11001_5_male_householder,_no_wife_present",12889,17107,15914,1113,6261,13345,8849,5795,8505,9689,3396,1998,10081,1665,1149,6197,2968,4821,1021,12813,2684,13920,35203,4795,52441,18094,23776,5784,1319,51753,7806,4110,23009,3182,14127,2008-2012
"B11001_6_female_householder,_no_husband_present",36917,57488,41979,3801,17139,32312,23438,15292,21381,28158,10708,4688,29415,4775,2645,17296,7979,12233,2607,39055,7199,47833,148923,11082,184909,51382,86727,14740,3194,125597,23172,10335,59527,8009,46256,2008-2012
B11001_7_nonfamily_households,95631,95053,93293,12977,42319,77547,71433,49834,72411,46779,31703,14357,54486,11919,8185,42629,15402,35097,6039,102572,24490,115237,162478,34386,329367,102292,435338,34931,8376,250498,41893,23590,121354,25363,107160,2008-2012
B11001_8_householder_living_alone,83630,82211,71195,10915,35197,63590,60435,42379,63339,41048,26860,11910,46953,9907,6527,35297,12068,28665,5119,86627,20627,95733,141774,28150,262068,87761,352802,28537,7145,203488,36355,20309,98919,19999,93727,2008-2012
B11001_9_householder_not_living_alone,12001,12842,22098,2062,7122,13957,10998,7455,9072,5731,4843,2447,7533,2012,1658,7332,3334,6432,920,15945,3863,19504,20704,6236,67299,14531,82536,6394,1231,47010,5538,3281,22435,5364,13433,2008-2012
B15002_1_total,635424,515238,441933,88992,243587,543847,430374,340991,398506,324818,221964,102229,359658,74388,46966,236776,111695,203280,40075,619381,135759,583906,856624,199082,1654388,915334,1183556,235119,68798,1557698,315861,196957,1006220,127553,645116,2008-2012
B15002_2_male,298322,239326,214721,43060,116418,261140,204077,163227,185183,153755,105252,49908,169570,35354,22781,112285,53990,96777,19517,293365,65254,274094,381008,97867,751790,430229,552614,113758,33526,736128,148724,93579,483271,62861,301178,2008-2012
B15002_3_no_schooling_completed,2812,3082,3530,439,1515,2664,1423,1086,1687,2690,856,264,2877,256,144,1038,272,849,127,2509,499,3012,12319,714,19695,4419,9832,1792,145,16529,1812,1248,6053,717,3407,2008-2012
B15002_4_nursery_to_4th_grade,2192,4001,2996,66,809,2035,1083,734,600,2206,270,68,3087,103,63,507,105,472,43,2847,151,1895,9798,560,10524,3385,5125,883,103,10394,780,740,3192,230,2996,2008-2012
B15002_5_5th_and_6th_grade,3597,6643,6891,181,2283,3913,2476,1410,1629,3902,847,164,5389,193,30,989,342,498,98,5538,267,3219,17901,1204,27431,7489,11188,1469,248,29054,2184,1784,6028,448,9461,2008-2012
B15002_6_7th_and_8th_grade,3863,6537,6365,279,2372,4646,2612,1768,2539,5964,1086,539,4025,775,446,2290,837,1580,333,5652,860,5139,19464,1406,24478,5427,14396,1315,425,19185,2406,1323,7794,976,6041,2008-2012
B15002_7_9th_grade,2045,4985,3908,342,1702,3197,1687,889,2119,2583,549,356,2613,505,490,1920,629,1459,184,3966,715,3978,11859,1487,18419,4049,7690,1872,261,14823,1348,990,5338,972,4321,2008-2012
B15002_8_10th_grade,3509,5191,4089,611,2777,4086,2768,1788,3452,3626,1165,769,3016,913,534,3150,1104,2399,424,4651,1260,5786,14926,1873,22274,4793,9404,2453,507,17659,2887,1468,6822,1921,3925,2008-2012
B15002_9_11th_grade,3599,7064,4869,482,2609,4465,2502,1652,3861,3476,905,831,2958,759,937,3092,1566,2404,485,3821,1250,5789,17074,2453,19639,5040,9889,2961,494,16449,3174,1477,8068,1946,4817,2008-2012
"B15002_10_12th_grade,_no_diploma",4692,5359,5102,382,2153,4086,2971,2081,4461,3083,1315,522,2888,646,314,1904,1311,1657,274,4945,1134,5419,15381,1407,25060,8203,9513,2725,561,24254,3756,2584,8469,984,5406,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",69004,70677,55765,9360,29761,69962,49995,35423,65274,53217,22928,16361,50792,12497,10545,37470,20355,33659,7384,67221,21264,84283,111673,28348,208775,101115,70647,34435,8865,201162,47244,21675,142052,18805,66285,2008-2012
"B15002_12_some_college,_less_than_1_year",12824,10282,6510,1919,5700,12355,11369,6712,12751,6459,3820,3657,7118,1820,1299,5498,2987,6066,1223,11671,3743,15297,14408,5722,24299,19708,12818,7106,1630,28903,8436,4570,26750,3762,10206,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",35783,29229,25671,5259,12815,28533,25962,18086,27283,17755,10572,7314,22540,4079,2483,13424,7693,11936,3266,31205,8692,32984,52378,12960,88301,55206,48834,17254,5425,89059,21890,11727,65598,9244,33419,2008-2012
B15002_14_associate's_degree,12905,10829,8282,2285,6266,13819,13217,8251,10912,7898,4628,3195,7934,2253,1990,8578,4085,7082,1407,13323,4490,16310,22138,8283,41000,30784,17157,8581,2122,49111,10150,6091,39455,5519,16287,2008-2012
B15002_15_bachelor's_degree,86320,44341,50953,11756,23079,62964,52947,47688,32483,27153,30281,10516,32459,7130,2269,18938,8330,16919,2694,75363,12707,50636,40720,17941,138785,104970,167544,18688,7467,144560,27734,21767,91943,9856,67662,2008-2012
B15002_16_master's_degree,35029,18272,21276,6093,13671,31022,21648,23820,11356,9198,16685,3593,13908,2445,908,8723,3018,6384,1061,42086,5370,24124,13780,9438,55566,43486,89699,8650,3681,51066,10205,10088,43188,5020,37396,2008-2012
B15002_17_professional_school_degree,14283,9094,5487,1853,3821,6486,7315,7295,3119,3119,4862,1135,5022,485,213,2860,775,1901,287,13269,2059,8665,4779,2181,19762,25088,47580,2221,978,16972,3373,4080,15243,1493,21680,2008-2012
B15002_18_doctorate_degree,5865,3740,3027,1753,5085,6907,4102,4544,1657,1426,4483,624,2944,495,116,1904,581,1512,227,5298,793,7558,2410,1890,7782,7067,21298,1353,614,6948,1345,1967,7278,968,7869,2008-2012
B15002_19_female,337102,275912,227212,45932,127169,282707,226297,177764,213323,171063,116712,52321,190088,39034,24185,124491,57705,106503,20558,326016,70505,309812,475616,101215,902598,485105,630942,121361,35272,821570,167137,103378,522949,64692,343938,2008-2012
B15002_20_no_schooling_completed,3391,4551,4719,157,1558,3625,1437,1014,1450,3124,1098,242,2941,259,141,1520,274,1032,216,3363,372,3224,15413,861,23645,5417,13363,1452,203,22539,2564,1406,5790,703,4207,2008-2012
B15002_21_nursery_to_4th_grade,2066,3662,4322,57,857,2594,1027,565,768,3015,515,79,2774,95,60,722,171,345,28,2887,299,1853,13902,528,13883,4034,10603,801,102,13049,1065,795,3602,334,3661,2008-2012
B15002_22_5th_and_6th_grade,4479,5458,7143,111,2126,4301,1978,1524,1598,4817,1102,133,4757,285,35,1456,360,749,94,4618,275,2810,21297,707,30377,7759,15209,1231,248,30843,2348,1773,5777,254,8337,2008-2012
B15002_23_7th_and_8th_grade,5821,6695,8373,284,1869,5589,2555,1940,2716,7168,1508,498,3799,548,490,3010,705,2348,177,5651,1028,6130,23082,1738,30375,6860,15595,2081,426,23675,2759,1732,7009,999,6375,2008-2012
B15002_24_9th_grade,2470,4066,3796,398,1482,2792,1668,1045,1996,3187,621,452,2464,464,550,2312,484,1442,165,3890,594,4332,16504,1107,19978,4145,8767,1610,174,15099,1797,1057,5017,867,3465,2008-2012
B15002_25_10th_grade,3514,5986,4894,508,2518,4237,2726,1476,3776,3456,1205,752,2876,907,756,3650,1198,3052,294,4553,979,6134,17173,1433,23476,5176,9808,1928,309,19284,3693,1124,6828,1146,4192,2008-2012
B15002_26_11th_grade,3571,8608,5226,539,2651,3926,2865,1864,4145,4582,1095,745,3667,645,880,2969,1580,2589,261,4768,1016,6360,22825,2440,24511,5861,11315,3488,490,15543,3162,1536,9056,1455,5409,2008-2012
"B15002_27_12th_grade,_no_diploma",4770,6029,4683,289,1959,4757,3077,2166,4225,2886,1266,417,3393,583,224,1733,838,1545,168,4414,1054,4740,15080,1294,27800,8218,10318,2650,308,23909,3342,2706,8105,967,5082,2008-2012
"B15002_28_high_school_graduate,_ged,_or_alternative",87983,77471,60546,10746,33607,79022,64037,43432,84653,59078,26587,16119,58944,13954,10605,42323,20827,37878,7016,75783,20004,92030,121826,27967,248036,126719,79595,33712,9441,224261,56011,24541,160142,18364,75473,2008-2012
"B15002_29_some_college,_less_than_1_year",14402,11661,7346,2293,7227,13743,12902,8501,15396,7458,5458,3672,7972,2285,1671,7530,3220,6672,1788,15220,4864,17385,17465,5875,28410,20780,14906,7224,1882,31901,8043,4578,27705,3767,12881,2008-2012
"B15002_30_some_college,_1_or_more_years,_no_degree",36003,37047,27038,5277,14885,29252,25741,18294,25498,19241,12575,7578,24732,4692,2793,13806,9270,12064,3623,36973,9484,39183,63349,12595,99666,51003,53197,16647,4157,89900,20272,11051,62249,8415,37269,2008-2012
