B01001_22_70_to_74_years,10090,778,25520,7460,2410,728,2596,2026,1543,644,1862,2368,1789,855,596,2305,1182,175,20858,1173,824,2012-2016
B01001_23_75_to_79_years,6269,445,17406,4744,1500,472,1614,1370,1336,573,1206,1710,899,573,433,1618,983,73,14052,847,674,2012-2016
B01001_24_80_to_84_years,3810,511,10863,2501,707,380,1206,988,762,375,663,994,690,461,344,744,289,53,9458,265,448,2012-2016
B01001_25_85_years_and_over,2451,264,9884,1795,654,362,757,672,412,166,457,657,393,269,131,653,327,129,7173,342,194,2012-2016
B01001_26_female,451447,19579,1274855,383540,81201,15933,63536,40627,27493,18252,45116,79038,56860,24463,14168,62016,44926,4408,994195,30992,22888,2012-2016
B01001_27_under_5_years,28810,1284,95017,24724,5176,866,3774,2200,1409,1205,2732,5051,3973,1679,799,3654,2870,238,70257,2054,1417,2012-2016
B01001_28_5_to_9_years,34965,1351,97142,27303,5786,874,4114,2093,1524,1174,2953,5748,4341,1546,1052,3683,3258,269,73217,2121,1219,2012-2016
B01001_29_10_to_14_years,34235,1179,87757,28307,6430,1140,3976,2661,1575,1312,2908,5909,4463,1822,738,4929,3929,341,73407,2176,1710,2012-2016
B01001_30_15_to_17_years,20452,759,51863,15970,3825,661,2495,1594,926,748,1816,3663,2560,1047,638,2760,2160,165,42162,1343,929,2012-2016
B01001_31_18_and_19_years,10036,386,31640,10566,2098,381,1687,816,638,327,1409,1822,1309,699,393,1418,1070,128,25226,689,608,2012-2016
B01001_32_20_years,3836,165,16510,6001,858,156,706,594,327,118,732,1033,572,170,217,422,380,47,13866,407,459,2012-2016
B01001_33_21_years,4855,239,15450,5704,1063,148,978,623,189,253,559,938,763,270,123,626,306,57,12697,213,399,2012-2016
B01001_34_22_to_24_years,15446,950,57787,14908,3156,525,2113,1024,699,675,1749,2749,1762,778,391,2417,1486,165,39965,1113,804,2012-2016
B01001_35_25_to_29_years,26437,1040,103308,28500,4952,763,3788,2129,1277,1080,2717,4869,3511,1588,774,3292,2169,217,73470,1856,1555,2012-2016
B01001_36_30_to_34_years,32714,1067,99536,29223,5257,798,3649,2050,1513,1063,2584,4968,3944,1369,752,3551,2981,200,73070,1874,1399,2012-2016
B01001_37_35_to_39_years,36667,907,91452,28860,5257,946,3253,1868,1378,1141,2689,5195,3910,1575,669,3912,3457,347,69150,1884,1219,2012-2016
B01001_38_40_to_44_years,38519,1172,87286,31619,5754,952,4140,2688,1309,1024,2692,5088,4080,1350,928,3888,3523,235,69829,1818,1370,2012-2016
B01001_39_45_to_49_years,35431,1324,82077,28365,5514,1026,4018,2509,1639,1140,3008,5253,3788,1529,898,4370,3090,272,67724,2280,1403,2012-2016
B01001_40_50_to_54_years,32417,1373,81960,26913,5795,1212,4537,2840,1846,1210,3283,5610,3948,1679,1053,4967,3271,299,67750,2464,1435,2012-2016
B01001_41_55_to_59_years,26406,1202,72692,23263,5203,1229,4431,3128,2453,1184,3093,5545,3705,1551,972,4326,2960,282,59545,2226,1408,2012-2016
B01001_42_60_and_61_years,9618,594,27079,7138,2148,489,1726,1193,853,467,1237,1753,1235,631,442,1995,950,111,21655,786,615,2012-2016
B01001_43_62_to_64_years,12273,954,36366,9696,2509,483,2480,1626,1042,583,1519,2454,1756,868,573,2257,1366,196,28263,1025,835,2012-2016
B01001_44_65_and_66_years,7803,605,20269,6067,1540,474,1586,1193,822,312,864,1748,930,515,429,1114,1122,208,16856,567,509,2012-2016
B01001_45_67_to_69_years,10287,548,25279,7520,2001,617,2175,1767,1257,661,1424,2351,1484,754,465,1676,908,110,21205,1071,782,2012-2016
B01001_46_70_to_74_years,11701,832,33215,9318,2587,745,2712,2232,1789,945,1950,2672,1896,1142,643,2954,1320,159,26258,1264,1013,2012-2016
B01001_47_75_to_79_years,7728,674,23575,5715,1696,601,1989,1440,1319,695,1208,2147,1304,660,610,1812,1158,96,19963,767,692,2012-2016
B01001_48_80_to_84_years,5756,420,18303,3818,1404,406,1514,1306,764,500,963,1040,782,612,325,934,449,174,13811,581,521,2012-2016
B01001_49_85_years_and_over,5055,554,19292,4042,1192,441,1695,1053,945,435,1027,1432,844,629,284,1059,743,92,14849,413,587,2012-2016
B02001_1_total,886633,38878,2513054,754650,160225,33757,124231,79213,54217,35844,89068,157544,111830,48177,27922,123601,88010,8673,1947529,62089,44529,2012-2016
B02001_2_white_alone,638396,36011,1526798,578108,130401,29734,107803,70843,51552,30171,69967,144430,92578,36813,25558,115369,76141,8121,1360100,58788,33247,2012-2016
B02001_3_black_or_african_american_alone,81491,1027,563370,68449,15097,2283,7235,5381,385,2434,7373,4014,11254,6569,638,1823,4850,45,304741,729,841,2012-2016
B02001_4_american_indian_and_alaska_native_alone,3818,247,8603,3096,1954,114,1423,643,414,144,778,951,509,897,331,1059,146,59,8629,343,7023,2012-2016
B02001_5_asian_alone,114915,312,145680,56563,1057,175,1439,515,375,245,1110,1220,1117,299,136,757,2140,0,98095,267,235,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,625,44,1493,533,59,20,76,91,0,16,0,628,53,506,25,50,29,51,3283,30,11,2012-2016
B02001_7_some_other_race_alone,19646,328,200536,22139,7206,556,2606,778,900,2176,8432,2685,3586,2135,767,2573,1726,315,113478,691,1085,2012-2016
B02001_8_two_or_more_races,27742,909,66574,25762,4451,875,3649,962,591,658,1408,3616,2733,958,467,1970,2978,82,59203,1241,2087,2012-2016
B02001_9_two_races_including_some_other_race,4672,59,17058,4228,764,65,494,135,73,45,77,388,662,85,112,313,491,28,10753,276,26,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",23070,850,49516,21534,3687,810,3155,827,518,613,1331,3228,2071,873,355,1657,2487,54,48450,965,2061,2012-2016
B11001_1_total,314918,14896,894542,265790,53803,12022,47161,29785,21040,13259,31154,53880,35739,17409,10416,43270,29392,3241,682967,21427,16633,2012-2016
B11001_2_family_households,233129,10554,584003,188988,42074,8557,32311,20977,14116,9791,21508,41482,27517,12931,7049,32856,23790,2467,473777,16269,10646,2012-2016
B11001_3_married-couple_family,191151,8441,385714,149198,33353,6573,23795,16383,11813,7548,16413,32296,20469,9206,5216,27270,19970,1811,339951,13127,7904,2012-2016
B11001_4_other_family,41978,2113,198289,39790,8721,1984,8516,4594,2303,2243,5095,9186,7048,3725,1833,5586,3820,656,133826,3142,2742,2012-2016
"B11001_5_male_householder,_no_wife_present",11043,604,54758,10288,2047,574,2338,1400,685,571,1284,3012,2106,1149,605,1719,844,197,36586,699,727,2012-2016
"B11001_6_female_householder,_no_husband_present",30935,1509,143531,29502,6674,1410,6178,3194,1618,1672,3811,6174,4942,2576,1228,3867,2976,459,97240,2443,2015,2012-2016
B11001_7_nonfamily_households,81789,4342,310539,76802,11729,3465,14850,8808,6924,3468,9646,12398,8222,4478,3367,10414,5602,774,209190,5158,5987,2012-2016
B11001_8_householder_living_alone,67537,3541,253483,59047,9694,2922,12664,7399,5953,2930,8172,10402,6686,3956,2697,8966,4518,649,172130,4256,5056,2012-2016
B11001_9_householder_not_living_alone,14252,801,57056,17755,2035,543,2186,1409,971,538,1474,1996,1536,522,670,1448,1084,125,37060,902,931,2012-2016
B15002_1_total,574718,25977,1590088,484647,101769,23710,83432,55294,38953,23904,58766,102285,71729,31446,18947,82867,56673,5923,1235550,41319,29488,2012-2016
B15002_2_male,275906,12711,768399,234590,48960,12528,39739,26272,18747,11464,28508,50160,34612,14994,9130,40760,27206,2925,592152,20443,14145,2012-2016
B15002_3_no_schooling_completed,2141,151,18128,2312,655,112,453,416,173,228,379,741,670,258,187,551,221,9,8821,238,89,2012-2016
B15002_4_nursery_to_4th_grade,1496,184,15333,918,385,116,242,325,222,173,134,492,300,223,110,168,86,5,6511,168,49,2012-2016
B15002_5_5th_and_6th_grade,3996,85,38970,3738,1501,154,512,528,412,488,424,994,774,740,205,451,509,52,17386,443,132,2012-2016
B15002_6_7th_and_8th_grade,2041,236,21930,1622,1084,311,728,700,185,361,808,1254,720,496,326,677,464,63,10236,512,326,2012-2016
B15002_7_9th_grade,2044,114,32771,3109,1234,427,948,547,308,213,910,1417,821,708,228,573,336,77,14697,361,361,2012-2016
B15002_8_10th_grade,1861,464,16866,2117,914,499,787,850,491,229,858,1630,783,378,246,651,199,173,10128,413,443,2012-2016
B15002_9_11th_grade,1852,363,19085,2548,1170,665,773,960,363,379,1109,1565,1168,811,300,1040,313,121,12684,608,460,2012-2016
"B15002_10_12th_grade,_no_diploma",2553,154,15750,2439,1010,197,815,378,115,174,685,827,537,244,190,511,406,10,10498,288,281,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),38596,3643,176021,43577,14237,4365,12272,8874,5298,4351,9904,16920,11131,4597,3268,11316,5565,929,139133,7773,4897,2012-2016
"B15002_12_some_college,_less_than_1_year",13252,1079,34489,15168,4594,995,2926,1966,1373,935,2059,3928,2625,646,641,3962,1739,141,39499,1865,994,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",41309,2477,107144,39547,8389,2167,7881,4813,3701,1500,5013,8236,5959,2557,1571,7120,4570,558,97553,3285,2497,2012-2016
B15002_14_associate's_degree,18981,934,40208,16211,3552,815,3498,1594,862,541,1557,3497,2597,1147,384,2794,2024,250,39674,1067,615,2012-2016
B15002_15_bachelor's_degree,90118,1917,145691,68998,7133,1096,4936,2978,3714,1178,2769,6080,4453,1372,963,7228,7154,379,122275,2694,1891,2012-2016
B15002_16_master's_degree,41522,674,56995,24987,2267,416,1928,1075,1028,476,1386,1647,1568,579,338,2587,2458,46,45617,552,805,2012-2016
B15002_17_professional_school_degree,8435,200,20528,3994,450,45,489,159,296,181,205,521,224,159,111,481,698,91,9857,88,162,2012-2016
B15002_18_doctorate_degree,5709,36,8490,3305,385,148,551,109,206,57,308,411,282,79,62,650,464,21,7583,88,143,2012-2016
B15002_19_female,298812,13266,821689,250057,52809,11182,43693,29022,20206,12440,30258,52125,37117,16452,9817,42107,29467,2998,643398,20876,15343,2012-2016
B15002_20_no_schooling_completed,2887,114,19780,2565,682,120,316,472,203,175,287,581,533,354,85,456,144,13,10355,189,166,2012-2016
B15002_21_nursery_to_4th_grade,983,117,13314,1344,643,24,268,261,70,127,182,468,308,209,47,82,8,0,6559,198,59,2012-2016
B15002_22_5th_and_6th_grade,3536,246,34955,3160,1093,159,472,380,245,300,411,730,505,535,186,263,268,132,14476,624,99,2012-2016
B15002_23_7th_and_8th_grade,2454,271,20419,2512,995,212,623,717,357,190,857,1219,435,469,127,787,265,34,10859,434,320,2012-2016
B15002_24_9th_grade,1784,322,30530,2691,972,251,784,664,385,240,851,858,748,524,163,513,368,111,14346,556,299,2012-2016
B15002_25_10th_grade,2159,476,16693,2632,1224,301,834,946,343,293,1029,1323,899,528,401,702,318,93,11560,486,408,2012-2016
B15002_26_11th_grade,2271,122,20338,2042,1261,318,1165,892,301,436,720,1758,1113,605,375,756,339,92,13236,484,438,2012-2016
"B15002_27_12th_grade,_no_diploma",2908,186,14572,2823,854,153,661,399,408,191,499,696,781,223,105,715,340,38,10191,351,182,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),49536,4075,182284,48293,14795,3873,13477,9796,6355,4434,10231,16843,12459,4905,3443,11511,7009,872,153430,6912,5176,2012-2016
"B15002_29_some_college,_less_than_1_year",18560,1077,46574,17396,4679,962,3612,2001,1727,1016,2333,4506,3381,1120,1049,3933,2824,248,46258,1896,780,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",44357,2273,132519,42485,9312,1942,8051,4800,3586,2046,4940,9393,5887,2845,1737,7403,4758,456,108934,3594,3039,2012-2016
B15002_31_associate's_degree,24590,1203,49426,19034,4199,866,4488,2346,1433,806,2403,4259,2644,1377,571,3537,2092,311,48784,1588,868,2012-2016
B15002_32_bachelor's_degree,95518,1859,156273,71444,8779,1198,6092,3643,3263,1445,3732,7029,5025,1929,1047,8315,7136,454,133192,2680,2309,2012-2016
B15002_33_master's_degree,38629,721,64733,25201,2778,654,2485,1549,1360,701,1417,1972,2226,706,413,2522,2908,107,49391,756,1035,2012-2016
B15002_34_professional_school_degree,5488,149,13364,3746,336,26,171,117,132,15,119,311,52,107,19,328,397,5,6863,69,76,2012-2016
B15002_35_doctorate_degree,3152,55,5915,2689,207,123,194,39,38,25,247,179,121,16,49,284,293,32,4964,59,89,2012-2016
B19001_1_total,314918,14896,894542,265790,53803,12022,47161,29785,21040,13259,31154,53880,35739,17409,10416,43270,29392,3241,682967,21427,16633,2012-2016
"B19001_2_less_than_$10,000",11228,732,60626,10396,2510,1129,3503,2333,1068,1077,2581,2677,1860,1630,891,2171,718,127,37963,1193,1469,2012-2016
"B19001_3_$10,000_to_$14,999",6870,710,44746,7009,2192,779,2579,1852,855,737,2375,2126,1704,763,728,1416,662,270,27422,500,1158,2012-2016
"B19001_4_$15,000_to_$19,999",7532,944,45836,7981,1752,674,2873,1979,1143,900,2132,2571,1523,1393,667,1556,655,271,29863,1031,1371,2012-2016
"B19001_5_$20,000_to_$24,999",8077,739,51667,8319,2246,809,2862,2079,1040,820,1888,2538,1240,927,570,1615,901,220,32780,1289,1171,2012-2016
"B19001_6_$25,000_to_$29,999",9053,856,50296,9851,2164,711,2627,1956,1244,925,1954,1968,1827,1242,617,1733,707,59,31473,945,1119,2012-2016
"B19001_7_$30,000_to_$34,999",9853,919,50381,10382,2530,647,2432,1890,982,797,1677,2634,1716,1027,798,1810,913,144,35303,1356,989,2012-2016
"B19001_8_$35,000_to_$39,999",10607,719,45198,9530,2509,616,2394,1553,1141,630,1291,2703,1717,1115,698,2337,972,123,29915,934,1055,2012-2016
"B19001_9_$40,000_to_$44,999",12072,690,46326,9902,2299,600,2356,1746,705,675,1525,2763,1808,899,447,1908,1127,209,30488,1330,913,2012-2016
"B19001_10_$45,000_to_$49,999",10476,505,38945,9864,2140,454,1866,1422,861,584,1265,2381,1578,899,457,1409,1034,182,26945,653,816,2012-2016
"B19001_11_$50,000_to_$59,999",21787,1030,72569,20283,4728,995,3861,2551,1791,1083,2198,4996,2852,1328,706,2906,1931,350,57123,2047,1246,2012-2016
"B19001_12_$60,000_to_$74,999",30253,1600,89193,26337,6070,1140,4825,2595,2498,1593,3031,5998,3796,1872,936,4716,2934,203,73600,2514,1530,2012-2016
"B19001_13_$75,000_to_$99,999",41527,2047,100024,35622,7884,1704,6243,3467,2362,1321,3700,7789,4495,1727,1163,5751,4073,440,88281,2541,1665,2012-2016
"B19001_14_$100,000_to_$124,999",38413,1391,66238,30527,5161,793,3351,1790,1635,882,2241,5319,3982,1163,711,4538,3831,258,62928,2164,988,2012-2016
"B19001_15_$125,000_to_$149,999",26198,793,38249,20613,3640,425,1965,1047,1315,455,1467,3091,2453,610,393,3296,2602,108,37483,1209,456,2012-2016
"B19001_16_$150,000_to_$199,999",34439,653,42155,24131,3504,364,2035,801,1264,404,1132,2677,2121,445,299,3104,3101,114,39617,968,391,2012-2016
"B19001_17_$200,000_or_more",36533,568,52093,25043,2474,182,1389,724,1136,376,697,1649,1067,369,335,3004,3231,163,41783,753,296,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),86188,56269,51411,76678,64382,45471,50212,43434,58315,45748,45643,59095,60179,43388,42824,67979,89161,50562,60373,56396,39936,2012-2016
B25001_1_total,329455,16675,975540,281136,57235,14232,54395,39939,25518,15181,36954,59078,39273,20478,15323,47883,30789,3723,740355,23957,19911,2012-2016
B25003_1_total,314918,14896,894542,265790,53803,12022,47161,29785,21040,13259,31154,53880,35739,17409,10416,43270,29392,3241,682967,21427,16633,2012-2016
B25003_2_owner_occupied,208116,10412,452284,170389,38847,9020,31785,22287,16106,9450,21558,39690,27275,11775,7108,33492,23563,2303,412427,16412,10741,2012-2016
B25003_3_renter_occupied,106802,4484,442258,95401,14956,3002,15376,7498,4934,3809,9596,14190,8464,5634,3308,9778,5829,938,270540,5015,5892,2012-2016
B25024_1_total,329455,16675,975540,281136,57235,14232,54395,39939,25518,15181,36954,59078,39273,20478,15323,47883,30789,3723,740355,23957,19911,2012-2016
"B25024_2_1,_detached",228738,13127,532776,191776,43837,10829,39646,26428,16969,11403,23845,40442,29634,14431,10517,34069,26091,2700,498083,15773,14113,2012-2016
"B25024_3_1,_attached",8567,176,36686,5859,742,74,546,380,553,142,208,570,401,236,283,781,584,0,26357,341,287,2012-2016
B25024_4_2,1994,374,13221,1878,793,399,1762,345,291,163,594,1193,337,474,495,862,67,68,11543,262,471,2012-2016
B25024_5_3_or_4,6268,275,41107,6785,1489,381,1389,875,422,378,970,1344,971,547,412,843,366,19,27290,256,246,2012-2016
B25024_6_5_to_9,18312,170,89596,15089,1541,206,2578,490,296,509,1859,1102,702,470,338,810,604,49,44379,359,685,2012-2016
B25024_7_10_to_19,24519,159,98332,20692,1319,77,1194,298,515,238,1187,718,534,435,142,784,562,28,58005,132,273,2012-2016
B25024_8_20_to_49,14537,199,57488,17335,490,76,933,153,338,212,426,590,262,34,128,283,440,17,25957,106,177,2012-2016
B25024_9_50_or_more,20154,116,91266,10410,894,39,748,205,527,149,525,452,223,120,193,107,651,14,34138,32,436,2012-2016
B25024_10_mobile_home,6229,2057,14736,11113,6108,2116,5499,10630,5496,1948,7163,12547,6147,3712,2809,9146,1424,828,14193,6545,3199,2012-2016
"B25024_11_boat,_rv,_van,_etc.",137,22,332,199,22,35,100,135,111,39,177,120,62,19,6,198,0,0,410,151,24,2012-2016
B25077_1_median_value_(dollars),240700,134000,138600,212200,150300,94500,110000,94100,162600,96300,96400,124500,141500,83800,87000,170100,206700,158900,148100,132700,96100,2012-2016
B25034_1_total,329455,16675,975540,281136,57235,14232,54395,39939,25518,15181,36954,59078,39273,20478,15323,47883,30789,3723,740355,23957,19911,2012-2016
B25034_2_built_2014_or_later,5542,102,6349,4354,722,43,343,247,355,48,113,476,341,102,98,456,522,7,4447,152,138,2012-2016
B25034_3_built_2010_to_2013,19794,511,22180,17345,2458,368,795,1188,932,502,689,2369,1578,511,735,1951,2287,56,22101,825,681,2012-2016
B25034_4_built_2000_to_2009,104149,2685,135458,91562,17040,2965,9484,6946,5964,2353,6819,13829,13514,3554,2180,14424,13678,1082,165564,6222,4151,2012-2016
B25034_5_built_1990_to_1999,90546,2297,117412,62455,10556,2166,7068,6717,5437,2102,6299,10962,7021,2578,1721,9287,5800,516,114276,5557,2573,2012-2016
B25034_6_built_1980_to_1989,60464,2540,185273,57248,9756,1921,7560,9102,5381,2516,6846,10057,5579,3547,1457,8698,4897,737,146642,4168,3264,2012-2016
B25034_7_built_1970_to_1979,30922,2889,184625,28220,6306,2083,8157,8287,4685,2971,6235,9682,4506,3281,2008,5938,2111,469,107687,2536,3869,2012-2016
B25034_8_built_1960_to_1969,9091,1510,132624,9951,2983,1281,7588,3829,1230,1539,4146,4573,2618,2307,2684,2764,709,271,67072,1788,1553,2012-2016
B25034_9_built_1950_to_1959,4216,1762,112910,5407,2755,909,5737,1837,853,1177,2981,3306,1808,1711,2050,1933,307,185,64985,1452,1306,2012-2016
B25034_10_built_1940_to_1949,2043,1040,41577,2406,1636,768,2990,791,327,787,948,1445,714,936,863,1056,136,183,24160,706,893,2012-2016
B25034_11_built_1939_or_earlier,2688,1339,37132,2188,3023,1728,4673,995,354,1186,1878,2379,1594,1951,1527,1376,342,217,23421,551,1483,2012-2016
B25127_1_total,314918,14896,894542,265790,53803,12022,47161,29785,21040,13259,31154,53880,35739,17409,10416,43270,29392,3241,682967,21427,16633,2012-2016
B25127_2_owner_occupied,208116,10412,452284,170389,38847,9020,31785,22287,16106,9450,21558,39690,27275,11775,7108,33492,23563,2303,412427,16412,10741,2012-2016
B25127_3_built_2010_or_later,16031,432,8946,14433,2395,296,719,837,898,350,585,1884,1612,436,210,1860,2158,63,16005,774,462,2012-2016
"B25127_4_1,_detached__or_attached",15823,383,8278,14255,2239,237,496,600,814,273,456,1635,1570,375,165,1745,2105,63,15453,576,388,2012-2016
B25127_5_2_to_4,0,0,14,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,24,0,0,2012-2016
B25127_6_5_to_19,10,0,29,7,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,2012-2016
B25127_7_20_to_49,0,0,7,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-2016
B25127_8_50_or_more,17,0,77,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",181,49,541,148,156,59,209,232,75,77,129,240,42,61,45,115,34,0,431,198,74,2012-2016
B25127_10_built_2000_to_2009,71160,1844,61989,61691,11835,1973,5833,3823,4004,1715,4820,10429,10494,2236,910,10903,11146,697,103697,4828,2300,2012-2016
"B25127_11_1,_detached__or_attached",69576,1549,58060,60025,10973,1628,5107,2785,3432,1351,3626,8387,9147,1493,664,9507,11017,633,101342,3527,1920,2012-2016
B25127_12_2_to_4,307,0,407,102,0,0,0,2,28,0,15,0,0,0,0,10,0,0,208,0,0,2012-2016
B25127_13_5_to_19,95,0,699,22,0,0,14,0,0,0,0,0,7,0,0,0,0,5,45,0,0,2012-2016
B25127_14_20_to_49,36,0,568,27,0,0,0,0,0,0,0,0,0,0,0,0,22,0,75,0,0,2012-2016
B25127_15_50_or_more,198,0,932,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",948,295,1323,1488,862,345,712,1036,544,364,1179,2042,1340,743,246,1386,107,59,1743,1301,380,2012-2016
B25127_17_built_1980_to_1999,90339,3247,122399,68902,14296,2605,8968,9120,6825,3116,7658,14237,8573,3317,1737,12723,7851,802,134460,6347,3378,2012-2016
"B25127_18_1,_detached__or_attached",86962,2482,110451,64491,12050,1823,7091,5819,5037,2392,5084,9605,6543,2171,1106,9366,7095,604,127776,4047,2649,2012-2016
B25127_19_2_to_4,464,0,1857,98,27,6,23,12,25,0,8,0,11,4,0,43,65,0,811,4,0,2012-2016
B25127_20_5_to_19,330,0,2918,39,0,0,34,0,16,9,0,0,0,0,3,67,108,0,950,5,0,2012-2016
