estimate_year,index,TX_015,TX_039,TX_071,TX_157,TX_167,TX_201,TX_291,TX_339,TX_473
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,B15002_16_master's_degree,461,7058,400,28616,6895,103926,497,14270,601
2013-2017,B15002_17_professional_school_degree,114,2126,76,5887,2633,32989,57,3677,98
2013-2017,B15002_18_doctorate_degree,103,1868,29,6706,1913,22963,36,2944,70
2013-2017,B15002_19_female,10154,111930,12599,235826,110578,1460393,26901,178749,13221
2013-2017,B15002_20_no_schooling_completed,225,1525,35,4387,1170,36952,371,1581,238
2013-2017,B15002_21_nursery_to_4th_grade,179,1090,171,1987,638,26076,215,1051,317
2013-2017,B15002_22_5th_and_6th_grade,322,1957,411,3583,1162,56110,979,3137,581
2013-2017,B15002_23_7th_and_8th_grade,141,1498,259,2833,1744,31239,913,1850,264
2013-2017,B15002_24_9th_grade,250,1916,153,2790,1523,41340,1450,3607,595
2013-2017,B15002_25_10th_grade,191,1829,260,2823,1664,23807,1008,2644,357
2013-2017,B15002_26_11th_grade,222,1881,282,2357,2514,29761,1315,2760,269
2013-2017,"B15002_27_12th_grade,_no_diploma",132,1676,131,3277,1431,25192,359,3897,133
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),2917,26858,3773,40901,28380,336930,9764,44214,4305
2013-2017,"B15002_29_some_college,_less_than_1_year",672,7530,1311,11642,8339,80196,2338,12860,989
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",1573,18635,2157,36053,18945,232774,4129,28817,1888
2013-2017,B15002_31_associate's_degree,886,9731,830,18369,10599,97228,1512,14006,823
2013-2017,B15002_32_bachelor's_degree,1754,22929,1721,68336,22083,287818,1747,39539,1687
2013-2017,B15002_33_master's_degree,567,9842,1002,29263,7378,114678,707,14187,588
2013-2017,B15002_34_professional_school_degree,82,1664,77,3841,1696,25033,75,2761,70
2013-2017,B15002_35_doctorate_degree,41,1369,26,3384,1312,15259,19,1838,117
2013-2017,B19001_1_total,11021,117088,13320,222331,117455,1562813,25974,186861,14698
2013-2017,"B19001_2_less_than_$10,000",594,5431,900,7019,7170,98715,1828,7589,851
2013-2017,"B19001_3_$10,000_to_$14,999",477,4060,545,4353,4924,68337,1610,5855,783
2013-2017,"B19001_4_$15,000_to_$19,999",460,4139,515,5116,5353,75648,1667,6208,929
2013-2017,"B19001_5_$20,000_to_$24,999",911,3852,424,6369,5856,80275,1408,7817,732
2013-2017,"B19001_6_$25,000_to_$29,999",376,4017,645,6183,4956,74710,1640,7173,458
2013-2017,"B19001_7_$30,000_to_$34,999",661,4332,581,6412,5179,78091,1337,7825,1040
2013-2017,"B19001_8_$35,000_to_$39,999",352,3593,308,5699,4956,70427,1133,6597,664
