index,34001,34005,34007,34009,34011,34015,34033,10001,10003,42011,42017,42029,42045,42091,42101,24009,24017,24021,24031,24033,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,nj,nj,nj,nj,nj,nj,nj,de,de,pa,pa,pa,pa,pa,pa,md,md,md,md,md,2012-2016
B02001_2_white_alone,184371,326657,321999,86962,99295,238509,51899,114958,359253,346269,556082,441027,395791,655493,643570,73873,73744,197960,566239,173881,2012-2016
B02001_3_black_or_african_american_alone,42711,72668,100150,4384,30904,30050,8716,42097,134502,20009,24226,29907,118089,72312,668573,11124,65796,22196,182774,570138,2012-2016
B02001_4_american_indian_and_alaska_native_alone,563,495,1159,58,1163,184,93,1123,1347,3550,909,624,832,895,5734,77,1026,646,2857,3449,2012-2016
B02001_5_asian_alone,22658,21503,28892,1013,2077,8737,594,3433,28581,5733,27680,23718,29581,58140,107669,1371,4760,10701,149770,38063,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,66,157,86,98,0,74,0,104,209,160,25,123,104,213,1663,0,162,146,503,269,2012-2016
B02001_7_some_other_race_alone,14225,11390,43722,1286,15346,6324,1499,2551,14025,17449,6069,5827,5839,9691,89089,530,1169,4187,81619,86885,2012-2016
B02001_8_two_or_more_races,9432,17366,15137,1603,6959,7408,1703,7208,14080,20927,11229,10802,12080,19132,43640,3552,7700,7629,42609,25008,2012-2016
B02001_9_two_races_including_some_other_race,3391,1946,3676,208,1785,1782,151,472,1594,2779,1613,1498,1320,1816,7372,110,370,842,7448,3809,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",6041,15420,11461,1395,5174,5626,1552,6736,12486,18148,9616,9304,10760,17316,36268,3442,7330,6787,35161,21199,2012-2016
B11001_1_total,101083,164623,185722,40073,50718,104762,24255,62140,202524,152451,233517,186721,203610,309884,582594,31479,54105,88995,367764,306711,2012-2016
B11001_2_family_households,68225,114525,125569,25836,35123,74964,16286,43020,132924,105227,166486,131242,136213,212317,310729,23705,39377,64219,256128,202160,2012-2016
B11001_3_married-couple_family,45648,88345,84464,20532,21492,57170,11790,30363,94609,77837,135764,108210,96938,171919,160700,18209,28481,50628,198439,119956,2012-2016
B11001_4_other_family,22577,26180,41105,5304,13631,17794,4496,12657,38315,27390,30722,23032,39275,40398,150029,5496,10896,13591,57689,82204,2012-2016
"B11001_5_male_householder,_no_wife_present",5883,7272,9847,1360,3384,4958,1207,2856,9812,7916,8846,6777,9538,11336,31390,1595,2189,4294,16233,20713,2012-2016
"B11001_6_female_householder,_no_husband_present",16694,18908,31258,3944,10247,12836,3289,9801,28503,19474,21876,16255,29737,29062,118639,3901,8707,9297,41456,61491,2012-2016
B11001_7_nonfamily_households,32858,50098,60153,14237,15595,29798,7969,19120,69600,47224,67031,55479,67397,97567,271865,7774,14728,24776,111636,104551,2012-2016
B11001_8_householder_living_alone,27309,42037,50912,12286,12809,24653,6726,15241,56144,38306,56348,43726,58422,81163,225587,6132,12233,19430,91530,87037,2012-2016
B11001_9_householder_not_living_alone,5549,8061,9241,1951,2786,5145,1243,3879,13456,8918,10683,11753,8975,16404,46278,1642,2495,5346,20106,17514,2012-2016
B15002_1_total,187290,312858,347104,70266,104849,197574,44731,112384,373316,278049,442193,344791,377935,570837,1035252,60627,101706,163563,703977,597885,2012-2016
B15002_2_male,88525,150124,163322,33419,53816,93513,21253,52687,177148,134030,212539,166790,176226,271852,474645,29427,47519,79145,329863,278718,2012-2016
B15002_3_no_schooling_completed,1170,1431,2606,772,1099,718,269,895,1871,1533,1108,1105,1738,1598,9722,113,426,757,4991,4815,2012-2016
B15002_4_nursery_to_4th_grade,586,378,905,55,790,198,217,134,961,1056,270,741,384,598,4183,75,108,262,3391,5414,2012-2016
B15002_5_5th_and_6th_grade,1222,543,1187,249,1493,522,236,375,1233,1549,1007,1840,975,1213,6119,65,239,290,5171,9693,2012-2016
B15002_6_7th_and_8th_grade,2012,1087,2105,444,1749,892,397,1265,2345,3550,1601,2158,1364,2339,9355,388,464,747,3375,5097,2012-2016
