B25034_9_built_1940_to_1949,1087,1534,2455,20077,20432,3128,850,45311,16710,399,593,10809,448,932,1202,157,629,545,1085,7964,307,683,473,205,0,2008-2012
B25034_10_built_1939_or_earlier,1516,2084,11310,17729,16086,13009,2505,102770,9387,1217,1456,5585,3114,4060,1763,868,956,955,1694,6238,255,471,1598,403,9,2008-2012
B25127_1_total,30916,50845,85559,357579,302683,58044,19824,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,2008-2012
B25127_2_owner_occupied,25293,40580,64670,243751,191829,42318,15049,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,2008-2012
B25127_3_built_2000_or_later,4600,9251,12683,24790,23667,6859,3770,7777,4419,872,3808,27859,3678,34730,30889,286,8117,9442,2050,2718,689,350,864,606,621,2008-2012
"B25127_4_1,_detached__or_attached",4486,9028,11960,19050,22317,6367,3570,2164,1810,829,3777,23225,3556,33372,29801,286,7922,9228,2035,1545,551,159,799,507,449,2008-2012
B25127_5_2_to_4,26,60,35,214,46,33,0,211,18,0,0,247,2,61,251,0,16,33,0,17,0,0,0,0,8,2008-2012
B25127_6_5_to_19,33,112,463,1489,511,35,0,635,226,28,0,765,32,582,294,0,0,10,0,71,17,17,0,51,74,2008-2012
B25127_7_20_to_49,14,0,18,966,459,0,0,951,139,0,0,724,0,302,221,0,0,0,0,205,0,14,46,0,90,2008-2012
B25127_8_50_or_more,35,0,179,3054,181,15,0,3816,2226,0,0,2521,0,382,119,0,0,0,0,880,121,160,19,0,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",6,51,28,17,153,409,200,0,0,15,31,377,88,31,203,0,179,171,15,0,0,0,0,48,0,2008-2012
B25127_10_built_1980_to_1999,13178,17026,26098,85252,58606,11482,5349,5547,7385,1192,3779,109578,7643,34105,35630,896,16830,14988,3709,6323,858,329,294,4403,796,2008-2012
"B25127_11_1,_detached__or_attached",12975,16747,24399,74804,55221,9335,4927,2993,3753,1192,3656,97088,7456,31889,33941,881,15933,14440,3550,3900,780,298,289,4027,765,2008-2012
B25127_12_2_to_4,20,17,99,733,378,74,41,274,51,0,0,1067,0,252,214,0,0,16,0,65,10,0,0,54,0,2008-2012
B25127_13_5_to_19,66,58,1157,5455,1930,118,4,379,613,0,0,6198,35,1382,1122,0,9,73,0,711,34,11,5,234,10,2008-2012
B25127_14_20_to_49,13,0,128,875,266,0,0,415,437,0,0,1473,11,138,16,0,0,0,0,459,6,0,0,13,0,2008-2012
B25127_15_50_or_more,10,10,81,3229,117,0,0,1431,2505,0,0,2928,0,291,64,0,43,0,5,1180,0,20,0,0,21,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",94,194,234,156,694,1955,377,55,26,0,123,824,141,153,273,15,845,459,154,8,28,0,0,75,0,2008-2012
B25127_17_built_1960_to_1979,5306,10329,14207,72964,61292,10897,3494,13066,7018,1080,2463,93721,4160,8843,23367,609,5661,5634,2402,7248,2067,684,987,2241,521,2008-2012
"B25127_18_1,_detached__or_attached",5233,10083,13812,62023,56369,9723,3139,5944,4170,1072,2390,84371,4073,8465,22479,585,5157,5426,2339,3312,1764,498,982,2057,505,2008-2012
B25127_19_2_to_4,0,0,15,501,298,16,46,572,62,8,0,605,13,85,31,0,11,30,16,137,0,0,0,9,0,2008-2012
B25127_20_5_to_19,14,32,91,4050,3223,3,0,978,454,0,0,4721,19,216,495,0,34,0,0,734,205,36,0,18,16,2008-2012
B25127_21_20_to_49,0,0,13,1271,246,0,0,880,248,0,0,667,0,24,46,0,0,0,0,217,0,14,0,0,0,2008-2012
B25127_22_50_or_more,0,0,49,4960,853,0,0,4683,2054,0,0,2982,0,0,34,0,0,0,0,2848,98,136,0,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",59,214,227,159,303,1155,309,9,30,0,73,375,55,53,282,24,459,178,47,0,0,0,5,157,0,2008-2012
B25127_24_built_1940_to_1959,1265,2782,4755,47817,38473,6287,1095,29734,17414,671,943,36309,1302,1444,3350,180,1097,1486,1437,8012,2135,1265,686,390,869,2008-2012
"B25127_25_1,_detached__or_attached",1265,2746,4755,46108,37501,6217,1080,22988,14175,671,902,34886,1292,1406,3279,180,1088,1486,1408,6520,2120,1238,672,362,848,2008-2012
B25127_26_2_to_4,0,24,0,165,141,12,0,1064,831,0,0,208,0,18,8,0,0,0,29,413,0,0,0,28,0,2008-2012
B25127_27_5_to_19,0,0,0,730,543,12,0,1838,1215,0,0,857,10,13,61,0,9,0,0,805,15,9,14,0,0,2008-2012
B25127_28_20_to_49,0,0,0,152,95,0,0,1022,359,0,0,81,0,0,0,0,0,0,0,61,0,0,0,0,0,2008-2012
B25127_29_50_or_more,0,0,0,589,146,0,0,2811,816,0,0,177,0,7,0,0,0,0,0,213,0,18,0,0,21,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",0,12,0,73,47,46,15,11,18,0,41,100,0,0,2,0,0,0,0,0,0,0,0,0,0,2008-2012
B25127_31_built_1939_or_earlier,944,1192,6927,12928,9791,6793,1341,54729,6460,572,661,3461,1433,2354,1170,565,580,728,674,4102,209,396,819,202,9,2008-2012
"B25127_32_1,_detached__or_attached",940,1181,6813,12652,9581,6466,1332,44226,6222,572,661,3414,1417,2354,1153,565,580,714,674,3901,209,396,819,202,9,2008-2012
B25127_33_2_to_4,0,11,79,132,53,251,9,2244,134,0,0,17,16,0,5,0,0,14,0,79,0,0,0,0,0,2008-2012
B25127_34_5_to_19,0,0,16,80,89,0,0,2169,58,0,0,15,0,0,12,0,0,0,0,74,0,0,0,0,0,2008-2012
B25127_35_20_to_49,0,0,5,29,68,10,0,3140,22,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,2008-2012
B25127_36_50_or_more,0,0,8,20,0,10,0,2950,24,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",4,0,6,15,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-2012
B25127_38_renter_occupied,5623,10265,20889,113828,110854,15726,4775,150339,50296,1193,4172,117524,4815,22719,35237,740,9095,8926,4077,36326,2561,1833,6055,4169,1461,2008-2012
B25127_39_built_2000_or_later,1025,1915,3684,16216,9744,1710,595,12201,8221,51,651,17994,476,7721,9170,12,2000,2765,366,3940,154,262,790,369,520,2008-2012
"B25127_40_1,_detached__or_attached",769,601,1163,2401,2022,864,387,1610,499,51,408,4874,243,3025,5028,12,1295,1340,342,452,66,16,350,71,135,2008-2012
B25127_41_2_to_4,15,84,136,232,357,128,7,654,69,0,68,444,37,149,338,0,24,98,7,132,33,0,0,0,0,2008-2012
B25127_42_5_to_19,35,390,1530,3776,2906,506,98,1431,645,0,148,4071,4,2640,2606,0,234,754,5,484,55,0,271,167,71,2008-2012
B25127_43_20_to_49,51,340,325,1772,590,106,19,1156,505,0,18,1924,16,849,501,0,229,229,0,168,0,29,19,26,28,2008-2012
B25127_44_50_or_more,131,449,483,8005,3840,49,0,7336,6503,0,0,6507,100,1039,614,0,119,270,12,2699,0,217,150,105,286,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",24,51,47,30,29,57,84,14,0,0,9,174,76,19,83,0,99,74,0,5,0,0,0,0,0,2008-2012
B25127_46_built_1980_to_1999,2587,4049,7126,35636,23242,3660,1417,12419,11367,238,1404,41791,1629,9830,14451,211,4501,3861,1109,7655,513,156,1458,2125,416,2008-2012
"B25127_47_1,_detached__or_attached",1356,2238,3159,9300,7236,1429,571,1365,1211,178,700,14411,1048,3632,6461,188,2567,2245,574,1430,162,54,256,833,388,2008-2012
B25127_48_2_to_4,338,604,202,1018,959,719,192,1209,263,0,66,1362,132,467,513,0,126,159,16,300,41,0,33,47,9,2008-2012
B25127_49_5_to_19,425,651,2901,14501,10312,805,332,3908,1272,0,498,15813,203,4106,6036,0,786,862,330,1987,224,41,711,1034,19,2008-2012
B25127_50_20_to_49,107,167,370,2229,999,112,38,1250,660,0,31,3886,125,806,437,0,241,276,136,809,0,0,278,61,0,2008-2012
B25127_51_50_or_more,262,314,432,8499,3698,131,93,4657,7894,54,22,6078,108,711,943,0,400,135,7,3060,73,61,160,125,0,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",99,75,62,89,38,464,191,30,67,6,87,241,13,108,61,23,381,184,46,69,13,0,20,25,0,2008-2012
B25127_53_built_1960_to_1979,1175,3153,4755,40726,51557,3574,1612,39527,14220,373,1000,43633,1105,3416,9527,241,1753,1759,1033,15778,1389,987,2518,1226,341,2008-2012
"B25127_54_1,_detached__or_attached",664,1663,2152,7572,8412,1680,789,2726,1296,285,482,13637,872,2043,5023,207,984,1341,568,1340,428,78,373,633,324,2008-2012
B25127_55_2_to_4,234,301,460,1350,2721,849,267,4715,874,34,147,1139,79,128,361,0,126,91,101,619,54,35,182,134,0,2008-2012
B25127_56_5_to_19,15,583,1573,16176,31906,480,307,12714,2602,54,178,18620,122,967,3182,8,89,105,212,6489,814,196,1219,299,0,2008-2012
B25127_57_20_to_49,47,313,133,2209,1943,62,76,3185,979,0,0,2186,21,54,474,0,128,126,26,909,58,79,369,97,0,2008-2012
B25127_58_50_or_more,52,101,256,13401,6461,164,69,16115,8356,0,25,7816,11,186,413,0,148,0,0,6411,35,599,375,63,17,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",163,192,181,18,114,339,104,72,113,0,168,235,0,38,74,26,278,96,126,10,0,0,0,0,0,2008-2012
B25127_60_built_1940_to_1959,497,646,2128,17363,21482,2125,603,47083,13821,125,637,12186,530,794,1637,99,667,359,771,7295,474,376,568,288,184,2008-2012
"B25127_61_1,_detached__or_attached",497,530,1236,6371,6150,1212,362,6833,3156,125,399,5769,426,504,893,83,548,307,503,1868,318,187,249,164,163,2008-2012
B25127_62_2_to_4,0,13,507,1181,1612,608,147,7646,1688,0,101,896,21,52,165,16,56,52,184,737,35,27,101,31,0,2008-2012
B25127_63_5_to_19,0,70,353,4537,11557,238,48,12817,4503,0,55,3456,83,148,322,0,42,0,48,2734,121,86,141,79,21,2008-2012
B25127_64_20_to_49,0,5,12,1118,703,25,0,5439,1209,0,45,822,0,0,134,0,0,0,0,250,0,0,51,0,0,2008-2012
B25127_65_50_or_more,0,28,20,4115,1440,34,10,14348,3254,0,24,1206,0,90,56,0,21,0,0,1706,0,76,26,14,0,2008-2012
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",0,0,0,41,20,8,36,0,11,0,13,37,0,0,67,0,0,0,36,0,0,0,0,0,0,2008-2012
B25127_67_built_1939_or_earlier,339,502,3196,3887,4829,4657,548,39109,2667,406,480,1920,1075,958,452,177,174,182,798,1658,31,52,721,161,0,2008-2012
"B25127_68_1,_detached__or_attached",239,333,1846,1869,2145,1980,386,11055,1019,364,356,1236,798,881,257,164,174,182,336,805,9,52,385,35,0,2008-2012
B25127_69_2_to_4,77,49,1013,559,478,1780,95,7419,666,10,43,221,193,56,65,11,0,0,298,329,22,0,180,79,0,2008-2012
B25127_70_5_to_19,23,31,296,878,1769,769,55,6191,424,32,81,148,68,1,49,2,0,0,164,332,0,0,108,44,0,2008-2012
B25127_71_20_to_49,0,32,32,104,73,14,12,5358,305,0,0,113,0,0,55,0,0,0,0,31,0,0,48,0,0,2008-2012
B25127_72_50_or_more,0,0,9,477,364,101,0,9006,253,0,0,198,16,20,26,0,0,0,0,137,0,0,0,3,0,2008-2012
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,57,0,0,0,13,0,80,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,2008-2012
B11003_1_total,23470,37970,61941,244586,199652,40063,13939,109643,41738,4069,11841,275386,17150,80849,100266,2162,33054,33418,9907,30415,5854,3073,4896,8891,3249,2008-2012
B11003_2_married-couple_family,18599,27395,49734,190711,117854,32170,11136,58132,33442,3459,9382,226475,14221,68060,77536,1861,25585,27373,7697,22758,4818,2577,3065,6509,2312,2008-2012
B11003_3_with_own_children_under_18_years,8622,12668,23505,91350,51709,11803,4341,20519,14376,1181,4030,111227,5795,40675,42154,630,11902,13734,3267,8426,1956,1326,1288,3325,1264,2008-2012
B11003_4_under_6_years_only,1463,1947,4898,23364,11163,2815,924,8659,5517,241,656,29427,947,11601,10305,120,1932,2556,766,3944,532,355,454,686,284,2008-2012
B11003_5_under_6_years_and_6_to_17_years,1359,2748,4503,17409,11275,2756,974,3565,2390,174,878,21041,1307,8286,10564,169,2701,2643,768,1496,406,192,270,862,394,2008-2012
B11003_6_6_to_17_years_only,5800,7973,14104,50577,29271,6232,2443,8295,6469,766,2496,60759,3541,20788,21285,341,7269,8535,1733,2986,1018,779,564,1777,586,2008-2012
B11003_7_no_own_children_under_18_years,9977,14727,26229,99361,66145,20367,6795,37613,19066,2278,5352,115248,8426,27385,35382,1231,13683,13639,4430,14332,2862,1251,1777,3184,1048,2008-2012
B11003_8_other_family,4871,10575,12207,53875,81798,7893,2803,51511,8296,610,2459,48911,2929,12789,22730,301,7469,6045,2210,7657,1036,496,1831,2382,937,2008-2012
"B11003_9_male_householder,_no_wife_present",1457,2495,3547,13816,20187,2464,795,9470,2709,191,698,14675,930,3873,6783,119,2021,1847,654,2120,401,119,363,766,183,2008-2012
B11003_10_with_own_children_under_18_years,602,1252,1937,5854,9047,1523,289,3962,778,99,491,5748,493,2118,3888,89,1344,1037,275,887,112,104,195,395,108,2008-2012
B11003_11_under_6_years_only,152,219,568,1812,2962,395,102,1160,253,29,163,1607,107,396,1176,29,405,257,40,571,21,13,145,183,44,2008-2012
B11003_12_under_6_years_and_6_to_17_years,18,276,297,894,1382,191,22,341,82,0,123,783,117,315,520,10,73,220,23,11,38,0,0,71,0,2008-2012
B11003_13_6_to_17_years_only,432,757,1072,3148,4703,937,165,2461,443,70,205,3358,269,1407,2192,50,866,560,212,305,53,91,50,141,64,2008-2012
B11003_14_no_own_children_under_18_years,855,1243,1610,7962,11140,941,506,5508,1931,92,207,8927,437,1755,2895,30,677,810,379,1233,289,15,168,371,75,2008-2012
"B11003_15_female_householder,_no_husband_present",3414,8080,8660,40059,61611,5429,2008,42041,5587,419,1761,34236,1999,8916,15947,182,5448,4198,1556,5537,635,377,1468,1616,754,2008-2012
B11003_16_with_own_children_under_18_years,1820,4482,4636,21881,32028,3400,1102,20772,2991,215,1065,18189,1078,5076,9122,63,3396,2735,833,3025,276,241,1004,988,361,2008-2012
B11003_17_under_6_years_only,241,813,937,3566,5996,896,246,3910,760,54,249,3247,134,991,1744,19,469,499,222,812,11,89,354,313,92,2008-2012
B11003_18_under_6_years_and_6_to_17_years,245,666,751,2983,4930,437,176,4116,297,24,85,2505,268,595,2081,32,790,500,83,481,6,0,80,212,90,2008-2012
B11003_19_6_to_17_years_only,1334,3003,2948,15332,21102,2067,680,12746,1934,137,731,12437,676,3490,5297,12,2137,1736,528,1732,259,152,570,463,179,2008-2012
B11003_20_no_own_children_under_18_years,1594,3598,4024,18178,29583,2029,906,21269,2596,204,696,16047,921,3840,6825,119,2052,1463,723,2512,359,136,464,628,393,2008-2012
B25075_1_total,25293,40580,64670,243751,191829,42318,15049,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,2008-2012
"B25075_2_less_than_$10,000",61,302,163,341,494,651,105,160,74,0,103,417,147,165,268,0,372,124,89,52,0,0,5,20,0,2008-2012
"B25075_3_$10,000_to_$14,999",24,38,98,169,338,588,152,46,13,0,74,204,47,16,282,0,132,163,18,0,0,0,0,153,0,2008-2012
"B25075_4_$15,000_to_$19,999",0,52,155,252,491,467,71,36,13,9,0,227,62,93,185,0,150,207,108,27,52,0,0,40,11,2008-2012
"B25075_5_$20,000_to_$24,999",73,85,175,194,527,323,122,181,57,30,30,360,57,117,165,0,74,198,96,66,0,0,0,11,10,2008-2012
"B25075_6_$25,000_to_$29,999",52,193,135,200,734,223,67,210,48,0,25,249,18,30,82,0,113,107,11,39,0,0,0,61,0,2008-2012
"B25075_7_$30,000_to_$34,999",48,55,103,257,653,317,113,243,32,0,12,317,66,108,190,0,133,47,19,32,6,0,0,23,0,2008-2012
"B25075_8_$35,000_to_$39,999",11,47,95,293,386,74,75,113,30,47,39,112,34,31,68,25,32,44,9,20,0,0,28,15,0,2008-2012
"B25075_9_$40,000_to_$49,999",8,18,58,541,444,268,99,372,97,6,20,515,6,106,197,0,42,66,66,49,45,0,0,29,12,2008-2012
"B25075_10_$50,000_to_$59,999",18,29,10,358,410,599,64,191,47,10,24,620,16,117,170,17,126,31,42,65,0,13,0,0,43,2008-2012
"B25075_11_$60,000_to_$69,999",43,37,137,485,512,459,230,213,124,37,18,497,27,38,153,0,77,106,72,14,0,0,15,82,43,2008-2012
"B25075_12_$70,000_to_$79,999",22,154,114,332,517,640,171,262,63,19,84,537,43,78,155,26,175,129,45,119,0,15,84,35,28,2008-2012
"B25075_13_$80,000_to_$89,999",35,62,205,471,1091,1318,345,264,32,2,42,610,79,222,381,25,293,82,253,42,8,0,0,42,0,2008-2012
"B25075_14_$90,000_to_$99,999",13,105,338,459,967,1196,373,377,29,29,122,642,37,222,527,25,201,149,107,110,18,10,19,135,74,2008-2012
"B25075_15_$100,000_to_$124,999",138,522,1212,2657,4279,2915,825,1532,183,56,339,2443,257,514,2033,57,792,498,457,380,28,17,68,355,295,2008-2012
"B25075_16_$125,000_to_$149,999",224,555,1202,2331,5195,3625,909,808,284,91,619,2531,389,885,2860,43,1120,492,570,250,79,27,113,302,147,2008-2012
"B25075_17_$150,000_to_$174,999",491,1627,2924,4559,10644,6852,1580,1824,408,226,1027,3476,658,1364,4348,174,2549,1854,1227,582,63,11,162,880,324,2008-2012
"B25075_18_$175,000_to_$199,999",581,1436,3584,4960,11230,5013,1300,2763,414,179,702,4067,495,1396,3912,32,2691,1497,780,807,143,51,210,723,164,2008-2012
"B25075_19_$200,000_to_$249,999",2865,6036,8980,14203,30626,6912,1945,8673,1486,415,2001,13355,1723,4116,12394,214,5523,4124,1839,2103,230,70,424,1077,388,2008-2012
"B25075_20_$250,000_to_$299,999",3510,6538,9928,20089,33451,4677,2059,9751,2362,522,1751,17762,2067,6488,11840,269,5311,5378,1455,2206,209,71,430,890,332,2008-2012
"B25075_21_$300,000_to_$399,999",6500,11746,16233,46581,49789,3169,2514,20893,5958,1073,2629,48650,4525,17933,22769,309,7405,9038,1552,4278,1098,290,1130,1776,569,2008-2012
"B25075_22_$400,000_to_$499,999",4818,5686,10190,39766,21524,921,951,15175,5093,672,1054,47283,2761,13747,16069,294,2319,4232,757,3898,1537,392,497,791,343,2008-2012
"B25075_23_$500,000_to_$749,999",4440,4147,7108,58412,14031,566,607,22099,14561,626,652,81407,2853,24334,12595,496,2059,2797,397,7611,1835,936,282,300,33,2008-2012
"B25075_24_$750,000_to_$999,999",883,746,907,25601,2032,273,193,13344,7278,133,121,27463,921,6432,2002,289,397,582,95,3565,383,861,80,26,0,2008-2012
"B25075_25_$1,000,000_or_more",435,364,616,20240,1464,272,179,11323,4010,205,166,17184,928,2924,761,241,199,333,208,2088,224,260,103,76,0,2008-2012
B03002_1_total,88774,147107,234268,974824,865443,149554,53545,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,2008-2012
B03002_2_not_hispanic_or_latino,86259,140685,216975,808700,735973,143131,51036,549500,177572,13650,42773,915996,61258,276154,321624,7216,113455,117386,36245,117899,19176,11205,22325,26045,9590,2008-2012
B03002_3_white_alone,70771,71321,182064,479708,130239,134973,45511,209183,133346,12448,33616,592200,53516,196435,195815,6676,88536,87496,33363,75252,13866,9074,15038,18103,6072,2008-2012
B03002_4_black_or_african_american_alone,12063,59279,19759,162939,548459,4896,3308,305141,17518,799,6867,96134,5341,22756,77814,366,18982,21936,1467,29577,1031,634,5716,5198,1837,2008-2012
B03002_5_american_indian_and_alaska_native_alone,179,1154,598,1678,1493,326,45,1518,425,49,69,1881,32,505,742,33,361,628,121,359,53,8,102,18,21,2008-2012
B03002_6_asian_alone,1113,4783,9088,135573,35703,1401,745,21273,19948,135,742,189706,810,46251,30093,9,2954,3395,262,8333,3561,1172,624,1495,1098,2008-2012
B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,0,136,138,384,0,0,312,107,0,66,909,20,88,344,0,166,136,42,143,32,0,3,0,0,2008-2012
B03002_8_some_other_race_alone,42,195,642,3216,1843,66,21,1314,1120,0,178,3484,153,775,1746,0,196,283,10,312,32,16,176,161,3,2008-2012
B03002_9_two_or_more_races,2091,3953,4688,25448,17852,1469,1406,10759,5108,219,1235,31682,1386,9344,15070,132,2260,3512,980,3923,601,301,666,1070,559,2008-2012
B03002_10_two_races_including_some_other_race,9,89,132,1661,1422,56,41,788,417,28,0,1872,13,667,522,45,90,134,23,181,53,8,8,31,39,2008-2012
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",2082,3864,4556,23787,16430,1413,1365,9971,4691,191,1235,29810,1373,8677,14548,87,2170,3378,957,3742,548,293,658,1039,520,2008-2012
B03002_12_hispanic_or_latino,2515,6422,17293,166124,129470,6423,2509,56259,31505,493,4121,167774,4237,38826,82387,224,9399,12060,1322,22438,3536,1095,2607,11898,4819,2008-2012
B03002_13_white_alone,1621,3775,11119,81260,58604,4825,1676,30230,15853,357,2474,98890,3683,24436,46473,181,3803,4781,1124,13959,2505,459,1182,9421,2777,2008-2012
B03002_14_black_or_african_american_alone,124,598,502,4377,7254,336,34,4122,224,0,160,3164,52,675,3000,6,450,457,10,1022,48,0,134,212,39,2008-2012
B03002_15_american_indian_and_alaska_native_alone,0,166,350,1604,1033,0,0,625,399,0,0,2742,0,125,658,0,17,112,0,193,84,0,0,0,72,2008-2012
B03002_16_asian_alone,1,49,41,836,130,0,0,167,137,5,4,1118,86,118,165,0,0,24,0,129,17,40,0,0,0,2008-2012
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,35,0,83,57,0,0,0,35,0,0,25,0,19,15,0,27,32,0,0,0,0,0,0,0,2008-2012
B03002_18_some_other_race_alone,662,1100,3784,67265,57566,977,606,19338,12834,131,1144,49526,210,11232,27757,37,4885,5867,172,5680,744,586,1258,1690,1576,2008-2012
B03002_19_two_or_more_races,107,699,1497,10699,4826,285,193,1777,2023,0,339,12309,206,2221,4319,0,217,787,16,1455,138,10,33,575,355,2008-2012
B03002_20_two_races_including_some_other_race,52,291,655,5835,2515,200,130,847,1279,0,243,6725,110,1034,2276,0,173,685,7,860,0,9,28,455,260,2008-2012
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",55,408,842,4864,2311,85,63,930,744,0,96,5584,96,1187,2043,0,44,102,9,595,138,1,5,120,95,2008-2012
B25063_1_total,5623,10265,20889,113828,110854,15726,4775,150339,50296,1193,4172,117524,4815,22719,35237,740,9095,8926,4077,36326,2561,1833,6055,4169,1461,2008-2012
B25063_2_with_cash_rent,5261,9763,19707,110399,108244,14815,4396,146663,49557,1026,3876,114629,4122,21840,34424,666,8433,8526,3776,35690,2540,1730,5962,4098,1409,2008-2012
B25063_3_less_than_$100,9,25,17,233,132,18,0,1229,71,0,7,265,0,36,0,0,0,0,0,67,7,0,0,0,0,2008-2012
B25063_4_$100_to_$149,16,61,77,281,238,36,27,1275,115,0,0,110,52,2,23,0,0,0,23,50,0,0,23,15,0,2008-2012
B25063_5_$150_to_$199,66,130,179,762,549,118,64,2679,274,0,0,530,0,61,124,0,65,10,33,270,0,12,34,0,0,2008-2012
B25063_6_$200_to_$249,50,144,215,1151,694,195,153,2604,311,0,57,867,55,104,96,0,45,34,106,130,28,17,121,0,0,2008-2012
B25063_7_$250_to_$299,11,122,126,638,479,187,25,2285,164,0,54,450,43,78,237,0,94,10,27,166,0,12,164,0,0,2008-2012
B25063_8_$300_to_$349,19,54,171,248,465,280,43,2457,189,0,13,399,12,50,68,0,59,58,28,143,8,0,94,0,56,2008-2012
B25063_9_$350_to_$399,17,47,195,412,268,278,42,1702,58,0,18,397,64,65,53,0,89,49,28,180,20,0,0,0,65,2008-2012
B25063_10_$400_to_$449,30,61,102,377,588,572,159,1633,242,37,44,451,23,12,78,0,140,10,75,150,0,29,22,35,21,2008-2012
B25063_11_$450_to_$499,66,73,97,512,380,693,105,1315,78,25,118,376,18,9,104,0,31,12,21,64,19,0,38,0,0,2008-2012
B25063_12_$500_to_$549,19,60,192,430,600,871,88,2276,180,38,103,635,20,141,138,19,172,38,166,86,0,0,79,0,0,2008-2012
B25063_13_$550_to_$599,110,136,404,424,533,959,152,2287,218,0,47,573,76,54,63,23,154,0,197,197,0,9,69,0,0,2008-2012
B25063_14_$600_to_$649,109,219,328,807,551,898,139,2387,201,9,87,833,117,66,255,0,147,24,150,303,7,0,109,49,11,2008-2012
B25063_15_$650_to_$699,115,187,269,644,610,1102,352,2732,256,20,190,647,62,136,216,15,204,48,150,171,13,0,177,0,57,2008-2012
B25063_16_$700_to_$749,45,178,363,881,1124,1039,300,3756,171,0,216,734,63,79,235,77,136,82,148,421,52,0,71,91,0,2008-2012
B25063_17_$750_to_$799,132,78,513,1042,1555,942,259,3805,273,54,204,524,117,137,271,34,79,188,229,207,59,0,149,131,0,2008-2012
B25063_18_$800_to_$899,220,259,1619,2165,5839,2110,584,10932,774,146,323,2251,327,414,967,96,292,266,293,910,0,21,383,130,11,2008-2012
B25063_19_$900_to_$999,442,604,1505,3557,10155,1448,375,10338,1588,130,473,2211,416,637,2056,130,550,386,537,1561,28,8,867,237,5,2008-2012
"B25063_20_$1,000_to_$1,249",713,1174,4152,15109,34014,1763,837,22095,6052,276,900,11520,1081,2825,6324,179,2164,1933,796,6708,355,252,2321,1226,279,2008-2012
"B25063_21_$1,250_to_$1,499",838,1908,3692,23874,21970,712,306,20103,8383,170,604,24659,595,4261,7856,53,1537,2119,419,7967,445,496,595,993,371,2008-2012
"B25063_22_$1,500_to_$1,999",1459,2797,4001,32519,17177,481,186,24085,14570,99,310,36786,769,6780,8814,24,1548,2020,267,10096,800,434,485,722,401,2008-2012
"B25063_23_$2,000_or_more",775,1446,1490,24333,10323,113,200,24688,15389,22,108,29411,212,5893,6446,16,927,1239,83,5843,699,440,161,469,132,2008-2012
B25063_24_no_cash_rent,362,502,1182,3429,2610,911,379,3676,739,167,296,2895,693,879,813,74,662,400,301,636,21,103,93,71,52,2008-2012
B25071_1_median_gross_rent_as_a_percentage_of_household_income,33.6,34.4,29.4,30.8,30.9,27.3,27.9,29.6,25.7,25.2,34.0,28.3,27.4,28.6,29.9,28.7,30.7,30.5,30.7,27.6,31.6,27.3,34.5,33.5,30.1,2008-2012
B25036_1_total,30916,50845,85559,357579,302683,58044,19824,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,2008-2012
B25036_2_owner_occupied,25293,40580,64670,243751,191829,42318,15049,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,2008-2012
B25036_3_built_2010_or_later,64,428,257,507,600,235,0,111,129,0,37,569,74,1022,662,9,117,281,87,23,26,10,78,28,0,2008-2012
B25036_4_built_2000_to_2009,4536,8823,12426,24283,23067,6624,3770,7666,4290,872,3771,27290,3604,33708,30227,277,8000,9161,1963,2695,663,340,786,578,621,2008-2012
B25036_5_built_1990_to_1999,7364,9015,15100,29832,30883,6553,2876,2217,2711,613,2103,41247,2829,24111,16568,461,10276,8695,1963,3565,558,229,94,1464,641,2008-2012
B25036_6_built_1980_to_1989,5814,8011,10998,55420,27723,4929,2473,3330,4674,579,1676,68331,4814,9994,19062,435,6554,6293,1746,2758,300,100,200,2939,155,2008-2012
