index,17031,17037,17043,17063,17089,17093,17097,17111,17197,18073,18089,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,il,il,il,il,il,il,il,il,il,in,in,in,in,wi,2008-2012
B15002_34_professional_school_degree,40357,433,7036,6,1872,333,5013,1132,2857,34,1537,7,678,544,2008-2012
B15002_35_doctorate_degree,19608,378,3347,13,1121,111,2197,431,1579,23,741,0,379,140,2008-2012
B19001_1_total,1933670,37959,335532,17987,170069,37817,240744,108950,222092,12117,182028,5338,61312,62301,2008-2012
"B19001_2_less_than_$10,000",160478,3467,10795,791,6722,807,9551,3817,6937,493,15619,338,3341,3541,2008-2012
"B19001_3_$10,000_to_$14,999",95450,2014,8162,695,5155,516,6556,2550,5584,442,10759,273,2481,2966,2008-2012
"B19001_4_$15,000_to_$19,999",101107,1927,10067,851,6209,730,7931,3698,7603,540,11043,232,2698,3274,2008-2012
"B19001_5_$20,000_to_$24,999",99229,2052,11287,526,6977,851,8447,3960,7899,561,10415,291,2650,3313,2008-2012
"B19001_6_$25,000_to_$29,999",95131,1565,12232,889,7592,967,8242,3502,7893,528,9468,298,2432,3313,2008-2012
"B19001_7_$30,000_to_$34,999",91735,1846,12841,764,7624,1011,8699,4277,7657,606,9607,424,2858,3231,2008-2012
"B19001_8_$35,000_to_$39,999",86363,1832,12267,756,6614,1000,9012,3549,8485,575,8749,248,2861,3074,2008-2012
"B19001_9_$40,000_to_$44,999",87102,1527,12843,808,6976,1403,8328,4006,8111,638,8588,325,2696,2688,2008-2012
"B19001_10_$45,000_to_$49,999",76141,1547,11226,560,6745,1602,8452,3761,7553,740,7882,249,2822,2713,2008-2012
"B19001_11_$50,000_to_$59,999",148293,3373,24396,1841,13815,2929,17152,8361,16347,1107,15226,401,4612,5517,2008-2012
