B01001_10_22_to_24_years,3779,11123,15455,33199,12046,9554,22229,16945,945,8018,2836,6100,3028,837,3085,2084,15115,3050,2239,2012-2016
B01001_11_25_to_29_years,4379,17123,23046,60660,20658,13329,48477,25757,1552,13408,4303,8820,4190,1361,5249,2680,24658,2889,3734,2012-2016
B01001_12_30_to_34_years,4646,16608,22063,58405,20836,12815,37101,24691,1492,12927,4281,8138,3716,1070,5031,2273,21715,2660,3531,2012-2016
B01001_13_35_to_39_years,4691,16014,21539,50017,20576,13514,25297,23736,1423,12535,4108,8053,3561,1243,5121,2537,18627,2508,3247,2012-2016
B01001_14_40_to_44_years,5085,18085,23594,52892,22147,16333,23726,26576,1842,13268,4762,10213,3718,1328,5023,2434,19444,3718,3988,2012-2016
B01001_15_45_to_49_years,6321,20489,26889,55124,25065,19077,21986,30450,2111,15531,5498,12130,4069,1633,5799,2704,20866,4263,4242,2012-2016
B01001_16_50_to_54_years,8018,21127,29120,57211,26517,20165,21792,32473,2459,17098,5958,13550,4679,1853,6625,3242,21642,4875,4751,2012-2016
B01001_17_55_to_59_years,8427,18818,27520,51652,24240,18203,19384,29840,2567,15662,5813,12741,4573,2048,6438,3122,20579,4829,4654,2012-2016
B01001_18_60_and_61_years,3357,7339,9157,18807,8656,6708,7184,10477,1024,5071,2226,4377,1408,678,2230,1169,6907,1796,1423,2012-2016
B01001_19_62_to_64_years,5217,9277,13505,24178,11510,9588,9903,13684,1357,7077,2922,5988,1930,769,3112,1604,9983,2860,2093,2012-2016
B01001_20_65_and_66_years,3559,5827,8374,15056,6888,5894,5314,8205,890,4350,1748,3927,1374,698,2033,980,5980,1521,1260,2012-2016
B01001_21_67_to_69_years,4536,7288,10383,17521,8613,7607,6816,9812,1292,5114,2024,4313,1468,633,2259,1539,6872,2057,1561,2012-2016
B01001_22_70_to_74_years,6822,9213,11775,22630,10973,8934,8908,12416,1357,5994,2749,5009,1893,860,2924,1803,8998,2701,1868,2012-2016
B01001_23_75_to_79_years,4568,6128,7965,16293,7954,5807,5947,7493,635,4204,1666,3348,1375,682,1800,1249,6115,1563,1327,2012-2016
B01001_24_80_to_84_years,3550,4316,6114,11519,5641,4108,4281,6169,716,2811,1050,2147,908,682,1303,849,4918,1261,864,2012-2016
B01001_25_85_years_and_over,3086,4255,6216,10951,5586,3450,3749,5847,642,2422,1217,1977,636,493,1767,662,4542,955,642,2012-2016
B01001_26_female,112161,286129,398824,802440,359998,260157,396405,412269,30821,203969,74983,151719,64389,25482,85325,42098,325043,65246,59034,2012-2016
B01001_27_under_5_years,4023,14496,21385,43011,18227,13063,21016,21776,1319,10711,3490,6866,3024,962,3839,1979,17604,2348,2840,2012-2016
B01001_28_5_to_9_years,4344,16766,22353,42290,20736,15050,17485,22955,1350,12092,3921,8790,3330,1342,4055,2000,16592,3157,3356,2012-2016
B01001_29_10_to_14_years,5263,16014,24008,45043,21155,16540,16285,26365,1903,12181,4310,8810,3482,1460,4686,2132,19126,3352,3319,2012-2016
B01001_30_15_to_17_years,3168,10434,14982,27595,13359,10733,10355,16250,1086,7978,2767,6093,2076,936,2837,1442,11341,2397,2188,2012-2016
B01001_31_18_and_19_years,1827,7426,10412,22764,9081,6382,17465,12132,791,4814,2182,3013,3542,1020,1591,1242,11061,3559,1957,2012-2016
B01001_32_20_years,730,4085,5655,10165,3736,3234,10467,5613,247,2347,1029,1332,2051,490,793,473,6177,1557,1065,2012-2016
B01001_33_21_years,940,3675,5081,9940,4631,2843,8910,6346,336,2194,1164,1353,2134,395,859,655,5765,1776,913,2012-2016
B01001_34_22_to_24_years,3319,11216,14702,32478,13121,9000,22242,15543,868,8012,2654,5117,3073,759,2791,1604,13898,2328,2004,2012-2016
B01001_35_25_to_29_years,4540,17274,22820,60228,22229,12737,50160,24640,1480,12758,3951,8270,3741,1230,4977,2262,24007,2840,3540,2012-2016
B01001_36_30_to_34_years,4580,17071,23349,58056,22030,13601,37111,24596,1698,12599,4082,8086,3777,1145,5326,2147,21544,2717,3532,2012-2016
B01001_37_35_to_39_years,4761,16477,23158,49903,21074,14271,26432,24039,1615,13076,4223,8603,3278,1169,4499,2267,20123,2781,3508,2012-2016
B01001_38_40_to_44_years,5234,19707,25471,55411,24442,17457,23019,28174,1879,12867,4755,10351,4084,1609,5791,2317,19480,3812,3741,2012-2016
B01001_39_45_to_49_years,7232,21169,29368,57710,26724,20205,22662,30895,2132,15704,5449,12610,4187,1808,6333,2962,21947,4621,4300,2012-2016
B01001_40_50_to_54_years,8851,22150,31675,59808,28258,21081,22561,32918,2644,17079,6191,14008,4901,2167,7169,3327,23115,5333,4748,2012-2016
B01001_41_55_to_59_years,9289,20729,29410,54815,25851,19465,21882,30226,2692,15196,6493,12712,4443,2336,6829,3398,21974,5226,4371,2012-2016
B01001_42_60_and_61_years,3912,7252,10334,19321,10129,7419,8263,10838,993,5476,2335,4452,1686,567,2721,1424,8019,2052,2084,2012-2016
B01001_43_62_to_64_years,6488,10165,15559,27838,12362,10589,10762,14057,1489,7478,2730,6264,2070,861,3494,1675,10860,2735,2030,2012-2016
B01001_44_65_and_66_years,3458,6270,9376,16687,7542,6277,6787,9269,1050,4449,1652,3877,1374,724,2037,1129,6596,1589,1369,2012-2016
B01001_45_67_to_69_years,5787,8085,11210,21880,9685,8224,7936,9998,1108,5797,2142,4959,1632,761,2959,1595,7967,2208,1497,2012-2016
B01001_46_70_to_74_years,8400,11493,15127,26606,14022,11412,11200,14371,1458,6833,3284,5400,2128,1076,3387,1913,10844,2968,2229,2012-2016
B01001_47_75_to_79_years,6012,7580,10688,20947,10070,7751,7995,10447,953,5292,2067,4357,1670,863,2502,1389,7770,1952,1538,2012-2016
B01001_48_80_to_84_years,4683,7116,9392,17959,9342,5693,6959,8891,939,3968,1632,3086,1378,785,2233,1056,7339,1796,1304,2012-2016
B01001_49_85_years_and_over,5320,9479,13309,21985,12192,7130,8451,11930,791,5068,2480,3310,1328,1017,3617,1710,11894,2142,1601,2012-2016
B02001_1_total,214703,554868,769362,1567610,691218,506657,767719,813589,60392,404948,147715,300365,125913,49228,164886,82714,631344,126319,117078,2012-2016
B02001_2_white_alone,198374,479496,615804,1228790,553150,428806,425220,689496,58320,367298,140060,285903,117495,46778,152635,74140,462744,117729,105140,2012-2016
B02001_3_black_or_african_american_alone,5611,20917,31174,78698,44123,46072,173090,39053,322,9519,1734,2228,1216,691,2354,2726,61173,1942,2692,2012-2016
B02001_4_american_indian_and_alaska_native_alone,909,660,1658,2335,641,790,2856,1511,149,460,139,299,90,29,217,175,3653,1056,684,2012-2016
B02001_5_asian_alone,3066,11959,26351,170159,69384,6399,65734,37036,643,14945,2463,5652,3833,915,3952,1586,25796,2349,1555,2012-2016
B02001_6_native_hawaiian_and_other_pacific_islander_alone,184,311,241,444,76,126,122,161,0,73,13,0,0,11,44,52,370,98,26,2012-2016
B02001_7_some_other_race_alone,2339,26646,75137,40735,9004,12602,52828,24435,97,3600,640,1534,442,147,2141,1278,56495,1157,3106,2012-2016
B02001_8_two_or_more_races,4220,14879,18997,46449,14840,11862,47869,21897,861,9053,2666,4749,2837,657,3543,2757,21113,1988,3875,2012-2016
B02001_9_two_races_including_some_other_race,776,3446,3914,6502,1570,2329,5961,4073,77,1016,113,415,285,42,268,190,5769,344,305,2012-2016
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",3444,11433,15083,39947,13270,9533,41908,17824,784,8037,2553,4334,2552,615,3275,2567,15344,1644,3570,2012-2016
B11001_1_total,94351,212933,288291,587735,260061,182252,299658,302794,24464,156114,56790,118672,47779,19299,68661,35268,237459,49553,44261,2012-2016
B11001_2_family_households,58419,139756,192613,380358,171505,129695,148626,200270,16465,104618,37603,82409,30709,12624,43204,21282,146674,32680,29865,2012-2016
B11001_3_married-couple_family,46972,99652,140382,301678,137115,98289,84474,149650,13119,81171,29872,66911,24120,10314,32646,16228,95043,26100,21270,2012-2016
B11001_4_other_family,11447,40104,52231,78680,34390,31406,64152,50620,3346,23447,7731,15498,6589,2310,10558,5054,51631,6580,8595,2012-2016
"B11001_5_male_householder,_no_wife_present",3004,10335,12699,20689,8670,8012,14236,13653,853,6639,2441,5046,2157,614,3415,1312,12202,1737,3022,2012-2016
"B11001_6_female_householder,_no_husband_present",8443,29769,39532,57991,25720,23394,49916,36967,2493,16808,5290,10452,4432,1696,7143,3742,39429,4843,5573,2012-2016
B11001_7_nonfamily_households,35932,73177,95678,207377,88556,52557,151032,102524,7999,51496,19187,36263,17070,6675,25457,13986,90785,16873,14396,2012-2016
B11001_8_householder_living_alone,30601,60118,79234,156813,71375,43937,108277,82195,6143,38483,14945,27761,12130,5513,20878,11045,74453,12986,11354,2012-2016
B11001_9_householder_not_living_alone,5331,13059,16444,50564,17181,8620,42755,20329,1856,13013,4242,8502,4940,1162,4579,2941,16332,3887,3042,2012-2016
B15002_1_total,164809,383924,527506,1092070,481812,348844,522045,552915,44280,281112,103791,215076,81175,34149,120588,59418,425325,85228,80577,2012-2016
B15002_2_male,76262,181907,247260,522916,225860,165532,249865,267626,21359,137472,50325,104731,39498,16031,56714,28847,201846,40456,39185,2012-2016
B15002_3_no_schooling_completed,494,3819,4149,5797,2226,1308,5521,3204,112,1192,156,427,276,141,369,225,4063,234,423,2012-2016
B15002_4_nursery_to_4th_grade,55,3998,2523,2761,591,783,4322,1356,34,250,89,101,68,222,149,130,3578,48,30,2012-2016
B15002_5_5th_and_6th_grade,99,2438,3089,3919,1227,828,5420,1943,106,822,43,206,47,126,104,125,3248,153,322,2012-2016
B15002_6_7th_and_8th_grade,551,5000,4279,5839,1979,1878,5949,3718,229,2530,632,764,547,153,912,294,5345,235,1130,2012-2016
B15002_7_9th_grade,481,3733,2998,4138,1380,1244,4015,3104,215,1802,453,878,417,233,651,380,4727,424,688,2012-2016
B15002_8_10th_grade,567,4578,3230,4621,2050,2612,3986,5434,396,2260,969,1250,769,341,1181,350,5245,626,1140,2012-2016
B15002_9_11th_grade,808,3811,3614,4755,2053,2436,4201,5316,596,2048,1000,1370,740,254,997,230,5019,650,835,2012-2016
"B15002_10_12th_grade,_no_diploma",863,3261,3716,7155,2971,2582,4585,4539,348,1914,808,1218,624,194,890,294,3544,539,724,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),20497,58271,66863,110128,48357,51710,60892,81767,6750,37394,15199,28678,10688,3228,16550,6824,61629,9827,14143,2012-2016
"B15002_12_some_college,_less_than_1_year",4751,10424,11841,19880,9989,9200,8087,14707,1276,8391,2587,6174,2547,777,3218,1409,10780,2024,2774,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",10204,21142,29657,48728,23040,20692,26770,30226,3124,16616,6343,13196,5675,1508,7770,3120,25536,4956,5747,2012-2016
B15002_14_associate's_degree,5531,14316,16234,25697,14023,13289,10180,19714,1857,11508,5143,9330,3438,1083,5379,1885,14210,3168,3021,2012-2016
B15002_15_bachelor's_degree,17728,30816,57163,139933,63253,37517,60967,56985,3722,33168,10340,26443,8307,4073,12200,7806,33704,9701,5207,2012-2016
B15002_16_master's_degree,8827,11435,26350,87722,32179,13780,27085,24957,1560,13293,4364,11040,3795,2106,4327,3865,13130,4995,2128,2012-2016
B15002_17_professional_school_degree,2598,2916,7126,21300,11830,3765,9851,5384,730,2314,1449,2082,626,939,1211,1036,4270,1387,351,2012-2016
B15002_18_doctorate_degree,2208,1949,4428,30543,8712,1908,8034,5272,304,1970,750,1574,934,653,806,874,3818,1489,522,2012-2016
B15002_19_female,88547,202017,280246,569154,255952,183312,272180,285289,22921,143640,53466,110345,41677,18118,63874,30571,223479,44772,41392,2012-2016
B15002_20_no_schooling_completed,332,4548,3994,7201,2573,2047,6702,3239,125,1024,263,373,322,218,461,222,4701,337,339,2012-2016
B15002_21_nursery_to_4th_grade,113,4495,2751,3422,956,798,4494,1205,14,343,0,81,0,250,188,139,4143,79,78,2012-2016
B15002_22_5th_and_6th_grade,175,2362,3379,4571,1337,994,6226,1818,19,770,67,212,131,64,333,166,3421,47,243,2012-2016
B15002_23_7th_and_8th_grade,494,5759,5201,5574,2058,1553,6059,4400,218,2318,575,993,441,189,687,411,5545,235,799,2012-2016
B15002_24_9th_grade,532,3413,3105,3678,1519,1254,4315,3054,168,1452,434,532,393,221,773,223,5414,255,543,2012-2016
B15002_25_10th_grade,443,4673,3266,5179,1979,1812,4155,4536,458,1465,641,950,763,279,1086,445,4857,513,931,2012-2016
B15002_26_11th_grade,730,3674,3413,4836,1798,2164,4740,4463,399,1843,500,948,366,228,880,276,5357,528,648,2012-2016
"B15002_27_12th_grade,_no_diploma",858,2860,3805,6932,2879,1983,4685,3844,259,1707,570,918,384,180,714,199,3071,600,736,2012-2016
B15002_28_high_school_graduate_(includes_equivalency),20945,56947,68900,114335,52434,49397,60878,78061,6568,38867,13784,27683,11834,3897,17786,6754,64433,9720,12680,2012-2016
"B15002_29_some_college,_less_than_1_year",5861,13007,15009,23781,10418,10748,9031,16273,1857,9217,3197,7079,2420,844,4369,1741,11532,2186,3404,2012-2016
"B15002_30_some_college,_1_or_more_years,_no_degree",12046,24968,33921,49936,24749,25154,28830,34977,3014,18071,7578,13898,5686,1914,8958,4017,30442,5547,5564,2012-2016
B15002_31_associate's_degree,9649,20614,27904,40360,22500,20221,14980,29458,2648,15404,6490,12640,4339,1757,7801,2519,19525,4299,4412,2012-2016
B15002_32_bachelor's_degree,21402,33888,62461,150282,72003,40977,63907,60617,4785,32421,11810,27347,9277,4303,11815,8321,36432,11941,6468,2012-2016
B15002_33_master's_degree,11959,17130,34218,107631,42469,19349,37038,31153,2022,15612,6094,13711,4343,2775,6460,3967,18539,6696,3755,2012-2016
B15002_34_professional_school_degree,1774,1995,5562,20369,9503,3225,10244,4537,314,1816,864,1972,299,718,905,647,3290,962,441,2012-2016
B15002_35_doctorate_degree,1234,1684,3357,21067,6777,1636,5896,3654,53,1310,599,1008,679,281,658,524,2777,827,351,2012-2016
B19001_1_total,94351,212933,288291,587735,260061,182252,299658,302794,24464,156114,56790,118672,47779,19299,68661,35268,237459,49553,44261,2012-2016
"B19001_2_less_than_$10,000",3923,13363,16376,26864,11161,8041,33576,16584,1045,6241,2427,3122,2035,905,3824,2067,22544,2293,2600,2012-2016
"B19001_3_$10,000_to_$14,999",4324,14389,15055,20778,8888,5980,20479,15131,980,4909,2445,2693,2257,889,2748,1494,15571,2016,1915,2012-2016
"B19001_4_$15,000_to_$19,999",3961,11216,12115,19322,7876,6376,14384,13798,1450,6232,1935,3378,2066,684,3035,1519,12430,1585,2026,2012-2016
"B19001_5_$20,000_to_$24,999",4756,9927,11291,19014,8327,6652,12981,13136,1286,5395,2519,3336,2418,791,3158,1127,12616,2102,2121,2012-2016
"B19001_6_$25,000_to_$29,999",3622,8915,10920,16632,7484,5990,11107,11228,1015,6272,2401,3588,2188,611,2487,1159,12423,1679,1760,2012-2016
"B19001_7_$30,000_to_$34,999",4341,9089,10964,17975,7714,7220,11036,13637,1249,5939,2639,4124,1895,951,2993,1523,11351,1728,2133,2012-2016
"B19001_8_$35,000_to_$39,999",3641,9207,10334,16391,7276,6391,10324,11506,1006,5818,2104,4103,2098,566,2563,1037,10831,2173,2151,2012-2016
"B19001_9_$40,000_to_$44,999",4430,8168,9778,17340,7601,6478,11101,10900,1022,6418,2459,4260,2166,732,2896,1507,11152,1574,1945,2012-2016
"B19001_10_$45,000_to_$49,999",3484,7823,8905,16149,7062,5830,9354,9982,879,5528,2288,4401,1950,583,2812,1299,8471,1516,1570,2012-2016
"B19001_11_$50,000_to_$59,999",6628,15161,18797,35231,14120,11781,19834,21158,2047,11241,4057,8880,3526,1602,5204,2230,16806,3264,3629,2012-2016
"B19001_12_$60,000_to_$74,999",10523,19858,26783,46952,22351,17046,25792,28679,2617,15822,6268,12180,5548,1628,6700,3594,22302,5094,4682,2012-2016
"B19001_13_$75,000_to_$99,999",13183,27667,36356,71775,32250,25077,31223,39302,3543,22737,8755,16644,6967,2173,9755,4713,28915,6858,6499,2012-2016
"B19001_14_$100,000_to_$124,999",9230,20167,27624,62990,28580,20673,26491,31622,2538,17755,5688,14886,4818,2048,7803,3599,18674,5359,4394,2012-2016
"B19001_15_$125,000_to_$149,999",6468,13709,20248,49249,21434,14530,17027,21542,1273,11470,3794,9631,2685,1366,4712,2516,11455,3976,2943,2012-2016
"B19001_16_$150,000_to_$199,999",6033,13904,25105,65513,28318,17232,20497,23144,1459,12967,3847,11945,3243,1703,4499,2842,12051,4263,2566,2012-2016
"B19001_17_$200,000_or_more",5804,10370,27640,85560,39619,16955,24452,21445,1055,11370,3164,11501,1919,2067,3472,3042,9867,4073,1327,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),65382,59343,70886,89019,90226,77627,57439,67005,61245,73189,67181,82398,63533,73096,65592,71347,50637,74302,60689,2012-2016
B25001_1_total,161632,231247,308459,619399,273280,202564,324390,329285,37715,167606,63711,128637,52396,20786,73590,41878,263549,62854,49165,2012-2016
B25003_1_total,94351,212933,288291,587735,260061,182252,299658,302794,24464,156114,56790,118672,47779,19299,68661,35268,237459,49553,44261,2012-2016
B25003_2_owner_occupied,74679,132218,182306,366548,178170,138410,107263,195877,18501,103116,40245,90849,31102,13574,48122,21473,125723,35856,30940,2012-2016
B25003_3_renter_occupied,19672,80715,105985,221187,81891,43842,192395,106917,5963,52998,16545,27823,16677,5725,20539,13795,111736,13697,13321,2012-2016
B25024_1_total,161632,231247,308459,619399,273280,202564,324390,329285,37715,167606,63711,128637,52396,20786,73590,41878,263549,62854,49165,2012-2016
"B25024_2_1,_detached",131955,123380,156572,299152,158740,141848,44324,185324,27177,96361,41138,84752,29103,13954,49476,26656,116527,47524,32912,2012-2016
"B25024_3_1,_attached",5691,7937,19221,40342,14088,8565,19901,20365,1294,10202,2943,10005,2129,584,2667,1795,8075,2437,2088,2012-2016
B25024_4_2,5414,22637,34026,78624,19593,10997,48418,28080,1662,13077,3577,5156,3552,2548,4024,3537,38234,3519,4110,2012-2016
B25024_5_3_or_4,6473,37015,34374,54392,16379,12067,77131,39184,1585,11659,3263,4772,4277,1614,3490,3549,46038,3391,3536,2012-2016
B25024_6_5_to_9,4167,17014,16553,30757,14419,7992,34228,18483,1362,9010,3247,4630,2983,929,2610,2119,16506,1610,2878,2012-2016
B25024_7_10_to_19,2577,7226,13476,30809,12151,6155,24500,11728,602,7318,1767,4556,1592,495,3641,985,10810,1042,1066,2012-2016
B25024_8_20_to_49,2598,4700,15102,34369,14396,3286,28999,9660,613,12213,2727,5879,2334,261,2654,1099,8648,759,653,2012-2016
B25024_9_50_or_more,1935,8324,17068,48168,22510,6315,46141,13608,351,4654,1131,2047,1269,394,3756,1216,17324,1198,551,2012-2016
B25024_10_mobile_home,797,2928,1962,2560,956,5333,550,2794,3069,3074,3918,6788,5150,7,1263,905,1175,1337,1371,2012-2016
"B25024_11_boat,_rv,_van,_etc.",25,86,105,226,48,6,198,59,0,38,0,52,7,0,9,17,212,37,0,2012-2016
B25077_1_median_value_(dollars),367200,273700,362200,432300,414000,333600,398000,254100,219200,248500,225200,288300,214000,330000,208400,352900,209800,315100,196900,2012-2016
B25034_1_total,161632,231247,308459,619399,273280,202564,324390,329285,37715,167606,63711,128637,52396,20786,73590,41878,263549,62854,49165,2012-2016
B25034_2_built_2014_or_later,235,485,292,2127,720,653,1513,581,130,519,226,426,127,11,70,96,155,83,12,2012-2016
B25034_3_built_2010_to_2013,1077,2166,3119,8444,3916,3180,4483,3892,351,1887,802,2058,913,116,358,279,1638,831,439,2012-2016
B25034_4_built_2000_to_2009,13130,15983,20365,44861,21005,19242,21451,29475,6137,16918,7868,15945,6802,1165,4283,3506,14113,6552,5044,2012-2016
B25034_5_built_1990_to_1999,15565,20934,21828,44262,21554,18325,12050,30917,3657,17274,6637,17592,4862,1758,5710,3668,16013,8042,4258,2012-2016
B25034_6_built_1980_to_1989,32997,25373,32528,58825,28201,23588,21702,39985,7493,35547,13055,27746,9423,2025,8605,4965,24021,10414,7582,2012-2016
B25034_7_built_1970_to_1979,31987,27891,30149,64760,32619,31317,24916,37929,5222,25983,9066,21861,6719,2055,11666,5084,29318,9109,6600,2012-2016
B25034_8_built_1960_to_1969,21516,21052,29956,69031,32204,24189,26392,27057,3483,15941,4341,11798,5111,2781,9574,4211,27528,7103,5238,2012-2016
B25034_9_built_1950_to_1959,18799,23588,32589,75828,40172,23077,23359,35251,2598,12489,3797,9148,4520,3301,12542,4629,31875,5979,4669,2012-2016
B25034_10_built_1940_to_1949,6792,12949,17276,35711,18830,10476,19010,19194,1826,6022,2111,4348,2359,1296,5767,2646,20447,3217,2582,2012-2016
B25034_11_built_1939_or_earlier,19534,80826,120357,215550,74059,48517,169514,105004,6818,35026,15808,17715,11560,6278,15015,12794,98441,11524,12741,2012-2016
B25127_1_total,94351,212933,288291,587735,260061,182252,299658,302794,24464,156114,56790,118672,47779,19299,68661,35268,237459,49553,44261,2012-2016
B25127_2_owner_occupied,74679,132218,182306,366548,178170,138410,107263,195877,18501,103116,40245,90849,31102,13574,48122,21473,125723,35856,30940,2012-2016
B25127_3_built_2010_or_later,906,1755,2162,5709,2589,2798,1099,3005,273,1454,766,2005,630,111,264,172,972,564,316,2012-2016
"B25127_4_1,_detached__or_attached",829,1615,1972,4774,2258,2604,368,2752,240,1361,660,1746,548,92,243,172,778,496,300,2012-2016
B25127_5_2_to_4,56,35,31,325,52,168,235,208,0,28,0,38,0,11,12,0,89,48,0,2012-2016
B25127_6_5_to_19,14,0,16,124,146,13,313,15,0,13,0,51,0,8,0,0,36,0,0,2012-2016
B25127_7_20_to_49,7,0,30,235,53,0,84,10,19,0,0,79,0,0,0,0,8,0,0,2012-2016
B25127_8_50_or_more,0,10,19,206,53,0,99,0,0,0,0,0,0,0,0,0,50,0,0,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",0,95,94,45,27,13,0,20,14,52,106,91,82,0,9,0,11,20,16,2012-2016
B25127_10_built_2000_to_2009,7027,12260,11692,24263,11095,14456,6876,23030,3591,12454,6096,12708,4726,891,3055,1958,7725,4076,4161,2012-2016
"B25127_11_1,_detached__or_attached",6652,11319,9271,18593,8899,12935,2184,21592,3401,11258,5447,10912,3863,834,2650,1753,6534,3824,3941,2012-2016
B25127_12_2_to_4,169,224,468,1427,401,357,1247,641,18,200,148,244,82,30,60,26,396,133,59,2012-2016
B25127_13_5_to_19,56,360,376,1060,495,275,808,237,9,259,62,166,7,14,78,80,406,27,0,2012-2016
B25127_14_20_to_49,72,82,703,1580,416,113,627,238,7,250,0,506,20,0,71,49,133,38,0,2012-2016
B25127_15_50_or_more,68,26,767,1554,827,240,2010,148,0,197,0,59,0,13,0,0,188,19,0,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",10,249,107,49,57,536,0,174,156,290,439,821,754,0,196,50,68,35,161,2012-2016
B25127_17_built_1980_to_1999,26730,33197,37298,65832,33331,32572,9517,51692,5615,35808,13488,34370,9575,2750,9757,4991,21827,12550,8510,2012-2016
"B25127_18_1,_detached__or_attached",25001,29801,31816,54665,28055,28356,4462,47419,4599,31355,11723,30479,7107,2585,8164,4496,18770,11507,8105,2012-2016
B25127_19_2_to_4,782,807,1624,2458,892,351,1568,1411,111,1050,190,821,249,49,324,121,1142,422,102,2012-2016
B25127_20_5_to_19,448,1276,1856,3342,1506,1132,1027,1243,125,1249,162,842,107,102,322,28,1192,167,85,2012-2016
B25127_21_20_to_49,181,245,725,2171,667,198,834,485,38,1104,120,297,40,0,249,17,123,17,8,2012-2016
B25127_22_50_or_more,216,237,935,2647,1928,352,1588,267,0,96,39,51,0,14,49,28,376,8,7,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",102,831,342,549,283,2183,38,867,742,954,1254,1880,2072,0,649,301,224,429,203,2012-2016
B25127_24_built_1960_to_1979,24669,30565,37047,77633,38049,38791,11288,38270,4149,27808,8562,23105,6709,3210,12962,5301,28739,9207,7387,2012-2016
"B25127_25_1,_detached__or_attached",23607,28184,32417,67293,32968,35829,5528,35558,3364,25666,7030,20440,5561,3088,12094,4995,26256,8926,6938,2012-2016
