index,17011,17031,17037,17043,17063,17089,17091,17093,17097,17099,17111,17155,17197,18073,18089,18091,18111,18127,55059,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,il,il,il,il,il,il,il,il,il,il,il,il,il,in,in,in,in,in,wi,2007-2011
B02001_7_some_other_race_alone,569,602855,4399,27811,762,78460,2977,3956,54063,2675,13653,87,34940,55,40908,1514,65,2320,5594,2007-2011
B02001_8_two_or_more_races,327,92092,2087,17312,585,10603,2252,3076,15608,2066,4847,64,14078,291,11633,2251,345,2548,3348,2007-2011
B02001_9_two_races_including_some_other_race,53,27069,532,3819,50,3149,542,780,3185,376,1209,23,3053,23,4708,276,3,532,641,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",274,65023,1555,13493,535,7454,1710,2296,12423,1690,3638,41,11025,268,6925,1975,342,2016,2707,2007-2011
B11001_1_total,14404,1934771,38011,335651,18297,169528,41086,36856,239947,45000,108361,2482,221722,12175,183198,42255,5370,61399,62215,2007-2011
B11001_2_family_households,9752,1196796,23879,238576,12985,127921,28280,29102,178632,30638,81785,1696,172164,9337,122773,28104,3826,42876,42024,2007-2011
B11001_3_married-couple_family,7801,803741,18787,194646,10318,100180,20059,24313,143799,24129,67941,1503,139158,7713,83819,20840,3024,33885,30790,2007-2011
B11001_4_other_family,1951,393055,5092,43930,2667,27741,8221,4789,34833,6509,13844,193,33006,1624,38954,7264,802,8991,11234,2007-2011
"B11001_5_male_householder,_no_wife_present",514,97098,1438,12685,743,8796,2110,1335,10389,1992,4173,93,9747,589,9054,1886,298,2202,3010,2007-2011
"B11001_6_female_householder,_no_husband_present",1437,295957,3654,31245,1924,18945,6111,3454,24444,4517,9671,100,23259,1035,29900,5378,504,6789,8224,2007-2011
B11001_7_nonfamily_households,4652,737975,14132,97075,5312,41607,12806,7754,61315,14362,26576,786,49558,2838,60425,14151,1544,18523,20191,2007-2011
B11001_8_householder_living_alone,3914,616339,9672,81902,4368,34587,10608,6344,51993,12481,21385,646,41611,2556,53077,12162,1341,15518,16563,2007-2011
B11001_9_householder_not_living_alone,738,121636,4460,15173,944,7020,2198,1410,9322,1881,5191,140,7947,282,7348,1989,203,3005,3628,2007-2011
B15002_1_total,24360,3434122,58764,607748,32193,318464,72605,68382,444083,77830,199578,4233,423097,21640,324477,76435,9859,108499,106397,2007-2011
B15002_2_male,11626,1623402,28945,290984,15720,155864,34885,33075,215150,38118,97707,2108,205989,10597,152285,39178,4914,52362,51500,2007-2011
B15002_3_no_schooling_completed,146,22279,143,1838,28,1632,508,263,1901,283,680,1,1493,48,1686,306,15,318,353,2007-2011
B15002_4_nursery_to_4th_grade,44,17967,81,1283,14,2022,221,112,1720,40,330,0,849,84,870,122,13,52,260,2007-2011
B15002_5_5th_and_6th_grade,73,49316,332,3965,133,7325,505,531,5597,289,1450,10,3021,78,2240,303,27,226,292,2007-2011
B15002_6_7th_and_8th_grade,309,42217,393,3383,184,3752,587,387,3424,814,918,44,3068,132,2573,893,156,734,768,2007-2011
B15002_7_9th_grade,125,29563,266,2496,157,3553,869,261,3168,372,945,52,2356,200,2106,1032,49,464,706,2007-2011
B15002_8_10th_grade,359,33851,284,2841,170,3332,823,380,3080,918,1236,32,3178,289,3408,1522,122,850,942,2007-2011
B15002_9_11th_grade,325,39850,321,2964,410,2636,1256,370,3095,1075,1014,80,3429,308,4476,1447,134,1009,1615,2007-2011
"B15002_10_12th_grade,_no_diploma",124,38901,685,4967,259,3677,920,502,3803,829,1756,17,4646,310,3587,569,152,728,1215,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",5022,406714,8746,53199,6032,35940,12473,8389,44767,15048,25746,850,57667,4667,58424,15267,2600,19011,17913,2007-2011
"B15002_12_some_college,_less_than_1_year",892,79017,2338,16873,1517,9406,2764,2395,10884,3491,8357,169,14848,775,9907,3089,336,3429,3543,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",1508,225639,4917,40862,2770,21556,5576,5817,29878,5592,16166,353,33092,1695,24710,5952,484,8107,7397,2007-2011
B15002_14_associate's_degree,770,90189,2476,16618,1347,10180,2616,2663,11633,3179,6914,197,13856,672,8969,2292,379,3836,4103,2007-2011
B15002_15_bachelor's_degree,1262,330237,5235,84086,1891,32897,3627,7530,53027,4170,22005,200,41451,895,20077,4274,307,8700,8641,2007-2011
B15002_16_master's_degree,414,137838,1703,37647,529,12850,1493,2717,25939,1373,7733,66,17291,338,6070,1349,100,2944,2752,2007-2011
B15002_17_professional_school_degree,232,55822,327,11533,242,3218,413,508,9155,400,1775,28,3640,29,2183,592,40,1044,637,2007-2011
B15002_18_doctorate_degree,21,24002,698,6429,37,1888,234,250,4079,245,682,9,2104,77,999,169,0,910,363,2007-2011
B15002_19_female,12734,1810720,29819,316764,16473,162600,37720,35307,228933,39712,101871,2125,217108,11043,172192,37257,4945,56137,54897,2007-2011
B15002_20_no_schooling_completed,46,24345,179,2405,35,1508,294,114,2209,241,513,1,1550,82,1758,279,27,187,492,2007-2011
B15002_21_nursery_to_4th_grade,58,19971,128,1647,0,1927,103,176,1906,74,372,4,817,24,1239,120,28,154,172,2007-2011
B15002_22_5th_and_6th_grade,41,47754,382,3347,175,6050,328,526,4738,224,1110,5,2890,55,2189,182,22,266,433,2007-2011
B15002_23_7th_and_8th_grade,334,48964,240,4058,293,3775,946,279,3500,781,1142,35,3523,177,2880,750,102,652,722,2007-2011
B15002_24_9th_grade,164,27646,333,2915,177,3713,468,217,2958,561,1010,36,1599,188,2592,669,71,562,726,2007-2011
B15002_25_10th_grade,324,37272,534,3758,256,2737,966,305,3056,1093,960,78,3223,345,4081,1040,134,1226,1046,2007-2011
B15002_26_11th_grade,230,43256,458,3336,276,3414,910,527,3107,967,1310,82,3230,191,4979,1281,163,1078,1663,2007-2011
"B15002_27_12th_grade,_no_diploma",110,35472,408,4263,233,2654,592,424,3200,692,1483,29,2803,188,3259,541,89,577,995,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",4908,440084,8433,67214,5656,40962,13230,8696,49731,15525,29005,691,61138,4990,60544,14161,2500,19391,17944,2007-2011
"B15002_29_some_college,_less_than_1_year",1197,98392,2801,20077,1582,10770,3342,2792,14671,3614,9081,204,16833,818,11941,2645,344,3940,4197,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",1958,257113,4438,42363,3256,22773,5955,5782,32366,5964,15758,326,32221,1356,27735,5224,729,8517,8116,2007-2011
B15002_31_associate's_degree,1327,121156,2891,24052,1410,11950,3776,3412,15279,3777,8702,298,19318,872,15080,3717,387,5481,5602,2007-2011
