estimate_year,index,FL_011,FL_086,FL_099
2013-2017,FILEID,ACSSF,ACSSF,ACSSF
2013-2017,B11001_1_total,675828,858289,543591
2013-2017,B11001_2_family_households,433887,585476,339462
2013-2017,B11001_3_married-couple_family,293275,370596,249690
2013-2017,B11001_4_other_family,140612,214880,89772
2013-2017,"B11001_5_male_householder,_no_wife_present",35166,58298,25394
2013-2017,"B11001_6_female_householder,_no_husband_present",105446,156582,64378
2013-2017,B11001_7_nonfamily_households,241941,272813,204129
2013-2017,B11001_8_householder_living_alone,195337,226042,168581
2013-2017,B11001_9_householder_not_living_alone,46604,46771,35548
2013-2017,B15002_1_total,1327173,1906299,1037150
2013-2017,B15002_2_male,633172,906451,492123
2013-2017,B15002_3_no_schooling_completed,10546,20233,8669
2013-2017,B15002_4_nursery_to_4th_grade,3885,13025,6611
2013-2017,B15002_5_5th_and_6th_grade,8783,30436,9572
2013-2017,B15002_6_7th_and_8th_grade,8763,21378,7249
2013-2017,B15002_7_9th_grade,6727,22049,6670
2013-2017,B15002_8_10th_grade,9753,15719,7212
2013-2017,B15002_9_11th_grade,11055,15901,8778
2013-2017,"B15002_10_12th_grade,_no_diploma",14186,31091,9642
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),171611,264216,120056
2013-2017,"B15002_12_some_college,_less_than_1_year",34861,38058,25977
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",94504,106285,65804
2013-2017,B15002_14_associate's_degree,57561,77499,36743
2013-2017,B15002_15_bachelor's_degree,127479,156269,109991
2013-2017,B15002_16_master's_degree,46087,54492,39043
2013-2017,B15002_17_professional_school_degree,19218,28924,20895
2013-2017,B15002_18_doctorate_degree,8153,10876,9211
2013-2017,B15002_19_female,694001,999848,545027
2013-2017,B15002_20_no_schooling_completed,11719,26890,9514
2013-2017,B15002_21_nursery_to_4th_grade,3889,18280,4639
2013-2017,B15002_22_5th_and_6th_grade,9224,40514,8243
2013-2017,B15002_23_7th_and_8th_grade,9199,24178,6799
2013-2017,B15002_24_9th_grade,8366,22178,5419
2013-2017,B15002_25_10th_grade,9602,14634,6905
2013-2017,B15002_26_11th_grade,11384,14764,7558
2013-2017,"B15002_27_12th_grade,_no_diploma",14228,31063,10416
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),189805,273223,138670
2013-2017,"B15002_29_some_college,_less_than_1_year",41077,41865,33017
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",94358,115158,77980
2013-2017,B15002_31_associate's_degree,74235,97466,54261
2013-2017,B15002_32_bachelor's_degree,139182,182733,115918
2013-2017,B15002_33_master's_degree,57518,64902,49319
2013-2017,B15002_34_professional_school_degree,13691,21965,10356
2013-2017,B15002_35_doctorate_degree,6524,10035,6013
