index,34003,34013,34017,34019,34021,34023,34025,34027,34029,34031,34035,34037,34039,34041,42025,42077,42089,42095,42103,09001,09005,09009,36005,36027,36047,36059,36061,36071,36079,36081,36085,36087,36103,36111,36119,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2007-2011
FILETYPE,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2011e5,2007-2011
STATE,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,nj,pa,pa,pa,pa,pa,ct,ct,ct,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny,2007-2011
B15002_23_7th_and_8th_grade,6077,7122,8362,297,2052,6049,2902,2041,3223,7234,1622,557,4563,629,597,3323,878,2566,109,5723,1110,6035,22283,1662,31719,7090,16862,1988,316,24493,3002,1877,7357,1062,6760,2007-2011
B15002_24_9th_grade,2654,4429,3618,361,1513,2956,1930,1116,2167,3669,607,453,2794,457,691,2499,541,1413,161,4660,598,4453,17299,1143,19765,4358,8678,1644,173,14962,1781,1105,4990,920,3969,2007-2011
B15002_25_10th_grade,3622,6600,5684,525,2418,4657,2900,1862,4066,3563,1574,795,2878,888,718,3854,1172,3510,277,5119,1072,6809,17102,1427,23612,5564,10182,2167,279,19578,3743,1264,7184,1194,4553,2007-2011
B15002_26_11th_grade,3648,8930,5049,507,2719,3901,2913,1979,4490,4235,1032,620,3687,705,738,2894,1373,2585,247,4765,959,6704,22265,2467,25500,6133,11703,3330,471,15348,3217,1474,9143,1415,5380,2007-2011
"B15002_27_12th_grade,_no_diploma",4987,5376,5091,285,1982,4383,3215,2009,4134,2825,1249,503,3262,480,244,2053,979,1557,217,4913,1087,4753,14721,1330,26246,8347,10296,2389,270,23521,3504,2393,8905,1026,5077,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",87942,77819,61011,10805,33480,80799,65140,44058,85085,59676,26105,16592,60078,13813,10652,42086,20898,38102,7420,76164,20190,93169,122468,28670,250494,127740,80659,34451,10011,228084,56853,24380,161409,18753,77598,2007-2011
"B15002_29_some_college,_less_than_1_year",14495,11190,7423,2350,7514,14101,13026,8230,15010,7759,5620,3663,8062,2408,1427,7468,3149,6289,1598,14983,4433,17730,17932,5868,28440,20996,14263,7319,1777,31795,8302,4556,27074,3528,12095,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",35377,35405,25902,5162,14967,29015,25748,18015,25284,18841,11883,7250,22901,4809,2839,13032,8524,11198,3315,35753,9608,38199,60188,11918,96374,49877,52064,16145,4046,87085,18646,10721,61805,8675,36488,2007-2011
B15002_31_associate's_degree,21172,16196,10353,3756,8958,19634,18484,11708,15892,10430,8201,5021,12344,3219,2361,10654,6017,9427,1978,23645,7063,25419,35107,11405,61103,40470,26194,12147,3459,63070,12781,8539,50528,6629,23361,2007-2011
B15002_32_bachelor's_degree,93399,55406,48895,13167,26482,65270,54142,52458,34394,28967,32053,11078,37036,7528,2322,19949,8403,17172,3003,79222,13955,51955,57578,18111,159701,102834,188810,20256,7262,155058,27332,22781,88577,10048,76685,2007-2011
B15002_33_master's_degree,39365,24356,20222,5981,14903,31153,24542,23091,13044,10113,17710,4140,16470,2901,1026,9591,3662,8108,1485,44904,7677,33651,26946,12230,78499,72205,111187,13522,5368,67544,17070,15793,65709,8480,56275,2007-2011
B15002_34_professional_school_degree,8917,5517,4178,1301,2844,4648,4463,4246,1560,1736,3386,812,3138,420,220,1483,549,1151,132,8706,1273,7544,4739,1296,16750,15201,37241,1535,745,13659,2950,1911,8564,1046,12474,2007-2011
B15002_35_doctorate_degree,3164,2741,1959,914,2474,3431,1838,2638,574,748,1932,264,1759,245,104,964,313,714,107,3423,453,4134,2184,800,6381,4498,18045,446,371,5217,829,1281,3797,550,5888,2007-2011
B19001_1_total,333073,276441,240526,47455,129933,278513,233120,179581,222863,161488,114348,55554,184584,41685,26136,133159,59941,112111,22207,332139,76477,330396,471923,107151,907785,443315,733393,124939,34998,773130,163747,98106,496677,70034,345908,2007-2011
"B19001_2_less_than_$10,000",13491,24580,18789,997,7093,10419,8808,4340,9525,13474,2632,1705,10469,1604,1412,7940,3220,5245,1112,16149,2994,21828,76119,5383,110452,13443,73248,5758,920,53687,10118,3516,15335,3765,16042,2007-2011
"B19001_3_$10,000_to_$14,999",10643,14857,12605,913,5249,8607,7529,3770,10386,7943,2375,1301,6522,1546,1443,7057,2062,5337,944,10885,2670,15009,41581,3739,62309,10960,39686,5389,660,36793,6270,3148,11991,3017,12199,2007-2011
"B19001_4_$15,000_to_$19,999",10828,13434,12584,1232,4990,9396,8503,4715,11271,7605,2664,1525,7195,1663,1783,7035,3344,4879,875,11708,3253,15571,35687,3727,53907,12533,32612,4525,903,37126,6440,4127,14089,3824,12633,2007-2011
"B19001_5_$20,000_to_$24,999",11754,13187,11418,1106,4773,9888,7986,4322,11198,8168,2442,1729,7344,1754,1443,7231,3071,5663,1135,11545,2553,15120,30363,4369,51028,12530,29529,4762,876,38817,6548,3334,14573,3299,12524,2007-2011
"B19001_6_$25,000_to_$29,999",11269,12649,11294,1214,4697,9751,8408,4748,10869,8867,2814,1772,7892,1336,1271,6696,3102,5219,1071,11495,2606,14729,27775,4009,47742,11430,26542,5256,1331,37583,5882,2779,13908,3296,13094,2007-2011
"B19001_7_$30,000_to_$34,999",10850,13300,10562,1339,4929,9405,7740,4540,10174,6922,3120,1740,7905,1628,1726,6836,2777,5355,1010,10736,2913,14262,25626,4283,47215,12258,27087,4779,1029,38288,5710,3578,15543,3397,11767,2007-2011
"B19001_8_$35,000_to_$39,999",9566,12054,10144,1132,4834,8962,7031,4749,10345,7224,3134,1583,7626,1124,1640,6351,2540,4832,1084,10376,2975,12780,23360,3718,41408,12628,23175,4257,962,34068,5997,3226,14600,2694,11775,2007-2011
"B19001_9_$40,000_to_$44,999",12059,11469,10003,1091,4024,9630,7379,4965,10252,6513,3632,1643,7276,1668,1276,6666,2585,5443,1205,11037,3361,13715,22271,4378,42875,12874,23317,4728,1061,36692,5713,3136,15579,3429,12127,2007-2011
"B19001_10_$45,000_to_$49,999",8814,10468,8673,1203,4544,9550,6903,5254,8745,5969,2922,1700,6280,1481,1264,5326,3001,4428,807,10094,2779,11712,19983,3680,35394,11840,19893,4282,1006,30931,4664,2586,14743,2911,10025,2007-2011
"B19001_11_$50,000_to_$59,999",22661,20090,17616,2701,8842,19686,15816,10359,17552,11758,6461,3614,12877,3252,2393,11142,5173,9133,2123,21126,6010,24894,34516,7996,68321,25122,43556,9649,2168,63200,11336,6083,32010,6059,21227,2007-2011
"B19001_12_$60,000_to_$74,999",29149,24239,23794,3609,11708,27757,18947,15866,22861,14454,10041,5847,18312,4442,3203,14438,7282,13263,2858,27806,8005,32328,38916,11470,80595,36587,55094,12766,2767,81388,15606,8395,48890,7418,29578,2007-2011
"B19001_13_$75,000_to_$99,999",42959,30331,28166,6283,16804,39706,30153,23715,30730,18734,15492,9112,23360,6527,3373,17403,8655,16257,3538,39722,11625,43757,41983,15874,93854,57995,71626,17110,5149,102288,24119,12817,72633,9834,40032,2007-2011
"B19001_14_$100,000_to_$124,999",35450,21738,20679,5730,13087,33818,26282,21017,22032,14485,13073,7316,17991,4679,2021,11238,5566,10859,1886,32391,8457,31906,23446,11751,60223,51254,55635,14218,4744,68121,16774,11008,63615,6256,32223,2007-2011
"B19001_15_$125,000_to_$149,999",26894,14480,13005,4349,9183,24157,18528,16511,14235,9710,10241,5840,12109,3145,1034,7005,3387,6336,1017,23154,5710,21567,13020,7988,38478,41675,37829,10248,3302,42752,13039,7911,47017,4294,22953,2007-2011
"B19001_16_$150,000_to_$199,999",33701,16425,15124,5739,11310,25874,24073,21359,13340,11435,14023,4709,14248,3502,546,5542,2901,5644,877,28368,5525,21773,10788,8335,38281,54578,52483,10407,3961,41240,14840,10757,53242,3523,30857,2007-2011
"B19001_17_$200,000_or_more",42985,23140,16070,8817,13866,21907,29034,29351,9348,8227,19282,4418,17178,2334,308,5253,1275,4218,665,55547,5041,19445,6489,6451,35703,65608,122081,6805,4159,30156,10691,11705,48909,3018,56852,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),83443,55876,57660,103879,73883,78622,83842,98148,60712,56299,98842,84860,68688,72615,49056,54312,57700,60540,58672,82558,71497,62497,34744,71125,44593,95823,67204,70294,92711,56406,72752,84661,87187,58808,80725,2007-2011
B25001_1_total,351854,312609,267974,49394,142808,293887,257641,189244,277087,175637,122838,61845,199215,44938,34106,141942,79969,119851,38304,359873,87189,360895,511180,117933,993379,467515,842807,136331,38073,833401,176225,103392,567748,83330,369753,2007-2011
B25003_1_total,333073,276441,240526,47455,129933,278513,233120,179581,222863,161488,114348,55554,184584,41685,26136,133159,59941,112111,22207,332139,76477,330396,471923,107151,907785,443315,733393,124939,34998,773130,163747,98106,496677,70034,345908,2007-2011
B25003_2_owner_occupied,222670,129501,81737,40505,87752,185605,176545,136585,182548,89540,90645,47252,113087,31636,20960,90725,48263,83858,18803,233684,60350,214190,94903,75313,271007,362670,166164,88027,29202,347077,114360,69289,401345,48518,214765,2007-2011
B25003_3_renter_occupied,110403,146940,158789,6950,42181,92908,56575,42996,40315,71948,23703,8302,71497,10049,5176,42434,11678,28253,3404,98455,16127,116206,377020,31838,636778,80645,567229,36912,5796,426053,49387,28817,95332,21516,131143,2007-2011
B25024_1_total,351854,312609,267974,49394,142808,293887,257641,189244,277087,175637,122838,61845,199215,44938,34106,141942,79969,119851,38304,359873,87189,360895,511180,117933,993379,467515,842807,136331,38073,833401,176225,103392,567748,83330,369753,2007-2011
"B25024_2_1,_detached",190771,106832,27050,37040,69361,154501,170135,126665,208077,73202,72700,49713,102816,30361,23903,69989,66171,70379,33649,208780,64682,193368,31390,74000,56488,356069,5697,85032,29874,163568,58378,61652,456437,57629,167342,2007-2011
"B25024_3_1,_attached",17133,17181,16764,4661,29695,35721,20156,14157,25948,8785,18565,3195,9107,4831,5874,34679,3832,25247,1299,22405,3203,20603,22648,5572,83873,12077,6120,8625,2094,71567,45154,7609,26114,2070,19947,2007-2011
B25024_4_2,50292,46897,61505,1789,7590,21081,9455,6973,9865,38974,6496,1688,32399,1936,908,5990,1810,5309,545,30468,6225,34922,45925,8360,175795,35207,7887,10166,1756,181474,41513,6765,20610,6075,31640,2007-2011
B25024_5_3_or_4,18335,51533,39487,1598,5972,18319,9734,6060,6865,17666,5099,1584,16134,1635,706,8106,2188,4697,378,31128,4672,39282,47657,7805,176274,10211,18258,9275,1240,91037,7692,8101,12928,4667,31423,2007-2011
B25024_6_5_to_9,11049,19988,29640,1835,6023,17055,10997,6945,6328,10808,5417,2534,7696,2050,515,5773,1284,4111,262,17271,3178,20352,20482,7528,111485,7577,47212,8669,1563,49129,2965,6968,13717,4005,19977,2007-2011
B25024_7_10_to_19,15194,15270,22317,1462,11197,23187,12606,12022,5997,8838,7056,1328,6510,2010,195,7139,710,2345,110,13173,1955,15120,27954,4319,57431,8686,96478,5219,384,27753,2703,3533,15637,1788,15375,2007-2011
B25024_8_20_to_49,16470,20358,28368,371,4134,10210,7164,8120,3436,6409,3334,339,9991,745,230,2539,473,1604,54,13266,1322,15104,116175,2142,130323,12176,197373,2352,534,78603,3936,2951,8135,769,27220,2007-2011
B25024_9_50_or_more,31380,33995,42298,524,8462,11358,13975,7628,4216,10146,3970,864,13857,794,383,4537,539,2924,68,22051,1354,20013,197689,3697,200202,24584,462413,3199,319,168605,13353,4428,8735,1300,56411,2007-2011
B25024_10_mobile_home,1052,423,365,111,374,2405,3386,655,6355,730,177,584,573,576,1373,3161,2958,3224,1919,1287,539,2067,739,4491,1200,825,312,3779,309,1189,474,1385,5422,5016,331,2007-2011
"B25024_11_boat,_rv,_van,_etc.",178,132,180,3,0,50,33,19,0,79,24,16,132,0,19,29,4,11,20,44,59,64,521,19,308,103,1057,15,0,476,57,0,13,11,87,2007-2011
B25077_1_median_value_(dollars),474200,389800,374000,437100,302100,349000,413500,463200,284100,372700,420500,312500,386000,294000,146000,206100,205400,221800,216200,466700,279600,270900,391300,314500,570800,478600,842300,299500,406000,474000,456100,465100,411000,242500,547000,2007-2011
B25034_1_total,351854,312609,267974,49394,142808,293887,257641,189244,277087,175637,122838,61845,199215,44938,34106,141942,79969,119851,38304,359873,87189,360895,511180,117933,993379,467515,842807,136331,38073,833401,176225,103392,567748,83330,369753,2007-2011
B25034_2_built_2005_or_later,7606,8061,12417,1417,4257,9690,8320,4722,10739,3147,3911,1855,3803,1109,1422,5955,2917,5264,1825,8493,2054,7293,13444,3638,21746,5857,20471,4953,642,17273,4234,2553,12258,2741,6245,2007-2011
B25034_3_built_2000_to_2004,12985,15295,15658,3498,8608,15977,16223,11128,25647,5307,8218,4094,6468,3614,1683,8604,8367,9161,3679,14459,4382,11927,13475,7076,25728,8774,29738,10132,2350,19419,11143,4079,30510,4082,11086,2007-2011
B25034_4_built_1990_to_1999,17821,14035,14348,6860,12552,30850,30276,21881,35104,8285,22468,5281,7139,5222,3682,12955,14452,13063,6904,23516,7770,25787,19571,10402,27236,12600,28801,15067,3487,22194,20268,10488,47667,7002,17494,2007-2011
B25034_5_built_1980_to_1989,25637,16923,16658,10462,16559,45325,38924,23281,50077,10093,23368,9395,9110,5126,6083,15575,18430,13252,9942,40719,13144,46410,18472,16385,27308,19474,51532,19264,5377,27752,25428,11348,56203,10178,28127,2007-2011
B25034_6_built_1970_to_1979,32490,27401,21396,7273,17079,34668,36817,28202,57391,13468,13982,11967,20262,6365,4198,19257,13536,12960,6676,50269,11925,48911,40629,18555,51902,26441,67778,18013,5758,49724,29368,19167,103351,10070,32979,2007-2011
B25034_7_built_1960_to_1969,55225,40862,27773,4727,19237,48200,38004,30781,42108,25531,16565,8730,28759,5093,2198,16191,5995,10518,2985,52510,9271,44734,69659,16658,99156,58332,106910,14092,5703,112817,25670,22957,118206,9498,50841,2007-2011
B25034_8_built_1950_to_1959,80729,54493,30826,4234,21513,56461,34423,30273,31064,37904,14728,7864,51671,4557,1936,18634,4887,13831,1546,61299,10469,54740,84409,15414,119006,167595,82060,13920,5157,175759,15424,14901,110142,10434,72952,2007-2011
B25034_9_built_1940_to_1949,45891,44062,26171,1970,11349,19870,14199,12883,10784,31727,6366,3645,28430,2255,1764,8274,2364,7112,1273,29492,5536,25450,56419,6189,102472,68588,64588,6664,3090,144107,8118,4511,31654,5438,34846,2007-2011
B25034_10_built_1939_or_earlier,73470,91477,102727,8953,31654,32846,40455,26093,14173,40175,13232,9014,43573,11597,11140,36497,9021,34690,3474,79116,22638,95643,195102,23616,518825,99854,390929,34226,6509,264356,36572,13388,57757,23887,115183,2007-2011
B25127_1_total,333073,276441,240526,47455,129933,278513,233120,179581,222863,161488,114348,55554,184584,41685,26136,133159,59941,112111,22207,332139,76477,330396,471923,107151,907785,443315,733393,124939,34998,773130,163747,98106,496677,70034,345908,2007-2011
B25127_2_owner_occupied,222670,129501,81737,40505,87752,185605,176545,136585,182548,89540,90645,47252,113087,31636,20960,90725,48263,83858,18803,233684,60350,214190,94903,75313,271007,362670,166164,88027,29202,347077,114360,69289,401345,48518,214765,2007-2011
B25127_3_built_2000_or_later,10527,6536,8066,4153,8382,15264,17477,11101,24384,4536,8657,4675,3970,4066,2425,11068,7881,11277,3153,13884,5239,12686,3251,7082,14132,8963,9157,10407,2073,10449,10567,3289,24923,4490,8483,2007-2011
"B25127_4_1,_detached__or_attached",8118,4163,1626,4013,7693,13436,15419,8682,23317,2945,7709,4341,2793,3457,2178,10468,7755,10583,3135,12257,5140,11428,1088,6479,2334,6689,321,9188,1979,3787,8218,2609,22619,3928,6901,2007-2011
B25127_5_2_to_4,770,1727,1606,104,56,262,241,127,36,201,147,70,991,12,0,20,19,65,0,499,3,298,1802,110,5020,483,399,223,45,4586,2201,173,713,86,533,2007-2011
B25127_6_5_to_19,213,349,960,30,249,502,776,395,101,481,309,127,117,419,0,51,0,81,0,585,18,379,163,111,3232,958,773,586,13,348,90,105,937,91,156,2007-2011
B25127_7_20_to_49,378,140,884,6,230,387,129,955,65,312,407,0,48,48,0,29,0,6,0,185,0,85,74,36,1819,369,1463,31,14,741,7,107,175,0,214,2007-2011
B25127_8_50_or_more,955,136,2977,0,80,417,538,892,0,539,59,43,21,17,0,0,0,93,0,303,2,36,124,0,1670,382,6201,0,0,875,37,196,235,0,667,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",93,21,13,0,74,260,374,50,865,58,26,94,0,113,247,500,107,449,18,55,76,460,0,346,57,82,0,379,22,112,14,99,244,385,12,2007-2011
B25127_10_built_1980_to_1999,26473,11213,8632,15493,21428,50911,54110,34139,63048,11175,35537,12287,8028,8525,5021,20546,21291,20445,8637,42668,16418,47763,6826,19391,15698,22400,14920,25421,7143,17188,33132,14074,66628,11341,30626,2007-2011
"B25127_11_1,_detached__or_attached",17980,7873,2722,13854,18413,42932,47602,29609,59321,8454,30603,11117,6345,8037,4597,18954,20071,18877,8234,33592,14625,38754,3279,16206,7261,17555,490,21790,6391,6326,26137,12055,62031,9163,24189,2007-2011
B25127_12_2_to_4,1927,1706,2040,197,358,1740,1269,725,842,677,1072,225,781,27,13,59,186,236,83,1850,454,2217,2766,803,5435,1482,288,664,185,6431,5285,802,1533,195,1683,2007-2011
B25127_13_5_to_19,2813,863,1387,1307,2023,4643,2999,2730,1027,1003,3342,754,443,224,13,136,95,153,51,4406,1171,4497,175,556,1329,1107,675,1371,496,1136,669,528,1328,99,1818,2007-2011
B25127_14_20_to_49,1231,228,866,23,414,472,350,624,52,327,315,42,244,0,0,28,22,27,0,1254,0,978,181,26,629,500,1732,62,0,788,367,209,219,3,863,2007-2011
B25127_15_50_or_more,2372,541,1583,69,95,382,881,364,237,621,160,26,215,22,0,70,6,37,0,1297,106,844,353,62,851,1513,11653,71,46,2287,512,102,278,6,1946,2007-2011
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",150,2,34,43,125,742,1009,87,1569,93,45,123,0,215,398,1299,911,1115,269,269,62,473,72,1738,193,243,82,1463,25,220,162,378,1239,1875,127,2007-2011
B25127_17_built_1960_to_1979,49933,21567,14902,10082,20632,49148,48753,40450,65766,21179,22147,16160,22169,7180,3876,19905,10497,17029,4267,70675,14653,56436,25097,22588,36149,59652,43334,22035,9397,58747,35508,29870,165431,10916,47701,2007-2011
"B25127_18_1,_detached__or_attached",37833,16260,5205,9779,19515,45358,43766,38504,61000,17513,20876,15850,18948,6889,3637,18729,9870,16060,4159,59931,13660,49175,5305,19842,10266,51319,635,19658,8708,22392,26214,25621,155863,9885,32624,2007-2011
B25127_19_2_to_4,4008,3091,5543,77,196,1411,938,510,2127,2408,371,100,2702,86,8,125,53,117,0,3213,285,2852,5185,694,13445,2317,152,635,258,16629,8213,1852,3529,158,3524,2007-2011
B25127_20_5_to_19,733,985,728,169,638,1158,2120,943,392,572,696,84,148,24,0,150,0,6,0,3556,504,2490,222,798,882,1300,935,829,289,827,351,1503,2707,102,2589,2007-2011
B25127_21_20_to_49,1043,345,543,7,112,264,413,188,86,219,83,9,230,10,0,5,50,0,0,1373,68,689,1327,22,940,978,2831,104,28,2516,32,250,851,10,1872,2007-2011
B25127_22_50_or_more,6026,879,2843,15,83,132,681,147,81,359,62,0,119,0,0,13,10,9,0,2141,46,831,12920,183,10482,3667,38757,119,14,16190,674,331,637,14,7073,2007-2011
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",290,7,40,35,88,825,835,158,2080,108,59,117,22,171,231,883,514,837,108,461,90,399,138,1049,134,71,24,690,100,193,24,313,1844,747,19,2007-2011
B25127_24_built_1940_to_1959,86565,42814,17024,4598,20753,51640,34086,33313,22241,34872,15810,8452,51311,4646,2419,17986,4321,14460,1157,64365,11461,55806,31447,14682,61919,197696,24769,14294,6482,142826,13553,13757,108316,9603,65408,2007-2011
"B25127_25_1,_detached__or_attached",77186,34925,8267,4537,20196,49450,33036,32796,21416,28437,15320,8294,46113,4561,2408,17762,4214,14208,1134,58786,10940,53063,15062,14030,26901,187565,607,13749,6286,80454,10952,13225,105583,9277,48636,2007-2011
B25127_26_2_to_4,6510,6627,6542,52,341,1876,611,340,673,5572,401,153,4340,66,11,113,96,146,21,3014,427,1762,6295,483,20752,5100,227,405,152,31294,2048,214,2038,190,5272,2007-2011
B25127_27_5_to_19,612,477,908,0,166,119,144,103,66,355,35,0,364,15,0,67,0,30,0,1209,33,516,556,74,1150,1426,995,71,0,3139,62,103,245,22,2636,2007-2011
B25127_28_20_to_49,919,240,601,0,29,64,59,32,11,92,29,0,135,0,0,0,0,6,0,595,0,191,1692,21,2611,1464,3503,24,24,6457,69,75,159,5,2364,2007-2011
B25127_29_50_or_more,1248,427,695,9,10,49,86,26,18,205,11,0,257,0,0,10,0,0,0,631,0,143,7828,19,10426,1963,19390,15,15,21327,391,134,114,16,6482,2007-2011
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",90,118,11,0,11,82,150,16,57,211,14,5,102,4,0,34,11,70,2,130,61,131,14,55,79,178,47,30,5,155,31,6,177,93,18,2007-2011
B25127_31_built_1939_or_earlier,49172,47371,33113,6179,16557,18642,22119,17582,7109,17778,8494,5678,27609,7219,7219,21220,4273,20647,1589,42092,12579,41499,28282,11570,143109,73959,73984,15870,4107,117867,21600,8299,36047,12168,62547,2007-2011
"B25127_32_1,_detached__or_attached",42011,38148,13945,5748,15745,16826,20898,16722,6758,12952,7524,5461,24036,6894,7026,20572,4029,20016,1521,34724,10666,32530,14306,10364,60775,67972,4814,14244,3860,76591,17393,7403,34450,10988,48247,2007-2011
B25127_33_2_to_4,6627,8385,14393,404,758,1709,997,697,295,4616,905,184,3277,315,174,590,225,580,53,5887,1738,8285,9689,1108,64043,4312,4160,1477,235,29944,3773,773,1372,1009,7449,2007-2011
B25127_34_5_to_19,149,404,2586,27,43,6,106,81,25,85,28,33,74,0,0,47,19,0,2,681,100,357,647,35,7521,312,12502,74,12,2373,97,29,120,73,1226,2007-2011
B25127_35_20_to_49,162,129,1444,0,0,33,54,45,0,74,37,0,81,0,0,0,0,19,13,369,14,243,1424,0,3927,563,19887,22,0,2388,97,40,46,39,2122,2007-2011
B25127_36_50_or_more,213,150,745,0,0,59,48,37,18,26,0,0,25,0,0,0,0,9,0,420,42,84,2167,63,6744,704,32566,42,0,6492,197,38,59,59,3454,2007-2011
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",10,155,0,0,11,9,16,0,13,25,0,0,116,10,19,11,0,23,0,11,19,0,49,0,99,96,55,11,0,79,43,16,0,0,49,2007-2011
B25127_38_renter_occupied,110403,146940,158789,6950,42181,92908,56575,42996,40315,71948,23703,8302,71497,10049,5176,42434,11678,28253,3404,98455,16127,116206,377020,31838,636778,80645,567229,36912,5796,426053,49387,28817,95332,21516,131143,2007-2011
B25127_39_built_2000_or_later,7861,12679,15809,563,3398,8401,4604,3731,6383,2776,2708,796,5066,448,147,2814,1279,2213,432,6072,506,4925,20473,2599,26322,3591,32318,3611,700,21035,3515,2836,10084,1755,7085,2007-2011
"B25127_40_1,_detached__or_attached",1357,2588,863,133,395,1158,1077,425,2778,347,429,257,590,152,44,648,839,663,301,1102,165,976,710,283,872,651,160,829,98,924,1505,455,2346,393,640,2007-2011
B25127_41_2_to_4,1212,5103,3553,11,226,2009,503,445,802,1075,561,266,1985,72,48,353,230,286,37,1465,89,872,6241,544,10012,856,977,659,214,10359,1550,1000,2108,451,1207,2007-2011
B25127_42_5_to_19,1045,1685,1790,187,1135,2514,937,931,1780,404,895,142,843,123,13,1238,159,678,29,1024,75,1068,2348,885,6274,560,2966,1264,69,3405,110,568,3165,328,746,2007-2011
B25127_43_20_to_49,811,1121,1841,80,512,1040,534,467,219,179,253,0,618,101,8,244,51,159,0,514,77,937,3567,170,3516,278,3423,282,217,1808,54,339,761,87,780,2007-2011
B25127_44_50_or_more,3335,2164,7728,152,1119,1658,1539,1399,804,771,558,124,976,0,13,251,0,403,58,1960,100,1029,7582,622,5538,1246,24766,555,102,4434,296,441,1521,324,3690,2007-2011
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",101,18,34,0,11,22,14,64,0,0,12,7,54,0,21,80,0,24,7,7,0,43,25,95,110,0,26,22,0,105,0,33,183,172,22,2007-2011
B25127_46_built_1980_to_1999,14775,16553,19923,1447,6594,22614,11120,8851,10218,6370,7575,1434,7273,1424,973,6840,3169,4751,977,18067,2797,20193,28791,5691,35257,7593,52184,7895,1128,29294,9859,6888,20155,3630,12331,2007-2011
"B25127_47_1,_detached__or_attached",2547,2489,1453,380,1130,3705,2448,1304,4452,857,1617,507,816,464,439,1556,1705,1395,587,2612,719,2833,1073,957,2313,1278,340,1361,466,1903,2966,947,5537,993,2018,2007-2011
B25127_48_2_to_4,3728,5845,6163,286,685,4296,1507,1481,1387,2284,1249,203,2686,235,133,1588,604,844,182,4979,781,5084,5849,1737,11719,2284,1107,1874,351,13212,4402,2337,4817,1207,3277,2007-2011
B25127_49_5_to_19,2561,2558,3586,570,2814,9618,2939,2965,2292,1412,2598,666,1106,440,76,1924,413,860,79,3954,632,5504,3870,1843,8640,1343,6154,2803,156,4084,653,2019,6104,711,2279,2007-2011
B25127_50_20_to_49,1669,1770,2075,69,862,1748,1150,1316,743,461,763,19,763,52,37,566,93,408,21,2198,343,2752,7427,264,4774,790,6389,551,26,2668,375,631,1862,164,1374,2007-2011
B25127_51_50_or_more,4154,3840,6537,122,1103,3206,2935,1774,1260,1294,1329,23,1878,209,197,1090,159,1025,0,4278,304,3845,10352,600,7541,1898,38143,762,29,7191,1321,835,1741,87,3371,2007-2011
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",116,51,109,20,0,41,141,11,84,62,19,16,24,24,91,116,195,219,108,46,18,175,220,290,270,0,51,544,100,236,142,119,94,468,12,2007-2011
B25127_53_built_1960_to_1979,33268,38956,30257,1686,13082,29177,19659,16052,14953,15256,6147,2829,23369,3204,916,13564,2789,5659,1062,25614,4399,31126,78249,9805,106390,21054,112952,8041,1464,92765,15936,10104,34981,5553,30858,2007-2011
"B25127_54_1,_detached__or_attached",3887,2714,1864,512,1858,3359,3080,2088,7183,1686,1286,776,1548,423,446,2717,1702,1820,694,4954,1258,4296,2514,1460,3319,4083,286,1730,556,5109,2283,1945,15703,1649,3556,2007-2011
B25127_55_2_to_4,12522,11519,10498,520,2058,8483,4174,2931,2343,6470,1576,666,9491,569,101,3098,333,1219,180,8668,1055,8661,10316,2661,23915,6218,1760,2215,411,31812,6832,3078,7275,1384,7993,2007-2011
B25127_56_5_to_19,6692,8136,6907,492,5206,11379,6718,6605,3103,3368,1664,911,4696,1501,134,4839,351,1456,63,4818,1074,8068,7657,3409,14230,3298,11518,2668,352,10452,1264,2833,7480,1638,5109,2007-2011
B25127_57_20_to_49,3850,4916,3416,97,1030,2936,1812,2642,1149,1219,552,40,3047,226,28,703,167,344,11,2482,455,3467,15690,805,15972,2301,17058,437,92,10173,1024,731,1828,199,3791,2007-2011
