B01001_30_15_to_17_years,5866,9640,11248,1802,3246,6435,1552,3188,10964,8731,13520,10704,11955,16223,31246,2335,3754,5152,19928,18049,2007-2011
B01001_31_18_and_19_years,3738,4972,6414,1068,1981,3801,832,2642,9185,6820,6777,7389,9465,9182,28265,1015,1918,2912,9251,14117,2007-2011
B01001_32_20_years,2230,2704,3616,497,854,2183,501,1450,4634,3036,3253,3431,4492,4297,16185,453,922,1324,4353,6808,2007-2011
B01001_33_21_years,1944,1877,2727,385,1269,1865,380,1440,4568,2582,3172,2629,4355,4052,14693,459,852,1808,4248,7404,2007-2011
B01001_34_22_to_24_years,4509,7010,9865,1482,2803,4983,919,3129,10621,7741,9420,8447,10585,13118,41183,1304,2462,3482,17757,18790,2007-2011
B01001_35_25_to_29_years,8019,12427,17642,2285,4858,8431,1826,5491,18707,11725,16566,13233,17544,23704,71235,2191,4357,6778,32898,32645,2007-2011
B01001_36_30_to_34_years,7916,12995,16654,2056,4634,8708,1834,4966,17257,11449,16672,13804,16425,23814,55711,2266,4490,7091,33557,31399,2007-2011
B01001_37_35_to_39_years,8998,15513,17105,2712,4747,10686,1876,5313,18463,12933,20157,16647,17720,26994,48942,3086,6298,8292,36617,32004,2007-2011
B01001_38_40_to_44_years,10314,17337,19798,2834,5299,11048,2682,5624,19834,15182,24196,19385,19449,29458,49993,3866,6731,10009,37801,34798,2007-2011
B01001_39_45_to_49_years,11334,19580,20429,3868,5396,12226,2730,6137,21374,15991,27863,21057,22324,33196,51986,4301,6871,10322,40832,35360,2007-2011
B01001_40_50_to_54_years,11134,18205,20008,4074,5219,11400,2692,5582,20526,15013,26806,19870,22426,32114,52557,3899,5488,9047,39046,33024,2007-2011
B01001_41_55_to_59_years,9014,15280,17236,4070,4385,9530,2414,4944,17331,13478,22773,17095,18196,26914,45248,2769,4473,7057,33167,30172,2007-2011
B01001_42_60_and_61_years,3574,5641,6205,1463,1998,3641,865,1966,6308,4932,8079,5508,7456,10538,18308,872,1597,2930,13279,10201,2007-2011
B01001_43_62_to_64_years,4656,7355,8039,2420,2451,4407,1148,2649,8604,6329,10724,7906,8732,13015,22540,1656,2109,3455,14744,11959,2007-2011
B01001_44_65_and_66_years,2733,4290,4443,1236,1142,2363,545,1604,4668,4041,5927,4501,5114,7778,13399,986,965,1618,8341,7363,2007-2011
B01001_45_67_to_69_years,3831,5361,5897,2122,1847,3026,884,2166,5849,4856,8058,5467,6006,9254,16799,795,1393,2349,10563,8734,2007-2011
B01001_46_70_to_74_years,4668,7615,7856,2383,2673,4732,1110,2745,8413,6573,10310,7348,9275,13949,23957,902,1869,3230,13929,10890,2007-2011
B01001_47_75_to_79_years,4000,6930,6791,2763,2076,3881,1143,2252,7006,6614,9192,6557,9499,13348,21928,921,1230,2413,12174,8484,2007-2011
B01001_48_80_to_84_years,3465,5384,6541,1890,1678,3361,1050,1471,5889,5517,8363,5698,8374,12070,18323,853,1028,2358,10074,5652,2007-2011
B01001_49_85_years_and_over,3388,5815,6920,1353,2002,2968,849,1740,5893,6085,9309,6005,9319,13228,19495,731,1036,2559,13146,5075,2007-2011
B02001_1_total,273674,448095,513582,97265,156142,287036,65984,159936,536478,409624,624351,495651,557648,794921,1514456,88329,145508,231725,959738,858539,2007-2011
B02001_2_white_alone,179551,334327,334701,88495,101567,239584,53239,111217,364855,346213,563523,432971,409619,656710,628564,72163,75663,191506,554469,188249,2007-2011
B02001_3_black_or_african_american_alone,44437,72786,96446,4790,31447,27958,9515,37559,126111,18837,22647,29750,107857,67627,660995,12116,58343,19639,164973,551916,2007-2011
B02001_4_american_indian_and_alaska_native_alone,933,433,1842,520,1832,387,201,768,1457,545,635,503,422,617,4010,161,1162,957,2998,2435,2007-2011
B02001_5_asian_alone,20312,19298,25524,845,1998,7598,574,3595,23102,5288,23817,18339,25919,49796,94985,1186,4382,9031,132465,35060,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,167,80,151,11,30,41,6,167,244,139,130,90,76,193,316,0,18,141,90,436,2007-2011
B02001_7_some_other_race_alone,20300,8925,39806,1331,14127,4959,1252,1950,9780,29931,5165,6125,4495,6285,92015,626,1345,4702,73497,58942,2007-2011
B02001_8_two_or_more_races,7974,12246,15112,1273,5141,6509,1197,4680,10929,8671,8434,7873,9260,13693,33571,2077,4595,5749,31246,21501,2007-2011
B02001_9_two_races_including_some_other_race,2751,1729,4300,324,1745,841,161,314,1405,2470,1321,936,843,1526,7115,56,392,792,6013,3260,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",5223,10517,10812,949,3396,5668,1036,4366,9524,6201,7113,6937,8417,12167,26456,2021,4203,4957,25233,18241,2007-2011
B11001_1_total,101418,165727,190337,44788,50868,103548,25004,57629,199922,153780,229955,182732,206596,307598,578125,30381,50305,85048,355434,302091,2007-2011
B11001_2_family_households,67468,116248,127897,29768,35333,75291,17267,40837,134758,107040,165703,129189,138133,209017,312755,23272,38005,61292,242848,199493,2007-2011
B11001_3_married-couple_family,47389,90437,88667,22654,23196,57928,12436,29684,96585,81297,136178,108503,99626,169554,162669,18601,27372,49539,189719,119311,2007-2011
B11001_4_other_family,20079,25811,39230,7114,12137,17363,4831,11153,38173,25743,29525,20686,38507,39463,150086,4671,10633,11753,53129,80182,2007-2011
"B11001_5_male_householder,_no_wife_present",4933,6694,9511,2432,3281,4543,1372,2564,9793,7403,8561,6184,9671,10730,31348,1335,2554,3316,13682,19782,2007-2011
"B11001_6_female_householder,_no_husband_present",15146,19117,29719,4682,8856,12820,3459,8589,28380,18340,20964,14502,28836,28733,118738,3336,8079,8437,39447,60400,2007-2011
B11001_7_nonfamily_households,33950,49479,62440,15020,15535,28257,7737,16792,65164,46740,64252,53543,68463,98581,265370,7109,12300,23756,112586,102598,2007-2011
B11001_8_householder_living_alone,28717,41880,52457,12688,13081,23263,6635,13951,52374,37776,54004,43175,58423,82726,224603,5863,10346,19418,91890,83132,2007-2011
B11001_9_householder_not_living_alone,5233,7599,9983,2332,2454,4994,1102,2841,12790,8964,10248,10368,10040,15855,40767,1246,1954,4338,20696,19466,2007-2011
B15002_1_total,184404,306186,341115,71073,103666,189880,44836,102530,353183,270938,432217,328054,368798,550425,973241,57854,94004,153170,655343,552093,2007-2011
B15002_2_male,87360,146458,159551,33544,53261,89472,21188,47880,167061,130220,207222,157973,170939,261051,442820,27760,44069,73662,305175,254333,2007-2011
B15002_3_no_schooling_completed,1433,639,2036,449,1012,664,240,433,1379,1293,1255,884,1569,1045,7400,102,128,484,3462,3689,2007-2011
B15002_4_nursery_to_4th_grade,954,464,1426,97,637,205,90,279,780,1253,284,637,833,296,3704,43,268,73,3116,4542,2007-2011
B15002_5_5th_and_6th_grade,1344,1047,2068,225,1328,319,167,588,1501,1391,739,1785,965,1618,5916,121,281,908,5539,8276,2007-2011
B15002_6_7th_and_8th_grade,1811,1644,2924,451,2013,1515,516,1113,3062,3983,1916,2047,1542,2540,9964,348,581,890,2703,4498,2007-2011
B15002_7_9th_grade,1844,1592,3172,486,1673,1251,464,1202,3039,3425,1912,1381,1392,2140,10147,339,569,863,3319,6359,2007-2011
B15002_8_10th_grade,2071,2555,4014,932,2425,1762,635,1442,3972,4008,3272,1906,2703,3950,17552,707,750,1434,2608,4109,2007-2011
B15002_9_11th_grade,2010,2185,4853,917,3095,2181,579,1725,3919,4280,3145,1621,3557,4012,20278,560,1015,1052,2525,5684,2007-2011
"B15002_10_12th_grade,_no_diploma",2766,2581,2955,677,1155,1759,394,777,2379,2428,2979,1747,2977,3209,14217,319,744,1023,4024,4689,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",30307,43056,51396,11782,21545,30688,8795,15643,49223,50860,63307,36216,52787,65125,157396,9293,14103,19691,39829,73677,2007-2011
"B15002_12_some_college,_less_than_1_year",5055,9911,9476,1965,3603,6525,1448,3525,9887,6911,13583,6526,9308,12261,21617,1917,3389,4702,10108,13510,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",11695,20024,19508,4208,5423,12351,2679,7718,22343,13682,26163,15852,21044,30845,52389,4389,7467,9849,34293,38481,2007-2011
B15002_14_associate's_degree,5291,9507,9298,1927,2730,5744,1245,3590,10219,8535,12510,8190,10845,14136,20605,1564,3464,4646,13203,14344,2007-2011
B15002_15_bachelor's_degree,14039,32646,28437,6171,4648,16306,2660,6269,31495,18911,46044,45761,35152,68959,60322,4679,7140,16920,79618,42943,2007-2011
B15002_16_master's_degree,4071,12728,11092,2031,1323,5560,834,2608,14122,6148,20013,22277,15241,29216,23886,2450,3339,7669,51038,20050,2007-2011
B15002_17_professional_school_degree,1835,3977,4865,777,434,1514,325,532,4828,1996,5904,5975,6545,13691,11103,420,357,1438,25033,4343,2007-2011
B15002_18_doctorate_degree,834,1902,2031,449,217,1128,117,436,4913,1116,4196,5168,4479,8008,6324,509,474,2020,24757,5139,2007-2011
B15002_19_female,97044,159728,181564,37529,50405,100408,23648,54650,186122,140718,224995,170081,197859,289374,530421,30094,49935,79508,350168,297760,2007-2011
B15002_20_no_schooling_completed,1239,1109,1959,125,1364,429,186,626,1492,1213,1116,838,1534,1441,9229,43,207,644,4295,3753,2007-2011
B15002_21_nursery_to_4th_grade,1024,464,1354,70,595,209,65,202,713,1003,379,714,708,520,4040,0,233,193,3341,3148,2007-2011
B15002_22_5th_and_6th_grade,1462,835,2313,237,1563,525,317,276,1134,1492,1049,1087,888,1578,6564,155,339,720,5396,6163,2007-2011
B15002_23_7th_and_8th_grade,2133,2122,3223,539,1636,1398,549,1357,2768,4011,2639,1860,2525,3301,13217,244,661,932,3492,4559,2007-2011
B15002_24_9th_grade,1715,1535,2748,441,1330,1080,397,889,2475,2710,1904,1600,1574,2127,11335,190,378,567,3156,4343,2007-2011
B15002_25_10th_grade,2402,2741,5062,809,1636,2067,579,1492,4018,4602,3918,1962,3316,4075,19813,375,762,1170,3420,4386,2007-2011
B15002_26_11th_grade,2442,2334,5113,858,1692,2155,772,1952,3951,4667,3414,2252,4027,4223,25835,635,1158,1119,2862,5756,2007-2011
"B15002_27_12th_grade,_no_diploma",2505,2427,2784,562,994,1442,463,1154,2651,2129,2853,1809,3114,3192,15083,367,729,908,5298,4672,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",33208,49687,59366,13959,19409,35614,8672,18939,54134,54310,74801,41979,66019,77011,185112,10260,14678,21499,53339,79236,2007-2011
"B15002_29_some_college,_less_than_1_year",6739,10329,11420,2398,3223,6938,1470,4014,12481,7774,13614,7361,11492,15175,26988,2542,4922,5852,14752,18634,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",12594,19738,23559,4815,5765,11711,3441,8030,25469,14726,26125,18322,21539,30914,62901,4018,8411,10614,38252,52079,2007-2011
B15002_31_associate's_degree,7635,13822,13039,2908,3355,9334,2381,5031,14748,10456,19315,11542,15392,21134,31541,2427,4015,7221,20689,19713,2007-2011
B15002_32_bachelor's_degree,15198,34339,32695,6460,5486,19410,3007,6628,36704,20788,45449,50432,39139,72846,68169,5305,8252,17413,96072,53574,2007-2011
B15002_33_master's_degree,5311,14221,12629,2916,1957,6567,1117,3254,17786,8800,22828,22037,19342,38440,35207,2857,4308,8416,63954,29796,2007-2011
B15002_34_professional_school_degree,1106,2720,3168,271,285,1060,126,533,3500,1425,3536,3765,4150,8001,9688,527,564,1084,17971,4714,2007-2011
B15002_35_doctorate_degree,331,1305,1132,161,115,469,106,273,2098,612,2055,2521,3100,5396,5699,149,318,1156,13879,3234,2007-2011
B19001_1_total,101418,165727,190337,44788,50868,103548,25004,57629,199922,153780,229955,182732,206596,307598,578125,30381,50305,85048,355434,302091,2007-2011
"B19001_2_less_than_$10,000",7171,5330,12212,2492,3488,4386,1600,3558,10722,8505,6558,5997,10884,11330,86139,712,1549,2657,11201,11515,2007-2011
"B19001_3_$10,000_to_$14,999",5029,4007,9404,2113,3336,3727,1142,3169,7294,7351,7204,4447,8407,8921,47954,681,1070,2040,7337,7287,2007-2011
"B19001_4_$15,000_to_$19,999",4841,4938,8436,2156,2888,3571,1613,2988,8137,7911,7627,5358,8607,9789,40591,567,1003,2124,7650,7108,2007-2011
"B19001_5_$20,000_to_$24,999",4647,5217,7808,1917,2719,3484,1041,2529,8317,8091,8030,5005,8974,10096,36990,904,1040,2362,8489,8739,2007-2011
"B19001_6_$25,000_to_$29,999",5314,6202,8650,2519,2829,3681,1168,2399,8847,8520,7771,5904,9333,10761,32981,472,1078,2730,8203,9221,2007-2011
"B19001_7_$30,000_to_$34,999",5393,5889,8347,2181,2337,3957,1145,2855,9441,8816,8725,6362,9576,12067,32267,858,1439,2919,9993,11906,2007-2011
"B19001_8_$35,000_to_$39,999",5201,5506,7782,2092,2375,3375,1039,3298,8398,7049,8609,5843,8838,10869,29628,960,1218,2761,10545,11252,2007-2011
"B19001_9_$40,000_to_$44,999",4454,6815,8067,2260,2449,3659,1234,2884,9084,8127,9322,6346,9561,11771,27363,811,1332,2835,11031,14578,2007-2011
"B19001_10_$45,000_to_$49,999",4254,6628,7317,2006,1894,3174,955,2653,7739,6137,8160,5199,8279,10210,23349,815,1889,2914,10456,11504,2007-2011
"B19001_11_$50,000_to_$59,999",8098,12679,14659,4399,4330,8190,2018,5076,16234,12872,18418,12360,15353,21773,43621,1951,3276,5949,23160,27021,2007-2011
"B19001_12_$60,000_to_$74,999",10039,16544,19106,4000,5509,10673,2585,7090,20127,18842,22968,16634,20999,29597,49387,2854,4676,8589,31351,34127,2007-2011
"B19001_13_$75,000_to_$99,999",14609,25412,26644,5975,6812,16570,3211,8598,27214,20700,33454,25900,27242,44477,54727,4544,8187,13108,45306,47097,2007-2011
"B19001_14_$100,000_to_$124,999",9036,19734,19544,3770,4613,12548,2737,5187,20779,13337,26513,21485,18714,34233,30202,4127,7423,11108,40122,34723,2007-2011
"B19001_15_$125,000_to_$149,999",4829,13812,11661,2880,2159,8500,1452,2469,12959,7081,18197,14179,13785,23841,15987,3395,5548,8203,30347,23015,2007-2011
"B19001_16_$150,000_to_$199,999",4724,14862,11601,2252,1864,8337,1273,1867,13546,6075,19871,19267,14068,26723,14847,4112,5816,8626,42181,25405,2007-2011
"B19001_17_$200,000_or_more",3779,12152,9099,1776,1266,5716,791,1009,11084,4366,18528,22446,13976,31140,12092,2618,3761,6123,58062,17593,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),55222,77798,61824,55315,52004,74830,57174,54783,64158,54823,76019,86264,63677,78446,36957,92981,92135,82668,95660,73447,2007-2011
B25001_1_total,126345,175262,204748,98400,55659,109210,27372,64616,216801,164226,245216,191146,222794,324427,669672,33561,54439,89494,374145,327005,2007-2011
B25003_1_total,101418,165727,190337,44788,50868,103548,25004,57629,199922,153780,229955,182732,206596,307598,578125,30381,50305,85048,355434,302091,2007-2011
B25003_2_owner_occupied,71670,129949,131095,33263,34808,83270,18260,41713,140936,112117,180127,139759,147396,226980,317211,25513,40270,64588,244497,193551,2007-2011
B25003_3_renter_occupied,29748,35778,59242,11525,16060,20278,6744,15916,58986,41663,49828,42973,59200,80618,260914,4868,10035,20460,110937,108540,2007-2011
B25024_1_total,126345,175262,204748,98400,55659,109210,27372,64616,216801,164226,245216,191146,222794,324427,669672,33561,54439,89494,374145,327005,2007-2011
"B25024_2_1,_detached",72650,113425,113986,50878,37245,79730,20009,42098,117565,89911,155872,117463,102124,178593,56661,29211,39157,56044,182351,167361,2007-2011
"B25024_3_1,_attached",10615,26144,35328,16310,3917,7845,1399,5483,44664,38945,37238,33240,66273,63687,392065,2025,8824,17700,68139,52185,2007-2011
B25024_4_2,7709,3513,9012,10589,2956,3169,1117,953,4372,5766,8875,3466,10951,11759,57771,304,391,1400,1713,1719,2007-2011
B25024_5_3_or_4,5504,5457,6974,5292,2207,3422,869,1162,6929,7571,6906,6325,10508,12398,42560,81,1011,1430,4883,5418,2007-2011
B25024_6_5_to_9,6969,7998,7886,3953,1921,4161,996,1705,9625,5755,9040,7171,6550,9700,27198,140,1352,2678,19105,23452,2007-2011
B25024_7_10_to_19,5392,8893,10490,2547,1430,3814,588,2777,15882,4180,9743,7775,7991,13322,14734,616,930,6335,36503,50661,2007-2011
B25024_8_20_to_49,3492,3725,5780,2432,783,2394,387,985,3871,2271,4902,5561,7556,9358,18610,261,868,1421,11856,6199,2007-2011
B25024_9_50_or_more,10713,3223,13835,3294,1862,2072,878,794,8582,4357,7519,4780,10117,22441,58872,455,820,1597,49141,18343,2007-2011
B25024_10_mobile_home,3301,2870,1403,3077,3329,2603,1129,8653,5233,5470,5101,5307,709,3061,1077,468,1054,845,402,1505,2007-2011
"B25024_11_boat,_rv,_van,_etc.",0,14,54,28,9,0,0,6,78,0,20,58,15,108,124,0,32,44,52,162,2007-2011
B25077_1_median_value_(dollars),256600,266200,224800,332400,177800,236100,198800,208300,254400,174000,319600,333400,234700,297900,140700,384500,341200,335600,469900,312800,2007-2011
B25034_1_total,126345,175262,204748,98400,55659,109210,27372,64616,216801,164226,245216,191146,222794,324427,669672,33561,54439,89494,374145,327005,2007-2011
B25034_2_built_2005_or_later,5870,5345,5076,2767,2450,6236,1009,7360,8487,5306,6861,9999,4782,9575,10935,1621,3820,5277,13595,13084,2007-2011
B25034_3_built_2000_to_2004,11529,12962,7056,11666,2873,10352,1259,10125,14028,11857,14414,19258,5642,18246,10131,4585,7348,11339,27592,20686,2007-2011
B25034_4_built_1990_to_1999,12242,23531,14642,9327,4523,14858,1885,12527,30633,19500,31986,29762,11745,36847,16940,9551,11677,18987,45971,44643,2007-2011
B25034_5_built_1980_to_1989,21259,25413,23404,16943,5066,15616,2640,9374,29142,16698,36513,32380,13765,37036,24441,6829,11343,14880,80256,43190,2007-2011
B25034_6_built_1970_to_1979,19514,33309,33513,13262,8059,17982,4263,8896,27896,20267,47545,28931,20182,42390,45827,5191,9253,13556,63903,54173,2007-2011
B25034_7_built_1960_to_1969,16138,26828,30076,11719,9390,12210,3120,5744,32426,13819,33713,19316,25411,40425,70781,1671,4746,6596,56795,68307,2007-2011
B25034_8_built_1950_to_1959,14894,22027,32798,11510,8251,13666,3858,4432,32237,17895,41581,18050,57853,55285,117568,1178,2628,4828,48319,46228,2007-2011
B25034_9_built_1940_to_1949,6978,6306,20075,5572,4453,6037,2463,1851,15156,10325,8721,5625,33286,23282,106752,1143,1478,2417,19437,20996,2007-2011
B25034_10_built_1939_or_earlier,17921,19541,38108,15634,10594,12253,6875,4307,26796,48559,23882,27825,50128,61341,266297,1792,2146,11614,18277,15698,2007-2011
B25127_1_total,101418,165727,190337,44788,50868,103548,25004,57629,199922,153780,229955,182732,206596,307598,578125,30381,50305,85048,355434,302091,2007-2011
B25127_2_owner_occupied,71670,129949,131095,33263,34808,83270,18260,41713,140936,112117,180127,139759,147396,226980,317211,25513,40270,64588,244497,193551,2007-2011
B25127_3_built_2000_or_later,12198,14029,7593,4153,3740,13432,1607,12296,16055,13409,16697,22768,6975,20204,6902,4802,8680,12415,23625,22641,2007-2011
"B25127_4_1,_detached__or_attached",11377,13312,7094,3503,3244,12619,1499,10956,15276,12088,15004,21588,6172,18695,5562,4699,8412,11717,18213,21362,2007-2011
B25127_5_2_to_4,123,76,181,269,0,61,10,2,16,65,112,118,16,70,184,10,64,25,178,46,2007-2011
B25127_6_5_to_19,145,160,16,111,37,229,0,4,35,65,423,181,203,196,293,46,103,455,1433,547,2007-2011
B25127_7_20_to_49,56,63,159,25,0,18,0,0,9,30,213,52,180,239,248,12,0,17,1002,408,2007-2011
B25127_8_50_or_more,18,11,88,0,0,17,0,0,148,52,341,81,342,596,591,35,11,163,2799,122,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",479,407,55,245,459,488,98,1334,571,1109,604,748,62,408,24,0,90,38,0,156,2007-2011
B25127_10_built_1980_to_1999,19744,39211,25842,9457,6174,25494,3360,14114,42827,29027,55834,49295,17129,57035,13028,13101,17174,25763,86963,60534,2007-2011
"B25127_11_1,_detached__or_attached",15761,34792,23644,8225,5343,23237,3017,10723,38744,26613,51462,45483,15910,53364,9835,12909,16894,24033,75649,57055,2007-2011
B25127_12_2_to_4,930,673,326,338,90,236,23,15,210,89,860,465,280,350,891,18,18,111,793,310,2007-2011
B25127_13_5_to_19,1591,2416,1160,149,11,1171,0,24,929,215,1231,885,298,1070,568,115,59,1215,6066,1978,2007-2011
B25127_14_20_to_49,227,222,89,28,1,68,14,51,201,21,303,181,179,285,402,8,0,126,988,316,2007-2011
B25127_15_50_or_more,420,114,178,32,10,37,0,0,145,131,130,267,277,542,1066,12,0,89,3372,49,2007-2011
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",815,994,445,685,719,745,306,3301,2598,1958,1848,2014,185,1424,266,39,203,189,95,826,2007-2011
B25127_17_built_1960_to_1979,19572,41776,37688,9129,10429,21329,4978,8663,35644,22727,50042,33744,25978,51945,51393,5130,10173,14580,73086,61422,2007-2011
