"B25127_52_mobile_home,_boat,_rv,_van,_etc.",3757,1673,2009-2013
B25127_53_built_1960_to_1979,564400,186126,2009-2013
"B25127_54_1,_detached__or_attached",107665,47031,2009-2013
B25127_55_2_to_4,70191,40140,2009-2013
B25127_56_5_to_19,177898,47462,2009-2013
B25127_57_20_to_49,107708,16998,2009-2013
B25127_58_50_or_more,94483,31120,2009-2013
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",6455,3375,2009-2013
B25127_60_built_1940_to_1959,457955,58908,2009-2013
"B25127_61_1,_detached__or_attached",197271,28891,2009-2013
B25127_62_2_to_4,65357,12319,2009-2013
B25127_63_5_to_19,114739,9704,2009-2013
B25127_64_20_to_49,48964,3581,2009-2013
B25127_65_50_or_more,29450,3826,2009-2013
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",2174,587,2009-2013
B25127_67_built_1939_or_earlier,265703,12514,2009-2013
"B25127_68_1,_detached__or_attached",112451,7479,2009-2013
B25127_69_2_to_4,45375,2098,2009-2013
B25127_70_5_to_19,57477,1520,2009-2013
B25127_71_20_to_49,27727,711,2009-2013
B25127_72_50_or_more,22333,571,2009-2013
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",340,135,2009-2013
B03002_1_total,9893481,3051771,2009-2013
B03002_2_not_hispanic_or_latino,5151989,2018892,2009-2013
B03002_3_white_alone,2721187,1327507,2009-2013
B03002_4_black_or_african_american_alone,803913,45900,2009-2013
B03002_5_american_indian_and_alaska_native_alone,17674,6163,2009-2013
B03002_6_asian_alone,1356049,555650,2009-2013
B03002_7_native_hawaiian_and_other_pacific_islander_alone,23829,9138,2009-2013
B03002_8_some_other_race_alone,23933,5967,2009-2013
B03002_9_two_or_more_races,205404,68567,2009-2013
B03002_10_two_races_including_some_other_race,14635,3337,2009-2013
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",190769,65230,2009-2013
B03002_12_hispanic_or_latino,4741492,1032879,2009-2013
B03002_13_white_alone,2556274,585236,2009-2013
B03002_14_black_or_african_american_alone,29564,3936,2009-2013
