index,48085,48097,48113,48121,48139,48147,48181,48213,48221,48223,48231,48251,48257,48349,48363,48367,48397,48425,48439,48497,40013,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,ok,2008-2012
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",17289,697,40015,22339,2362,629,2689,891,445,263,1101,2328,2516,683,443,1267,1429,28,32413,731,5211,2008-2012
B11001_1_total,283025,14489,849874,237732,50327,11783,46600,30311,20631,13262,30682,51776,34597,17441,10556,41640,26141,3221,651877,20352,16398,2008-2012
B11001_2_family_households,208722,10309,555311,168703,40204,8471,32566,20337,14777,9763,20832,39841,27316,12354,7414,31395,21219,2191,451651,15819,10431,2008-2012
B11001_3_married-couple_family,170897,7949,370755,134421,31374,6483,23776,16056,12471,7793,16072,31359,20877,9088,5532,25743,17684,1798,327213,13163,7739,2008-2012
B11001_4_other_family,37825,2360,184556,34282,8830,1988,8790,4281,2306,1970,4760,8482,6439,3266,1882,5652,3535,393,124438,2656,2692,2008-2012
"B11001_5_male_householder,_no_wife_present",10886,799,48358,9165,2523,678,2536,1117,549,522,1220,2860,1832,838,446,1822,1202,75,32442,613,720,2008-2012
"B11001_6_female_householder,_no_husband_present",26939,1561,136198,25117,6307,1310,6254,3164,1757,1448,3540,5622,4607,2428,1436,3830,2333,318,91996,2043,1972,2008-2012
B11001_7_nonfamily_households,74303,4180,294563,69029,10123,3312,14034,9974,5854,3499,9850,11935,7281,5087,3142,10245,4922,1030,200226,4533,5967,2008-2012
B11001_8_householder_living_alone,61098,3661,243911,53344,8403,2966,11625,8228,5097,3054,8394,9673,6094,4241,2717,8590,4131,932,167887,3872,4909,2008-2012
B11001_9_householder_not_living_alone,13205,519,50652,15685,1720,346,2409,1746,757,445,1456,2262,1187,846,425,1655,791,98,32339,661,1058,2008-2012
B15002_1_total,506312,25076,1486474,415720,93135,23448,80420,54357,36741,23363,55946,97099,65488,30481,18728,77200,50331,5694,1135356,38885,27638,2008-2012
B15002_2_male,243533,12032,721141,201393,44842,12344,38279,25964,17688,11323,27169,47756,31532,14577,8965,38448,24039,2809,545549,19276,13199,2008-2012
B15002_3_no_schooling_completed,1805,170,16312,1464,749,155,278,434,122,177,471,593,454,240,125,285,180,4,7682,286,102,2008-2012
B15002_4_nursery_to_4th_grade,1016,138,15558,1057,336,180,223,382,160,325,186,520,482,192,84,335,120,10,6657,322,181,2008-2012
B15002_5_5th_and_6th_grade,3103,219,38628,3106,1077,266,678,464,374,226,550,998,612,513,406,240,381,87,19008,556,265,2008-2012
B15002_6_7th_and_8th_grade,2245,352,20167,2323,966,281,897,618,274,274,754,1259,962,505,386,629,290,64,9023,505,325,2008-2012
B15002_7_9th_grade,2441,312,33371,3499,1370,435,891,710,322,311,866,1346,1033,525,216,782,341,64,14432,479,417,2008-2012
B15002_8_10th_grade,2475,367,17665,2107,1200,465,752,1126,435,381,823,1585,816,633,359,1121,205,105,11152,713,502,2008-2012
B15002_9_11th_grade,1675,440,20802,2540,1170,543,1087,1022,494,617,1205,1954,971,687,319,1444,297,23,13285,764,490,2008-2012
"B15002_10_12th_grade,_no_diploma",2143,290,14416,2298,610,209,876,448,328,284,415,769,556,273,349,477,167,55,9136,267,209,2008-2012
"B15002_11_high_school_graduate,_ged,_or_alternative",33480,3921,164577,35378,13246,4628,11975,8891,4650,4069,9424,15966,9895,4924,3240,10722,5150,718,125048,6613,4269,2008-2012
"B15002_12_some_college,_less_than_1_year",11600,665,33163,12406,3941,756,3143,1864,1500,618,1906,3988,2496,740,404,3495,1905,165,35077,1506,819,2008-2012
"B15002_13_some_college,_1_or_more_years,_no_degree",37129,2168,101691,36284,7685,1714,6834,3864,3220,1736,4464,8661,6179,2432,1350,7104,4149,347,94624,3469,2031,2008-2012
B15002_14_associate's_degree,16481,915,37595,15021,3081,748,3132,2019,1142,515,1482,2691,1625,916,438,2695,1880,288,36127,836,881,2008-2012
B15002_15_bachelor's_degree,81448,1436,130894,58299,6294,1323,4944,2664,3095,1169,2908,4979,3739,1333,830,5824,6145,693,109754,2253,1683,2008-2012
B15002_16_master's_degree,34526,363,49701,18649,2316,417,1745,1132,1065,323,1175,1734,1313,391,288,2311,1909,77,38584,515,745,2008-2012
B15002_17_professional_school_degree,6322,185,18693,3248,596,143,438,187,281,217,174,374,251,228,83,529,553,98,9979,124,187,2008-2012
