estimate_year,index,TX_085,TX_113,TX_121,TX_139,TX_221,TX_231,TX_251,TX_257,TX_367,TX_397,TX_425,TX_439,TX_497
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx
2013-2017,B25127_13_5_to_19,102,651,69,0,0,0,39,6,0,0,5,49,0
2013-2017,B25127_14_20_to_49,35,521,30,0,0,0,0,0,0,21,0,47,0
2013-2017,B25127_15_50_or_more,217,1015,43,0,0,0,0,0,0,0,0,359,0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",894,1534,1530,859,490,1148,1908,1151,1364,137,85,1652,1369
2013-2017,B25127_17_built_1980_to_1999,90245,123520,69263,14144,6718,7462,14606,8304,12256,7852,770,133568,5942
2013-2017,"B25127_18_1,_detached__or_attached",86902,111371,65205,11797,5074,5204,9775,6248,8770,7115,575,127105,3656
2013-2017,B25127_19_2_to_4,388,1794,120,34,23,19,8,0,24,49,0,918,5
2013-2017,B25127_20_5_to_19,333,2879,39,0,15,0,0,0,59,86,0,889,5
2013-2017,B25127_21_20_to_49,35,927,14,0,0,0,0,0,0,0,0,69,0
2013-2017,B25127_22_50_or_more,110,1729,7,0,0,20,0,8,0,0,0,242,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",2477,4820,3878,2313,1606,2219,4823,2048,3403,602,195,4345,2276
2013-2017,B25127_24_built_1960_to_1979,24780,146433,20719,6321,3504,5979,9277,4646,5241,2200,344,90392,2908
2013-2017,"B25127_25_1,_detached__or_attached",24277,138973,19804,5730,2749,5280,8420,4272,4488,2095,323,88206,2506
2013-2017,B25127_26_2_to_4,125,1910,32,2,9,0,0,9,5,0,0,496,9
2013-2017,B25127_27_5_to_19,87,1709,7,0,39,0,29,0,0,0,0,327,12
2013-2017,B25127_28_20_to_49,14,701,0,0,0,0,0,0,0,0,0,45,0
2013-2017,B25127_29_50_or_more,38,1464,25,0,0,14,12,0,0,0,0,228,0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",239,1676,851,589,707,685,816,365,748,105,21,1090,381
2013-2017,B25127_31_built_1940_to_1959,3450,93354,3424,2342,525,1666,2640,1358,1826,280,198,54220,1146
2013-2017,"B25127_32_1,_detached__or_attached",3350,91920,3369,2275,432,1578,2594,1302,1758,280,198,53905,1135
2013-2017,B25127_33_2_to_4,75,347,27,0,0,29,29,0,6,0,0,157,0
2013-2017,B25127_34_5_to_19,0,430,12,0,0,0,0,0,0,0,0,42,0
2013-2017,B25127_35_20_to_49,7,124,0,0,0,0,0,0,0,0,0,28,0
2013-2017,B25127_36_50_or_more,0,304,0,0,0,0,0,0,0,0,0,0,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",18,229,16,67,93,59,17,56,62,0,0,88,11
2013-2017,B25127_38_built_1939_or_earlier,1819,18866,1133,1671,261,1046,1228,901,1056,125,140,13205,494
2013-2017,"B25127_39_1,_detached__or_attached",1797,18127,1089,1667,261,1038,1217,901,1034,125,140,12801,494
2013-2017,B25127_40_2_to_4,22,280,22,4,0,8,11,0,11,0,0,56,0
2013-2017,B25127_41_5_to_19,0,59,0,0,0,0,0,0,0,0,0,6,0
2013-2017,B25127_42_20_to_49,0,33,0,0,0,0,0,0,0,0,0,85,0
2013-2017,B25127_43_50_or_more,0,135,0,0,0,0,0,0,0,0,0,250,0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,232,22,0,0,0,0,0,11,0,0,7,0
2013-2017,B25127_45_renter_occupied,111349,448928,97642,14747,5154,9635,14486,8350,9880,5951,843,271069,5049
2013-2017,B25127_46_built_2010_or_later,11393,25112,9210,1070,402,216,843,466,537,655,0,12709,147
2013-2017,"B25127_47_1,_detached__or_attached",1920,2036,1445,385,167,54,138,120,203,99,0,1976,51
2013-2017,B25127_48_2_to_4,556,1319,672,210,34,51,132,66,229,36,0,709,20
2013-2017,B25127_49_5_to_19,2662,3690,2582,202,47,59,231,46,59,196,0,4203,4
2013-2017,B25127_50_20_to_49,1585,2705,2047,77,14,11,64,82,19,91,0,2011,0
2013-2017,B25127_51_50_or_more,4495,15101,2249,160,98,0,194,77,12,197,0,3436,0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",175,261,215,36,42,41,84,75,15,36,0,374,72
2013-2017,B25127_53_built_2000_to_2009,28017,57150,23800,3799,1232,985,2383,1845,2175,2027,249,48164,790
2013-2017,"B25127_54_1,_detached__or_attached",9231,9958,7787,1584,715,351,1015,893,710,1232,33,17201,421
2013-2017,B25127_55_2_to_4,1266,4975,1657,418,91,62,386,171,416,13,0,3978,70
2013-2017,B25127_56_5_to_19,7843,15107,6650,921,97,331,334,201,447,196,6,14339,36
2013-2017,B25127_57_20_to_49,2872,6205,4114,201,8,18,178,27,69,114,0,5050,23
2013-2017,B25127_58_50_or_more,6500,19970,2860,376,173,55,86,45,19,401,0,7047,0
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",305,935,732,299,148,168,384,508,514,71,210,549,240
2013-2017,B25127_60_built_1980_to_1999,55451,158242,45502,4981,2046,3621,5330,2875,3594,2300,284,106441,2287
2013-2017,"B25127_61_1,_detached__or_attached",12477,24688,9199,1869,607,976,1574,973,1443,1164,121,24105,831
2013-2017,B25127_62_2_to_4,3652,16895,3402,917,175,602,897,618,478,213,27,14720,207
2013-2017,B25127_63_5_to_19,23908,68056,18883,794,290,1050,740,269,322,389,31,44040,242
2013-2017,B25127_64_20_to_49,7290,21046,7965,95,80,147,97,169,70,131,9,8748,97
2013-2017,B25127_65_50_or_more,7066,25004,4104,276,149,181,119,72,62,39,14,12629,23
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",1058,2553,1949,1030,745,665,1903,774,1219,364,82,2199,887
2013-2017,B25127_67_built_1960_to_1979,13194,144013,14925,2600,1105,3135,4076,1890,2267,655,168,68178,1004
2013-2017,"B25127_68_1,_detached__or_attached",6001,35890,5822,1462,410,1307,2008,980,1099,323,123,25558,596
2013-2017,B25127_69_2_to_4,1621,16310,1902,466,126,362,733,329,282,178,38,10623,13
2013-2017,B25127_70_5_to_19,2943,60834,4525,364,33,737,391,413,344,123,7,21008,224
2013-2017,B25127_71_20_to_49,1344,16037,1277,51,74,197,95,5,82,18,0,4144,0
2013-2017,B25127_72_50_or_more,1122,14097,928,97,25,186,90,49,12,13,0,6020,0
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",163,845,471,160,437,346,759,114,448,0,0,825,171
2013-2017,B25127_74_built_1940_to_1959,2602,49997,3353,1509,289,1331,1206,854,1006,153,90,27535,743
2013-2017,"B25127_75_1,_detached__or_attached",1621,32199,2213,1114,177,953,1047,833,675,70,90,21351,668
2013-2017,B25127_76_2_to_4,230,4666,335,181,55,178,69,14,211,83,0,1959,9
2013-2017,B25127_77_5_to_19,383,7059,510,87,0,143,73,0,72,0,0,2312,0
2013-2017,B25127_78_20_to_49,190,2864,112,11,0,19,7,0,0,0,0,696,0
2013-2017,B25127_79_50_or_more,161,3019,140,27,0,36,0,0,0,0,0,1125,17
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",17,190,43,89,57,2,10,7,48,0,0,92,49
2013-2017,B25127_81_built_1939_or_earlier,692,14414,852,788,80,347,648,420,301,161,52,8042,78
2013-2017,"B25127_82_1,_detached__or_attached",454,6731,609,663,25,295,573,365,267,161,52,5486,76
2013-2017,B25127_83_2_to_4,90,1893,124,20,0,28,58,32,15,0,0,1024,0
2013-2017,B25127_84_5_to_19,26,2162,31,59,21,10,8,0,0,0,0,679,0
2013-2017,B25127_85_20_to_49,0,932,10,33,0,0,0,0,0,0,0,221,0
2013-2017,B25127_86_50_or_more,30,2541,29,13,15,0,9,8,0,0,0,616,0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",92,155,49,0,19,14,0,15,19,0,0,16,2
2013-2017,B03002_1_total,914075,2552213,781321,164092,55418,90322,160173,114852,125963,90414,8650,1983675,63247
2013-2017,B03002_2_not_hispanic_or_latino,776204,1540839,632035,122301,48777,76485,127698,92035,111502,74995,7002,1424650,51388
2013-2017,B03002_3_white_alone,540387,771258,475452,102697,46999,65807,117957,76486,106370,65357,6804,959103,49012
2013-2017,B03002_4_black_or_african_american_alone,84259,563220,70796,14640,384,7044,4506,11926,1642,5437,51,308577,752
2013-2017,B03002_5_american_indian_and_alaska_native_alone,2858,4450,2289,419,482,716,664,491,622,201,30,5443,239
2013-2017,B03002_6_asian_alone,123495,152045,60788,1104,446,1076,1219,1239,613,2195,0,100560,314
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,568,1098,579,68,0,44,588,67,52,0,49,3298,111
2013-2017,B03002_8_some_other_race_alone,2377,4485,1602,156,0,51,91,166,132,41,6,3539,8
2013-2017,B03002_9_two_or_more_races,22260,44283,20529,3217,466,1747,2673,1660,2071,1764,62,44130,952
2013-2017,B03002_10_two_races_including_some_other_race,1387,2616,1111,32,55,38,91,37,81,25,0,1501,63
