estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015
2009-2013,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2009-2013,B25127_19_2_to_4,572,425,192,10,307,164,521,433,2285,111,9
2009-2013,B25127_20_5_to_19,1265,822,277,27,428,841,717,720,705,381,28
2009-2013,B25127_21_20_to_49,179,143,9,0,187,301,285,589,211,479,0
2009-2013,B25127_22_50_or_more,72,434,0,0,85,127,561,2289,3318,412,0
2009-2013,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",781,612,711,496,1526,764,171,635,133,696,473
2009-2013,B25127_24_built_1940_to_1959,21696,34535,13621,4396,40496,18162,62312,57342,107806,32715,2569
2009-2013,"B25127_25_1,_detached__or_attached",21465,33787,13326,4341,40092,17968,60858,56033,103059,32171,2515
2009-2013,B25127_26_2_to_4,129,606,165,52,205,109,895,358,2924,80,20
2009-2013,B25127_27_5_to_19,21,25,0,0,68,9,78,129,219,140,0
2009-2013,B25127_28_20_to_49,0,46,13,0,14,56,46,183,131,59,0
2009-2013,B25127_29_50_or_more,18,29,0,0,50,13,402,585,1413,191,0
2009-2013,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",63,42,117,3,67,7,33,54,60,74,34
2009-2013,B25127_31_built_1939_or_earlier,13340,23616,8835,3674,15614,15023,31450,37267,129388,13469,2511
2009-2013,"B25127_32_1,_detached__or_attached",12956,22760,8522,3623,15226,14611,30633,36079,122376,13170,2449
2009-2013,B25127_33_2_to_4,356,759,284,18,306,370,665,751,3733,94,46
2009-2013,B25127_34_5_to_19,28,57,0,0,41,7,44,123,1251,74,16
2009-2013,B25127_35_20_to_49,0,11,16,0,0,10,68,175,501,75,0
2009-2013,B25127_36_50_or_more,0,12,0,0,25,14,40,79,1390,55,0
2009-2013,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,17,13,33,16,11,0,60,137,1,0
2009-2013,B25127_38_renter_occupied,36639,59521,20567,7078,50721,44973,60300,82349,271086,60206,9418
2009-2013,B25127_39_built_2000_or_later,4396,4759,2139,708,3839,5460,3577,7250,12404,5924,1405
2009-2013,"B25127_40_1,_detached__or_attached",2578,1219,813,225,1361,1812,1149,1689,3083,2005,298
2009-2013,B25127_41_2_to_4,322,642,184,38,101,556,244,531,2695,616,222
2009-2013,B25127_42_5_to_19,759,814,700,99,543,1102,359,1610,1154,2161,564
2009-2013,B25127_43_20_to_49,331,506,102,43,485,768,456,869,1052,278,46
2009-2013,B25127_44_50_or_more,371,1554,311,285,1304,1100,1329,2517,4381,813,234
2009-2013,"B25127_45_mobile_home,_boat,_rv,_van,_etc.",35,24,29,18,45,122,40,34,39,51,41
2009-2013,B25127_46_built_1980_to_1999,8471,10351,4292,996,10138,10635,6868,14357,25026,14584,2633
2009-2013,"B25127_47_1,_detached__or_attached",2766,2123,1079,228,2715,3688,1140,3646,5076,4995,936
2009-2013,B25127_48_2_to_4,1082,1703,841,94,1709,1030,1265,2513,6092,872,412
2009-2013,B25127_49_5_to_19,2784,2586,1252,425,2714,3099,1499,3487,3783,6105,847
2009-2013,B25127_50_20_to_49,658,909,425,32,915,1139,864,1146,1937,760,109
2009-2013,B25127_51_50_or_more,1070,2967,655,113,1958,1040,2059,3427,7847,1365,41
2009-2013,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",111,63,40,104,127,639,41,138,291,487,288
2009-2013,B25127_53_built_1960_to_1979,14216,22064,7867,2103,23520,12682,16924,26564,55104,19183,2162
2009-2013,"B25127_54_1,_detached__or_attached",3613,4468,1325,577,4472,3200,3128,4555,12130,4463,1240
2009-2013,B25127_55_2_to_4,2075,3835,1728,426,6137,1456,4297,5334,16699,2130,283
2009-2013,B25127_56_5_to_19,5872,7576,2653,721,8022,4640,4578,7149,8732,8605,341
2009-2013,B25127_57_20_to_49,1331,1832,1227,107,1991,1790,2165,2699,4173,937,56
2009-2013,B25127_58_50_or_more,1116,4167,768,224,2724,1292,2562,6712,13136,2795,10
2009-2013,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",209,186,166,48,174,304,194,115,234,253,232
2009-2013,B25127_60_built_1940_to_1959,4922,13256,3664,1684,6973,5109,20578,16029,81570,11172,1431
2009-2013,"B25127_61_1,_detached__or_attached",2374,5428,1835,889,3536,2820,8163,5278,40625,5106,926
2009-2013,B25127_62_2_to_4,1125,3744,850,443,1249,830,5757,4618,20633,2194,295
2009-2013,B25127_63_5_to_19,989,1829,435,228,1457,842,3251,2551,7793,2428,196
2009-2013,B25127_64_20_to_49,275,476,336,64,237,350,2176,1086,3502,393,14
2009-2013,B25127_65_50_or_more,159,1777,136,60,468,267,1231,2479,9010,887,0
2009-2013,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",0,2,72,0,26,0,0,17,7,164,0
2009-2013,B25127_67_built_1939_or_earlier,4634,9091,2605,1587,6251,11087,12353,18149,96982,9343,1787
2009-2013,"B25127_68_1,_detached__or_attached",2002,4492,1510,1190,2694,4906,5903,6459,49216,4949,823
2009-2013,B25127_69_2_to_4,1720,2652,777,191,2163,3704,3767,6686,23690,2649,595
2009-2013,B25127_70_5_to_19,720,985,237,138,1152,1606,1435,2808,11241,1176,286
2009-2013,B25127_71_20_to_49,159,272,27,0,81,428,768,982,3644,249,28
2009-2013,B25127_72_50_or_more,33,690,54,68,149,422,476,1214,9088,320,19
2009-2013,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,0,0,0,12,21,4,0,103,0,36
2009-2013,B03002_1_total,449964,513512,289098,65825,625977,503075,559771,804621,1536704,542784,101435
2009-2013,B03002_2_not_hispanic_or_latino,419387,438113,274600,61118,598140,469602,542359,769337,1341990,494483,97771
2009-2013,B03002_3_white_alone,315039,306232,232699,50241,540699,410898,394256,631549,562222,330987,87913
2009-2013,B03002_4_black_or_african_american_alone,71065,92963,28085,9064,22157,29411,110949,69229,645702,127190,6551
2009-2013,B03002_5_american_indian_and_alaska_native_alone,360,976,294,64,536,306,438,516,2696,915,229
2009-2013,B03002_6_asian_alone,20038,26787,7974,588,25299,20338,26902,52511,99172,24845,1053
2009-2013,B03002_7_native_hawaiian_and_other_pacific_islander_alone,122,93,41,4,128,76,51,162,246,71,19
2009-2013,B03002_8_some_other_race_alone,1631,885,555,99,1108,847,513,1433,4652,942,398
2009-2013,B03002_9_two_or_more_races,11132,10177,4952,1058,8213,7726,9250,13937,27300,9533,1608
2009-2013,B03002_10_two_races_including_some_other_race,614,873,134,5,686,574,531,778,1717,485,22
2009-2013,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",10518,9304,4818,1053,7527,7152,8719,13159,25583,9048,1586
2009-2013,B03002_12_hispanic_or_latino,30577,75399,14498,4707,27837,33473,17412,35284,194714,48301,3664
2009-2013,B03002_13_white_alone,17533,21832,6743,2589,20470,27800,9988,27445,75620,30979,2832
2009-2013,B03002_14_black_or_african_american_alone,2061,6656,871,317,956,487,2097,1646,19630,2943,193
2009-2013,B03002_15_american_indian_and_alaska_native_alone,112,717,93,42,184,142,139,217,1737,336,0
2009-2013,B03002_16_asian_alone,160,201,79,1,41,21,100,332,790,162,39
2009-2013,B03002_17_native_hawaiian_and_other_pacific_islander_alone,31,0,17,0,26,0,0,0,1113,224,17
2009-2013,B03002_18_some_other_race_alone,7950,40759,4777,1485,4752,3610,3994,3754,84175,10875,446
2009-2013,B03002_19_two_or_more_races,2730,5234,1918,273,1408,1413,1094,1890,11649,2782,137
