estimate_year,index,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,MSA
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,12060.0
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,12060.0
2013-2017,STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,12060.0
2013-2017,B01001_40_50_to_54_years,2516,3823,826,3797,8849,9811,27957,5259,895,26214,5442,4802,7980,34935,33453,1038,434,8578,512,613,865,671,3911,5603,1102,637,3510,2256,3392,12060.0
2013-2017,B01001_41_55_to_59_years,2374,4044,948,3457,8151,8853,25119,4620,908,24525,4742,4823,5985,30814,27367,894,402,6877,644,669,913,702,3282,4635,1130,534,3262,2255,2907,12060.0
2013-2017,B01001_42_60_and_61_years,850,1027,273,997,2486,3645,8279,1640,355,9393,1558,1681,2109,11677,9736,415,173,2671,197,327,233,221,1402,1535,599,264,1076,694,1105,12060.0
2013-2017,B01001_43_62_to_64_years,1082,1313,302,2257,4147,3867,12339,2301,487,13058,2142,2031,2952,16050,13333,485,270,3552,191,205,426,439,1760,2109,694,359,1899,1276,1463,12060.0
2013-2017,B01001_44_65_and_66_years,579,1194,223,1189,2694,2182,7338,1331,415,7757,1621,1483,1921,9477,7012,389,135,2037,152,232,362,244,1138,1499,509,106,1247,919,1078,12060.0
2013-2017,B01001_45_67_to_69_years,791,1423,296,1361,3132,3340,9983,2137,577,9607,1477,2043,2733,11847,10017,467,228,2858,231,368,516,372,1405,1524,762,332,1197,967,1280,12060.0
2013-2017,B01001_46_70_to_74_years,1583,1897,629,2318,4499,3225,10959,2574,642,11629,2222,2470,3375,15507,11021,603,203,3204,336,401,454,418,1846,2282,783,412,1576,1763,1874,12060.0
2013-2017,B01001_47_75_to_79_years,997,1325,340,1597,2643,2246,7060,1772,556,7364,1477,1692,2096,10359,7059,455,121,1931,216,185,445,416,1307,1435,618,198,1099,1029,1236,12060.0
2013-2017,B01001_48_80_to_84_years,617,786,184,1056,1417,1210,5514,1015,110,5578,863,1104,1482,7592,4968,280,145,1423,143,165,278,156,788,955,313,172,638,792,858,12060.0
2013-2017,B01001_49_85_years_and_over,362,786,323,798,1621,1166,5058,957,100,6475,716,1123,1249,8688,4409,381,169,1412,156,298,277,197,684,725,315,228,755,692,901,12060.0
2013-2017,B02001_1_total,75099,102623,23556,114898,235896,274150,739072,138015,23397,736066,140152,110306,211300,1010420,889954,28722,11607,217506,13732,18282,21152,18013,105042,152399,30343,17919,88482,64192,88695,12060.0
2013-2017,B02001_2_white_alone,59955,85953,16195,85990,203874,51044,442931,106038,22609,254989,67714,76243,175339,454897,450971,26416,9901,110446,10357,12116,12215,13351,54606,116211,29025,15777,37221,40377,70069,12060.0
2013-2017,B02001_3_black_or_african_american_alone,8412,11013,6686,21601,15623,188442,200534,24223,276,397343,63019,23341,6230,445952,237488,1237,1162,90021,2858,5293,8128,4243,45433,28271,148,1846,45865,21402,14692,12060.0
2013-2017,B02001_4_american_indian_and_alaska_native_alone,191,319,17,474,707,681,1656,185,18,4891,166,340,495,3756,2972,67,5,137,26,16,36,24,316,289,22,0,105,259,188,12060.0
2013-2017,B02001_5_asian_alone,2679,962,140,901,4419,14486,37897,2519,64,44568,2320,4926,22318,67503,99875,221,61,7177,41,138,133,11,1061,1592,164,31,1748,602,1090,12060.0
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,0,2,18,108,43,21,427,42,0,247,15,88,41,356,371,0,10,15,0,0,0,0,124,65,10,0,220,19,64,12060.0
2013-2017,B02001_7_some_other_race_alone,1957,2536,248,3380,6146,13311,34655,1625,60,14409,4119,1825,2505,14229,72430,192,3,2908,286,14,206,127,790,2355,267,27,1358,495,1223,12060.0
2013-2017,B02001_8_two_or_more_races,1905,1838,252,2444,5084,6165,20972,3383,370,19619,2799,3543,4372,23727,25847,589,465,6802,164,705,434,257,2712,3616,707,238,1965,1038,1369,12060.0
2013-2017,B02001_9_two_races_including_some_other_race,374,384,39,402,634,691,3076,133,57,2702,420,725,429,2630,4930,66,25,1250,0,0,17,0,543,499,0,0,182,54,234,12060.0
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",1531,1454,213,2042,4450,5474,17896,3250,313,16917,2379,2818,3943,21097,20917,523,440,5552,164,705,417,257,2169,3117,707,238,1783,984,1135,12060.0
2013-2017,B11001_1_total,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,12060.0
2013-2017,B11001_2_family_households,18350,26667,5760,28238,61684,61259,187468,38162,6421,160589,34797,30530,57777,211714,215104,8043,3028,56318,3687,3815,5643,5212,25936,40428,8533,4451,21913,16119,23807,12060.0
2013-2017,B11001_3_married-couple_family,13396,19634,4063,20760,50188,31553,139247,29346,5313,99762,23740,25752,49945,141665,160451,5941,2283,39912,2859,2742,3742,3774,17462,30418,7102,3545,14612,10438,17938,12060.0
2013-2017,B11001_4_other_family,4954,7033,1697,7478,11496,29706,48221,8816,1108,60827,11057,4778,7832,70049,54653,2102,745,16406,828,1073,1901,1438,8474,10010,1431,906,7301,5681,5869,12060.0
2013-2017,"B11001_5_male_householder,_no_wife_present",1664,2153,480,2175,3650,6546,11926,2275,352,13372,2238,1149,2127,15340,14923,761,191,3808,228,223,373,441,1941,3161,461,321,1734,1035,1671,12060.0
2013-2017,"B11001_6_female_householder,_no_husband_present",3290,4880,1217,5303,7846,23160,36295,6541,756,47455,8819,3629,5705,54709,39730,1341,554,12598,600,850,1528,997,6533,6849,970,585,5567,4646,4198,12060.0
2013-2017,B11001_7_nonfamily_households,6238,10453,2293,12885,21466,30345,86893,12369,2136,113025,13629,9074,12691,180136,68152,2990,1351,16379,1413,2448,2465,1486,9887,10969,2846,1512,8024,7356,6681,12060.0
2013-2017,B11001_8_householder_living_alone,5057,8361,1912,10263,17312,25707,68720,10194,1852,90165,11157,8284,10129,150379,55453,2537,1126,14202,1318,2266,2200,1323,8111,9094,2254,1387,6720,6200,5580,12060.0
2013-2017,B11001_9_householder_not_living_alone,1181,2092,381,2622,4154,4638,18173,2175,284,22860,2472,790,2562,29757,12699,453,225,2177,95,182,265,163,1776,1875,592,125,1304,1156,1101,12060.0
2013-2017,B15002_1_total,48812,68263,16454,71749,156284,168512,490883,91386,16644,497255,90072,74267,136116,674996,562979,19468,7914,138840,9416,11670,14731,12387,66904,97288,22087,12147,57669,43193,58380,12060.0
2013-2017,B15002_2_male,23512,33162,8721,34431,75429,75984,231755,43677,8146,228978,41529,35084,66267,319722,268846,9327,3900,63994,4526,5544,6830,5808,30550,46378,10866,5836,26169,20191,27394,12060.0
