estimate_year,index,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,MSA
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,12060.0
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,12060.0
2013-2017,STATE,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,ga,12060.0
2013-2017,"B25127_61_1,_detached__or_attached",1632,2565,468,2178,3861,6345,15690,2526,338,11628,2401,1975,2643,9649,20533,278,180,5395,138,239,215,202,2223,3480,402,135,2226,1107,2469,12060.0
2013-2017,B25127_62_2_to_4,304,813,47,688,376,1491,3132,549,100,3240,356,438,148,4898,5140,131,120,581,16,49,52,119,704,360,77,83,1382,527,737,12060.0
2013-2017,B25127_63_5_to_19,154,799,204,949,1629,6075,19475,970,163,16882,1156,842,231,27781,19983,64,13,1447,20,0,23,18,701,661,129,25,1903,527,299,12060.0
2013-2017,B25127_64_20_to_49,89,76,0,166,1076,1167,6493,242,0,6536,880,237,185,6654,4285,23,13,844,0,0,96,0,212,113,31,26,242,112,22,12060.0
2013-2017,B25127_65_50_or_more,18,68,0,177,344,555,3217,320,0,4674,180,162,190,12522,3149,0,0,238,0,0,71,0,177,67,16,0,51,236,30,12060.0
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",457,1313,185,1277,1045,748,1008,393,164,378,545,195,942,682,816,377,359,686,248,210,405,187,383,393,286,144,334,387,991,12060.0
2013-2017,B25127_67_built_1960_to_1979,1347,2750,1098,3010,2565,16256,25588,2515,335,41346,4358,1524,1304,46809,14188,1246,342,2267,347,617,712,477,1920,1146,573,211,2035,2581,1597,12060.0
2013-2017,"B25127_68_1,_detached__or_attached",655,1315,460,1898,1597,7700,10698,1293,184,11312,2647,998,772,10644,7496,640,168,1821,78,222,511,313,987,820,302,112,1355,1513,1090,12060.0
2013-2017,B25127_69_2_to_4,339,259,213,357,291,1669,1942,377,20,6451,713,158,120,4774,1779,340,89,144,115,219,2,91,467,109,52,24,461,408,311,12060.0
2013-2017,B25127_70_5_to_19,154,474,202,293,271,5618,8413,603,0,18502,528,166,102,21084,3694,51,7,143,19,98,28,0,106,45,99,10,115,350,128,12060.0
2013-2017,B25127_71_20_to_49,29,244,36,90,61,867,2795,48,0,2827,251,0,27,3406,498,61,22,58,0,16,0,25,56,28,0,0,10,109,0,12060.0
2013-2017,B25127_72_50_or_more,26,56,0,68,21,270,1328,78,4,2162,38,83,8,6612,538,13,13,15,0,0,0,0,0,0,0,0,17,23,0,12060.0
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",144,402,187,304,324,132,412,116,127,92,181,119,275,289,183,141,43,86,135,62,171,48,304,144,120,65,77,178,68,12060.0
2013-2017,B25127_74_built_1940_to_1959,599,1174,133,1486,876,2356,5494,1239,30,11422,911,163,354,18344,2323,623,142,392,206,294,343,131,740,500,265,50,130,1914,610,12060.0
2013-2017,"B25127_75_1,_detached__or_attached",451,1117,64,1112,607,1532,4024,949,30,7464,814,163,271,9669,1597,505,116,308,192,192,245,90,568,304,172,41,89,1475,528,12060.0
2013-2017,B25127_76_2_to_4,127,16,30,250,172,354,375,179,0,1026,48,0,23,2274,161,99,21,0,8,76,27,4,115,116,68,9,41,350,15,12060.0
2013-2017,B25127_77_5_to_19,21,0,0,101,42,313,677,42,0,2165,12,0,60,3635,365,16,3,58,6,26,42,0,0,80,25,0,0,67,0,12060.0
2013-2017,B25127_78_20_to_49,0,33,0,19,0,29,316,11,0,288,0,0,0,891,47,0,0,0,0,0,13,0,0,0,0,0,0,9,32,12060.0
2013-2017,B25127_79_50_or_more,0,0,0,0,0,29,102,0,0,418,0,0,0,1819,51,3,2,26,0,0,7,0,0,0,0,0,0,13,0,12060.0
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",0,8,39,4,55,99,0,58,0,61,37,0,0,56,102,0,0,0,0,0,9,37,57,0,0,0,0,0,35,12060.0
2013-2017,B25127_81_built_1939_or_earlier,223,451,149,1384,490,476,1521,885,58,2527,161,173,255,9577,558,83,38,242,73,119,325,208,522,413,77,135,46,526,410,12060.0
2013-2017,"B25127_82_1,_detached__or_attached",205,434,141,928,187,213,941,572,58,1408,161,157,198,3942,418,63,38,216,73,114,308,123,460,413,71,118,46,372,295,12060.0
2013-2017,B25127_83_2_to_4,18,17,8,269,20,126,179,65,0,488,0,0,0,1728,39,7,0,14,0,0,11,73,56,0,6,7,0,127,74,12060.0
2013-2017,B25127_84_5_to_19,0,0,0,0,69,114,321,115,0,463,0,0,0,1788,70,13,0,12,0,0,6,0,0,0,0,10,0,13,15,12060.0
2013-2017,B25127_85_20_to_49,0,0,0,38,69,0,39,0,0,49,0,0,0,714,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12060.0
2013-2017,B25127_86_50_or_more,0,0,0,50,145,23,41,133,0,77,0,0,9,1405,21,0,0,0,0,0,0,0,6,0,0,0,0,14,0,12060.0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",0,0,0,99,0,0,0,0,0,42,0,16,48,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,26,12060.0
2013-2017,B03002_1_total,75099,102623,23556,114898,235896,274150,739072,138015,23397,736066,140152,110306,211300,1010420,889954,28722,11607,217506,13732,18282,21152,18013,105042,152399,30343,17919,88482,64192,88695,12060.0
2013-2017,B03002_2_not_hispanic_or_latino,67575,94244,22831,107220,212232,237982,644667,128687,22409,672224,127246,102500,191236,935846,705333,28302,11529,203427,13199,17867,20710,17448,99653,143533,29420,17646,79452,61401,85138,12060.0
2013-2017,B03002_3_white_alone,54809,80298,15685,81705,188379,30835,392231,98747,21707,213843,60795,70754,158260,403350,349434,26195,9862,101652,10110,11887,11912,12903,51168,111299,28416,15536,30593,38112,67361,12060.0
2013-2017,B03002_4_black_or_african_american_alone,8320,10773,6644,21436,14515,185643,194071,23981,276,392421,61725,23263,6056,440568,230815,1237,1162,88487,2858,5293,8116,4238,44742,27271,148,1841,45162,21402,14619,12060.0
2013-2017,B03002_5_american_indian_and_alaska_native_alone,56,201,17,303,169,647,964,133,18,1666,130,284,382,1591,1359,67,2,137,26,16,36,24,170,276,15,0,94,259,188,12060.0
2013-2017,B03002_6_asian_alone,2679,962,140,901,4416,14463,37635,2514,64,44468,2308,4871,22255,67267,99659,221,61,7143,41,138,133,11,1041,1436,164,31,1748,602,1090,12060.0
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,2,0,108,0,21,305,17,0,240,15,88,41,263,329,0,10,0,0,0,0,0,124,52,10,0,220,19,64,12060.0
2013-2017,B03002_8_some_other_race_alone,158,313,127,727,578,1063,2417,361,31,3096,166,501,213,3547,4246,81,0,569,0,0,90,15,229,265,0,0,134,57,631,12060.0
2013-2017,B03002_9_two_or_more_races,1553,1695,218,2040,4175,5310,17044,2934,313,16490,2107,2739,4029,19260,19491,501,432,5439,164,533,423,257,2179,2934,667,238,1501,950,1185,12060.0
2013-2017,B03002_10_two_races_including_some_other_race,66,297,5,33,259,153,1163,0,0,847,85,143,327,1048,1212,10,0,260,0,0,6,0,189,47,0,0,76,25,113,12060.0
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",1487,1398,213,2007,3916,5157,15881,2934,313,15643,2022,2596,3702,18212,18279,491,432,5179,164,533,417,257,1990,2887,667,238,1425,925,1072,12060.0
2013-2017,B03002_12_hispanic_or_latino,7524,8379,725,7678,23664,36168,94405,9328,988,63842,12906,7806,20064,74574,184621,420,78,14079,533,415,442,565,5389,8866,923,273,9030,2791,3557,12060.0
2013-2017,B03002_13_white_alone,5146,5655,510,4285,15495,20209,50700,7291,902,41146,6919,5489,17079,51547,101537,221,39,8794,247,229,303,448,3438,4912,609,241,6628,2265,2708,12060.0
2013-2017,B03002_14_black_or_african_american_alone,92,240,42,165,1108,2799,6463,242,0,4922,1294,78,174,5384,6673,0,0,1534,0,0,12,5,691,1000,0,5,703,0,73,12060.0
2013-2017,B03002_15_american_indian_and_alaska_native_alone,135,118,0,171,538,34,692,52,0,3225,36,56,113,2165,1613,0,3,0,0,0,0,0,146,13,7,0,11,0,0,12060.0
2013-2017,B03002_16_asian_alone,0,0,0,0,3,23,262,5,0,100,12,55,63,236,216,0,0,34,0,0,0,0,20,156,0,0,0,0,0,12060.0
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,0,18,0,43,0,122,25,0,7,0,0,0,93,42,0,0,15,0,0,0,0,0,13,0,0,0,0,0,12060.0
2013-2017,B03002_18_some_other_race_alone,1799,2223,121,2653,5568,12248,32238,1264,29,11313,3953,1324,2292,10682,68184,111,3,2339,286,14,116,112,561,2090,267,27,1224,438,592,12060.0
