index,24009,24017,24021,24031,24033,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv,2008-2012
B01001_11_25_to_29_years,2205,4227,6698,32670,32388,31914,16479,310,1457,39897,1613,9008,14412,115,3471,4360,998,8121,887,380,1140,1507,590,1396,2008-2012
B01001_12_30_to_34_years,2115,4065,6872,31991,29606,27308,12434,334,1548,39191,1578,11763,15058,122,3711,3873,1120,8229,869,493,615,1418,680,1543,2008-2012
B01001_13_35_to_39_years,2550,4853,7857,32913,28910,21434,8985,424,1781,38484,1921,14277,15611,209,4459,4084,1212,6871,728,417,861,1443,457,1623,2008-2012
B01001_14_40_to_44_years,3336,5909,9261,34351,29954,20064,8458,468,1772,42420,2557,15127,16486,258,4235,5547,1433,5721,870,405,729,1466,758,2164,2008-2012
B01001_15_45_to_49_years,4238,6440,10116,36311,30403,19431,7084,682,2018,43125,2886,13713,16252,272,5320,5769,1684,4916,720,391,760,1546,640,2300,2008-2012
B01001_16_50_to_54_years,3846,5482,9166,35745,28456,18132,6211,641,1699,41481,2788,10764,14094,330,4314,4948,1501,4314,816,460,669,1164,443,2024,2008-2012
B01001_17_55_to_59_years,3235,4089,7554,30393,23976,16154,5484,443,1583,33832,2386,7749,10498,327,3362,3845,1363,3871,736,323,478,942,199,1815,2008-2012
B01001_18_60_and_61_years,889,1809,2718,11511,9000,6093,2113,264,559,12694,804,2671,3605,77,1524,1039,432,1432,177,132,300,345,102,756,2008-2012
B01001_19_62_to_64_years,1350,1709,3243,14398,10629,7532,2767,345,616,17288,1121,2974,4811,265,1748,1436,553,1818,400,303,301,509,129,900,2008-2012
B01001_20_65_and_66_years,882,1145,1904,7394,5845,4261,1504,205,336,8851,618,1852,2529,82,991,934,333,872,181,126,130,216,60,473,2008-2012
B01001_21_67_to_69_years,922,1196,2622,9642,7433,5457,1366,172,681,9860,797,1952,3010,193,1261,1085,375,1184,249,107,219,197,76,587,2008-2012
B01001_22_70_to_74_years,1003,1754,2404,11790,9335,6647,2072,265,620,12307,1036,2100,3016,184,1136,1014,693,1263,324,85,206,363,71,824,2008-2012
