index,24009,24017,24021,24031,24033,11001,51013,51043,51047,51059,51061,51107,51153,51157,51177,51179,51187,51510,51600,51610,51630,51683,51685,54037,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2008-2012
FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2008-2012
STATE,md,md,md,md,md,dc,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv,2008-2012
B25034_5_built_1980_to_1989,7251,10977,15242,79821,43679,12149,11993,817,2629,94979,6569,14628,28601,674,9638,8767,2503,7117,568,215,1148,4857,490,3823,2008-2012
B25034_6_built_1970_to_1979,5235,9172,13109,63774,52913,22258,11041,1042,2411,87056,4096,8365,22449,583,6076,5867,2496,13320,1357,964,2278,2218,468,3888,2008-2012
B25034_7_built_1960_to_1969,1917,5493,6721,56463,69960,38083,12837,563,1350,57236,1665,4661,12394,403,1853,2292,1500,12690,2132,997,1704,1609,494,1731,2008-2012
B25034_8_built_1950_to_1959,1170,2298,4805,48436,45428,44628,17830,508,1478,39800,1617,1529,4001,228,1205,1388,1302,8927,2387,1037,966,515,1090,1089,2008-2012
B25034_9_built_1940_to_1949,1087,1534,2455,20077,20432,45311,16710,399,593,10809,448,932,1202,157,629,545,1085,7964,307,683,473,205,0,850,2008-2012
B25034_10_built_1939_or_earlier,1516,2084,11310,17729,16086,102770,9387,1217,1456,5585,3114,4060,1763,868,956,955,1694,6238,255,471,1598,403,9,2505,2008-2012
B25127_1_total,30916,50845,85559,357579,302683,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824,2008-2012
B25127_2_owner_occupied,25293,40580,64670,243751,191829,110853,42696,4387,11654,270928,18216,81476,94406,2536,32285,32278,10272,28403,5958,3024,3650,7842,2816,15049,2008-2012
B25127_3_built_2000_or_later,4600,9251,12683,24790,23667,7777,4419,872,3808,27859,3678,34730,30889,286,8117,9442,2050,2718,689,350,864,606,621,3770,2008-2012
"B25127_4_1,_detached__or_attached",4486,9028,11960,19050,22317,2164,1810,829,3777,23225,3556,33372,29801,286,7922,9228,2035,1545,551,159,799,507,449,3570,2008-2012
B25127_5_2_to_4,26,60,35,214,46,211,18,0,0,247,2,61,251,0,16,33,0,17,0,0,0,0,8,0,2008-2012
B25127_6_5_to_19,33,112,463,1489,511,635,226,28,0,765,32,582,294,0,0,10,0,71,17,17,0,51,74,0,2008-2012
B25127_7_20_to_49,14,0,18,966,459,951,139,0,0,724,0,302,221,0,0,0,0,205,0,14,46,0,90,0,2008-2012
B25127_8_50_or_more,35,0,179,3054,181,3816,2226,0,0,2521,0,382,119,0,0,0,0,880,121,160,19,0,0,0,2008-2012
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",6,51,28,17,153,0,0,15,31,377,88,31,203,0,179,171,15,0,0,0,0,48,0,200,2008-2012
B25127_10_built_1980_to_1999,13178,17026,26098,85252,58606,5547,7385,1192,3779,109578,7643,34105,35630,896,16830,14988,3709,6323,858,329,294,4403,796,5349,2008-2012
"B25127_11_1,_detached__or_attached",12975,16747,24399,74804,55221,2993,3753,1192,3656,97088,7456,31889,33941,881,15933,14440,3550,3900,780,298,289,4027,765,4927,2008-2012
B25127_12_2_to_4,20,17,99,733,378,274,51,0,0,1067,0,252,214,0,0,16,0,65,10,0,0,54,0,41,2008-2012
B25127_13_5_to_19,66,58,1157,5455,1930,379,613,0,0,6198,35,1382,1122,0,9,73,0,711,34,11,5,234,10,4,2008-2012
B25127_14_20_to_49,13,0,128,875,266,415,437,0,0,1473,11,138,16,0,0,0,0,459,6,0,0,13,0,0,2008-2012
B25127_15_50_or_more,10,10,81,3229,117,1431,2505,0,0,2928,0,291,64,0,43,0,5,1180,0,20,0,0,21,0,2008-2012
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",94,194,234,156,694,55,26,0,123,824,141,153,273,15,845,459,154,8,28,0,0,75,0,377,2008-2012
B25127_17_built_1960_to_1979,5306,10329,14207,72964,61292,13066,7018,1080,2463,93721,4160,8843,23367,609,5661,5634,2402,7248,2067,684,987,2241,521,3494,2008-2012
"B25127_18_1,_detached__or_attached",5233,10083,13812,62023,56369,5944,4170,1072,2390,84371,4073,8465,22479,585,5157,5426,2339,3312,1764,498,982,2057,505,3139,2008-2012
B25127_19_2_to_4,0,0,15,501,298,572,62,8,0,605,13,85,31,0,11,30,16,137,0,0,0,9,0,46,2008-2012
B25127_20_5_to_19,14,32,91,4050,3223,978,454,0,0,4721,19,216,495,0,34,0,0,734,205,36,0,18,16,0,2008-2012
B25127_21_20_to_49,0,0,13,1271,246,880,248,0,0,667,0,24,46,0,0,0,0,217,0,14,0,0,0,0,2008-2012
B25127_22_50_or_more,0,0,49,4960,853,4683,2054,0,0,2982,0,0,34,0,0,0,0,2848,98,136,0,0,0,0,2008-2012
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",59,214,227,159,303,9,30,0,73,375,55,53,282,24,459,178,47,0,0,0,5,157,0,309,2008-2012
B25127_24_built_1940_to_1959,1265,2782,4755,47817,38473,29734,17414,671,943,36309,1302,1444,3350,180,1097,1486,1437,8012,2135,1265,686,390,869,1095,2008-2012
"B25127_25_1,_detached__or_attached",1265,2746,4755,46108,37501,22988,14175,671,902,34886,1292,1406,3279,180,1088,1486,1408,6520,2120,1238,672,362,848,1080,2008-2012
B25127_26_2_to_4,0,24,0,165,141,1064,831,0,0,208,0,18,8,0,0,0,29,413,0,0,0,28,0,0,2008-2012
B25127_27_5_to_19,0,0,0,730,543,1838,1215,0,0,857,10,13,61,0,9,0,0,805,15,9,14,0,0,0,2008-2012
B25127_28_20_to_49,0,0,0,152,95,1022,359,0,0,81,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2008-2012
B25127_29_50_or_more,0,0,0,589,146,2811,816,0,0,177,0,7,0,0,0,0,0,213,0,18,0,0,21,0,2008-2012
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",0,12,0,73,47,11,18,0,41,100,0,0,2,0,0,0,0,0,0,0,0,0,0,15,2008-2012
B25127_31_built_1939_or_earlier,944,1192,6927,12928,9791,54729,6460,572,661,3461,1433,2354,1170,565,580,728,674,4102,209,396,819,202,9,1341,2008-2012
"B25127_32_1,_detached__or_attached",940,1181,6813,12652,9581,44226,6222,572,661,3414,1417,2354,1153,565,580,714,674,3901,209,396,819,202,9,1332,2008-2012
B25127_33_2_to_4,0,11,79,132,53,2244,134,0,0,17,16,0,5,0,0,14,0,79,0,0,0,0,0,9,2008-2012
B25127_34_5_to_19,0,0,16,80,89,2169,58,0,0,15,0,0,12,0,0,0,0,74,0,0,0,0,0,0,2008-2012
B25127_35_20_to_49,0,0,5,29,68,3140,22,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2008-2012
B25127_36_50_or_more,0,0,8,20,0,2950,24,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,2008-2012
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",4,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-2012
B25127_38_renter_occupied,5623,10265,20889,113828,110854,150339,50296,1193,4172,117524,4815,22719,35237,740,9095,8926,4077,36326,2561,1833,6055,4169,1461,4775,2008-2012
B25127_39_built_2000_or_later,1025,1915,3684,16216,9744,12201,8221,51,651,17994,476,7721,9170,12,2000,2765,366,3940,154,262,790,369,520,595,2008-2012
"B25127_40_1,_detached__or_attached",769,601,1163,2401,2022,1610,499,51,408,4874,243,3025,5028,12,1295,1340,342,452,66,16,350,71,135,387,2008-2012
B25127_41_2_to_4,15,84,136,232,357,654,69,0,68,444,37,149,338,0,24,98,7,132,33,0,0,0,0,7,2008-2012
B25127_42_5_to_19,35,390,1530,3776,2906,1431,645,0,148,4071,4,2640,2606,0,234,754,5,484,55,0,271,167,71,98,2008-2012
B25127_43_20_to_49,51,340,325,1772,590,1156,505,0,18,1924,16,849,501,0,229,229,0,168,0,29,19,26,28,19,2008-2012
B25127_44_50_or_more,131,449,483,8005,3840,7336,6503,0,0,6507,100,1039,614,0,119,270,12,2699,0,217,150,105,286,0,2008-2012
"B25127_45_mobile_home,_boat,_rv,_van,_etc.",24,51,47,30,29,14,0,0,9,174,76,19,83,0,99,74,0,5,0,0,0,0,0,84,2008-2012
B25127_46_built_1980_to_1999,2587,4049,7126,35636,23242,12419,11367,238,1404,41791,1629,9830,14451,211,4501,3861,1109,7655,513,156,1458,2125,416,1417,2008-2012
"B25127_47_1,_detached__or_attached",1356,2238,3159,9300,7236,1365,1211,178,700,14411,1048,3632,6461,188,2567,2245,574,1430,162,54,256,833,388,571,2008-2012
B25127_48_2_to_4,338,604,202,1018,959,1209,263,0,66,1362,132,467,513,0,126,159,16,300,41,0,33,47,9,192,2008-2012
B25127_49_5_to_19,425,651,2901,14501,10312,3908,1272,0,498,15813,203,4106,6036,0,786,862,330,1987,224,41,711,1034,19,332,2008-2012
B25127_50_20_to_49,107,167,370,2229,999,1250,660,0,31,3886,125,806,437,0,241,276,136,809,0,0,278,61,0,38,2008-2012
B25127_51_50_or_more,262,314,432,8499,3698,4657,7894,54,22,6078,108,711,943,0,400,135,7,3060,73,61,160,125,0,93,2008-2012
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",99,75,62,89,38,30,67,6,87,241,13,108,61,23,381,184,46,69,13,0,20,25,0,191,2008-2012
B25127_53_built_1960_to_1979,1175,3153,4755,40726,51557,39527,14220,373,1000,43633,1105,3416,9527,241,1753,1759,1033,15778,1389,987,2518,1226,341,1612,2008-2012
"B25127_54_1,_detached__or_attached",664,1663,2152,7572,8412,2726,1296,285,482,13637,872,2043,5023,207,984,1341,568,1340,428,78,373,633,324,789,2008-2012
B25127_55_2_to_4,234,301,460,1350,2721,4715,874,34,147,1139,79,128,361,0,126,91,101,619,54,35,182,134,0,267,2008-2012
B25127_56_5_to_19,15,583,1573,16176,31906,12714,2602,54,178,18620,122,967,3182,8,89,105,212,6489,814,196,1219,299,0,307,2008-2012
B25127_57_20_to_49,47,313,133,2209,1943,3185,979,0,0,2186,21,54,474,0,128,126,26,909,58,79,369,97,0,76,2008-2012
B25127_58_50_or_more,52,101,256,13401,6461,16115,8356,0,25,7816,11,186,413,0,148,0,0,6411,35,599,375,63,17,69,2008-2012
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",163,192,181,18,114,72,113,0,168,235,0,38,74,26,278,96,126,10,0,0,0,0,0,104,2008-2012
B25127_60_built_1940_to_1959,497,646,2128,17363,21482,47083,13821,125,637,12186,530,794,1637,99,667,359,771,7295,474,376,568,288,184,603,2008-2012
"B25127_61_1,_detached__or_attached",497,530,1236,6371,6150,6833,3156,125,399,5769,426,504,893,83,548,307,503,1868,318,187,249,164,163,362,2008-2012
B25127_62_2_to_4,0,13,507,1181,1612,7646,1688,0,101,896,21,52,165,16,56,52,184,737,35,27,101,31,0,147,2008-2012
B25127_63_5_to_19,0,70,353,4537,11557,12817,4503,0,55,3456,83,148,322,0,42,0,48,2734,121,86,141,79,21,48,2008-2012
B25127_64_20_to_49,0,5,12,1118,703,5439,1209,0,45,822,0,0,134,0,0,0,0,250,0,0,51,0,0,0,2008-2012
B25127_65_50_or_more,0,28,20,4115,1440,14348,3254,0,24,1206,0,90,56,0,21,0,0,1706,0,76,26,14,0,10,2008-2012
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",0,0,0,41,20,0,11,0,13,37,0,0,67,0,0,0,36,0,0,0,0,0,0,36,2008-2012
B25127_67_built_1939_or_earlier,339,502,3196,3887,4829,39109,2667,406,480,1920,1075,958,452,177,174,182,798,1658,31,52,721,161,0,548,2008-2012
"B25127_68_1,_detached__or_attached",239,333,1846,1869,2145,11055,1019,364,356,1236,798,881,257,164,174,182,336,805,9,52,385,35,0,386,2008-2012
B25127_69_2_to_4,77,49,1013,559,478,7419,666,10,43,221,193,56,65,11,0,0,298,329,22,0,180,79,0,95,2008-2012
B25127_70_5_to_19,23,31,296,878,1769,6191,424,32,81,148,68,1,49,2,0,0,164,332,0,0,108,44,0,55,2008-2012
B25127_71_20_to_49,0,32,32,104,73,5358,305,0,0,113,0,0,55,0,0,0,0,31,0,0,48,0,0,12,2008-2012
B25127_72_50_or_more,0,0,9,477,364,9006,253,0,0,198,16,20,26,0,0,0,0,137,0,0,0,3,0,0,2008-2012
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,57,0,0,0,80,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2008-2012
B03002_1_total,88774,147107,234268,974824,865443,605759,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545,2008-2012
B03002_2_not_hispanic_or_latino,86259,140685,216975,808700,735973,549500,177572,13650,42773,915996,61258,276154,321624,7216,113455,117386,36245,117899,19176,11205,22325,26045,9590,51036,2008-2012
B03002_3_white_alone,70771,71321,182064,479708,130239,209183,133346,12448,33616,592200,53516,196435,195815,6676,88536,87496,33363,75252,13866,9074,15038,18103,6072,45511,2008-2012
B03002_4_black_or_african_american_alone,12063,59279,19759,162939,548459,305141,17518,799,6867,96134,5341,22756,77814,366,18982,21936,1467,29577,1031,634,5716,5198,1837,3308,2008-2012
B03002_5_american_indian_and_alaska_native_alone,179,1154,598,1678,1493,1518,425,49,69,1881,32,505,742,33,361,628,121,359,53,8,102,18,21,45,2008-2012
B03002_6_asian_alone,1113,4783,9088,135573,35703,21273,19948,135,742,189706,810,46251,30093,9,2954,3395,262,8333,3561,1172,624,1495,1098,745,2008-2012
B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,0,136,138,384,312,107,0,66,909,20,88,344,0,166,136,42,143,32,0,3,0,0,0,2008-2012
B03002_8_some_other_race_alone,42,195,642,3216,1843,1314,1120,0,178,3484,153,775,1746,0,196,283,10,312,32,16,176,161,3,21,2008-2012
B03002_9_two_or_more_races,2091,3953,4688,25448,17852,10759,5108,219,1235,31682,1386,9344,15070,132,2260,3512,980,3923,601,301,666,1070,559,1406,2008-2012
B03002_10_two_races_including_some_other_race,9,89,132,1661,1422,788,417,28,0,1872,13,667,522,45,90,134,23,181,53,8,8,31,39,41,2008-2012
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",2082,3864,4556,23787,16430,9971,4691,191,1235,29810,1373,8677,14548,87,2170,3378,957,3742,548,293,658,1039,520,1365,2008-2012
B03002_12_hispanic_or_latino,2515,6422,17293,166124,129470,56259,31505,493,4121,167774,4237,38826,82387,224,9399,12060,1322,22438,3536,1095,2607,11898,4819,2509,2008-2012
B03002_13_white_alone,1621,3775,11119,81260,58604,30230,15853,357,2474,98890,3683,24436,46473,181,3803,4781,1124,13959,2505,459,1182,9421,2777,1676,2008-2012
B03002_14_black_or_african_american_alone,124,598,502,4377,7254,4122,224,0,160,3164,52,675,3000,6,450,457,10,1022,48,0,134,212,39,34,2008-2012
B03002_15_american_indian_and_alaska_native_alone,0,166,350,1604,1033,625,399,0,0,2742,0,125,658,0,17,112,0,193,84,0,0,0,72,0,2008-2012
B03002_16_asian_alone,1,49,41,836,130,167,137,5,4,1118,86,118,165,0,0,24,0,129,17,40,0,0,0,0,2008-2012
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,35,0,83,57,0,35,0,0,25,0,19,15,0,27,32,0,0,0,0,0,0,0,0,2008-2012
B03002_18_some_other_race_alone,662,1100,3784,67265,57566,19338,12834,131,1144,49526,210,11232,27757,37,4885,5867,172,5680,744,586,1258,1690,1576,606,2008-2012
B03002_19_two_or_more_races,107,699,1497,10699,4826,1777,2023,0,339,12309,206,2221,4319,0,217,787,16,1455,138,10,33,575,355,193,2008-2012
B03002_20_two_races_including_some_other_race,52,291,655,5835,2515,847,1279,0,243,6725,110,1034,2276,0,173,685,7,860,0,9,28,455,260,130,2008-2012
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",55,408,842,4864,2311,930,744,0,96,5584,96,1187,2043,0,44,102,9,595,138,1,5,120,95,63,2008-2012
B11005_1_total,30916,50845,85559,357579,302683,261192,92992,5580,15826,388452,23031,104195,129643,3276,41380,41204,14349,64729,8519,4857,9705,12011,4277,19824,2008-2012
B11005_2_households_with_one_or_more_people_under_18_years,12270,20649,32502,126834,109920,53171,19081,1692,6250,143773,8120,50346,60123,946,18339,18976,4828,13358,2521,1727,2657,5035,1945,6538,2008-2012
B11005_3_family_households,12216,20493,32275,126407,108748,52889,19008,1685,6188,142996,8091,50167,59571,908,18159,18921,4794,13273,2478,1727,2653,5022,1932,6427,2008-2012
B11005_4_married-couple_family,9211,13605,24540,94435,57327,22034,14716,1296,4412,115148,6220,41654,44263,688,12710,14659,3468,8810,2053,1347,1362,3528,1314,4725,2008-2012
B11005_5_other_family,3005,6888,7735,31972,51421,30855,4292,389,1776,27848,1871,8513,15308,220,5449,4262,1326,4463,425,380,1291,1494,618,1702,2008-2012
"B11005_6_male_householder,_no_wife_present",803,1428,2165,6956,11392,4768,875,122,525,7491,543,2485,4422,110,1489,1177,275,956,121,119,195,477,131,390,2008-2012
"B11005_7_female_householder,_no_husband_present",2202,5460,5570,25016,40029,26087,3417,267,1251,20357,1328,6028,10886,110,3960,3085,1051,3507,304,261,1096,1017,487,1312,2008-2012
B11005_8_nonfamily_households,54,156,227,427,1172,282,73,7,62,777,29,179,552,38,180,55,34,85,43,0,4,13,13,111,2008-2012
B11005_9_male_householder,54,126,206,306,636,122,62,7,62,626,29,118,370,38,154,19,34,16,13,0,4,0,13,111,2008-2012
B11005_10_female_householder,0,30,21,121,536,160,11,0,0,151,0,61,182,0,26,36,0,69,30,0,0,13,0,0,2008-2012
B11005_11_households_with_no_people_under_18_years,18646,30196,53057,230745,192763,208021,73911,3888,9576,244679,14911,53849,69520,2330,23041,22228,9521,51371,5998,3130,7048,6976,2332,13286,2008-2012
B11005_12_family_households,11254,17477,29666,118179,90904,56754,22730,2384,5653,132390,9059,30682,40695,1254,14895,14497,5113,17142,3376,1346,2243,3869,1317,7512,2008-2012
B11005_13_married-couple_family,9388,13790,25194,96276,60527,36098,18726,2163,4970,111327,8001,26406,33273,1173,12875,12714,4229,13948,2765,1230,1703,2981,998,6411,2008-2012
B11005_14_other_family,1866,3687,4472,21903,30377,20656,4004,221,683,21063,1058,4276,7422,81,2020,1783,884,3194,611,116,540,888,319,1101,2008-2012
"B11005_15_male_householder,_no_wife_present",654,1067,1382,6860,8795,4702,1834,69,173,7184,387,1388,2361,9,532,670,379,1164,280,0,168,289,52,405,2008-2012
"B11005_16_female_householder,_no_husband_present",1212,2620,3090,15043,21582,15954,2170,152,510,13879,671,2888,5061,72,1488,1113,505,2030,331,116,372,599,267,696,2008-2012
B11005_17_nonfamily_households,7392,12719,23391,112566,101859,151267,51181,1504,3923,112289,5852,23167,28825,1076,8146,7731,4408,34229,2622,1784,4805,3107,1015,5774,2008-2012
B11005_18_male_householder,3499,5684,10421,45206,44489,69205,25347,648,1665,50997,2689,11019,14146,534,3394,3484,2096,15825,1203,862,2135,1420,421,2947,2008-2012
B11005_19_female_householder,3893,7035,12970,67360,57370,82062,25834,856,2258,61292,3163,12148,14679,542,4752,4247,2312,18404,1419,922,2670,1687,594,2827,2008-2012
