B01001_4_5_to_9_years,33480,1440,91985,26240,6388,1061,4121,2746,1430,1441,3163,6070,3945,1621,808,4299,3259,308,73222,2000,1345,2007-2011
B01001_5_10_to_14_years,30877,1353,87555,25476,5997,1054,4119,2540,1599,1048,2964,5804,4659,2126,1152,4414,3527,295,67977,2423,1437,2007-2011
B01001_6_15_to_17_years,17681,1004,53430,14329,3910,711,2710,1723,1156,814,1924,3622,2541,1217,636,2843,1982,214,41192,1541,858,2007-2011
B01001_7_18_and_19_years,9172,575,33366,9118,2222,478,1793,1006,637,475,1396,2172,1319,854,382,1784,926,64,24768,849,711,2007-2011
B01001_8_20_years,3997,207,17690,4963,1132,404,928,583,240,241,367,1072,437,381,150,624,448,19,11449,373,424,2007-2011
B01001_9_21_years,3640,287,17027,4992,662,173,666,221,227,179,708,969,695,459,211,518,324,24,12210,393,470,2007-2011
B01001_10_22_to_24_years,11758,808,52588,13729,2761,726,2100,1258,757,576,1884,2621,1613,580,441,2410,899,151,36767,994,904,2007-2011
B01001_11_25_to_29_years,24163,926,99373,24245,4266,1170,3390,2161,1188,1041,2585,4621,2954,1335,760,3332,2067,245,66885,1749,1436,2007-2011
B01001_12_30_to_34_years,28344,1025,92868,24457,4410,1249,3406,1913,1216,1014,2427,4772,3285,1350,730,3377,2562,280,62665,1746,1257,2007-2011
B01001_13_35_to_39_years,32602,1127,89566,26713,5064,1232,3556,1940,1459,972,2825,5352,3374,1438,755,3636,3290,274,66090,1938,1480,2007-2011
B01001_14_40_to_44_years,33730,1067,84075,26443,5132,1058,3786,2670,1385,1180,2718,5260,3971,1567,889,4191,2643,189,63623,2015,930,2007-2011
B01001_15_45_to_49_years,31625,1298,82279,25305,5475,1402,4413,2684,1778,1301,3147,5853,3730,1594,968,5030,3115,370,65924,2425,1281,2007-2011
B01001_16_50_to_54_years,25300,1352,73738,20552,5327,1349,4373,2733,1881,1250,3055,5433,3606,1618,1056,4484,2485,290,59210,2249,1334,2007-2011
B01001_17_55_to_59_years,19127,1269,57163,15924,4308,1175,3726,2587,1949,972,2383,4713,2995,1456,924,3965,1762,350,46218,2030,1225,2007-2011
B01001_18_60_and_61_years,6722,445,20613,5322,1737,381,1397,1098,790,406,1138,1437,978,535,293,1534,972,76,16860,772,507,2007-2011
B01001_19_62_to_64_years,8910,770,25499,6775,1785,628,2066,1468,942,691,1453,2051,1341,700,528,1622,1172,99,20449,819,622,2007-2011
B01001_20_65_and_66_years,5248,404,13446,3705,1134,459,924,898,802,360,786,1497,737,348,368,1269,644,11,10774,567,452,2007-2011
B01001_21_67_to_69_years,5568,443,16536,4396,1368,458,1397,1430,958,475,1047,1594,1166,541,320,1279,474,113,12802,666,498,2007-2011
B01001_22_70_to_74_years,6206,765,20963,4740,1634,602,2393,1817,1254,557,1499,1888,1087,908,595,1622,974,218,16904,918,829,2007-2011
B01001_23_75_to_79_years,4255,491,15065,3038,1102,435,1422,1019,1103,494,923,1360,840,436,355,1119,501,81,12245,666,558,2007-2011
B01001_24_80_to_84_years,2278,426,10573,1948,700,298,1046,1055,508,340,489,860,477,371,189,698,306,93,7455,307,268,2007-2011
B01001_25_85_years_and_over,1562,177,8121,1247,399,374,743,530,280,187,507,486,249,315,211,442,213,43,6103,205,295,2007-2011
B01001_26_female,388199,19284,1185833,329356,74436,15916,61521,39875,25594,17575,42989,74693,51406,24117,14230,56600,38987,4258,906429,29049,21381,2007-2011
B01001_27_under_5_years,28603,1306,94649,24236,5256,929,3844,2262,1450,1161,2770,5256,3828,1788,902,3558,2837,226,69860,1897,1428,2007-2011
B01001_28_5_to_9_years,32260,1238,88817,26499,5951,1037,3819,2449,1452,1108,3001,5336,4055,1698,980,3842,3272,193,67389,2144,1530,2007-2011
B01001_29_10_to_14_years,29740,1302,83458,22979,5739,1027,4117,2438,1335,1265,2879,5932,3961,1720,935,4285,3252,398,67673,2128,1115,2007-2011
B01001_30_15_to_17_years,16678,835,50865,13636,3784,659,2327,1438,1000,783,1724,3391,2335,1026,578,2649,1920,274,39498,1275,788,2007-2011
B01001_31_18_and_19_years,8137,482,30939,10069,2017,441,1574,966,469,411,1156,1999,1210,605,265,1539,826,189,23667,755,710,2007-2011
B01001_32_20_years,3477,347,16652,5410,779,270,881,406,125,151,802,669,565,234,268,598,301,11,11748,221,458,2007-2011
B01001_33_21_years,3081,204,15337,4952,1039,33,991,449,235,163,589,753,805,281,50,727,208,11,11475,182,404,2007-2011
B01001_34_22_to_24_years,12286,613,51719,14303,2673,386,2088,1329,754,635,1547,2681,1468,921,505,1502,1026,142,38007,1155,714,2007-2011
B01001_35_25_to_29_years,26125,1140,97939,25295,4603,878,3589,1955,1305,1022,2556,4675,3242,1397,766,2910,2171,152,68827,1766,1481,2007-2011
B01001_36_30_to_34_years,31172,934,92219,25697,4671,813,3391,2014,1148,939,2524,4867,3523,1404,780,3122,2938,248,65250,1592,1200,2007-2011
B01001_37_35_to_39_years,35019,1320,87639,29068,5626,1037,3458,2156,1574,1156,2662,5420,3864,1324,846,3959,3257,294,67849,2003,1249,2007-2011
B01001_38_40_to_44_years,33765,1062,83487,25221,5110,1067,4116,2607,1338,1097,2910,4937,3662,1697,913,4212,2846,340,66528,2067,1230,2007-2011
B01001_39_45_to_49_years,31737,1352,82186,25545,5595,1135,4452,2870,1896,1320,3203,5714,3882,1686,996,4725,3358,275,66875,2327,1395,2007-2011
B01001_40_50_to_54_years,25796,1332,76215,21437,5304,1123,4565,2862,1926,1208,3123,5174,3569,1624,1114,4524,2781,280,60931,2214,1457,2007-2011
B01001_41_55_to_59_years,21428,1247,62859,17211,4611,1094,4490,2571,1887,1082,2599,5004,3271,1540,990,3813,2044,218,48582,1910,1368,2007-2011
B01001_42_60_and_61_years,7363,478,23431,6058,1380,445,1274,1303,944,547,1061,1491,991,631,475,1446,787,246,18849,746,438,2007-2011
B01001_43_62_to_64_years,9493,808,28327,6977,2131,489,2096,1631,1233,547,1542,2140,1358,716,428,1872,1052,87,22794,879,795,2007-2011
B01001_44_65_and_66_years,5538,377,15156,3927,1164,351,1254,1226,838,460,852,991,935,638,355,1055,581,46,12409,529,347,2007-2011
B01001_45_67_to_69_years,6258,475,20615,5326,1339,559,1640,1683,956,465,1102,1877,1159,730,315,1114,620,77,15424,836,522,2007-2011
B01001_46_70_to_74_years,7366,854,26582,5253,2027,717,2442,1645,1277,661,1513,2388,1199,628,636,1987,1131,213,20046,746,1041,2007-2011
B01001_47_75_to_79_years,4792,762,20889,4384,1624,545,1586,1624,1117,489,1012,1735,985,565,499,1443,824,113,16358,689,660,2007-2011
B01001_48_80_to_84_years,4433,415,18560,3130,1153,430,1641,1061,707,389,842,1122,873,533,277,866,550,145,13661,522,528,2007-2011
B01001_49_85_years_and_over,3652,401,17293,2743,860,451,1886,930,628,516,1020,1141,666,731,357,852,405,80,12729,466,523,2007-2011
B02001_1_total,764424,38344,2348702,648470,146997,33853,119949,78394,50569,34869,85390,149681,101197,47621,27977,114764,76349,8320,1780700,58703,41865,2007-2011
B02001_2_white_alone,573684,33828,1343347,505389,120093,29675,101064,69308,45816,30431,69831,137930,84584,35660,24284,106274,65132,7148,1236439,53987,31708,2007-2011
B02001_3_black_or_african_american_alone,61981,1048,513420,52345,12818,2448,6695,5186,293,2745,7544,4138,10132,7157,687,1975,4099,116,261332,700,668,2007-2011
B02001_4_american_indian_and_alaska_native_alone,3812,472,10460,2537,2423,234,1514,484,405,217,452,1006,499,1227,208,878,452,93,9434,584,2137,2007-2011
B02001_5_asian_alone,84816,257,117664,41826,962,50,1011,265,275,205,896,1060,633,277,223,593,1840,9,81702,287,222,2007-2011
B02001_6_native_hawaiian_and_other_pacific_islander_alone,501,17,1226,582,109,24,59,57,0,10,50,302,204,0,0,7,504,0,3327,36,15,2007-2011
B02001_7_some_other_race_alone,20566,1920,309581,20750,7813,709,6109,2087,3236,940,5235,2964,2627,2513,2112,2953,3170,904,148200,2197,1161,2007-2011
B02001_8_two_or_more_races,19064,802,53004,25041,2779,713,3497,1007,544,321,1382,2281,2518,787,463,2084,1152,50,40266,912,5954,2007-2011
B02001_9_two_races_including_some_other_race,4034,155,16450,4190,762,82,757,190,168,48,175,490,486,248,105,457,228,0,10213,271,110,2007-2011
"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",15030,647,36554,20851,2017,631,2740,817,376,273,1207,1791,2032,539,358,1627,924,50,30053,641,5844,2007-2011
B11001_1_total,276234,14442,840663,231355,49233,11817,45878,30552,20916,13200,30624,51220,34014,17299,10737,41579,25717,3146,643917,19995,16354,2007-2011
B11001_2_family_households,203629,10380,548715,163545,39440,8412,32030,21018,15272,9805,21275,39287,26891,12263,7626,31836,20729,2114,447495,15672,10659,2007-2011
B11001_3_married-couple_family,166236,8201,368637,131123,30925,6546,23893,16508,12729,7720,16634,30820,20870,9092,5719,26062,17251,1723,324767,13054,7887,2007-2011
B11001_4_other_family,37393,2179,180078,32422,8515,1866,8137,4510,2543,2085,4641,8467,6021,3171,1907,5774,3478,391,122728,2618,2772,2007-2011
"B11001_5_male_householder,_no_wife_present",10951,672,47153,9089,2454,593,2368,1152,639,627,1252,3063,1604,791,500,2039,1213,112,31500,655,661,2007-2011
"B11001_6_female_householder,_no_husband_present",26442,1507,132925,23333,6061,1273,5769,3358,1904,1458,3389,5404,4417,2380,1407,3735,2265,279,91228,1963,2111,2007-2011
B11001_7_nonfamily_households,72605,4062,291948,67810,9793,3405,13848,9534,5644,3395,9349,11933,7123,5036,3111,9743,4988,1032,196422,4323,5695,2007-2011
B11001_8_householder_living_alone,59975,3467,242453,51867,8021,3029,11380,7969,4809,2998,7836,9627,5962,4197,2754,8029,4089,931,164006,3631,4688,2007-2011
B11001_9_householder_not_living_alone,12630,595,49495,15943,1772,376,2468,1565,835,397,1513,2306,1161,839,357,1714,899,101,32416,692,1007,2007-2011
B15002_1_total,489577,24942,1463275,402082,91039,23404,79918,54141,36267,23138,55503,95853,63969,30356,18688,75500,48525,5546,1111319,38364,27206,2007-2011
B15002_2_male,235640,11985,709878,194810,43841,12270,38038,26003,17493,11240,26982,47177,30790,14512,8941,37600,23180,2732,534207,19072,12972,2007-2011
B15002_3_no_schooling_completed,1518,122,15769,1413,668,166,279,364,177,135,422,476,305,229,84,304,130,6,7415,234,81,2007-2011
B15002_4_nursery_to_4th_grade,1045,102,15679,821,335,130,264,502,179,292,172,554,500,266,125,261,220,0,6466,313,189,2007-2011
B15002_5_5th_and_6th_grade,2861,246,39266,3139,1186,253,683,554,356,405,605,991,538,478,313,279,419,21,18181,437,277,2007-2011
B15002_6_7th_and_8th_grade,2451,430,19657,2398,1087,323,846,796,282,189,755,1240,1015,536,452,615,291,95,9397,502,373,2007-2011
B15002_7_9th_grade,2388,364,34154,3627,1535,319,769,731,242,321,1033,1431,890,632,215,700,277,61,14290,533,382,2007-2011
B15002_8_10th_grade,2422,299,17612,2261,1101,417,807,1146,435,400,1054,1496,827,495,459,1163,215,68,10795,707,472,2007-2011
B15002_9_11th_grade,1712,493,20716,2295,1089,514,988,820,449,538,1106,1838,1067,638,317,1581,265,28,12989,748,427,2007-2011
"B15002_10_12th_grade,_no_diploma",2161,317,14394,2372,702,265,869,469,367,286,488,882,627,314,329,512,155,48,9145,340,222,2007-2011
"B15002_11_high_school_graduate,_ged,_or_alternative",32787,3772,160603,35147,12772,4692,12503,9193,4544,3813,8882,16098,10066,4950,3332,10953,4805,708,124818,6553,4210,2007-2011
"B15002_12_some_college,_less_than_1_year",11248,679,32777,11465,3529,820,3076,1711,1750,613,1986,3780,2347,907,386,3238,1856,121,33837,1630,721,2007-2011
"B15002_13_some_college,_1_or_more_years,_no_degree",35074,2075,97571,34444,7394,1665,6473,3657,2995,1900,4455,8229,5867,2391,1222,6674,3907,473,90386,3374,2008,2007-2011
B15002_14_associate's_degree,15956,787,37098,14700,3212,737,3143,1932,1042,406,1341,2420,1319,850,379,2629,1589,259,35411,825,914,2007-2011
B15002_15_bachelor's_degree,79663,1570,130119,55812,6293,1442,4845,2754,2985,1310,3092,5405,3729,1184,920,5483,6305,653,108729,2081,1591,2007-2011
B15002_16_master's_degree,33096,488,48387,18465,2132,375,1681,1024,1197,348,1086,1722,1293,356,290,2370,1863,94,36972,582,759,2007-2011
B15002_17_professional_school_degree,6004,142,18014,3025,566,114,456,199,269,192,176,385,349,210,50,442,467,86,9664,140,231,2007-2011
B15002_18_doctorate_degree,5254,99,8062,3426,240,38,356,151,224,92,329,230,51,76,68,396,416,11,5712,73,115,2007-2011
B15002_19_female,253937,12957,753397,207272,47198,11134,41880,28138,18774,11898,28521,48676,33179,15844,9747,37900,25345,2814,577112,19292,14234,2007-2011
B15002_20_no_schooling_completed,1887,169,14282,1247,350,109,415,307,67,161,321,617,350,315,146,188,353,5,8096,127,78,2007-2011
B15002_21_nursery_to_4th_grade,1102,141,14671,1158,400,24,170,179,131,147,185,280,268,107,110,142,138,17,5655,109,6,2007-2011
B15002_22_5th_and_6th_grade,2946,319,32711,2121,1171,108,450,676,204,262,550,676,596,379,175,283,393,4,15696,377,83,2007-2011
B15002_23_7th_and_8th_grade,2201,262,20183,1908,907,468,1066,890,335,307,670,1401,762,496,450,488,330,128,10865,312,457,2007-2011
B15002_24_9th_grade,2094,312,29418,3372,1172,228,947,702,277,308,820,1481,914,525,261,780,107,49,14296,479,391,2007-2011
B15002_25_10th_grade,2860,442,18349,2314,1527,652,1095,1026,737,373,933,1503,853,837,261,1111,323,89,11795,652,442,2007-2011
B15002_26_11th_grade,2628,314,20262,2101,1169,358,1224,1279,622,425,1248,1534,1003,558,301,1079,500,45,13961,328,748,2007-2011
"B15002_27_12th_grade,_no_diploma",2367,179,13871,2210,629,82,537,502,310,254,414,716,465,216,150,618,354,33,9142,239,190,2007-2011
"B15002_28_high_school_graduate,_ged,_or_alternative",44094,4134,177664,41955,14734,4377,14173,9465,5634,3973,9906,16655,10940,4990,3256,10631,6027,815,145002,7454,4868,2007-2011
"B15002_29_some_college,_less_than_1_year",17322,1066,47206,14327,4094,1007,3832,2756,1797,586,2327,4323,2636,1177,793,3398,2009,159,43759,1710,987,2007-2011
"B15002_30_some_college,_1_or_more_years,_no_degree",39641,2037,114859,38752,7919,1710,6502,4373,3778,2259,4437,8336,6360,2277,1973,6942,4609,502,99011,3135,2087,2007-2011
B15002_31_associate's_degree,20414,1139,43346,15874,3461,555,3015,2248,999,944,1814,3259,2201,1281,438,3495,1871,156,39285,1263,1009,2007-2011
B15002_32_bachelor's_degree,80082,1929,139623,55939,6794,1056,6152,2381,2800,1189,3244,5894,4289,1938,1012,6475,6057,627,115231,2163,1826,2007-2011
B15002_33_master's_degree,28229,428,50679,19497,2399,393,1842,1291,763,626,1302,1702,1307,596,386,1863,1737,150,36211,795,874,2007-2011
B15002_34_professional_school_degree,3860,70,11440,2391,318,5,265,21,223,42,121,145,221,68,27,310,359,25,5562,83,128,2007-2011
B15002_35_doctorate_degree,2210,16,4833,2106,154,2,195,42,97,42,229,154,14,84,8,97,178,10,3545,66,60,2007-2011
B19001_1_total,276234,14442,840663,231355,49233,11817,45878,30552,20916,13200,30624,51220,34014,17299,10737,41579,25717,3146,643917,19995,16354,2007-2011
"B19001_2_less_than_$10,000",8721,1007,60052,8796,2092,743,3093,2514,953,1039,2241,2182,1824,1563,933,2190,706,338,36554,960,1748,2007-2011
"B19001_3_$10,000_to_$14,999",5985,1022,42963,5655,1834,986,3050,2235,939,976,2525,1990,1689,1227,767,1959,566,96,29230,886,1757,2007-2011
"B19001_4_$15,000_to_$19,999",6969,806,46740,7037,2409,788,2513,2143,960,858,2038,1986,1514,1110,659,1752,379,168,30500,827,962,2007-2011
"B19001_5_$20,000_to_$24,999",8509,683,50848,9147,2243,769,2865,2156,1007,675,1784,2551,1516,1320,866,1811,671,137,31737,860,1146,2007-2011
"B19001_6_$25,000_to_$29,999",10147,757,52786,8860,2277,928,2715,1944,1191,855,1780,2732,1192,1274,716,1713,532,175,33401,718,994,2007-2011
"B19001_7_$30,000_to_$34,999",8876,812,48128,9662,2106,760,2555,2002,1254,836,1825,2728,1778,964,729,1914,737,146,33436,923,1251,2007-2011
"B19001_8_$35,000_to_$39,999",10417,820,45303,9909,1762,395,2714,1656,1088,848,1504,2750,1549,1002,648,1568,813,219,31226,995,1065,2007-2011
"B19001_9_$40,000_to_$44,999",10801,610,43167,9296,2230,665,2388,1771,1225,776,1545,3144,1659,799,707,1712,859,185,31602,1029,1018,2007-2011
"B19001_10_$45,000_to_$49,999",8301,674,38403,8184,2218,614,2270,1384,983,655,1287,2454,941,591,280,1787,965,196,27841,1243,667,2007-2011
"B19001_11_$50,000_to_$59,999",18856,1417,71638,18289,4375,1072,3778,2828,2119,1098,2700,5080,3198,1605,885,3065,2172,297,55510,1898,1105,2007-2011
"B19001_12_$60,000_to_$74,999",27141,1534,83588,25242,5350,1390,4792,3034,2190,1481,2969,5960,3861,1996,1069,4679,2943,219,67453,1942,1650,2007-2011
"B19001_13_$75,000_to_$99,999",40131,2077,90620,31341,7697,1358,6094,3066,2453,1415,3517,7620,5714,1844,1057,5570,4579,324,82670,3519,1600,2007-2011
"B19001_14_$100,000_to_$124,999",34026,919,57098,27295,5066,684,3075,1751,1457,717,2405,4213,3168,818,787,4570,3301,238,58061,1695,663,2007-2011
"B19001_15_$125,000_to_$149,999",23586,500,34189,18056,3309,328,1400,693,1044,357,881,2320,2065,499,242,2117,2290,170,32752,1101,276,2007-2011
"B19001_16_$150,000_to_$199,999",27286,447,33139,18076,2362,152,1442,762,1187,369,1014,2091,1285,249,166,3106,2442,109,32310,718,261,2007-2011
"B19001_17_$200,000_or_more",26482,357,42001,16510,1903,185,1134,613,866,245,609,1419,1061,438,226,2066,1762,129,29634,681,191,2007-2011
B19013_1_median_household_income_in_the_past_12_months_(in_2011_inflation-adjusted_dollars),82758,50176,48942,72305,62639,44136,46993,41242,54002,42844,45253,55970,60575,41074,40385,63725,82146,48401,56178,57511,36661,2007-2011
B25001_1_total,295490,16524,937789,250161,53570,14123,53461,39468,24508,15003,36478,55980,37665,20161,15138,45710,27349,3597,707451,23503,19385,2007-2011
B25003_1_total,276234,14442,840663,231355,49233,11817,45878,30552,20916,13200,30624,51220,34014,17299,10737,41579,25717,3146,643917,19995,16354,2007-2011
B25003_2_owner_occupied,194135,10000,455397,153254,37497,8735,31666,23623,16164,9578,21909,38663,26501,12249,7506,33030,21239,2279,405570,16276,10780,2007-2011
B25003_3_renter_occupied,82099,4442,385266,78101,11736,3082,14212,6929,4752,3622,8715,12557,7513,5050,3231,8549,4478,867,238347,3719,5574,2007-2011
B25024_1_total,295490,16524,937789,250161,53570,14123,53461,39468,24508,15003,36478,55980,37665,20161,15138,45710,27349,3597,707451,23503,19385,2007-2011
"B25024_2_1,_detached",207983,12279,524932,167352,41188,10934,39260,24553,16188,11228,23693,38205,27263,13953,10568,32782,23656,2694,474538,15037,13535,2007-2011
"B25024_3_1,_attached",7823,159,35900,4349,612,66,743,392,597,58,341,508,256,236,335,563,482,30,20477,336,212,2007-2011
B25024_4_2,1354,410,13116,1552,1544,426,1733,318,242,188,534,1322,534,592,156,788,151,10,13739,352,386,2007-2011
B25024_5_3_or_4,6292,462,36535,5464,1009,350,1020,845,383,154,674,1603,868,574,312,716,314,42,27533,296,382,2007-2011
B25024_6_5_to_9,17701,151,91671,13221,1245,220,1929,776,337,583,1897,896,678,409,343,646,557,124,46004,316,455,2007-2011
B25024_7_10_to_19,23890,59,93506,20804,923,73,1796,70,154,256,1173,359,645,300,151,500,421,32,55172,29,504,2007-2011
B25024_8_20_to_49,9924,271,56261,18321,572,70,752,166,145,206,485,407,289,180,125,269,250,17,28185,154,196,2007-2011
B25024_9_50_or_more,12873,64,70362,7591,498,33,731,167,402,128,738,316,152,224,211,264,313,0,26904,70,151,2007-2011
B25024_10_mobile_home,7546,2599,15021,11387,5881,1913,5379,12073,5896,2185,6906,12191,6958,3686,2933,9004,1189,648,14349,6804,3528,2007-2011
"B25024_11_boat,_rv,_van,_etc.",104,70,485,120,98,38,118,108,164,17,37,173,22,7,4,178,16,0,550,109,36,2007-2011
B25077_1_median_value_(dollars),202000,111300,129300,180400,136600,84800,102300,87000,150400,93700,92900,113500,129300,78900,81600,150000,193000,139000,136100,120700,87100,2007-2011
B25034_1_total,295490,16524,937789,250161,53570,14123,53461,39468,24508,15003,36478,55980,37665,20161,15138,45710,27349,3597,707451,23503,19385,2007-2011
B25034_2_built_2005_or_later,39966,966,46798,31159,6486,667,2534,1712,2652,888,2389,5448,5750,1017,744,5441,5170,295,64287,1985,1438,2007-2011
B25034_3_built_2000_to_2004,61662,1868,79170,56800,8528,1294,4846,3586,3773,1327,4198,9498,8285,1862,1342,7963,7162,350,97976,3679,1846,2007-2011
B25034_4_built_1990_to_1999,89536,2328,105410,58394,10634,2394,7755,7682,4928,2272,6251,10372,7132,2764,1628,9371,5732,804,103866,5684,3008,2007-2011
B25034_5_built_1980_to_1989,59267,2444,179319,58346,10067,1972,8186,10876,5950,2713,6811,10112,6577,3186,1850,8462,5152,976,145961,4081,3673,2007-2011
B25034_6_built_1970_to_1979,28212,3142,186296,27389,6873,2201,8904,8836,4675,2728,5817,9375,4384,3947,2476,6346,2264,334,109508,3299,4195,2007-2011
B25034_7_built_1960_to_1969,8896,1726,142618,9276,3480,1551,7874,3345,1122,2019,5016,4667,2259,2414,2352,2706,568,155,68298,1676,1312,2007-2011
B25034_8_built_1950_to_1959,3453,1761,118909,4089,2965,1023,5251,1654,622,1280,2910,2912,1227,2139,1869,2158,628,347,64597,1304,1618,2007-2011
B25034_9_built_1940_to_1949,1538,852,42799,2099,1384,1005,2869,800,323,704,1532,1286,766,954,1440,1147,285,96,26324,711,884,2007-2011
B25034_10_built_1939_or_earlier,2960,1437,36470,2609,3153,2016,5242,977,463,1072,1554,2310,1285,1878,1437,2116,388,240,26634,1084,1411,2007-2011
B25127_1_total,276234,14442,840663,231355,49233,11817,45878,30552,20916,13200,30624,51220,34014,17299,10737,41579,25717,3146,643917,19995,16354,2007-2011
B25127_2_owner_occupied,194135,10000,455397,153254,37497,8735,31666,23623,16164,9578,21909,38663,26501,12249,7506,33030,21239,2279,405570,16276,10780,2007-2011
B25127_3_built_2000_or_later,71316,1736,57961,59213,11263,1419,5006,3763,4674,1508,4202,10496,10567,2056,955,9790,9831,496,100800,3964,1789,2007-2011
"B25127_4_1,_detached__or_attached",69670,1231,54493,57250,10437,1144,4235,2678,3999,1088,3072,8186,9181,1430,648,8508,9662,449,98149,2908,1406,2007-2011
B25127_5_2_to_4,83,12,379,21,20,0,0,11,0,0,13,42,10,0,0,0,14,0,302,4,0,2007-2011
B25127_6_5_to_19,59,0,472,32,0,0,0,0,0,0,0,0,0,7,0,0,35,0,72,0,0,2007-2011
B25127_7_20_to_49,5,0,381,15,0,0,0,0,10,0,0,0,0,0,0,0,10,0,42,0,0,2007-2011
B25127_8_50_or_more,165,0,973,16,0,0,0,0,12,0,6,0,0,0,0,0,0,0,151,0,0,2007-2011
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",1334,493,1263,1879,806,275,771,1074,653,420,1111,2268,1376,619,307,1282,110,47,2084,1052,383,2007-2011
B25127_10_built_1980_to_1999,92945,3179,125982,68281,14905,2677,9243,10335,7297,3573,8092,14749,9959,3786,1936,13812,8353,1188,136458,6975,3858,2007-2011
"B25127_11_1,_detached__or_attached",88957,2194,114014,63892,12154,2131,7022,5943,5513,2628,5356,9968,6867,2352,1084,9959,7699,987,130112,3990,2849,2007-2011
B25127_12_2_to_4,283,11,1795,123,82,0,20,8,18,0,0,74,0,0,0,6,40,0,876,0,35,2007-2011
B25127_13_5_to_19,400,0,2358,49,0,0,0,21,0,0,0,0,0,0,0,0,78,0,541,0,0,2007-2011
B25127_14_20_to_49,14,0,742,11,0,0,0,0,23,0,0,0,0,2,0,0,0,0,286,0,0,2007-2011
B25127_15_50_or_more,93,0,1667,0,0,0,0,17,0,0,0,0,0,0,0,18,0,0,199,0,0,2007-2011
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",3198,974,5406,4206,2669,546,2201,4346,1743,945,2736,4707,3092,1432,852,3829,536,201,4444,2985,974,2007-2011
B25127_17_built_1960_to_1979,25339,3035,152036,21574,6433,2313,9892,7401,3307,2787,6643,9285,3967,3562,2395,6160,2233,274,96120,3175,3030,2007-2011
"B25127_18_1,_detached__or_attached",24717,2769,144139,20808,6057,2160,9270,5494,2326,2632,5856,8124,3426,3287,2109,5138,2170,237,93291,2691,2621,2007-2011
B25127_19_2_to_4,84,0,1968,19,12,0,41,4,0,0,0,34,0,32,0,0,23,0,617,0,24,2007-2011
B25127_20_5_to_19,27,0,2009,0,0,0,0,0,10,0,3,0,0,0,10,0,0,0,351,32,0,2007-2011
B25127_21_20_to_49,14,13,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,2007-2011
