index,48015,48039,48071,48157,48167,48201,48291,48321,48339,48455,48471,48473,48477,48481,estimate_year
FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,2012-2016
FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2012-2016
STATE,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,tx,2012-2016
"B11001_6_female_householder,_no_husband_present",1266,12456,902,26800,15420,239462,2881,1847,18636,677,2493,1840,1514,1965,2012-2016
B11001_7_nonfamily_households,2967,29829,2876,38162,35831,490391,6922,4528,46165,1936,8417,3893,3488,4791,2012-2016
B11001_8_householder_living_alone,2639,25390,2656,32177,29622,405137,5980,4159,38172,1713,6208,3076,3064,4381,2012-2016
B11001_9_householder_not_living_alone,328,4439,220,5985,6209,85254,942,369,7993,223,2209,817,424,410,2012-2016
B15002_1_total,19665,218876,24206,434436,209066,2792590,51374,23821,336470,10493,45130,25346,23087,26867,2012-2016
B15002_2_male,9597,109895,11976,207950,101098,1368379,24898,11624,163484,4923,28315,12615,11068,12990,2012-2016
B15002_3_no_schooling_completed,312,1379,127,3105,1504,35381,460,325,1702,30,213,379,118,336,2012-2016
B15002_4_nursery_to_4th_grade,133,1033,143,1790,701,27377,404,203,2108,95,180,423,176,296,2012-2016
B15002_5_5th_and_6th_grade,266,2318,301,2601,1612,63874,661,430,3785,87,631,374,203,492,2012-2016
B15002_6_7th_and_8th_grade,204,2273,485,2568,1844,32171,797,511,2170,222,842,342,249,369,2012-2016
B15002_7_9th_grade,211,1996,231,3249,1766,42899,898,293,3010,140,1098,570,258,385,2012-2016
B15002_8_10th_grade,223,2409,201,2939,1903,25310,940,282,2620,241,1048,409,528,261,2012-2016
B15002_9_11th_grade,253,2589,316,3097,2565,29703,925,235,4052,130,1221,154,337,532,2012-2016
"B15002_10_12th_grade,_no_diploma",138,1426,152,3277,1979,27772,515,163,3460,103,220,241,203,269,2012-2016
B15002_11_high_school_graduate_(includes_equivalency),3076,29966,3713,36140,24545,320207,10506,4052,38689,1836,11664,3669,3579,4489,2012-2016
"B15002_12_some_college,_less_than_1_year",456,6956,841,9407,6949,63964,1451,778,10501,362,1318,842,869,909,2012-2016
"B15002_13_some_college,_1_or_more_years,_no_degree",1613,19445,2196,30247,17511,206936,3656,1673,24588,720,4255,1972,1342,1887,2012-2016
