estimate_year,index,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,WI_059
2013-2017,B01001_18_60_and_61_years,60297,841,12946,583,6065,1079,8960,4076,7667,294,6261,175,2399,2247
2013-2017,B01001_19_62_to_64_years,79152,1493,15750,647,7683,1228,11613,5301,10376,609,8345,261,3080,2789
2013-2017,B01001_20_65_and_66_years,46410,683,9590,396,5019,979,6786,3254,5973,439,4607,104,2130,1612
2013-2017,B01001_21_67_to_69_years,57986,1117,11686,690,5650,949,7956,3757,7452,483,6578,306,2181,1596
2013-2017,B01001_22_70_to_74_years,73976,1442,14742,778,7511,1625,10623,4853,9702,597,7934,285,2974,2625
2013-2017,B01001_23_75_to_79_years,49272,874,8530,538,4550,1003,6705,3168,5897,348,5291,264,1561,1666
2013-2017,B01001_24_80_to_84_years,36950,523,6488,343,3206,219,4282,1470,3878,432,3994,94,1376,1063
2013-2017,B01001_25_85_years_and_over,31376,651,5962,177,2658,340,4050,1561,2788,183,3306,81,990,908
2013-2017,B01001_26_female,2697837,52734,474499,25179,266010,62132,352629,154540,346008,16880,252357,7015,84695,84853
2013-2017,B01001_27_under_5_years,162944,3003,27153,1460,17122,4297,20409,8354,20311,982,14809,375,4496,4805
2013-2017,B01001_28_5_to_9_years,159653,2809,29624,1635,19272,5480,23449,10185,23952,1256,16403,449,5297,5275
2013-2017,B01001_29_10_to_14_years,158104,3480,30039,1932,20457,4942,26035,11107,27081,1063,16281,443,5182,5900
2013-2017,B01001_30_15_to_17_years,96709,1863,19225,1208,12331,3007,16245,7178,16437,705,10436,262,3513,3631
2013-2017,B01001_31_18_and_19_years,63064,3185,11525,577,6739,1507,9800,3692,8843,436,5901,165,2180,2452
2013-2017,B01001_32_20_years,32901,1849,5320,216,3542,771,4292,1378,4615,265,3015,44,1269,1245
2013-2017,B01001_33_21_years,33978,1549,4666,240,3546,620,4162,2094,4013,185,3162,53,1242,1662
2013-2017,B01001_34_22_to_24_years,113451,3863,18608,1043,9250,1850,14092,5526,12745,563,9629,337,2860,2731
2013-2017,B01001_35_25_to_29_years,219832,3851,28120,1396,15094,3369,17966,7750,18461,871,14697,374,4818,5223
2013-2017,B01001_36_30_to_34_years,209284,3180,30083,1736,16676,5236,19969,8795,21079,997,15879,407,5319,5361
2013-2017,B01001_37_35_to_39_years,184946,2648,30771,1602,17923,5519,21524,9543,23370,1145,15316,409,5522,5665
2013-2017,B01001_38_40_to_44_years,171382,3091,29917,1894,18517,4595,24215,10639,26192,892,16135,364,5456,5106
2013-2017,B01001_39_45_to_49_years,170604,2923,33548,1830,18979,4777,26150,12440,27053,1038,15987,431,5560,5989
2013-2017,B01001_40_50_to_54_years,176094,3140,36750,1714,18889,3774,27877,13016,25947,1234,17616,522,6088,6662
2013-2017,B01001_41_55_to_59_years,175264,3037,35636,1771,16604,3518,25487,11509,22826,1124,18509,560,6387,6049
2013-2017,B01001_42_60_and_61_years,67173,1121,12934,521,6487,1252,9515,4421,7452,509,6753,205,2502,2273
2013-2017,B01001_43_62_to_64_years,89878,1400,17275,754,8934,1311,11979,5152,10885,655,9277,279,3267,2774
2013-2017,B01001_44_65_and_66_years,54895,1037,10710,530,5195,874,7377,3732,6717,332,6070,202,2061,1424
2013-2017,B01001_45_67_to_69_years,69785,1039,12883,653,6401,1365,8811,4122,8542,564,7240,251,2338,2033
2013-2017,B01001_46_70_to_74_years,94469,1507,16956,878,9005,1693,11438,5060,10703,787,9421,283,3294,2981
2013-2017,B01001_47_75_to_79_years,71926,971,12152,609,5786,1268,8330,3343,7110,557,7437,260,2409,1951
2013-2017,B01001_48_80_to_84_years,56000,1073,9213,358,4200,380,5896,2350,5515,367,5225,120,1629,1646
2013-2017,B01001_49_85_years_and_over,65501,1115,11391,622,5061,727,7611,3154,6159,353,7159,220,2006,2015
2013-2017,B02001_1_total,5238541,104473,931826,50333,529402,122933,704476,308043,687727,33448,488694,14056,167391,167886
2013-2017,B02001_2_white_alone,2966732,88042,729495,47342,381774,101482,552121,284614,506111,31764,302770,13437,153279,144109
2013-2017,B02001_3_black_or_african_american_alone,1242179,7766,43525,760,29774,8322,47970,4108,77198,239,118873,18,6072,12611
2013-2017,B02001_4_american_indian_and_alaska_native_alone,13972,61,1827,38,2200,142,1359,267,1252,41,1435,21,353,645
2013-2017,B02001_5_asian_alone,366098,2523,105771,386,20825,3981,50460,8290,36011,119,6701,84,2330,2257
2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone,1786,0,280,15,148,0,401,100,179,0,206,0,187,44
2013-2017,B02001_7_some_other_race_alone,517175,3459,26723,1063,81829,5880,32945,4803,48169,752,44677,245,1704,3328
2013-2017,B02001_8_two_or_more_races,130599,2622,24205,729,12852,3126,19220,5861,18807,533,14032,251,3466,4892
2013-2017,B02001_9_two_races_including_some_other_race,35914,301,4432,152,3762,1178,3515,887,3957,85,4983,42,598,985
2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",94685,2321,19773,577,9090,1948,15705,4974,14850,448,9049,209,2868,3907
2013-2017,B11001_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,B11001_2_family_households,1182951,23088,238768,13822,130292,31835,179683,83007,171194,8736,123584,3895,44394,41335
2013-2017,B11001_3_married-couple_family,802416,17185,195487,10972,102217,25467,144036,67480,135833,6927,82344,3006,34282,29839
2013-2017,B11001_4_other_family,380535,5903,43281,2850,28075,6368,35647,15527,35361,1809,41240,889,10112,11496
2013-2017,"B11001_5_male_householder,_no_wife_present",96490,1531,12189,769,9031,1956,9979,4711,9780,661,10188,273,2882,3493
2013-2017,"B11001_6_female_householder,_no_husband_present",284045,4372,31092,2081,19044,4412,25668,10816,25581,1148,31052,616,7230,8003
2013-2017,B11001_7_nonfamily_households,773610,14332,101901,5184,45638,8047,64840,27853,55474,3484,61940,1635,18857,21951
2013-2017,B11001_8_householder_living_alone,637117,9996,85322,4112,37492,6369,54371,22458,46909,2992,53324,1380,15273,17619
2013-2017,B11001_9_householder_not_living_alone,136493,4336,16579,1072,8146,1678,10469,5395,8565,492,8616,255,3584,4332
2013-2017,B15002_1_total,3578782,61324,632912,33231,340594,77030,455774,205777,444963,22258,326499,9859,113686,111210
2013-2017,B15002_2_male,1701749,30191,304573,16363,166843,37372,221629,100751,216952,10833,153778,4972,55030,54058
2013-2017,B15002_3_no_schooling_completed,28629,242,3462,127,3047,249,2904,622,2270,132,1839,53,318,568
2013-2017,B15002_4_nursery_to_4th_grade,15285,104,775,10,2481,80,1527,364,1125,6,936,8,107,169
2013-2017,B15002_5_5th_and_6th_grade,43824,196,3615,106,6476,730,4293,930,3218,26,2061,6,108,359
2013-2017,B15002_6_7th_and_8th_grade,33101,358,3261,212,3023,547,2981,1164,3024,119,2191,87,518,698
2013-2017,B15002_7_9th_grade,23481,274,1960,110,3973,335,2269,506,1830,170,2263,156,451,624
2013-2017,B15002_8_10th_grade,29028,307,2892,178,2455,296,2209,1302,2606,331,2869,139,925,948
2013-2017,B15002_9_11th_grade,31466,531,2808,183,3291,359,2359,1456,3343,546,3385,147,870,1296
2013-2017,"B15002_10_12th_grade,_no_diploma",38867,423,4921,314,4384,741,3479,1597,4553,261,3493,142,1010,1006
2013-2017,B15002_11_high_school_graduate_(includes_equivalency),412908,8395,52925,6170,37954,8766,47030,26724,59084,4688,57417,2364,19521,18703
2013-2017,"B15002_12_some_college,_less_than_1_year",81055,2572,17261,1615,10287,2535,11815,7953,15986,765,10729,259,3367,4234
2013-2017,"B15002_13_some_college,_1_or_more_years,_no_degree",240185,4929,40181,2803,24029,7356,28757,16448,33028,1493,24535,622,8034,7637
2013-2017,B15002_14_associate's_degree,99429,3040,19183,1254,11208,3412,12484,8411,16097,780,10864,465,4827,4819
2013-2017,B15002_15_bachelor's_degree,378340,5724,89998,2371,35943,8277,56812,22693,45792,962,21686,393,9314,8798
2013-2017,B15002_16_master's_degree,161303,2217,43083,763,13346,3189,27856,8119,18822,343,6604,93,3506,3043
2013-2017,B15002_17_professional_school_degree,56942,296,11678,96,2956,342,9736,1517,3296,149,2150,18,1229,654
2013-2017,B15002_18_doctorate_degree,27906,583,6570,51,1990,158,5118,945,2878,62,756,20,925,502
2013-2017,B15002_19_female,1877033,31133,328339,16868,173751,39658,234145,105026,228011,11425,172721,4887,58656,57152
2013-2017,B15002_20_no_schooling_completed,30816,171,4122,95,3540,257,2909,584,1799,90,1713,51,271,515
2013-2017,B15002_21_nursery_to_4th_grade,17837,46,1207,26,2081,86,1366,301,1334,0,971,8,166,212
2013-2017,B15002_22_5th_and_6th_grade,44606,144,3727,40,5668,787,4141,988,3099,74,1746,0,253,222
2013-2017,B15002_23_7th_and_8th_grade,37104,429,3512,137,3612,291,3192,1067,2660,57,2471,121,512,510
2013-2017,B15002_24_9th_grade,22308,240,1557,107,4309,436,2598,586,1646,176,2218,108,486,684
2013-2017,B15002_25_10th_grade,27966,251,3176,238,2231,428,2892,980,2221,287,3234,107,1066,692
2013-2017,B15002_26_11th_grade,35688,437,2532,206,2463,274,2229,939,2500,304,4027,153,1087,1335
2013-2017,"B15002_27_12th_grade,_no_diploma",34405,352,4628,140,3370,235,3030,1531,3591,167,3586,84,611,787
2013-2017,B15002_28_high_school_graduate_(includes_equivalency),428572,7553,64201,5259,40307,8480,49070,27767,60408,4680,56316,2128,19525,17652
2013-2017,"B15002_29_some_college,_less_than_1_year",96910,2825,19469,1580,12360,3069,14227,8591,17122,764,12285,262,3642,4819
2013-2017,"B15002_30_some_college,_1_or_more_years,_no_degree",260195,5138,41526,3064,23928,6116,30193,16747,32527,1902,28769,899,8804,8563
2013-2017,B15002_31_associate's_degree,134161,3617,26104,1754,13930,4348,16167,9847,20559,1125,16612,409,5967,6233
2013-2017,B15002_32_bachelor's_degree,418207,5910,93961,2578,35522,9047,61339,22804,49887,1170,25344,351,10268,9793
2013-2017,B15002_33_master's_degree,218401,3411,46352,1437,17442,5056,32329,10199,23776,589,11299,179,4871,4303
2013-2017,B15002_34_professional_school_degree,45588,214,7518,131,1765,368,5355,1326,3107,30,1319,27,594,424
2013-2017,B15002_35_doctorate_degree,24269,395,4747,76,1223,380,3108,769,1775,10,811,0,533,408
2013-2017,B19001_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,"B19001_2_less_than_$10,000",159387,3271,12667,918,7296,961,10052,3446,8145,529,14923,363,3229,3651
2013-2017,"B19001_3_$10,000_to_$14,999",89384,1620,7326,791,4821,679,6123,2350,4995,441,9354,212,2653,2677
2013-2017,"B19001_4_$15,000_to_$19,999",95115,1700,9669,691,6199,435,7134,3087,7393,496,9505,284,2660,3220
2013-2017,"B19001_5_$20,000_to_$24,999",94658,1699,10084,598,6464,987,8788,3370,7534,565,9450,193,2363,3404
2013-2017,"B19001_6_$25,000_to_$29,999",86407,1502,10288,554,6182,991,7925,3659,7299,610,9187,283,2414,3169
2013-2017,"B19001_7_$30,000_to_$34,999",87391,1741,11884,773,6077,1254,8219,4028,7707,697,9954,392,2926,3017
2013-2017,"B19001_8_$35,000_to_$39,999",80296,1666,11650,698,6677,1397,8960,3639,7767,653,9039,265,2698,2977
2013-2017,"B19001_9_$40,000_to_$44,999",82878,1554,12567,697,7027,1062,8971,3704,8170,749,8742,324,2935,2658
2013-2017,"B19001_10_$45,000_to_$49,999",69566,1394,11184,741,6393,1421,7780,3907,7597,583,8026,299,2170,2653
2013-2017,"B19001_11_$50,000_to_$59,999",139786,3064,22615,1653,13216,3122,15037,8402,16126,1135,15225,545,4758,5405
2013-2017,"B19001_12_$60,000_to_$74,999",182145,4231,31549,1805,17777,3763,23363,11248,23036,1567,19905,798,6517,6584
2013-2017,"B19001_13_$75,000_to_$99,999",234621,4957,46788,2990,24107,6896,30128,17088,32631,1963,23745,762,9268,8290
2013-2017,"B19001_14_$100,000_to_$124,999",168846,3559,38704,2221,20028,5577,24837,13580,27034,1096,16011,515,7771,5958
2013-2017,"B19001_15_$125,000_to_$149,999",109747,2391,27280,1389,13303,4043,17569,9455,19879,468,8934,107,4291,3520
2013-2017,"B19001_16_$150,000_to_$199,999",126015,1922,34066,1621,15187,4550,23876,10782,22824,451,8154,82,3655,3497
2013-2017,"B19001_17_$200,000_or_more",150319,1149,42348,866,15176,2744,35761,9115,18531,217,5370,106,2943,2606
2013-2017,B19013_1_median_household_income_in_the_past_12_months_(in_2017_inflation-adjusted_dollars),59426,58343,84442,71598,74862,89860,82613,82230,80782,56574,52559,52193,65979,57269
2013-2017,B25001_1_total,2183987,41143,358421,20566,185566,41463,262553,117813,241498,13461,211379,6054,67777,70050
2013-2017,B25003_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,B25003_2_owner_occupied,1112383,21139,249800,13695,128974,32645,179525,88011,184080,9337,128486,4149,47702,41539
2013-2017,B25003_3_renter_occupied,844178,16281,90869,5311,46956,7237,64998,22849,42588,2883,57038,1381,15549,21747
2013-2017,B25024_1_total,2183987,41143,358421,20566,185566,41463,262553,117813,241498,13461,211379,6054,67777,70050
2013-2017,"B25024_2_1,_detached",880444,23848,214673,14801,129160,31148,177353,91655,180275,10876,150431,5533,50043,46568
2013-2017,"B25024_3_1,_attached",114466,4266,43308,1930,20524,6096,27453,11060,28752,467,15517,47,3780,2234
2013-2017,B25024_4_2,211997,1454,2676,506,7380,592,6897,2377,4758,524,7882,75,1632,5036
2013-2017,B25024_5_3_or_4,236268,1993,10871,763,7248,593,8221,2838,5811,283,8082,32,2381,2380
2013-2017,B25024_6_5_to_9,220208,2869,23509,693,6140,832,9454,4583,4664,387,9212,90,3060,3421
2013-2017,B25024_7_10_to_19,105615,2650,23165,413,5180,1212,10683,2018,6311,131,7980,100,2273,3034
2013-2017,B25024_8_20_to_49,126692,1669,16515,292,3394,589,7880,1051,2232,108,4974,19,846,2841
2013-2017,B25024_9_50_or_more,272518,1521,22868,330,5357,354,10224,1396,5152,47,4351,0,571,2080
2013-2017,B25024_10_mobile_home,15292,870,730,825,1148,27,4313,775,3462,638,2904,158,3191,2441
2013-2017,"B25024_11_boat,_rv,_van,_etc.",487,3,106,13,35,20,75,60,81,0,46,0,0,15
2013-2017,B25077_1_median_value_(dollars),227400,166800,289900,188300,223400,214700,251400,212600,216400,153200,140100,112500,173100,164100
2013-2017,B25034_1_total,2183987,41143,358421,20566,185566,41463,262553,117813,241498,13461,211379,6054,67777,70050
2013-2017,B25034_2_built_2014_or_later,7911,122,1531,230,1127,270,795,299,1602,86,956,0,548,185
2013-2017,B25034_3_built_2010_to_2013,17806,394,3342,288,2656,1306,3191,1017,3057,164,3161,52,951,852
2013-2017,B25034_4_built_2000_to_2009,165795,7905,31140,5217,40075,20348,40039,25729,65491,2473,21131,630,10630,9735
2013-2017,B25034_5_built_1990_to_1999,139106,6367,55251,3082,32594,6181,52621,27436,53944,2394,19805,738,12483,11448
2013-2017,B25034_6_built_1980_to_1989,151462,3763,65018,1918,16032,1807,36985,14481,21756,1217,13462,213,7842,5453
2013-2017,B25034_7_built_1970_to_1979,266747,5673,86381,3033,24194,5388,41622,16309,34892,2352,28689,1319,14110,9452
2013-2017,B25034_8_built_1960_to_1969,282468,4229,46814,1503,16906,2130,26141,8655,19818,1070,28945,538,7744,7534
2013-2017,B25034_9_built_1950_to_1959,337660,3339,38471,1581,16663,1315,28419,10478,17091,1137,38704,481,5697,8606
2013-2017,B25034_10_built_1940_to_1949,167016,2028,9901,870,5768,594,10496,3139,6126,899,21685,412,2282,3891
2013-2017,B25034_11_built_1939_or_earlier,648016,7323,20572,2844,29551,2124,22244,10270,17721,1669,34841,1671,5490,12894
2013-2017,B25127_1_total,1956561,37420,340669,19006,175930,39882,244523,110860,226668,12220,185524,5530,63251,63286
2013-2017,B25127_2_owner_occupied,1112383,21139,249800,13695,128974,32645,179525,88011,184080,9337,128486,4149,47702,41539
2013-2017,B25127_3_built_2010_or_later,8495,280,3255,299,2946,1342,2078,735,3546,211,2700,34,1013,581
2013-2017,"B25127_4_1,_detached__or_attached",6116,243,3109,284,2779,1342,1991,712,3502,202,2649,34,996,558
2013-2017,B25127_5_2_to_4,701,0,0,0,59,0,0,23,11,0,12,0,0,0
2013-2017,B25127_6_5_to_19,739,0,14,0,25,0,16,0,0,0,9,0,0,6
2013-2017,B25127_7_20_to_49,121,0,26,0,0,0,0,0,0,0,0,0,0,0
2013-2017,B25127_8_50_or_more,637,0,85,0,78,0,20,0,17,0,14,0,0,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",181,37,21,15,5,0,51,0,16,9,16,0,17,17
2013-2017,B25127_10_built_2000_to_2009,92840,5039,21602,4000,32358,16971,28709,20954,55831,1714,16445,482,8797,7033
2013-2017,"B25127_11_1,_detached__or_attached",48775,4760,19235,3784,31150,16735,26051,20352,54392,1649,15467,468,8390,6121
2013-2017,B25127_12_2_to_4,7569,92,78,61,368,46,265,272,274,28,230,0,110,56
2013-2017,B25127_13_5_to_19,10393,27,625,0,484,190,418,134,517,0,378,0,17,511
2013-2017,B25127_14_20_to_49,6280,0,853,0,228,0,434,8,18,0,100,0,23,113
2013-2017,B25127_15_50_or_more,18108,0,734,0,86,0,670,26,90,0,27,0,0,32
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",1715,160,77,155,42,0,871,162,540,37,243,14,257,200
2013-2017,B25127_17_built_1980_to_1999,155970,4831,83500,3216,37250,6253,65291,33258,62632,2621,21962,724,13506,9827
2013-2017,"B25127_18_1,_detached__or_attached",108171,4328,75476,2858,35857,6108,60341,31835,59556,2386,20240,673,11948,8206
2013-2017,B25127_19_2_to_4,11805,127,2948,56,712,143,1312,437,1031,12,442,2,172,354
2013-2017,B25127_20_5_to_19,13289,44,2439,23,394,0,1148,568,626,8,376,0,145,416
2013-2017,B25127_21_20_to_49,7037,0,1063,0,83,0,721,85,105,0,182,0,0,33
2013-2017,B25127_22_50_or_more,11650,26,1300,0,117,0,314,6,65,0,33,0,0,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",4018,306,274,279,87,2,1455,327,1249,215,689,49,1241,818
2013-2017,B25127_24_built_1960_to_1979,285878,4255,88329,2869,25055,5346,44376,17630,36731,2496,34250,1420,15561,9621
2013-2017,"B25127_25_1,_detached__or_attached",209396,3968,76101,2762,23500,5259,41232,16792,35221,2440,32981,1375,14544,8648
2013-2017,B25127_26_2_to_4,13758,40,1720,3,311,18,1013,214,507,0,345,1,180,140
2013-2017,B25127_27_5_to_19,18923,0,4245,0,354,17,702,394,374,0,319,0,39,83
2013-2017,B25127_28_20_to_49,13073,5,2486,11,309,36,495,33,106,0,57,0,0,7
2013-2017,B25127_29_50_or_more,27872,2,3663,0,181,0,241,93,78,0,36,0,0,0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",2856,240,114,93,400,16,693,104,445,56,512,44,798,743
2013-2017,B25127_31_built_1940_to_1959,296343,2729,37313,1749,14969,1468,26093,9380,15768,1219,35804,587,5442,7955
2013-2017,"B25127_32_1,_detached__or_attached",264545,2714,36521,1745,14681,1456,25641,9333,15535,1213,35156,583,5369,7706
2013-2017,B25127_33_2_to_4,16369,1,100,0,226,12,240,10,182,6,522,4,20,202
2013-2017,B25127_34_5_to_19,5781,0,238,0,27,0,90,13,42,0,45,0,21,0
2013-2017,B25127_35_20_to_49,2993,0,151,0,10,0,28,17,0,0,43,0,0,0
2013-2017,B25127_36_50_or_more,6253,0,247,0,25,0,33,0,0,0,0,0,0,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",402,14,56,4,0,0,61,7,9,0,38,0,32,47
2013-2017,B25127_38_built_1939_or_earlier,272857,4005,15801,1562,16396,1265,12978,6054,9572,1076,17325,902,3383,6522
2013-2017,"B25127_39_1,_detached__or_attached",168918,3910,15257,1536,15292,1237,12256,5627,8938,1076,16321,898,3231,5933
2013-2017,B25127_40_2_to_4,66125,95,384,13,1001,28,612,274,515,0,960,4,152,547
2013-2017,B25127_41_5_to_19,19159,0,37,0,47,0,84,79,26,0,19,0,0,0
2013-2017,B25127_42_20_to_49,7935,0,55,0,31,0,13,44,69,0,0,0,0,42
2013-2017,B25127_43_50_or_more,10492,0,46,13,13,0,4,11,0,0,6,0,0,0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",228,0,22,0,12,0,9,19,24,0,19,0,0,0
2013-2017,B25127_45_renter_occupied,844178,16281,90869,5311,46956,7237,64998,22849,42588,2883,57038,1381,15549,21747
2013-2017,B25127_46_built_2010_or_later,14313,190,1464,172,729,234,1495,467,956,39,1066,8,415,328
2013-2017,"B25127_47_1,_detached__or_attached",470,47,232,99,178,108,297,61,306,2,82,8,132,69
2013-2017,B25127_48_2_to_4,1658,19,106,0,47,50,60,29,100,7,143,0,66,66
2013-2017,B25127_49_5_to_19,1992,95,369,15,134,0,150,148,232,0,336,0,156,67
2013-2017,B25127_50_20_to_49,1414,29,152,0,0,0,191,15,80,0,180,0,18,76
2013-2017,B25127_51_50_or_more,8523,0,605,17,275,56,731,214,229,0,320,0,14,50
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",256,0,0,41,95,20,66,0,9,30,5,0,29,0
2013-2017,B25127_53_built_2000_to_2009,57731,2283,7937,901,6106,2541,8501,3325,6708,588,3583,84,1404,2325
2013-2017,"B25127_54_1,_detached__or_attached",5858,1231,2359,497,3275,1733,3900,2273,4101,341,1191,84,665,548
2013-2017,B25127_55_2_to_4,9925,208,473,102,477,71,620,126,435,87,449,0,156,290
2013-2017,B25127_56_5_to_19,10881,667,1882,188,1189,644,1532,758,1003,139,948,0,349,488
2013-2017,B25127_57_20_to_49,5097,84,766,24,364,5,589,44,285,0,401,0,16,307
2013-2017,B25127_58_50_or_more,25238,88,2393,61,737,88,1765,110,767,0,439,0,78,655
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",732,5,64,29,64,0,95,14,117,21,155,0,140,37
2013-2017,B25127_60_built_1980_to_1999,114064,4637,31242,1417,9663,1364,19764,6888,10022,725,9362,211,5445,5808
2013-2017,"B25127_61_1,_detached__or_attached",13813,1017,6516,720,3684,660,6862,3300,5016,255,2217,141,1442,1037
2013-2017,B25127_62_2_to_4,22153,868,2269,261,1787,159,1830,1005,1022,188,1351,11,840,757
2013-2017,B25127_63_5_to_19,32798,1820,14504,282,2223,357,6402,1850,2451,87,3527,45,2382,2380
2013-2017,B25127_64_20_to_49,10065,515,3027,15,800,147,2002,366,476,56,945,0,372,861
2013-2017,B25127_65_50_or_more,34030,405,4858,78,1112,41,2418,286,796,0,845,0,188,592
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",1205,12,68,61,57,0,250,81,261,139,477,14,221,181
2013-2017,B25127_67_built_1960_to_1979,214098,4460,37838,1319,13665,1947,18361,5711,13443,630,16961,328,4928,5638
2013-2017,"B25127_68_1,_detached__or_attached",35869,1318,7289,371,4260,667,6253,3016,5548,273,6289,198,1804,1549
2013-2017,B25127_69_2_to_4,41477,614,2898,250,2834,405,2611,757,1974,151,2471,31,1194,1236
2013-2017,B25127_70_5_to_19,64284,1716,16378,327,4149,451,5546,1367,3566,117,5175,60,1414,1543
2013-2017,B25127_71_20_to_49,22747,280,5600,183,914,270,1860,227,751,52,1557,9,233,728
2013-2017,B25127_72_50_or_more,48518,532,5620,132,1339,154,1942,334,1529,0,1090,0,180,479
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",1203,0,53,56,169,0,149,10,75,37,379,30,103,103
2013-2017,B25127_74_built_1940_to_1959,160034,2149,8327,542,6212,421,9833,3251,5593,533,15421,199,1876,3164
2013-2017,"B25127_75_1,_detached__or_attached",40413,1270,4574,460,3891,290,5607,2159,3677,366,11239,165,1264,1788
2013-2017,B25127_76_2_to_4,48629,311,848,42,1099,73,2100,499,839,78,1819,14,366,890
