estimate_year,index,NJ_005,NJ_007,NJ_015,NJ_033,PA_017,PA_029,PA_045,PA_091,PA_101,DE_003,MD_015,MSA
2005-2009,"B11005_6_male_householder,_no_wife_present",3727,5054,2447,752,4002,3676,4725,5679,16488,5409,1353,37980.0
2005-2009,"B11005_7_female_householder,_no_husband_present",11031,20316,7779,2170,11745,8476,16734,16939,80057,18233,2527,37980.0
2005-2009,B11005_8_nonfamily_households,493,623,354,85,421,350,501,738,1706,696,174,37980.0
2005-2009,B11005_9_male_householder,385,493,260,44,316,248,363,566,976,451,174,37980.0
2005-2009,B11005_10_female_householder,108,130,94,41,105,102,138,172,730,245,0,37980.0
2005-2009,B11005_11_households_with_no_people_under_18_years,105977,122487,61689,16898,149216,110992,135935,198398,397880,127116,22341,37980.0
2005-2009,B11005_12_family_households,57618,61735,34295,9265,85821,61080,67781,103704,143944,63286,12672,37980.0
2005-2009,B11005_13_married-couple_family,47794,46976,28195,7506,73108,52924,52727,88315,92684,51254,11007,37980.0
2005-2009,B11005_14_other_family,9824,14759,6100,1759,12713,8156,15054,15389,51260,12032,1665,37980.0
2005-2009,"B11005_15_male_householder,_no_wife_present",2906,4527,1775,634,4391,2718,4503,4632,14669,3601,484,37980.0
2005-2009,"B11005_16_female_householder,_no_husband_present",6918,10232,4325,1125,8322,5438,10551,10757,36591,8431,1181,37980.0
2005-2009,B11005_17_nonfamily_households,48359,60752,27394,7633,63395,49912,68154,94694,253936,63830,9669,37980.0
2005-2009,B11005_18_male_householder,21271,26396,12112,3304,28854,21767,29038,40760,110331,29109,4656,37980.0
2005-2009,B11005_19_female_householder,27088,34356,15282,4329,34541,28145,39116,53934,143605,34721,5013,37980.0
2005-2009,B11016_1_total,165336,192095,100680,25194,227204,175312,204481,298326,566697,195137,35872,37980.0
2005-2009,B11016_2_family_households,116484,130720,72932,17476,163388,125050,135826,202894,311055,130611,26029,37980.0
2005-2009,B11016_3_2-person_household,47463,48938,26394,7772,65988,50530,53685,85081,126766,54190,10549,37980.0
2005-2009,B11016_4_3-person_household,26963,33799,17306,3723,38131,26814,32758,45770,81004,32828,6029,37980.0
2005-2009,B11016_5_4-person_household,26231,27838,18505,3654,37524,29397,28439,45369,56221,26869,5634,37980.0
2005-2009,B11016_6_5-person_household,11058,13321,7231,1501,15147,12646,14280,18902,29261,10794,2665,37980.0
2005-2009,B11016_7_6-person_household,3341,4365,2352,628,4762,3765,4595,5097,10860,3727,658,37980.0
2005-2009,B11016_8_7-or-more_person_household,1428,2459,1144,198,1836,1898,2069,2675,6943,2203,494,37980.0
2005-2009,B11016_9_nonfamily_households,48852,61375,27748,7718,63816,50262,68655,95432,255642,64526,9843,37980.0
2005-2009,B11016_10_1-person_household,40855,51522,22915,6446,53573,40252,58925,79934,219579,52228,8042,37980.0
2005-2009,B11016_11_2-person_household,6807,8307,4179,1181,9189,8409,8301,13255,29524,10297,1451,37980.0
2005-2009,B11016_12_3-person_household,728,835,365,73,794,966,936,1554,4465,1125,238,37980.0
2005-2009,B11016_13_4-person_household,353,545,205,18,208,403,283,511,1198,672,101,37980.0
2005-2009,B11016_14_5-person_household,52,92,81,0,52,114,148,95,595,141,0,37980.0
2005-2009,B11016_15_6-person_household,39,65,0,0,0,79,31,83,194,54,0,37980.0
2005-2009,B11016_16_7-or-more_person_household,18,9,3,0,0,39,31,0,87,9,11,37980.0
