estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2013-2017,FILETYPE,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5,2017e5
2013-2017,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2013-2017,B25127_24_built_1960_to_1979,13242,5329,10575,13507,70808,57666,6765,1163,2285,92846,3692,9221,22925,530,4471,5534,2450,7375,2138,605,695,2366,434,3094
2013-2017,"B25127_25_1,_detached__or_attached",6084,5297,10262,13229,60933,53745,3667,1154,2216,83792,3645,8853,22082,530,4196,5312,2354,3109,1892,455,695,2259,391,2720
2013-2017,B25127_26_2_to_4,611,0,41,3,483,230,112,9,0,703,17,20,54,0,0,0,0,63,0,0,0,5,39,9
2013-2017,B25127_27_5_to_19,1228,6,0,130,3533,2517,380,0,0,4260,0,185,359,0,0,38,0,802,206,37,0,35,0,0
2013-2017,B25127_28_20_to_49,478,0,0,12,1152,228,325,0,0,826,0,28,0,0,0,0,0,182,6,24,0,0,0,0
2013-2017,B25127_29_50_or_more,4841,0,12,17,4523,682,2281,0,0,2915,0,47,35,0,10,54,0,3219,34,89,0,6,4,0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",0,26,260,116,184,264,0,0,69,350,30,88,395,0,265,130,96,0,0,0,0,61,0,365
2013-2017,B25127_31_built_1940_to_1959,27167,1489,2511,4391,46942,37344,17755,374,701,34219,1297,2244,3389,178,705,1253,1381,8031,2071,1410,605,365,953,840
2013-2017,"B25127_32_1,_detached__or_attached",21213,1489,2480,4391,45652,36338,14757,374,692,33026,1297,2201,3372,178,705,1240,1381,6451,2059,1392,597,318,953,804
2013-2017,B25127_33_2_to_4,639,0,8,0,167,191,894,0,0,253,0,0,0,0,0,0,0,320,0,0,0,6,0,36
2013-2017,B25127_34_5_to_19,1784,0,14,0,565,587,1331,0,0,720,0,15,12,0,0,13,0,1014,5,0,0,8,0,0
2013-2017,B25127_35_20_to_49,900,0,5,0,116,89,218,0,0,77,0,0,0,0,0,0,0,50,0,0,8,8,0,0
2013-2017,B25127_36_50_or_more,2623,0,0,0,427,106,541,0,9,114,0,0,0,0,0,0,0,196,7,18,0,0,0,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",8,0,4,0,15,33,14,0,0,29,0,28,5,0,0,0,0,0,0,0,0,25,0,0
2013-2017,B25127_38_built_1939_or_earlier,58321,757,820,6737,13013,8637,6842,676,658,2695,1329,2170,744,480,562,510,714,4263,139,359,872,168,0,1425
2013-2017,"B25127_39_1,_detached__or_attached",45903,743,820,6613,12748,8400,6685,676,650,2628,1329,2149,744,479,540,459,714,4036,119,359,841,168,0,1406
2013-2017,B25127_40_2_to_4,2956,14,0,97,86,35,29,0,8,22,0,8,0,0,15,0,0,75,0,0,17,0,0,11
2013-2017,B25127_41_5_to_19,2692,0,0,6,77,82,96,0,0,29,0,0,0,1,0,0,0,64,20,0,0,0,0,8
2013-2017,B25127_42_20_to_49,3222,0,0,5,61,26,0,0,0,7,0,0,0,0,0,0,0,56,0,0,14,0,0,0
2013-2017,B25127_43_50_or_more,3542,0,0,0,37,31,30,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",6,0,0,16,4,63,2,0,0,9,0,13,0,0,7,51,0,0,0,0,0,0,0,0
2013-2017,B25127_45_renter_occupied,162190,5221,12483,22727,126947,117181,56785,1392,4565,126673,5178,26862,38358,777,9797,10968,3303,39087,2550,2130,6673,4561,1554,5388
2013-2017,B25127_46_built_2010_or_later,10047,95,792,702,7236,3006,3982,24,70,5749,127,2049,2385,0,540,449,44,1690,20,205,535,172,86,88
2013-2017,"B25127_47_1,_detached__or_attached",534,68,146,201,454,296,141,24,24,677,60,621,605,0,112,290,44,29,0,13,124,8,0,29
2013-2017,B25127_48_2_to_4,627,0,43,8,114,32,61,0,0,169,36,34,36,0,0,0,0,38,0,0,0,37,0,0
2013-2017,B25127_49_5_to_19,1086,13,100,120,872,698,427,0,39,839,0,520,686,0,312,110,0,133,0,0,167,0,9,13
2013-2017,B25127_50_20_to_49,679,0,284,222,470,295,258,0,7,264,10,138,412,0,60,0,0,157,20,22,205,59,0,0
2013-2017,B25127_51_50_or_more,7121,14,182,121,5321,1654,3082,0,0,3800,21,680,646,0,36,49,0,1333,0,170,39,68,77,0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,0,37,30,5,31,13,0,0,0,0,56,0,0,20,0,0,0,0,0,0,0,0,46
2013-2017,B25127_53_built_2000_to_2009,14466,881,2707,3495,16284,9941,9379,90,813,18349,550,8183,8267,56,2120,2770,176,4005,212,265,869,415,669,924
2013-2017,"B25127_54_1,_detached__or_attached",1495,519,1293,1711,2901,2266,529,65,540,5116,364,3570,4693,56,1124,1844,169,350,146,17,432,126,70,693
2013-2017,B25127_55_2_to_4,856,44,169,101,261,335,152,0,88,384,18,335,188,0,64,21,0,83,0,0,25,11,0,20
2013-2017,B25127_56_5_to_19,2055,26,446,895,3454,2580,527,0,133,4494,86,2757,2192,0,449,481,7,490,58,51,213,116,205,133
2013-2017,B25127_57_20_to_49,920,98,413,164,1077,729,573,12,9,1480,49,400,548,0,268,101,0,270,0,11,91,54,171,0
2013-2017,B25127_58_50_or_more,9140,194,386,585,8455,3981,7598,13,15,6779,33,1085,587,0,165,191,0,2812,8,186,108,100,223,0
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",0,0,0,39,136,50,0,0,28,96,0,36,59,0,50,132,0,0,0,0,0,8,0,78
2013-2017,B25127_60_built_1980_to_1999,15012,2766,4515,8749,40835,31233,13635,421,1270,48190,1615,10675,15895,154,4945,5181,716,8365,690,331,1665,2175,394,1667
2013-2017,"B25127_61_1,_detached__or_attached",1433,1931,2909,3425,11143,9108,1220,226,619,15579,1011,4252,6593,98,3030,2992,332,1498,132,46,259,641,224,817
2013-2017,B25127_62_2_to_4,1404,121,354,422,1589,1300,449,35,44,1852,91,404,794,18,237,143,103,307,22,10,156,233,25,99
2013-2017,B25127_63_5_to_19,4023,312,506,3546,16746,14457,1988,16,486,19163,336,4522,6840,0,698,1712,164,2157,440,55,915,1063,111,298
2013-2017,B25127_64_20_to_49,1511,114,291,536,2363,1254,902,24,88,3682,35,581,575,0,187,72,0,824,44,46,76,67,34,15
2013-2017,B25127_65_50_or_more,6600,238,421,767,8970,5035,9057,120,12,7558,109,832,915,0,414,112,50,3579,52,174,259,171,0,69
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",41,50,34,53,24,79,19,0,21,356,33,84,178,38,379,150,67,0,0,0,0,0,0,369
2013-2017,B25127_67_built_1960_to_1979,40270,768,3133,4436,41669,48037,14678,327,1527,43299,1332,3567,8922,202,1609,1747,869,16309,1096,794,2433,1298,162,1401
2013-2017,"B25127_68_1,_detached__or_attached",2959,661,2275,1955,8447,8547,1227,117,969,14638,968,2064,4966,186,1160,1376,626,1318,364,94,455,614,119,673
2013-2017,B25127_69_2_to_4,4915,9,137,475,1438,1941,1138,99,162,1283,167,250,419,6,66,114,38,770,28,6,198,92,16,86
2013-2017,B25127_70_5_to_19,13498,20,271,1547,16047,29485,3542,72,357,17552,93,991,2770,10,93,216,194,6335,556,197,1518,523,20,336
2013-2017,B25127_71_20_to_49,3344,20,210,151,1862,1848,996,12,8,2046,8,0,321,0,67,13,0,986,25,53,202,8,7,47
2013-2017,B25127_72_50_or_more,15526,45,190,296,13822,6128,7731,27,13,7564,37,241,320,0,133,9,11,6900,123,444,60,54,0,48
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",28,13,50,12,53,88,44,0,18,216,59,21,126,0,90,19,0,0,0,0,0,7,0,211
2013-2017,B25127_74_built_1940_to_1959,41358,470,829,1619,16319,20231,12057,132,538,9883,688,1478,2198,75,390,694,919,6951,521,482,534,319,231,327
2013-2017,"B25127_75_1,_detached__or_attached",6646,407,542,1042,6551,7507,2594,105,293,5246,576,748,1126,74,311,568,549,1575,274,136,178,108,205,238
2013-2017,B25127_76_2_to_4,6883,7,103,204,949,1247,1580,27,52,618,39,113,240,0,9,111,192,686,7,73,80,0,0,59
2013-2017,B25127_77_5_to_19,12693,11,116,323,4734,9311,3976,0,149,2953,57,503,741,1,50,15,159,2736,217,16,229,211,26,30
2013-2017,B25127_78_20_to_49,4493,10,58,33,877,662,924,0,29,288,0,35,12,0,0,0,19,450,0,26,7,0,0,0
2013-2017,B25127_79_50_or_more,10621,27,0,17,3175,1489,2983,0,15,685,16,79,79,0,5,0,0,1504,23,231,40,0,0,0
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",22,8,10,0,33,15,0,0,0,93,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2013-2017,B25127_81_built_1939_or_earlier,41037,241,507,3726,4604,4733,3054,398,347,1203,866,910,691,290,193,127,579,1767,11,53,637,182,12,981
2013-2017,"B25127_82_1,_detached__or_attached",11433,203,349,2096,1629,2353,1237,351,281,598,723,714,359,279,169,110,249,720,0,0,291,14,12,593
2013-2017,B25127_83_2_to_4,7460,22,82,796,527,332,423,13,26,154,106,84,51,0,0,17,160,349,0,27,172,88,0,172
2013-2017,B25127_84_5_to_19,6943,0,35,535,1428,1434,834,17,0,301,37,24,253,11,11,0,170,464,0,26,93,71,0,202
2013-2017,B25127_85_20_to_49,4941,0,41,89,159,155,98,0,0,9,0,75,0,0,0,0,0,64,0,0,50,0,0,14
2013-2017,B25127_86_50_or_more,10225,16,0,91,786,443,443,17,0,121,0,2,28,0,0,0,0,130,11,0,31,9,0,0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",35,0,0,119,75,16,19,0,40,20,0,11,0,0,13,0,0,40,0,0,0,0,0,0
2013-2017,B11003_1_total,121411,23759,40303,65073,257855,202472,47715,3743,12540,281196,17777,94277,107839,2154,33291,36991,10025,33164,5680,3459,5701,9507,3495,14643
2013-2017,B11003_2_married-couple_family,70359,18450,29091,51731,199813,121209,38858,2938,9828,229244,14838,79861,84629,1785,26387,29838,7199,24895,4506,2710,3685,7460,2803,11381
2013-2017,B11003_3_with_own_children_of_the_householder_under_18_years,27137,7442,12450,22624,92703,48946,17210,917,3957,110063,5887,47441,45178,480,11125,14081,2585,10628,1950,1309,1595,3395,1482,4471
2013-2017,B11003_4_under_6_years_only,11575,1249,2245,4815,22965,10170,5760,224,513,27312,848,11516,10365,99,1876,2188,598,4817,623,248,596,707,320,807
2013-2017,B11003_5_under_6_years_and_6_to_17_years,4611,1238,2496,4201,16683,10899,3180,126,808,20268,1208,9394,10490,62,2255,3193,657,1926,204,250,409,1099,374,1127
2013-2017,B11003_6_6_to_17_years_only,10951,4955,7709,13608,53055,27877,8270,567,2636,62483,3831,26531,24323,319,6994,8700,1330,3885,1123,811,590,1589,788,2537
2013-2017,B11003_7_no_own_children_of_the_householder_under_18_years,43222,11008,16641,29107,107110,72263,21648,2021,5871,119181,8951,32420,39451,1305,15262,15757,4614,14267,2556,1401,2090,4065,1321,6910
2013-2017,B11003_8_other_family,51052,5309,11212,13342,58042,81263,8857,805,2712,51952,2939,14416,23210,369,6904,7153,2826,8269,1174,749,2016,2047,692,3262
2013-2017,"B11003_9_male_householder,_no_wife_present",10092,1712,2429,4329,16178,20763,2982,181,924,15776,931,4193,7143,143,1903,2001,797,2544,317,155,295,542,246,949
2013-2017,B11003_10_with_own_children_of_the_householder_under_18_years,4134,931,1095,2376,7678,9226,1089,98,456,6636,496,1976,3587,59,851,1136,227,890,110,43,113,225,128,533
2013-2017,B11003_11_under_6_years_only,1036,269,228,662,1501,2337,199,9,109,1546,86,376,1050,7,199,232,41,259,22,0,0,25,19,135
2013-2017,B11003_12_under_6_years_and_6_to_17_years,424,84,117,362,1668,2250,126,1,99,1026,107,218,614,0,147,191,8,67,10,0,0,57,15,133
2013-2017,B11003_13_6_to_17_years_only,2674,578,750,1352,4509,4639,764,88,248,4064,303,1382,1923,52,505,713,178,564,78,43,113,143,94,265
2013-2017,B11003_14_no_own_children_of_the_householder_under_18_years,5958,781,1334,1953,8500,11537,1893,83,468,9140,435,2217,3556,84,1052,865,570,1654,207,112,182,317,118,416
2013-2017,"B11003_15_female_householder,_no_husband_present",40960,3597,8783,9013,41864,60500,5875,624,1788,36176,2008,10223,16067,226,5001,5152,2029,5725,857,594,1721,1505,446,2313
2013-2017,B11003_16_with_own_children_of_the_householder_under_18_years,19977,1733,4917,4646,21499,27203,3194,308,1000,18386,1062,5610,9045,115,2768,3044,1090,3274,328,357,1034,908,332,1215
2013-2017,B11003_17_under_6_years_only,3411,264,381,541,3105,5043,703,65,266,3148,104,805,1163,0,536,252,205,492,55,123,182,126,125,245
2013-2017,B11003_18_under_6_years_and_6_to_17_years,4220,143,866,605,3714,4471,550,76,241,2673,67,595,1857,18,338,510,126,633,96,0,231,203,93,231
2013-2017,B11003_19_6_to_17_years_only,12346,1326,3670,3500,14680,17689,1941,167,493,12565,891,4210,6025,97,1894,2282,759,2149,177,234,621,579,114,739
2013-2017,B11003_20_no_own_children_of_the_householder_under_18_years,20983,1864,3866,4367,20365,33297,2681,316,788,17790,946,4613,7022,111,2233,2108,939,2451,529,237,687,597,114,1098
2013-2017,B25075_1_total,115795,26241,42505,67295,242295,189513,45525,4176,12272,266707,18803,94437,100948,2354,33482,34377,10887,29576,5949,3178,3746,7979,3224,15420
2013-2017,"B25075_2_less_than_$10,000",1463,253,612,662,2414,2884,297,20,131,2521,124,1053,1468,0,664,445,199,405,0,21,32,63,73,402
2013-2017,"B25075_3_$10,000_to_$14,999",132,30,76,109,201,271,23,12,42,231,42,74,138,0,143,92,6,10,0,0,0,35,0,126
2013-2017,"B25075_4_$15,000_to_$19,999",91,48,97,163,83,494,42,10,42,243,35,32,186,10,190,123,35,22,0,0,22,27,13,61
2013-2017,"B25075_5_$20,000_to_$24,999",187,56,172,112,167,604,0,6,29,105,40,57,97,0,104,51,14,33,0,0,9,13,0,71
2013-2017,"B25075_6_$25,000_to_$29,999",82,13,54,76,209,542,45,19,0,208,34,35,531,0,83,248,12,17,0,0,15,0,18,116
2013-2017,"B25075_7_$30,000_to_$34,999",179,49,70,66,323,605,0,0,0,151,56,174,91,6,47,132,0,0,0,0,0,10,12,68
2013-2017,"B25075_8_$35,000_to_$39,999",100,13,42,109,171,405,0,0,23,300,0,44,123,0,90,82,9,0,0,0,0,0,0,34
