estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2009-2013,B11005_1_total,263649,30923,51247,86337,360563,303441,94454,5580,16039,389908,23130,106997,132442,3261,41709,42178,14387,65369,8492,5020,9779,12072,4435,19889
2009-2013,B11005_2_households_with_one_or_more_people_under_18_years,54704,12017,19722,32243,128337,109816,19391,1759,6100,144247,7993,52171,62031,843,17649,18928,4718,13887,2618,1794,2889,5065,1961,6587
2009-2013,B11005_3_family_households,54397,11969,19605,32033,127722,108843,19320,1750,6065,143468,7945,51924,61593,803,17510,18843,4692,13803,2554,1794,2889,5054,1932,6488
2009-2013,B11005_4_married-couple_family,23381,8960,13006,24471,94982,56659,14876,1362,4164,114933,6237,43227,46278,636,12512,14542,3225,9373,2029,1351,1532,3406,1328,4610
2009-2013,B11005_5_other_family,31016,3009,6599,7562,32740,52184,4444,388,1901,28535,1708,8697,15315,167,4998,4301,1467,4430,525,443,1357,1648,604,1878
2009-2013,"B11005_6_male_householder,_no_wife_present",5194,758,1619,2149,7792,11857,1098,82,685,7648,486,2551,4418,113,1244,1130,325,1092,165,103,135,542,101,508
2009-2013,"B11005_7_female_householder,_no_husband_present",25822,2251,4980,5413,24948,40327,3346,306,1216,20887,1222,6146,10897,54,3754,3171,1142,3338,360,340,1222,1106,503,1370
2009-2013,B11005_8_nonfamily_households,307,48,117,210,615,973,71,9,35,779,48,247,438,40,139,85,26,84,64,0,0,11,29,99
2009-2013,B11005_9_male_householder,127,48,91,130,414,623,61,9,35,620,48,191,308,40,117,27,26,15,24,0,0,0,11,99
2009-2013,B11005_10_female_householder,180,0,26,80,201,350,10,0,0,159,0,56,130,0,22,58,0,69,40,0,0,11,18,0
2009-2013,B11005_11_households_with_no_people_under_18_years,208945,18906,31525,54094,232226,193625,75063,3821,9939,245661,15137,54826,70411,2418,24060,23250,9669,51482,5874,3226,6890,7007,2474,13302
2009-2013,B11005_12_family_households,57881,11604,18172,30907,120589,91655,24192,2348,5894,133782,9260,31222,41415,1323,15452,15468,5455,17060,3214,1298,2281,4000,1399,7546
2009-2013,B11005_13_married-couple_family,37200,9647,14318,26044,98189,60880,19850,2104,5173,111694,8124,26771,33581,1208,13128,13392,4438,13961,2616,1153,1654,3067,1176,6552
2009-2013,B11005_14_other_family,20681,1957,3854,4863,22400,30775,4342,244,721,22088,1136,4451,7834,115,2324,2076,1017,3099,598,145,627,933,223,994
2009-2013,"B11005_15_male_householder,_no_wife_present",4590,710,1006,1643,6942,8474,1923,57,176,7448,412,1304,2613,41,630,665,447,1243,171,1,222,269,59,335
2009-2013,"B11005_16_female_householder,_no_husband_present",16091,1247,2848,3220,15458,22301,2419,187,545,14640,724,3147,5221,74,1694,1411,570,1856,427,144,405,664,164,659
2009-2013,B11005_17_nonfamily_households,151064,7302,13353,23187,111637,101970,50871,1473,4045,111879,5877,23604,28996,1095,8608,7782,4214,34422,2660,1928,4609,3007,1075,5756
2009-2013,B11005_18_male_householder,68718,3497,5717,10164,44432,44823,25086,708,1852,51741,2880,11191,14101,524,3630,3536,2099,15666,1249,941,2087,1308,502,2938
2009-2013,B11005_19_female_householder,82346,3805,7636,13023,67205,57147,25785,765,2193,60138,2997,12413,14895,571,4978,4246,2115,18756,1411,987,2522,1699,573,2818
